t,x,y,fh,fv,r,s,frame:
0,-15,52,0,0,0,0,0
1,-15,52,0,0,0,0,0
2,-15,52,0,0,0,0,0
3,-15,52,0,0,0,0,0
4,-13,52,0,0,0,0,0
5,-12,52,0,0,0,1,0
6,-11,52,0,0,0,2,0
7,-7,51,0,0,0,3,0
8,0,49,0,0,0,4,0
9,9,47,0,0,0,5,0
10,24,44,0,0,0,6,0
11,34,43,0,0,0,7,0
12,43,42,0,0,0,8,0
13,51,40,0,0,0,9,0
14,58,40,0,0,0,10,0
15,65,39,0,0,0,11,0
16,71,39,0,0,0,12,0
17,78,37,0,0,0,13,0
18,85,35,0,0,0,14,0
19,91,34,0,0,0,15,0
20,94,33,0,0,0,16,0
21,96,32,0,0,0,17,0
22,99,31,0,0,0,18,0
23,102,30,0,0,0,19,0
24,107,29,0,0,0,20,0
25,113,28,0,0,0,21,0
26,119,27,0,0,0,22,0
27,127,27,0,0,0,23,0
28,133,26,0,0,0,24,0
29,139,26,0,0,0,25,0
30,142,26,0,0,0,26,0
31,143,26,0,0,0,27,0
32,143,26,0,0,0,28,0
33,143,26,0,0,0,29,0
34,146,27,0,0,0,30,0
35,152,28,0,0,0,31,0
36,164,31,0,0,0,32,0
37,173,32,0,0,0,33,0
38,178,33,0,0,0,34,0
39,188,35,0,0,0,35,0
40,193,36,0,0,0,36,0
41,200,38,0,0,0,37,0
42,208,39,0,0,0,38,0
43,214,40,0,0,0,39,0
44,217,40,0,0,0,40,0
45,218,41,0,0,0,41,0
46,220,42,0,0,0,42,0
47,224,44,0,0,0,43,0
48,226,45,0,0,0,44,0
49,230,47,0,0,0,45,0
50,234,48,0,0,0,46,0
51,240,50,0,0,0,47,0
52,248,52,0,0,0,48,0
53,253,53,0,0,0,49,0
54,259,55,0,0,0,50,0
55,262,56,0,0,0,51,0
56,264,57,0,0,0,52,0
57,266,59,0,0,0,53,0
58,269,61,0,0,0,54,0
59,272,63,0,0,0,55,0
60,274,65,0,0,0,56,0
61,276,67,0,0,0,57,0
62,279,69,0,0,0,58,0
63,281,72,0,0,0,59,0
64,284,74,0,0,0,60,0
65,287,77,0,0,0,61,0
66,289,79,0,0,0,62,0
67,291,82,0,0,0,63,0
68,295,86,0,0,0,64,0
69,297,90,0,0,0,65,0
70,299,93,0,0,0,66,0
71,301,96,0,0,0,67,0
72,302,99,0,0,0,68,0
73,304,101,0,0,0,69,0
74,306,104,0,0,0,70,0
75,308,107,0,0,0,71,0
76,309,110,0,0,0,72,0
77,310,113,0,0,0,73,0
78,310,114,0,0,0,74,0
79,310,119,0,0,0,75,0
80,311,124,0,0,0,76,0
81,311,129,0,0,0,77,0
82,312,136,0,0,0,78,0
83,312,143,0,0,0,79,0
84,312,149,0,0,0,80,0
85,312,155,0,0,0,81,0
86,312,159,0,0,0,81,0
87,312,165,0,0,0,81,0
88,312,169,0,0,0,81,0
89,311,173,0,0,0,81,0
90,309,177,0,0,0,81,0
91,307,180,0,0,0,81,0
92,305,182,0,0,0,81,0
93,302,185,0,0,0,81,0
94,299,188,0,0,0,81,0
95,295,191,0,0,0,81,0
96,292,194,0,0,0,80,0
97,289,197,0,0,0,79,0
98,286,199,0,0,0,78,0
99,286,200,0,0,0,77,0
100,285,200,0,0,0,76,0
101,284,201,0,0,0,75,0
102,282,202,0,0,0,74,0
103,281,203,0,0,0,73,0
104,278,204,0,0,0,72,0
105,277,205,0,0,0,71,0
106,275,205,0,0,0,70,0
107,275,205,0,0,0,69,0
108,275,205,0,0,0,68,0
109,272,206,0,0,0,67,0
110,267,207,0,0,0,66,0
111,262,208,0,0,0,65,0
112,254,210,0,0,0,64,0
113,249,211,0,0,0,63,0
114,241,213,0,0,0,62,0
115,234,213,0,0,0,61,0
116,232,213,0,0,0,60,0
117,230,213,0,0,0,59,0
118,226,213,0,0,0,58,0
119,221,213,0,0,0,57,0
120,213,212,0,0,0,56,0
121,205,211,0,0,0,55,0
122,199,210,0,0,0,54,0
123,194,209,0,0,0,53,0
124,188,207,0,0,0,52,0
125,180,205,0,0,0,51,0
126,173,203,0,0,0,50,0
127,168,201,0,0,0,49,0
128,165,200,0,0,0,48,0
129,153,194,0,0,0,47,0
130,142,189,0,0,0,46,0
131,131,185,0,0,0,45,0
132,120,181,0,0,0,44,0
133,112,178,0,0,0,43,0
134,106,175,0,0,0,42,0
135,102,172,0,0,0,41,0
136,99,170,0,0,0,40,0
137,94,166,0,0,0,39,0
138,90,164,0,0,0,38,0
139,87,163,0,0,0,37,0
140,80,159,0,0,0,36,0
141,73,155,0,0,0,35,0
142,67,153,0,0,0,34,0
143,62,151,0,0,0,33,0
144,58,148,0,0,0,32,0
145,56,147,0,0,0,31,0
146,53,145,0,0,0,30,0
147,51,144,0,0,0,29,0
148,48,141,0,0,0,29,0
149,45,138,0,0,0,29,0
150,40,135,0,0,0,29,0
151,35,131,0,0,0,29,0
152,30,128,0,0,0,29,0
153,27,125,0,0,0,29,0
154,25,123,0,0,0,29,0
155,22,120,0,0,0,29,0
156,20,118,0,0,0,29,0
157,19,116,0,0,0,29,0
158,16,113,0,0,0,29,0
159,14,111,0,0,0,29,0
160,11,108,0,0,0,29,0
161,9,106,0,0,0,29,0
162,7,104,0,0,0,29,0
163,5,102,0,0,0,29,0
164,4,99,0,0,0,29,0
165,1,97,0,0,0,29,0
166,-1,94,0,0,0,29,0
167,-2,93,0,0,0,29,0
168,-3,92,0,0,0,29,0
169,-4,90,0,0,0,29,0
170,-5,88,0,0,0,29,0
171,-7,86,0,0,0,29,0
172,-8,84,0,0,0,29,0
173,-9,82,0,0,0,29,0
174,-9,80,0,0,0,29,0
175,-10,78,0,0,0,29,0
176,-11,77,0,0,0,29,0
177,-11,75,0,0,0,29,0
178,-11,74,0,0,0,29,0
179,-12,73,0,0,0,29,0
180,-12,73,0,0,0,29,0
181,-12,72,0,0,0,29,0
182,-12,71,0,0,0,29,0
183,-13,70,0,0,0,29,0
184,-13,69,0,0,0,29,0
185,-13,68,0,0,0,29,0
186,-13,67,0,0,0,29,0
187,-14,66,0,0,0,29,0
188,-14,66,0,0,0,29,0
189,-14,65,0,0,0,29,0
190,-15,64,0,0,0,29,0
191,-16,61,0,0,0,29,0
192,-16,59,0,0,0,29,0
193,-17,57,0,0,0,29,0
194,-17,56,0,0,0,29,0
195,-18,54,0,0,0,29,0
196,-18,54,0,0,0,29,0
197,-18,53,0,0,0,29,0
198,-18,53,0,0,0,29,0
199,-18,52,0,0,0,29,0
200,-18,52,0,0,0,29,0
201,-18,52,0,0,0,29,0
202,-18,52,0,0,0,29,0
203,-18,52,0,0,0,29,0
204,-18,52,0,0,0,29,0
205,-18,52,0,0,0,29,0
