t,x,y,fh,fv,r,s,frame:
0,181,-167,0,0,0,-106,0
1,181,-167,0,0,0,-106,0
2,181,-167,0,0,0,-106,0
3,181,-167,0,0,0,-106,0
4,181,-167,0,0,0,-106,0
5,181,-167,0,0,0,-106,0
6,181,-167,0,0,0,-106,0
7,181,-167,0,0,0,-106,0
8,181,-167,0,0,0,-106,0
9,181,-167,0,0,0,-106,0
10,181,-167,0,0,0,-106,0
11,181,-167,0,0,0,-106,0
12,181,-167,0,0,0,-106,0
13,181,-167,0,0,0,-106,0
14,181,-167,0,0,0,-106,0
15,181,-167,0,0,0,-106,0
16,181,-167,0,0,0,-106,0
17,181,-167,0,0,0,-106,0
18,181,-167,0,0,0,-106,0
19,181,-167,0,0,0,-106,0
20,181,-167,0,0,0,-106,0
21,181,-167,0,0,0,-106,0
22,181,-167,0,0,0,-106,0
23,181,-167,0,0,0,-106,0
24,181,-167,0,0,0,-106,0
25,181,-167,0,0,0,-106,0
26,181,-167,0,0,0,-106,0
27,181,-167,0,0,0,-106,0
28,181,-167,0,0,0,-106,0
29,181,-167,0,0,0,-106,0
30,181,-167,0,0,0,-106,0
31,181,-167,0,0,0,-106,0
32,181,-167,0,0,0,-106,0
33,181,-167,0,0,0,-106,0
34,181,-167,0,0,0,-106,0
35,181,-167,0,0,0,-106,0
36,181,-167,0,0,0,-106,0
37,181,-167,0,0,0,-106,0
38,181,-167,0,0,0,-106,0
39,181,-167,0,0,0,-106,0
40,181,-167,0,0,0,-106,0
41,181,-167,0,0,0,-106,0
42,181,-167,0,0,0,-106,0
43,181,-167,0,0,0,-106,0
44,181,-167,0,0,0,-106,0
45,181,-167,0,0,0,-106,0
46,181,-167,0,0,0,-106,0
47,181,-167,0,0,0,-106,0
48,181,-167,0,0,0,-106,0
49,181,-167,0,0,0,-106,0
50,181,-167,0,0,0,-106,0
51,181,-167,0,0,0,-106,0
52,181,-167,0,0,0,-106,0
53,181,-167,0,0,0,-106,0
54,181,-167,0,0,0,-106,0
55,181,-167,0,0,0,-106,0
56,181,-167,0,0,0,-106,0
57,181,-167,0,0,0,-106,0
58,181,-167,0,0,0,-106,0
59,181,-167,0,0,0,-106,0
60,181,-167,0,0,0,-106,0
61,181,-167,0,0,0,-106,0
62,181,-167,0,0,0,-106,0
63,181,-167,0,0,0,-106,0
64,181,-167,0,0,0,-106,0
65,181,-167,0,0,0,-106,0
66,181,-167,0,0,0,-106,0
67,181,-167,0,0,0,-106,0
68,181,-167,0,0,0,-106,0
69,181,-167,0,0,0,-106,0
70,181,-167,0,0,0,-106,0
71,181,-167,0,0,0,-106,0
72,181,-167,0,0,0,-106,0
73,181,-167,0,0,0,-106,0
74,181,-167,0,0,0,-106,0
75,181,-167,0,0,0,-106,0
76,181,-167,0,0,0,-106,0
77,181,-167,0,0,0,-106,0
78,181,-167,0,0,0,-106,0
79,181,-167,0,0,0,-106,0
80,181,-167,0,0,0,-106,0
81,181,-167,0,0,0,-106,0
82,181,-167,0,0,0,-106,0
83,181,-167,0,0,0,-106,0
84,181,-167,0,0,0,-106,0
85,181,-167,0,0,0,-106,0
86,181,-167,0,0,0,-106,0
87,181,-167,0,0,0,-106,0
88,181,-167,0,0,0,-106,0
89,181,-167,0,0,0,-106,0
90,181,-167,0,0,0,-106,0
91,181,-167,0,0,0,-106,0
92,181,-167,0,0,0,-106,0
93,181,-167,0,0,0,-106,0
94,181,-167,0,0,0,-106,0
95,181,-167,0,0,0,-106,0
96,181,-167,0,0,0,-106,0
97,181,-167,0,0,0,-106,0
98,181,-167,0,0,0,-106,0
99,181,-167,0,0,0,-106,0
100,181,-167,0,0,0,-106,0
101,181,-167,0,0,0,-106,0
102,181,-167,0,0,0,-106,0
103,181,-167,0,0,0,-106,0
104,180,-167,0,0,0,-106,0
105,180,-167,0,0,0,-106,0
106,178,-167,0,0,0,-106,0
107,178,-167,0,0,0,-106,0
108,178,-167,0,0,0,-106,0
109,177,-167,0,0,0,-106,0
110,177,-167,0,0,0,-106,0
111,177,-167,0,0,0,-106,0
112,177,-167,0,0,0,-106,0
113,177,-167,0,0,0,-106,0
114,177,-167,0,0,0,-106,0
115,177,-167,0,0,0,-106,0
116,176,-167,0,0,0,-106,0
117,176,-167,0,0,0,-106,0
118,176,-167,0,0,0,-106,0
119,176,-167,0,0,0,-106,0
120,175,-167,0,0,0,-106,0
121,175,-167,0,0,0,-106,0
122,175,-167,0,0,0,-106,0
123,175,-167,0,0,0,-106,0
124,175,-167,0,0,0,-106,0
125,175,-167,0,0,0,-106,0
126,174,-167,0,0,0,-106,0
127,174,-167,0,0,0,-106,0
128,174,-167,0,0,0,-106,0
129,174,-167,0,0,0,-106,0
130,174,-167,0,0,0,-106,0
131,173,-167,0,0,0,-106,0
132,173,-167,0,0,0,-106,0
133,173,-167,0,0,0,-106,0
134,173,-167,0,0,0,-106,0
135,173,-167,0,0,0,-106,0
136,173,-167,0,0,0,-106,0
137,173,-167,0,0,0,-106,0
138,173,-167,0,0,0,-106,0
139,173,-167,0,0,0,-106,0
140,173,-167,0,0,0,-106,0
141,172,-167,0,0,0,-106,0
142,172,-167,0,0,0,-106,0
143,171,-167,0,0,0,-106,0
144,171,-167,0,0,0,-106,0
145,170,-167,0,0,0,-106,0
146,170,-167,0,0,0,-106,0
147,170,-167,0,0,0,-106,0
148,170,-167,0,0,0,-106,0
149,170,-167,0,0,0,-106,0
150,170,-167,0,0,0,-106,0
151,170,-167,0,0,0,-106,0
152,170,-167,0,0,0,-106,0
153,170,-167,0,0,0,-106,0
154,170,-167,0,0,0,-106,0
155,170,-167,0,0,0,-106,0
