t,x,y,fh,fv,r,s,frame:
0,521,270,0,0,0,-85,0
1,521,270,0,0,0,-85,0
2,521,270,0,0,0,-85,0
3,521,270,0,0,0,-85,0
4,521,270,0,0,0,-85,0
5,521,270,0,0,0,-85,0
6,521,270,0,0,0,-85,0
7,521,270,0,0,0,-85,0
8,521,270,0,0,0,-85,0
9,521,270,0,0,0,-85,0
10,521,270,0,0,0,-85,0
11,521,270,0,0,0,-85,0
12,521,270,0,0,0,-85,0
13,521,270,0,0,0,-85,0
14,521,270,0,0,0,-85,0
15,521,270,0,0,0,-85,0
16,521,270,0,0,0,-85,0
17,521,270,0,0,0,-85,0
18,521,270,0,0,0,-85,0
19,521,270,0,0,0,-85,0
20,521,269,0,0,0,-85,0
21,521,269,0,0,0,-85,0
22,521,269,0,0,0,-85,0
23,521,269,0,0,0,-85,0
24,521,269,0,0,0,-85,0
25,521,268,0,0,0,-85,0
26,520,268,0,0,0,-85,0
27,520,268,0,0,0,-85,0
28,519,267,0,0,0,-85,0
29,519,267,0,0,0,-85,0
30,519,266,0,0,0,-85,0
31,519,266,0,0,0,-85,0
32,519,266,0,0,0,-85,0
33,519,266,0,0,0,-85,0
34,519,266,0,0,0,-85,0
35,519,266,0,0,0,-85,0
36,518,266,0,0,0,-85,0
37,518,266,0,0,0,-85,0
38,518,266,0,0,0,-85,0
39,518,265,0,0,0,-85,0
40,517,265,0,0,0,-85,0
41,517,265,0,0,0,-85,0
42,517,265,0,0,0,-85,0
43,517,265,0,0,0,-85,0
44,517,265,0,0,0,-85,0
45,517,265,0,0,0,-85,0
46,517,265,0,0,0,-85,0
47,517,265,0,0,0,-85,0
48,517,265,0,0,0,-85,0
49,517,265,0,0,0,-85,0
50,516,265,0,0,0,-85,0
51,516,265,0,0,0,-85,0
52,516,265,0,0,0,-85,0
53,515,265,0,0,0,-85,0
54,514,264,0,0,0,-85,0
55,514,264,0,0,0,-85,0
56,513,264,0,0,0,-85,0
57,512,264,0,0,0,-85,0
58,512,264,0,0,0,-85,0
59,511,264,0,0,0,-85,0
60,511,264,0,0,0,-85,0
61,511,264,0,0,0,-85,0
62,511,264,0,0,0,-85,0
63,511,264,0,0,0,-85,0
64,511,264,0,0,0,-85,0
65,511,264,0,0,0,-85,0
66,511,264,0,0,0,-85,0
67,510,264,0,0,0,-85,0
68,510,264,0,0,0,-85,0
69,510,264,0,0,0,-85,0
70,510,264,0,0,0,-85,0
71,510,264,0,0,0,-85,0
72,510,264,0,0,0,-85,0
73,510,264,0,0,0,-85,0
74,510,265,0,0,0,-85,0
75,510,265,0,0,0,-85,0
76,510,265,0,0,0,-85,0
77,509,265,0,0,0,-85,0
78,509,265,0,0,0,-85,0
79,509,266,0,0,0,-85,0
80,509,266,0,0,0,-85,0
81,509,266,0,0,0,-85,0
82,509,266,0,0,0,-85,0
83,509,266,0,0,0,-85,0
84,509,266,0,0,0,-85,0
85,509,266,0,0,0,-85,0
86,509,267,0,0,0,-85,0
87,509,267,0,0,0,-85,0
88,509,267,0,0,0,-85,0
89,508,267,0,0,0,-85,0
90,508,267,0,0,0,-85,0
91,508,267,0,0,0,-85,0
92,508,268,0,0,0,-85,0
93,508,268,0,0,0,-85,0
94,508,268,0,0,0,-85,0
95,508,268,0,0,0,-85,0
96,508,268,0,0,0,-85,0
97,508,268,0,0,0,-85,0
98,508,268,0,0,0,-85,0
99,508,268,0,0,0,-85,0
100,508,268,0,0,0,-85,0
101,508,268,0,0,0,-85,0
102,508,268,0,0,0,-85,0
103,508,268,0,0,0,-85,0
104,508,268,0,0,0,-85,0
105,508,269,0,0,0,-85,0
