t,x,y,fh,fv,r,s,frame:
0,538,166,0,0,0,-41,1
1,538,166,0,0,0,-41,1
2,538,166,0,0,0,-41,1
3,538,166,0,0,0,-41,1
4,538,166,0,0,0,-41,1
5,538,166,0,0,0,-41,1
6,538,166,0,0,0,-41,1
7,538,166,0,0,0,-41,1
8,538,166,0,0,0,-41,1
9,538,166,0,0,0,-41,1
10,538,166,0,0,0,-41,1
11,538,166,0,0,0,-41,1
12,538,166,0,0,0,-41,1
13,538,166,0,0,0,-41,1
14,538,166,0,0,0,-41,1
15,538,166,0,0,0,-41,1
16,538,166,0,0,0,-41,1
17,538,166,0,0,0,-41,1
18,538,166,0,0,0,-41,1
19,538,166,0,0,0,-41,1
20,538,166,0,0,0,-41,1
21,538,166,0,0,0,-41,1
22,538,166,0,0,0,-41,1
23,538,166,0,0,0,-41,1
24,538,166,0,0,0,-41,1
25,538,166,0,0,0,-41,1
26,538,166,0,0,0,-41,1
27,538,166,0,0,0,-41,1
28,538,166,0,0,0,-41,1
29,538,166,0,0,0,-41,1
30,538,166,0,0,0,-41,1
31,538,166,0,0,0,-41,1
32,538,166,0,0,0,-41,1
33,538,166,0,0,0,-41,1
34,538,166,0,0,0,-41,1
35,538,166,0,0,0,-41,1
36,538,166,0,0,0,-41,1
37,538,166,0,0,0,-41,1
38,538,166,0,0,0,-41,1
39,538,166,0,0,0,-41,1
40,538,166,0,0,0,-41,1
41,538,166,0,0,0,-41,1
42,538,166,0,0,0,-41,1
43,538,166,0,0,0,-41,1
44,538,166,0,0,0,-41,1
45,538,166,0,0,0,-41,1
46,538,166,0,0,0,-41,1
47,538,166,0,0,0,-41,1
48,538,166,0,0,0,-41,1
49,538,166,0,0,0,-41,1
50,538,166,0,0,0,-41,1
51,538,166,0,0,0,-41,1
52,538,166,0,0,0,-41,1
53,538,166,0,0,0,-41,1
54,538,166,0,0,0,-41,1
55,538,166,0,0,0,-41,1
56,538,166,0,0,0,-41,1
57,538,166,0,0,0,-41,1
58,538,166,0,0,0,-41,1
59,538,166,0,0,0,-41,1
60,538,166,0,0,0,-41,1
61,538,166,0,0,0,-41,1
62,538,166,0,0,0,-41,1
63,538,166,0,0,0,-41,1
64,538,166,0,0,0,-41,1
65,538,166,0,0,0,-41,1
66,538,166,0,0,0,-41,1
67,538,166,0,0,0,-41,1
68,538,166,0,0,0,-41,1
69,538,166,0,0,0,-41,1
70,538,166,0,0,0,-41,1
71,538,166,0,0,0,-41,1
72,538,166,0,0,0,-41,1
73,538,166,0,0,0,-41,1
74,538,166,0,0,0,-41,1
75,538,166,0,0,0,-41,1
76,538,166,0,0,0,-41,1
77,538,166,0,0,0,-41,1
78,538,166,0,0,0,-41,1
79,538,166,0,0,0,-41,1
80,538,166,0,0,0,-41,1
81,538,166,0,0,0,-41,1
82,538,166,0,0,0,-41,1
83,538,166,0,0,0,-41,1
84,538,166,0,0,0,-41,1
85,538,166,0,0,0,-41,1
86,538,166,0,0,0,-41,1
87,538,166,0,0,0,-41,1
88,538,166,0,0,0,-41,1
89,538,166,0,0,0,-41,1
90,538,166,0,0,0,-41,1
91,538,166,0,0,0,-41,1
92,538,166,0,0,0,-41,1
93,538,166,0,0,0,-41,1
94,538,166,0,0,0,-41,1
95,538,166,0,0,0,-41,1
96,538,166,0,0,0,-41,1
97,538,166,0,0,0,-41,1
98,538,166,0,0,0,-41,1
99,538,166,0,0,0,-41,1
100,538,166,0,0,0,-41,1
101,538,166,0,0,0,-41,1
102,538,166,0,0,0,-41,1
103,538,166,0,0,0,-41,1
104,538,166,0,0,0,-41,1
105,538,166,0,0,0,-41,1
106,538,166,0,0,0,-41,1
107,538,166,0,0,0,-41,1
108,538,166,0,0,0,-41,1
109,538,166,0,0,0,-41,1
110,538,166,0,0,0,-41,1
111,538,166,0,0,0,-41,1
112,538,166,0,0,0,-41,1
113,538,166,0,0,0,-41,1
