t,x,y,fh,fv,r,s,frame:
0,-269,73,1,0,17,0,0
1,-269,73,1,0,17,0,0
2,-269,73,1,0,17,0,0
3,-269,73,1,0,17,0,0
4,-269,73,1,0,17,0,0
5,-269,73,1,0,17,0,0
6,-269,73,1,0,17,0,0
7,-269,73,1,0,17,0,0
8,-269,73,1,0,17,0,0
9,-269,73,1,0,17,0,0
10,-269,74,1,0,17,0,0
11,-270,74,1,0,17,0,0
12,-270,75,1,0,17,0,0
13,-271,75,1,0,17,0,0
14,-271,76,1,0,17,0,0
15,-271,76,1,0,17,0,0
16,-271,76,1,0,17,0,0
17,-272,77,1,0,17,0,0
18,-274,78,1,0,17,0,0
19,-275,79,1,0,17,0,0
20,-276,79,1,0,17,0,0
21,-276,80,1,0,17,0,0
22,-277,80,1,0,17,0,0
23,-277,80,1,0,17,0,0
24,-277,80,1,0,17,0,0
25,-277,80,1,0,17,0,0
26,-278,80,1,0,17,0,0
27,-278,81,1,0,17,0,0
28,-279,81,1,0,17,0,0
29,-280,82,1,0,17,0,0
30,-281,82,1,0,17,0,0
31,-281,83,1,0,17,0,0
32,-281,83,1,0,17,0,0
33,-281,83,1,0,17,0,0
34,-282,83,1,0,17,0,0
35,-282,84,1,0,17,0,0
36,-282,84,1,0,17,0,0
37,-282,84,1,0,17,0,0
38,-283,85,1,0,17,0,0
39,-283,86,1,0,17,0,0
40,-284,87,1,0,17,0,0
41,-284,88,1,0,17,0,0
42,-284,89,1,0,17,0,0
43,-284,89,1,0,17,0,0
44,-284,90,1,0,17,0,0
45,-284,90,1,0,17,0,0
46,-284,90,1,0,17,0,0
47,-284,91,1,0,17,0,0
48,-284,92,1,0,17,0,0
49,-285,93,1,0,17,0,0
50,-285,93,1,0,17,0,0
51,-285,94,1,0,17,0,0
52,-285,94,1,0,17,0,0
53,-286,96,1,0,17,0,0
54,-286,97,1,0,17,0,0
55,-286,98,1,0,17,0,0
56,-286,100,1,0,17,0,0
57,-287,101,1,0,17,0,0
58,-287,103,1,0,17,0,0
59,-287,106,1,0,17,0,0
60,-287,107,1,0,17,0,0
61,-287,108,1,0,17,0,0
62,-287,109,1,0,17,0,0
63,-287,110,1,0,17,0,0
64,-287,111,1,0,17,0,0
65,-288,113,1,0,17,0,0
66,-288,114,1,0,17,0,0
67,-288,115,1,0,17,0,0
68,-288,116,1,0,17,0,0
69,-288,117,1,0,17,0,0
70,-288,119,1,0,17,0,0
71,-288,120,1,0,17,0,0
72,-288,122,1,0,17,0,0
73,-288,123,1,0,17,0,0
74,-288,123,1,0,17,0,0
75,-288,125,1,0,17,0,0
76,-288,126,1,0,17,0,0
77,-288,127,1,0,17,0,0
78,-288,129,1,0,17,0,0
79,-288,130,1,0,17,0,0
80,-288,131,1,0,17,0,0
81,-288,131,1,0,17,0,0
82,-288,131,1,0,17,0,0
83,-288,132,1,0,17,0,0
84,-288,132,1,0,17,0,0
85,-288,132,1,0,17,0,0
86,-288,133,1,0,17,0,0
87,-288,134,1,0,17,0,0
88,-288,135,1,0,17,0,0
89,-288,136,1,0,17,0,0
90,-288,137,1,0,17,0,0
91,-288,137,1,0,17,0,0
92,-288,138,1,0,17,0,0
93,-288,139,1,0,17,0,0
94,-287,139,1,0,17,0,0
95,-287,140,1,0,17,0,0
96,-287,141,1,0,17,0,0
97,-287,141,1,0,17,0,0
98,-287,141,1,0,17,0,0
99,-287,142,1,0,17,0,0
100,-287,143,1,0,17,0,0
101,-287,143,1,0,17,0,0
102,-286,144,1,0,17,0,0
103,-286,146,1,0,17,0,0
104,-286,147,1,0,17,0,0
105,-286,148,1,0,17,0,0
106,-285,148,1,0,17,0,0
107,-285,148,1,0,17,0,0
108,-285,150,1,0,17,0,0
109,-285,150,1,0,17,0,0
110,-284,151,1,0,17,0,0
111,-284,152,1,0,17,0,0
112,-284,152,1,0,17,0,0
113,-284,152,1,0,17,0,0
114,-284,153,1,0,17,0,0
115,-283,154,1,0,17,0,0
116,-283,154,1,0,17,0,0
117,-282,155,1,0,17,0,0
118,-282,156,1,0,17,0,0
119,-281,156,1,0,17,0,0
120,-281,157,1,0,17,0,0
121,-281,158,1,0,17,0,0
122,-280,159,1,0,17,0,0
123,-279,160,1,0,17,0,0
124,-279,160,1,0,17,0,0
125,-278,160,1,0,17,0,0
126,-277,161,1,0,17,0,0
127,-277,162,1,0,17,0,0
128,-276,163,1,0,17,0,0
129,-275,164,1,0,17,0,0
130,-274,165,1,0,17,0,0
131,-274,166,1,0,17,0,0
132,-273,166,1,0,17,0,0
133,-272,167,1,0,17,0,0
134,-272,167,1,0,17,0,0
135,-271,167,1,0,17,0,0
136,-270,167,1,0,17,0,0
137,-268,168,1,0,17,0,0
138,-265,169,1,0,17,0,0
139,-263,170,1,0,17,0,0
140,-260,171,1,0,17,0,0
141,-257,172,1,0,17,0,0
142,-256,172,1,0,17,0,0
143,-254,172,1,0,17,0,0
144,-253,173,1,0,17,0,0
145,-253,173,1,0,17,0,0
146,-253,173,1,0,17,0,0
147,-253,173,1,0,17,0,0
148,-251,173,1,0,17,0,0
149,-249,172,1,0,17,0,0
150,-246,172,1,0,17,0,0
151,-242,171,1,0,17,0,0
152,-240,171,1,0,17,0,0
153,-239,171,1,0,17,0,0
154,-239,171,1,0,17,0,0
155,-239,171,1,0,17,0,0
156,-239,171,1,0,17,0,0
157,-238,170,1,0,17,0,0
158,-236,170,1,0,17,0,0
159,-232,169,1,0,17,0,0
160,-230,168,1,0,17,0,0
161,-229,168,1,0,17,0,0
162,-228,167,1,0,17,0,0
163,-228,167,1,0,17,0,0
164,-228,167,1,0,17,0,0
165,-227,167,1,0,17,0,0
166,-224,166,1,0,17,0,0
167,-222,165,1,0,17,0,0
168,-220,164,1,0,17,0,0
169,-219,164,1,0,17,0,0
170,-217,163,1,0,17,0,0
171,-216,163,1,0,17,0,0
172,-215,163,1,0,17,0,0
173,-215,162,1,0,17,0,0
174,-215,162,1,0,17,0,0
175,-215,162,1,0,17,0,0
176,-215,162,1,0,17,0,0
177,-215,162,1,0,17,0,0
178,-215,162,1,0,17,0,0
179,-214,161,1,0,17,0,0
180,-213,161,1,0,17,0,0
181,-212,161,1,0,17,0,0
182,-210,159,1,0,17,0,0
183,-208,158,1,0,17,0,0
184,-207,157,1,0,17,0,0
185,-206,156,1,0,17,0,0
186,-205,155,1,0,17,0,0
187,-204,154,1,0,17,0,0
188,-203,154,1,0,17,0,0
189,-202,153,1,0,17,0,0
190,-201,152,1,0,17,0,0
191,-200,151,1,0,17,0,0
192,-199,150,1,0,17,0,0
193,-198,149,1,0,17,0,0
194,-198,149,1,0,17,0,0
195,-197,148,1,0,17,0,0
196,-197,148,1,0,17,0,0
197,-196,147,1,0,17,0,0
198,-195,146,1,0,17,0,0
199,-194,145,1,0,17,0,0
200,-194,144,1,0,17,0,0
201,-193,143,1,0,17,0,0
202,-193,142,1,0,17,0,0
203,-192,141,1,0,17,0,0
204,-192,140,1,0,17,0,0
205,-191,139,1,0,17,0,0
206,-191,138,1,0,17,0,0
207,-191,137,1,0,17,0,0
208,-190,136,1,0,17,0,0
209,-190,136,1,0,17,0,0
210,-190,135,1,0,17,0,0
211,-190,135,1,0,17,0,0
212,-190,134,1,0,17,0,0
213,-189,130,1,0,17,0,0
214,-188,128,1,0,17,0,0
215,-188,127,1,0,17,0,0
216,-187,126,1,0,17,0,0
217,-187,124,1,0,17,0,0
218,-187,124,1,0,17,0,0
219,-187,123,1,0,17,0,0
220,-187,122,1,0,17,0,0
221,-187,122,1,0,17,0,0
222,-187,121,1,0,17,0,0
223,-187,120,1,0,17,0,0
224,-187,119,1,0,17,0,0
225,-187,118,1,0,17,0,0
226,-186,116,1,0,17,0,0
227,-186,114,1,0,17,0,0
228,-186,112,1,0,17,0,0
229,-186,110,1,0,17,0,0
230,-185,109,1,0,17,0,0
231,-185,107,1,0,17,0,0
232,-185,106,1,0,17,0,0
233,-185,106,1,0,17,0,0
234,-185,104,1,0,17,0,0
235,-185,103,1,0,17,0,0
236,-185,100,1,0,17,0,0
237,-185,98,1,0,17,0,0
238,-185,96,1,0,17,0,0
239,-186,95,1,0,17,0,0
240,-186,94,1,0,17,0,0
241,-186,94,1,0,17,0,0
242,-186,94,1,0,17,0,0
