t,x,y,fh,fv,r,s,frame:
0,479,-104,0,0,-31,0,0
1,479,-104,0,0,-31,0,0
2,479,-104,0,0,-31,0,0
3,479,-104,0,0,-31,0,0
4,479,-104,0,0,-31,0,0
5,479,-104,0,0,-31,0,0
6,479,-104,0,0,-31,0,0
7,479,-104,0,0,-31,0,0
8,479,-104,0,0,-31,0,0
9,479,-104,0,0,-31,0,0
10,479,-104,0,0,-31,0,0
11,479,-104,0,0,-31,0,0
12,479,-104,0,0,-31,0,0
13,480,-104,0,0,-31,0,0
14,480,-104,0,0,-31,0,0
15,480,-104,0,0,-31,0,0
16,480,-104,0,0,-31,0,0
17,480,-104,0,0,-31,0,0
18,480,-104,0,0,-31,0,0
19,480,-104,0,0,-31,0,0
20,480,-104,0,0,-31,0,0
21,480,-104,0,0,-31,0,0
22,480,-104,0,0,-31,0,0
23,480,-104,0,0,-31,0,0
24,480,-104,0,0,-31,0,0
25,480,-104,0,0,-31,0,0
26,480,-104,0,0,-31,0,0
27,480,-104,0,0,-31,0,0
28,480,-104,0,0,-31,0,0
29,480,-104,0,0,-31,0,0
30,480,-104,0,0,-31,0,0
31,480,-104,0,0,-31,0,0
32,480,-104,0,0,-31,0,0
33,480,-104,0,0,-31,0,0
34,480,-104,0,0,-31,0,0
35,221,-157,0,0,26,0,1
36,221,-157,0,0,26,0,1
37,221,-157,0,0,26,0,1
38,221,-157,0,0,26,0,1
39,221,-157,0,0,26,0,1
40,221,-157,0,0,26,0,1
41,221,-157,0,0,26,0,1
42,221,-157,0,0,26,0,1
43,221,-157,0,0,26,0,1
44,221,-157,0,0,26,0,1
45,221,-157,0,0,26,0,1
46,221,-157,0,0,26,0,1
47,221,-157,0,0,26,0,1
48,221,-157,0,0,26,0,1
49,221,-157,0,0,26,0,1
50,221,-157,0,0,26,0,1
51,221,-157,0,0,26,0,1
52,221,-157,0,0,26,0,1
53,221,-157,0,0,26,0,1
54,221,-157,0,0,26,0,1
55,221,-157,0,0,26,0,1
56,221,-157,0,0,26,0,1
57,221,-157,0,0,26,0,1
58,221,-157,0,0,26,0,1
59,221,-157,0,0,26,0,1
60,221,-157,0,0,26,0,1
61,221,-157,0,0,26,0,1
62,221,-157,0,0,26,0,1
63,221,-157,0,0,26,0,1
64,221,-157,0,0,26,0,1
65,221,-157,0,0,26,0,1
66,221,-157,0,0,26,0,1
67,221,-157,0,0,26,0,1
68,221,-157,0,0,26,0,1
69,221,-157,0,0,26,0,1
70,221,-157,0,0,26,0,1
71,221,-157,0,0,26,0,1
72,221,-157,0,0,26,0,1
73,221,-157,0,0,26,0,1
74,221,-157,0,0,26,0,1
75,221,-157,0,0,26,0,1
76,221,-157,0,0,26,0,1
77,221,-157,0,0,26,0,1
78,221,-157,0,0,26,0,1
79,221,-157,0,0,26,0,1
80,221,-157,0,0,26,0,1
81,221,-157,0,0,26,0,1
82,221,-157,0,0,26,0,1
83,221,-157,0,0,26,0,1
84,221,-157,0,0,26,0,1
85,221,-157,0,0,26,0,1
86,360,-201,0,0,-8,0,2
87,360,-201,0,0,-8,0,2
88,360,-201,0,0,-8,0,2
89,360,-201,0,0,-8,0,2
90,360,-201,0,0,-8,0,2
91,360,-201,0,0,-8,0,2
92,360,-201,0,0,-8,0,2
93,360,-201,0,0,-8,0,2
94,360,-201,0,0,-8,0,2
95,360,-201,0,0,-8,0,2
96,360,-201,0,0,-8,0,2
97,360,-201,0,0,-8,0,2
98,360,-201,0,0,-8,0,2
99,360,-201,0,0,-8,0,2
100,360,-201,0,0,-8,0,2
101,360,-201,0,0,-8,0,2
102,360,-201,0,0,-8,0,2
103,360,-201,0,0,-8,0,2
104,360,-201,0,0,-8,0,2
105,360,-201,0,0,-8,0,2
106,360,-201,0,0,-8,0,2
107,360,-201,0,0,-8,0,2
108,360,-201,0,0,-8,0,2
109,360,-201,0,0,-8,0,2
110,360,-201,0,0,-8,0,2
111,360,-201,0,0,-8,0,2
112,360,-201,0,0,-8,0,2
113,360,-201,0,0,-8,0,2
114,360,-201,0,0,-8,0,2
115,360,-201,0,0,-8,0,2
116,360,-201,0,0,-8,0,2
117,360,-201,0,0,-8,0,2
118,360,-201,0,0,-8,0,2
119,360,-201,0,0,-8,0,2
120,360,-201,0,0,-8,0,2
121,360,-201,0,0,-8,0,2
122,360,-201,0,0,-8,0,2
123,360,-201,0,0,-8,0,2
124,360,-201,0,0,-8,0,2
125,360,-201,0,0,-8,0,2
126,360,-201,0,0,-8,0,2
127,360,-201,0,0,-8,0,2
128,360,-201,0,0,-8,0,2
129,360,-201,0,0,-8,0,2
130,360,-201,0,0,-8,0,2
131,360,-201,0,0,-8,0,2
132,360,-201,0,0,-8,0,2
133,360,-201,0,0,-8,0,2
134,360,-201,0,0,-8,0,2
135,360,-201,0,0,-8,0,2
136,360,-201,0,0,-8,0,2
137,360,-201,0,0,-8,0,2
138,360,-201,0,0,-8,0,2
139,360,-201,0,0,-8,0,2
140,360,-201,0,0,-8,0,2
141,360,-201,0,0,-8,0,2
142,360,-201,0,0,-8,0,2
143,360,-201,0,0,-8,0,2
144,360,-201,0,0,-8,0,2
145,360,-201,0,0,-8,0,2
146,360,-201,0,0,-8,0,2
147,360,-201,0,0,-8,0,2
148,360,-201,0,0,-8,0,2
149,360,-201,0,0,-8,0,2
150,360,-201,0,0,-8,0,2
151,360,-201,0,0,-8,0,2
152,360,-201,0,0,-8,0,2
153,360,-201,0,0,-8,0,2
154,360,-201,0,0,-8,0,2
155,360,-201,0,0,-8,0,2
156,360,-201,0,0,-8,0,2
157,360,-201,0,0,-8,0,2
158,360,-201,0,0,-8,0,2
159,360,-201,0,0,-8,0,2
160,360,-201,0,0,-8,0,2
161,360,-201,0,0,-8,0,2
162,360,-201,0,0,-8,0,2
163,360,-201,0,0,-8,0,2
164,360,-201,0,0,-8,0,2
165,360,-201,0,0,-8,0,2
166,360,-201,0,0,-8,0,2
167,360,-201,0,0,-8,0,2
168,360,-201,0,0,-8,0,2
169,360,-201,0,0,-8,0,2
170,360,-201,0,0,-8,0,2
171,360,-201,0,0,-8,0,2
172,360,-201,0,0,-8,0,2
173,360,-201,0,0,-8,0,2
174,360,-201,0,0,-8,0,2
175,360,-201,0,0,-8,0,2
176,360,-201,0,0,-8,0,2
177,360,-201,0,0,-8,0,2
178,360,-201,0,0,-8,0,2
179,360,-201,0,0,-8,0,2
180,360,-201,0,0,-8,0,2
181,360,-201,0,0,-8,0,2
182,360,-201,0,0,-8,0,2
183,360,-201,0,0,-8,0,2
184,360,-201,0,0,-8,0,2
185,360,-201,0,0,-8,0,2
186,360,-201,0,0,-8,0,2
187,360,-201,0,0,-8,0,2
188,360,-201,0,0,-8,0,2
189,360,-201,0,0,-8,0,2
190,360,-201,0,0,-8,0,2
191,360,-201,0,0,-8,0,2
192,360,-201,0,0,-8,0,2
193,360,-201,0,0,-8,0,2
194,360,-201,0,0,-8,0,2
195,360,-201,0,0,-8,0,2
196,360,-201,0,0,-8,0,2
