t,x,y,fh,fv,r,s,frame:
0,231,-159,0,0,0,0,0
1,231,-159,0,0,0,0,0
2,231,-159,0,0,0,0,0
3,230,-160,0,0,0,0,0
4,229,-160,0,0,0,0,0
5,229,-161,0,0,0,0,0
6,229,-161,0,0,0,0,0
7,229,-161,0,0,0,0,0
8,229,-161,0,0,0,0,0
9,228,-162,0,0,0,0,0
10,228,-164,0,0,0,0,0
11,226,-166,0,0,0,0,0
12,225,-168,0,0,0,0,0
13,225,-169,0,0,0,0,0
14,225,-169,0,0,0,0,0
15,225,-169,0,0,0,0,0
16,225,-169,0,0,0,0,0
17,225,-169,0,0,0,0,0
18,225,-171,0,0,0,0,0
19,224,-172,0,0,0,0,0
20,224,-173,0,0,0,0,0
21,224,-173,0,0,0,0,0
22,224,-173,0,0,0,0,0
23,224,-173,0,0,0,0,0
24,224,-173,0,0,0,0,0
25,224,-173,0,0,0,0,0
26,224,-174,0,0,0,0,0
27,225,-176,0,0,0,0,0
28,226,-178,0,0,0,0,0
29,227,-180,0,0,0,0,0
30,230,-183,0,0,0,0,0
31,233,-186,0,0,0,0,0
32,235,-189,0,0,0,0,0
33,238,-192,0,0,0,0,0
34,242,-195,0,0,0,0,0
35,243,-196,0,0,0,0,0
36,243,-196,0,0,0,0,0
37,243,-196,0,0,0,0,0
38,243,-196,0,0,0,0,0
39,243,-196,0,0,0,0,0
40,243,-196,0,0,0,0,0
41,243,-196,0,0,0,0,0
42,243,-196,0,0,0,0,0
43,243,-196,0,0,0,0,0
44,244,-196,0,0,0,0,0
45,246,-196,0,0,0,0,0
46,247,-195,0,0,0,0,0
47,248,-195,0,0,0,0,0
48,249,-194,0,0,0,0,0
49,249,-193,0,0,0,0,0
50,250,-193,0,0,0,0,0
51,250,-192,0,0,0,0,0
52,251,-191,0,0,0,0,0
53,251,-190,0,0,0,0,0
54,252,-188,0,0,0,0,0
55,252,-187,0,0,0,0,0
56,252,-186,0,0,0,0,0
57,252,-186,0,0,0,0,0
58,252,-185,0,0,0,0,0
59,252,-184,0,0,0,0,0
60,252,-183,0,0,0,0,0
61,252,-182,0,0,0,0,0
62,252,-181,0,0,0,0,0
63,252,-179,0,0,0,0,0
64,252,-178,0,0,0,0,0
65,252,-177,0,0,0,0,0
66,252,-175,0,0,0,0,0
67,252,-175,0,0,0,0,0
68,252,-175,0,0,0,0,0
69,252,-174,0,0,0,0,0
70,252,-172,0,0,0,0,0
71,252,-171,0,0,0,0,0
72,252,-171,0,0,0,0,0
73,252,-170,0,0,0,0,0
74,252,-169,0,0,0,0,0
75,252,-168,0,0,0,0,0
76,252,-167,0,0,0,0,0
77,252,-165,0,0,0,0,0
78,252,-165,0,0,0,0,0
79,252,-164,0,0,0,0,0
80,252,-163,0,0,0,0,0
81,252,-162,0,0,0,0,0
82,252,-162,0,0,0,0,0
83,252,-161,0,0,0,0,0
84,252,-161,0,0,0,0,0
85,252,-161,0,0,0,0,0
86,252,-160,0,0,0,0,0
87,252,-159,0,0,0,0,0
88,252,-158,0,0,0,0,0
89,253,-157,0,0,0,0,0
90,254,-156,0,0,0,0,0
91,256,-156,0,0,0,0,0
92,257,-154,0,0,0,0,0
93,258,-154,0,0,0,0,0
94,258,-154,0,0,0,0,0
95,259,-154,0,0,0,0,0
96,259,-153,0,0,0,0,0
97,260,-152,0,0,0,0,0
98,263,-151,0,0,0,0,0
99,265,-150,0,0,0,0,0
100,266,-150,0,0,0,0,0
101,266,-150,0,0,0,0,0
102,267,-150,0,0,0,0,0
103,267,-150,0,0,0,0,0
104,268,-150,0,0,0,0,0
105,269,-150,0,0,0,0,0
106,269,-150,0,0,0,0,0
107,270,-150,0,0,0,0,0
108,270,-150,0,0,0,0,0
109,271,-151,0,0,0,0,0
110,272,-152,0,0,0,0,0
111,273,-154,0,0,0,0,0
112,273,-154,0,0,0,0,0
113,273,-155,0,0,0,0,0
114,274,-156,0,0,0,0,0
115,274,-157,0,0,0,0,0
116,274,-157,0,0,0,0,0
117,274,-157,0,0,0,0,0
118,274,-157,0,0,0,0,0
119,273,-158,0,0,0,0,0
120,272,-158,0,0,0,0,0
121,272,-158,0,0,0,0,0
122,271,-158,0,0,0,0,0
123,270,-159,0,0,0,0,0
124,269,-159,0,0,0,0,0
125,268,-159,0,0,0,0,0
126,267,-158,0,0,0,0,0
127,265,-158,0,0,0,0,0
128,263,-157,0,0,0,0,0
129,262,-156,0,0,0,0,0
130,262,-156,0,0,0,0,0
131,262,-156,0,0,0,0,0
132,261,-156,0,0,0,0,0
133,261,-156,0,0,0,0,0
134,261,-156,0,0,0,0,0
135,261,-156,0,0,0,0,0
136,261,-156,0,0,0,0,0
137,261,-155,0,0,0,0,0
138,261,-155,0,0,0,0,0
139,259,-155,0,0,0,0,0
140,259,-154,0,0,0,0,0
141,257,-153,0,0,0,0,0
142,256,-153,0,0,0,0,0
143,256,-153,0,0,0,0,0
144,256,-153,0,0,0,0,0
145,255,-153,0,0,0,0,0
146,255,-153,0,0,0,0,0
147,253,-153,0,0,0,0,0
148,253,-152,0,0,0,0,0
149,251,-152,0,0,0,0,0
150,250,-152,0,0,0,0,0
151,249,-152,0,0,0,0,0
152,249,-152,0,0,0,0,0
153,249,-152,0,0,0,0,0
154,249,-152,0,0,0,0,0
155,249,-152,0,0,0,0,0
156,248,-152,0,0,0,0,0
157,247,-154,0,0,0,0,0
158,246,-155,0,0,0,0,0
159,246,-158,0,0,0,0,0
160,246,-160,0,0,0,0,0
161,246,-161,0,0,0,0,0
162,246,-162,0,0,0,0,0
163,247,-164,0,0,0,0,0
164,248,-166,0,0,0,0,0
165,249,-166,0,0,0,0,0
166,249,-168,0,0,0,0,0
167,251,-168,0,0,0,0,0
168,252,-170,0,0,0,0,0
169,253,-170,0,0,0,0,0
170,254,-171,0,0,0,0,0
171,254,-171,0,0,0,0,0
172,255,-172,0,0,0,0,0
173,256,-172,0,0,0,0,0
174,257,-173,0,0,0,0,0
175,258,-173,0,0,0,0,0
176,258,-173,0,0,0,0,0
177,258,-173,0,0,0,0,0
178,258,-173,0,0,0,0,0
179,258,-173,0,0,0,0,0
180,258,-173,0,0,0,0,0
181,258,-173,0,0,0,0,0
182,258,-173,0,0,0,0,0
183,258,-174,0,0,0,0,0
184,258,-175,0,0,0,0,0
185,258,-175,0,0,0,0,0
186,258,-177,0,0,0,0,0
187,258,-177,0,0,0,0,0
188,258,-177,0,0,0,0,0
189,258,-178,0,0,0,0,0
190,258,-178,0,0,0,0,0
191,258,-178,0,0,0,0,0
192,257,-179,0,0,0,0,0
193,256,-179,0,0,0,0,0
194,256,-180,0,0,0,0,0
195,255,-180,0,0,0,0,0
196,254,-180,0,0,0,0,0
197,254,-180,0,0,0,0,0
198,254,-180,0,0,0,0,0
199,253,-180,0,0,0,0,0
200,251,-180,0,0,0,0,0
201,251,-180,0,0,0,0,0
202,249,-180,0,0,0,0,0
203,248,-180,0,0,0,0,0
204,247,-180,0,0,0,0,0
205,246,-180,0,0,0,0,0
206,245,-179,0,0,0,0,0
207,244,-179,0,0,0,0,0
208,243,-178,0,0,0,0,0
209,242,-177,0,0,0,0,0
210,241,-176,0,0,0,0,0
211,239,-174,0,0,0,0,0
212,238,-173,0,0,0,0,0
213,237,-171,0,0,0,0,0
214,236,-169,0,0,0,0,0
215,235,-167,0,0,0,0,0
216,235,-167,0,0,0,0,0
217,235,-166,0,0,0,0,0
218,235,-165,0,0,0,0,0
219,234,-164,0,0,0,0,0
220,234,-163,0,0,0,0,0
221,234,-162,0,0,0,0,0
222,234,-162,0,0,0,0,0
223,234,-162,0,0,0,0,0
224,233,-160,0,0,0,0,0
225,233,-159,0,0,0,0,0
226,232,-158,0,0,0,0,0
227,231,-156,0,0,0,0,0
228,231,-155,0,0,0,0,0
229,230,-154,0,0,0,0,0
230,229,-154,0,0,0,0,0
231,229,-153,0,0,0,0,0
232,228,-152,0,0,0,0,0
233,227,-151,0,0,0,0,0
234,226,-150,0,0,0,0,0
235,226,-149,0,0,0,0,0
236,225,-149,0,0,0,0,0
237,224,-148,0,0,0,0,0
238,223,-147,0,0,0,0,0
239,222,-146,0,0,0,0,0
240,221,-145,0,0,0,0,0
