t,x,y,fh,fv,r,s,frame:
0,704,173,0,0,0,0,1
1,704,173,0,0,0,0,1
2,704,173,0,0,0,0,1
3,704,173,0,0,0,0,1
4,704,173,0,0,0,0,1
5,704,173,0,0,0,0,1
6,704,173,0,0,0,0,1
7,704,173,0,0,0,0,1
8,704,173,0,0,0,0,1
9,704,173,0,0,0,0,1
10,704,173,0,0,0,0,1
11,704,173,0,0,0,0,1
12,704,173,0,0,0,0,1
13,704,173,0,0,0,0,1
14,704,173,0,0,0,0,1
15,704,173,0,0,0,0,1
16,704,173,0,0,0,0,1
17,704,173,0,0,0,0,1
18,704,173,0,0,0,0,1
19,704,173,0,0,0,0,1
20,704,173,0,0,0,0,1
21,704,173,0,0,0,0,1
22,704,173,0,0,0,0,1
23,704,173,0,0,0,0,1
24,704,173,0,0,0,0,1
25,704,173,0,0,0,0,1
26,704,173,0,0,0,0,1
27,704,173,0,0,0,0,1
28,704,173,0,0,0,0,1
29,704,173,0,0,0,0,1
30,704,173,0,0,0,0,1
31,704,173,0,0,0,0,1
32,704,173,0,0,0,0,1
33,704,173,0,0,0,0,1
34,704,173,0,0,0,0,1
35,704,173,0,0,0,0,1
36,704,173,0,0,0,0,1
37,704,173,0,0,0,0,1
38,704,173,0,0,0,0,1
39,704,173,0,0,0,0,1
40,704,173,0,0,0,0,1
41,704,173,0,0,0,0,1
42,704,173,0,0,0,0,1
43,704,173,0,0,0,0,1
44,704,173,0,0,0,0,1
45,707,173,0,0,0,0,1
46,710,172,0,0,0,0,1
47,712,172,0,0,0,0,1
48,713,171,0,0,0,0,1
49,714,171,0,0,0,0,1
50,714,171,0,0,0,0,1
51,714,171,0,0,0,0,1
52,714,171,0,0,0,0,1
53,714,171,0,0,0,0,1
54,715,171,0,0,0,0,1
55,716,171,0,0,0,0,1
56,717,170,0,0,0,0,1
57,718,170,0,0,0,0,1
58,719,170,0,0,0,0,1
59,719,170,0,0,0,0,1
60,719,170,0,0,0,0,1
61,719,170,0,0,0,0,1
62,719,170,0,0,0,0,1
63,719,170,0,0,0,0,1
64,720,170,0,0,0,0,1
65,721,170,0,0,0,0,1
66,721,170,0,0,0,0,1
67,722,170,0,0,0,0,1
68,722,170,0,0,0,0,1
69,723,170,0,0,0,0,1
70,723,170,0,0,0,0,1
71,723,170,0,0,0,0,1
72,723,170,0,0,0,0,1
73,723,170,0,0,0,0,1
74,723,170,0,0,0,0,1
75,723,170,0,0,0,0,1
76,724,170,0,0,0,0,1
77,725,170,0,0,0,0,1
78,725,170,0,0,0,0,1
79,725,170,0,0,0,0,1
80,725,170,0,0,0,0,1
81,726,170,0,0,0,0,1
82,726,170,0,0,0,0,1
83,726,170,0,0,0,0,1
84,726,170,0,0,0,0,1
85,727,170,0,0,0,0,1
86,727,170,0,0,0,0,1
87,727,170,0,0,0,0,1
88,727,170,0,0,0,0,1
89,728,169,0,0,0,0,1
90,728,169,0,0,0,0,1
91,728,169,0,0,0,0,1
92,728,169,0,0,0,0,1
93,728,169,0,0,0,0,1
94,728,168,0,0,0,0,1
95,728,168,0,0,0,0,1
96,728,168,0,0,0,0,1
97,728,168,0,0,0,0,1
98,728,167,0,0,0,0,1
99,728,167,0,0,0,0,1
100,728,167,0,0,0,0,1
101,728,166,0,0,0,0,1
102,728,166,0,0,0,0,1
103,728,166,0,0,0,0,1
104,728,166,0,0,0,0,1
105,728,166,0,0,0,0,1
106,728,166,0,0,0,0,1
107,728,166,0,0,0,0,1
108,728,166,0,0,0,0,1
109,728,166,0,0,0,0,1
110,729,166,0,0,0,0,1
111,729,166,0,0,0,0,1
112,729,166,0,0,0,0,1
113,729,166,0,0,0,0,1
114,730,166,0,0,0,0,1
115,730,166,0,0,0,0,1
116,730,166,0,0,0,0,1
117,730,166,0,0,0,0,1
118,731,167,0,0,0,0,1
119,731,167,0,0,0,0,1
120,731,167,0,0,0,0,1
121,731,167,0,0,0,0,1
122,731,167,0,0,0,0,1
123,731,167,0,0,0,0,1
124,731,167,0,0,0,0,1
125,731,167,0,0,0,0,1
126,731,167,0,0,0,0,1
127,732,167,0,0,0,0,1
128,732,167,0,0,0,0,1
129,732,167,0,0,0,0,1
