t,x,y,fh,fv,r,s,frame:
0,-313,189,0,0,80,0,0
1,-313,189,0,0,80,0,0
2,-313,189,0,0,80,0,0
3,-313,189,0,0,80,0,0
4,-313,189,0,0,80,0,0
5,-313,189,0,0,80,0,0
6,-312,188,0,0,80,0,0
7,-309,183,0,0,80,0,0
8,-306,178,0,0,79,0,0
9,-301,170,0,0,78,0,0
10,-294,159,0,0,77,0,0
11,-288,151,0,0,76,0,0
12,-281,142,0,0,75,0,0
13,-275,134,0,0,74,0,0
14,-266,121,0,0,73,0,0
15,-260,114,0,0,72,0,0
16,-249,102,0,0,71,0,0
17,-242,94,0,0,70,0,0
18,-235,88,0,0,69,0,0
19,-229,83,0,0,68,0,0
20,-220,75,0,0,67,0,0
21,-213,70,0,0,66,0,0
22,-207,65,0,0,65,0,0
23,-199,59,0,0,64,0,0
24,-192,55,0,0,63,0,0
25,-184,52,0,0,62,0,0
26,-178,47,0,0,61,0,0
27,-175,46,0,0,60,0,0
28,-163,41,0,0,59,0,0
29,-155,37,0,0,58,0,0
30,-149,35,0,0,57,0,0
31,-140,32,0,0,56,0,0
32,-129,29,0,0,55,0,0
33,-119,25,0,0,54,0,0
34,-106,22,0,0,53,0,0
35,-98,20,0,0,52,0,0
36,-86,16,0,0,51,0,0
37,-74,14,0,0,50,0,0
38,-56,10,0,0,49,0,0
39,-43,9,0,0,48,0,0
40,-30,6,0,0,47,0,0
41,-16,5,0,0,46,0,0
42,-5,4,0,0,45,0,0
43,12,1,0,0,44,0,0
44,26,0,0,0,43,0,0
45,37,0,0,0,42,0,0
46,49,0,0,0,41,0,0
47,65,-2,0,0,40,0,0
48,78,-2,0,0,39,0,0
49,90,-2,0,0,38,0,0
50,103,-2,0,0,37,0,0
51,114,-2,0,0,36,0,0
52,125,1,0,0,35,0,0
53,135,2,0,0,34,0,0
54,149,3,0,0,33,0,0
55,158,5,0,0,32,0,0
56,167,6,0,0,31,0,0
57,177,9,0,0,30,0,0
58,184,10,0,0,29,0,0
59,191,13,0,0,28,0,0
60,199,15,0,0,27,0,0
61,209,17,0,0,26,0,0
62,221,20,0,0,25,0,0
63,226,23,0,0,24,0,0
64,234,25,0,0,23,0,0
65,243,29,0,0,22,0,0
66,251,32,0,0,21,0,0
67,256,34,0,0,20,0,0
68,264,38,0,0,19,0,0
69,269,42,0,0,18,0,0
70,275,45,0,0,17,0,0
71,282,48,0,0,16,0,0
72,292,51,0,0,15,0,0
73,298,54,0,0,14,0,0
74,306,58,0,0,13,0,0
75,312,61,0,0,12,0,0
76,316,65,0,0,11,0,0
77,322,68,0,0,10,0,0
78,327,71,0,0,9,0,0
79,328,72,0,0,8,0,0
80,336,79,0,0,7,0,0
81,341,83,0,0,6,0,0
82,344,84,0,0,5,0,0
83,345,85,0,0,4,0,0
84,345,85,0,0,3,0,0
85,345,85,0,0,2,0,0
86,345,85,0,0,1,0,0
87,347,88,0,0,0,0,0
88,348,90,0,0,-1,0,0
89,350,91,0,0,-2,0,0
90,351,92,0,0,-3,0,0
91,351,92,0,0,-4,0,0
92,351,92,0,0,-5,0,0
93,351,92,0,0,-5,0,0
94,351,92,0,0,-5,0,0
95,354,96,0,0,-5,0,0
96,355,99,0,0,-5,0,0
97,356,100,0,0,-5,0,0
98,357,101,0,0,-5,0,0
99,357,101,0,0,-5,0,0
100,357,101,0,0,-5,0,0
101,357,101,0,0,-5,0,0
102,358,102,0,0,-5,0,0
103,359,103,0,0,-5,0,0
104,361,105,0,0,-5,0,0
105,362,105,0,0,-5,0,0
106,362,105,0,0,-5,0,0
107,362,105,0,0,-5,0,0
108,362,105,0,0,-5,0,0
109,362,105,0,0,-5,0,0
110,363,106,0,0,-5,0,0
111,363,106,0,0,-5,0,0
112,363,106,0,0,-5,0,0
113,363,106,0,0,-5,0,0
114,363,106,0,0,-5,0,0
115,363,106,0,0,-5,0,0
116,363,106,0,0,-5,0,0
