t,x,y,fh,fv,r,s,frame:
0,-16,43,0,0,18,0,0
1,-16,43,0,0,18,0,0
2,-16,43,0,0,18,0,0
3,-18,41,0,0,18,0,0
4,-22,37,0,0,18,0,0
5,-25,34,0,0,18,0,0
6,-25,32,0,0,18,0,0
7,-26,28,0,0,18,0,0
8,-26,22,0,0,18,0,0
9,-25,20,0,0,18,0,0
10,-24,19,0,0,18,0,0
11,-23,19,0,0,18,0,0
12,-20,19,0,0,18,0,0
13,-12,24,0,0,18,0,0
14,-5,30,0,0,18,0,0
15,3,41,0,0,18,0,0
16,7,47,0,0,18,0,0
17,8,52,0,0,18,0,0
18,8,56,0,0,18,0,0
19,7,58,0,0,18,0,0
20,4,60,0,0,18,0,0
21,0,61,0,0,18,0,0
22,-6,62,0,0,18,0,0
23,-14,61,0,0,18,0,0
24,-22,57,0,0,18,0,0
25,-28,52,0,0,18,0,0
26,-32,47,0,0,18,0,0
27,-33,42,0,0,18,0,0
28,-32,36,0,0,18,0,0
29,-29,34,0,0,18,0,0
30,-24,34,0,0,18,0,0
31,-18,37,0,0,18,0,0
32,-11,43,0,0,18,0,0
33,-4,53,0,0,18,0,0
34,1,62,0,0,18,0,0
35,2,72,0,0,18,0,0
36,3,81,0,0,18,0,0
37,2,87,0,0,18,0,0
38,1,89,0,0,18,0,0
39,-4,90,0,0,18,0,0
40,-10,90,0,0,18,0,0
41,-17,86,0,0,18,0,0
42,-24,79,0,0,18,0,0
43,-29,72,0,0,18,0,0
44,-31,65,0,0,18,0,0
45,-29,54,0,0,18,0,0
46,-21,51,0,0,18,0,0
47,-17,51,0,0,18,0,0
48,-3,54,0,0,18,0,0
49,9,62,0,0,18,0,0
50,20,72,0,0,18,0,0
51,30,90,0,0,18,0,0
52,31,102,0,0,18,0,0
53,31,108,0,0,18,0,0
54,26,117,0,0,18,0,0
55,19,123,0,0,18,0,0
56,8,128,0,0,18,0,0
57,-9,128,0,0,18,0,0
58,-25,121,0,0,18,0,0
59,-40,113,0,0,18,0,0
60,-50,103,0,0,18,0,0
61,-54,93,0,0,18,0,0
62,-54,80,0,0,18,0,0
63,-54,72,0,0,18,0,0
64,-53,65,0,0,18,0,0
65,-51,61,0,0,18,0,0
66,-40,60,0,0,18,0,0
67,-22,60,0,0,18,0,0
68,-10,62,0,0,18,0,0
69,16,68,0,0,18,0,0
70,47,81,0,0,18,0,0
71,56,89,0,0,18,0,0
72,56,95,0,0,18,0,0
73,55,100,0,0,18,0,0
74,51,103,0,0,18,0,0
75,42,104,0,0,18,0,0
76,30,104,0,0,18,0,0
77,-2,93,0,0,18,0,0
78,-23,83,0,0,18,0,0
79,-32,75,0,0,18,0,0
80,-36,65,0,0,18,0,0
81,-36,60,0,0,18,0,0
82,-34,55,0,0,18,0,0
83,-29,53,0,0,18,0,0
84,-22,51,0,0,18,0,0
85,1,51,0,0,18,0,0
86,14,54,0,0,18,0,0
87,25,61,0,0,18,0,0
88,27,65,0,0,18,0,0
89,27,72,0,0,18,0,0
90,24,78,0,0,18,0,0
91,19,81,0,0,18,0,0
92,10,83,0,0,18,0,0
93,0,82,0,0,18,0,0
94,-9,80,0,0,18,0,0
95,-16,76,0,0,18,0,0
96,-21,69,0,0,18,0,0
97,-24,62,0,0,18,0,0
98,-24,51,0,0,18,0,0
99,-21,46,0,0,18,0,0
100,-19,45,0,0,18,0,0
101,-13,44,0,0,18,0,0
102,-6,47,0,0,18,0,0
103,3,54,0,0,18,0,0
104,15,65,0,0,18,0,0
105,19,72,0,0,18,0,0
106,19,78,0,0,18,0,0
107,16,84,0,0,18,0,0
108,11,86,0,0,18,0,0
109,2,88,0,0,18,0,0
110,-10,88,0,0,18,0,0
111,-20,83,0,0,18,0,0
112,-23,80,0,0,18,0,0
113,-25,73,0,0,18,0,0
114,-25,67,0,0,18,0,0
115,-24,61,0,0,18,0,0
116,-20,56,0,0,18,0,0
117,-15,55,0,0,18,0,0
118,-9,55,0,0,18,0,0
119,3,63,0,0,18,0,0
120,12,72,0,0,18,0,0
121,16,79,0,0,18,0,0
122,17,86,0,0,18,0,0
123,15,92,0,0,18,0,0
124,5,98,0,0,18,0,0
125,-1,101,0,0,18,0,0
126,-8,101,0,0,18,0,0
127,-13,99,0,0,18,0,0
128,-16,97,0,0,18,0,0
129,-18,91,0,0,18,0,0
130,-18,85,0,0,18,0,0
131,-18,79,0,0,18,0,0
132,-15,75,0,0,18,0,0
133,-9,73,0,0,18,0,0
134,0,73,0,0,18,0,0
135,13,79,0,0,18,0,0
136,22,87,0,0,18,0,0
137,30,97,0,0,18,0,0
138,31,106,0,0,18,0,0
139,29,113,0,0,18,0,0
140,23,120,0,0,18,0,0
141,11,125,0,0,18,0,0
142,2,126,0,0,18,0,0
143,-2,126,0,0,18,0,0
144,-6,122,0,0,18,0,0
145,-9,118,0,0,18,0,0
146,-12,112,0,0,18,0,0
147,-13,108,0,0,18,0,0
148,-13,102,0,0,18,0,0
149,-10,98,0,0,18,0,0
150,-6,98,0,0,18,0,0
151,3,98,0,0,18,0,0
152,12,102,0,0,18,0,0
153,22,108,0,0,18,0,0
154,25,112,0,0,18,0,0
155,26,117,0,0,18,0,0
156,25,123,0,0,18,0,0
157,23,125,0,0,18,0,0
158,21,126,0,0,18,0,0
159,18,125,0,0,18,0,0
160,12,121,0,0,18,0,0
161,5,115,0,0,18,0,0
162,-1,107,0,0,18,0,0
163,-6,100,0,0,18,0,0
164,-7,95,0,0,18,0,0
165,-6,91,0,0,18,0,0
166,-3,89,0,0,18,0,0
167,3,89,0,0,18,0,0
168,12,92,0,0,18,0,0
169,24,101,0,0,18,0,0
170,31,107,0,0,18,0,0
171,34,113,0,0,18,0,0
172,35,118,0,0,18,0,0
173,32,126,0,0,18,0,0
174,23,130,0,0,18,0,0
175,20,131,0,0,18,0,0
176,7,129,0,0,18,0,0
177,0,125,0,0,18,0,0
178,-9,118,0,0,18,0,0
179,-17,110,0,0,18,0,0
180,-22,101,0,0,18,0,0
