t,x,y,fh,fv,r,s,frame:
0,-25,35,1,0,0,0,0
1,-25,35,1,0,0,0,0
2,-25,35,1,0,0,0,0
3,-25,35,1,0,0,0,0
4,-25,35,1,0,0,0,0
5,-25,35,1,0,0,0,0
6,-25,35,1,0,0,0,0
7,-28,35,1,0,0,0,0
8,-31,35,1,0,0,0,0
9,-34,35,1,0,0,0,0
10,-35,36,1,0,0,0,0
11,-37,36,1,0,0,0,0
12,-38,36,1,0,0,0,0
13,-40,36,1,0,0,0,0
14,-41,37,1,0,0,0,0
15,-42,37,1,0,0,0,0
16,-43,37,1,0,0,0,0
17,-45,37,1,0,0,0,0
18,-46,37,1,0,0,0,0
19,-47,37,1,0,0,0,0
20,-48,37,1,0,0,0,0
21,-51,37,1,0,0,0,0
22,-54,36,1,0,0,0,0
23,-58,35,1,0,0,0,0
24,-63,34,1,0,0,0,0
25,-63,34,1,0,0,0,0
26,-64,34,1,0,0,0,0
27,-64,34,1,0,0,0,0
28,-64,34,1,0,0,0,0
29,-64,34,1,0,0,0,0
30,-64,34,1,0,0,0,0
31,-67,33,1,0,0,0,0
32,-70,32,1,0,0,0,0
33,-72,31,1,0,0,0,0
34,-73,31,1,0,0,0,0
35,-73,31,1,0,0,0,0
36,-73,30,1,0,0,0,0
37,-73,30,1,0,0,0,0
38,-73,30,1,0,0,0,0
39,-73,30,1,0,0,0,0
40,-73,30,1,0,0,0,0
41,-74,30,1,0,0,0,0
42,-74,29,1,0,0,0,0
43,-74,29,1,0,0,0,0
44,-75,28,1,0,0,0,0
45,-75,27,1,0,0,0,0
46,-75,27,1,0,0,0,0
47,-75,26,1,0,0,0,0
48,-75,26,1,0,0,0,0
49,-75,25,1,0,0,0,0
50,-75,25,1,0,0,0,0
51,-75,24,1,0,0,0,0
52,-75,23,1,0,0,0,0
53,-75,22,1,0,0,0,0
54,-75,21,1,0,0,0,0
55,-75,19,1,0,0,0,0
56,-75,18,1,0,0,0,0
57,-75,17,1,0,0,0,0
58,-75,17,1,0,0,0,0
59,-75,16,1,0,0,0,0
60,-75,15,1,0,0,0,0
61,-75,13,1,0,0,0,0
62,-74,12,1,0,0,0,0
63,-73,11,1,0,0,0,0
64,-70,9,1,0,0,0,0
65,-67,7,1,0,0,0,0
66,-64,6,1,0,0,0,0
67,-62,6,1,0,0,0,0
68,-61,6,1,0,0,0,0
69,-60,6,1,0,0,0,0
70,-60,6,1,0,0,0,0
71,-59,6,1,0,0,0,0
72,-59,7,1,0,0,0,0
73,-57,9,1,0,0,0,0
74,-55,10,1,0,0,0,0
75,-53,13,1,0,0,0,0
76,-51,14,1,0,0,0,0
77,-50,16,1,0,0,0,0
78,-49,17,1,0,0,0,0
79,-47,19,1,0,0,0,0
80,-46,20,1,0,0,0,0
81,-45,21,1,0,0,0,0
82,-44,21,1,0,0,0,0
83,-44,22,1,0,0,0,0
84,-42,23,1,0,0,0,0
85,-42,23,1,0,0,0,0
86,-42,23,1,0,0,0,0
87,-40,23,1,0,0,0,0
88,-40,23,1,0,0,0,0
89,-20,25,1,0,0,0,0
90,-9,25,1,0,0,0,0
91,-4,25,1,0,0,0,0
92,-2,25,1,0,0,0,0
93,-2,25,1,0,0,0,0
94,-2,25,1,0,0,0,0
95,-2,25,1,0,0,0,0
96,-1,24,1,0,0,0,0
97,0,23,1,0,0,0,0
98,0,22,1,0,0,0,0
99,1,22,1,0,0,0,0
100,2,21,1,0,0,0,0
101,2,19,1,0,0,0,0
102,3,18,1,0,0,0,0
103,3,18,1,0,0,0,0
104,3,17,1,0,0,0,0
105,3,16,1,0,0,0,0
106,3,15,1,0,0,0,0
107,3,14,1,0,0,0,0
108,3,12,1,0,0,0,0
109,2,11,1,0,0,0,0
110,1,10,1,0,0,0,0
111,0,9,1,0,0,0,0
112,0,9,1,0,0,0,0
113,-1,8,1,0,0,0,0
114,-2,7,1,0,0,0,0
115,-3,7,1,0,0,0,0
116,-4,7,1,0,0,0,0
117,-5,7,1,0,0,0,0
118,-5,7,1,0,0,0,0
119,-6,7,1,0,0,0,0
120,-7,7,1,0,0,0,0
121,-9,7,1,0,0,0,0
122,-11,7,1,0,0,0,0
123,-12,8,1,0,0,0,0
124,-12,8,1,0,0,0,0
125,-13,8,1,0,0,0,0
126,-13,9,1,0,0,0,0
127,-13,10,1,0,0,0,0
128,-14,11,1,0,0,0,0
129,-14,12,1,0,0,0,0
130,-14,13,1,0,0,0,0
131,-14,13,1,0,0,0,0
132,-14,14,1,0,0,0,0
133,-15,14,1,0,0,0,0
134,-15,15,1,0,0,0,0
135,-15,16,1,0,0,0,0
136,-15,18,1,0,0,0,0
137,-15,18,1,0,0,0,0
138,-16,19,1,0,0,0,0
139,-16,19,1,0,0,0,0
140,-16,19,1,0,0,0,0
141,-16,19,1,0,0,0,0
142,-16,19,1,0,0,0,0
143,-16,20,1,0,0,0,0
144,-17,22,1,0,0,0,0
145,-17,22,1,0,0,0,0
146,-17,22,1,0,0,0,0
147,-17,22,1,0,0,0,0
148,-17,23,1,0,0,0,0
149,-17,23,1,0,0,0,0
150,-17,24,1,0,0,0,0
151,-18,25,1,0,0,0,0
152,-18,26,1,0,0,0,0
153,-18,26,1,0,0,0,0
154,-18,26,1,0,0,0,0
155,-19,27,1,0,0,0,0
156,-19,28,1,0,0,0,0
157,-20,28,1,0,0,0,0
158,-20,28,1,0,0,0,0
159,-20,29,1,0,0,0,0
160,-20,29,1,0,0,0,0
161,-20,30,1,0,0,0,0
162,-20,30,1,0,0,0,0
163,-20,30,1,0,0,0,0
164,-20,30,1,0,0,0,0
165,-20,30,1,0,0,0,0
166,-20,30,1,0,0,0,0
167,-21,31,1,0,0,0,0
168,-22,31,1,0,0,0,0
169,-22,31,1,0,0,0,0
170,-22,31,1,0,0,0,0
171,-22,31,1,0,0,0,0
172,-22,31,1,0,0,0,0
173,-22,31,1,0,0,0,0
174,-22,31,1,0,0,0,0
175,-22,31,1,0,0,0,0
176,-23,31,1,0,0,0,0
177,-23,31,1,0,0,0,0
178,-23,31,1,0,0,0,0
179,-23,31,1,0,0,0,0
180,-23,31,1,0,0,0,0
181,-23,31,1,0,0,0,0
182,-23,31,1,0,0,0,0
183,-24,31,1,0,0,0,0
184,-24,31,1,0,0,0,0
185,-24,31,1,0,0,0,0
186,-24,31,1,0,0,0,0
187,-24,31,1,0,0,0,0
188,-24,31,1,0,0,0,0
189,-25,31,1,0,0,0,0
190,-25,31,1,0,0,0,0
191,-25,31,1,0,0,0,0
192,-25,31,1,0,0,0,0
193,-25,31,1,0,0,0,0
194,-25,31,1,0,0,0,0
195,-25,31,1,0,0,0,0
196,-25,31,1,0,0,0,0
197,-25,31,1,0,0,0,0
198,-25,32,1,0,0,0,0
199,-25,33,1,0,0,0,0
200,-25,33,1,0,0,0,0
201,-25,33,1,0,0,0,0
202,-25,33,1,0,0,0,0
203,-25,33,1,0,0,0,0
204,-25,33,1,0,0,0,0
205,-25,33,1,0,0,0,0
206,-25,33,1,0,0,0,0
207,-25,33,1,0,0,0,0
208,-25,33,1,0,0,0,0
209,-25,33,1,0,0,0,0
210,-25,33,1,0,0,0,0
211,-25,33,1,0,0,0,0
212,-25,33,1,0,0,0,0
213,-25,33,1,0,0,0,0
214,-25,33,1,0,0,0,0
215,-25,33,1,0,0,0,0
