t,x,y,fh,fv,r,s,frame:
0,139,-188,0,0,0,0,0
1,139,-188,0,0,0,0,0
2,139,-188,0,0,0,0,0
3,139,-188,0,0,0,0,0
4,139,-188,0,0,0,0,0
5,139,-188,0,0,0,0,0
6,139,-188,0,0,0,0,0
7,139,-188,0,0,0,0,0
8,139,-188,0,0,0,0,0
9,139,-188,0,0,0,0,0
10,139,-188,0,0,0,0,0
11,136,-186,0,0,0,0,0
12,133,-185,0,0,0,0,0
13,131,-183,0,0,0,0,0
14,129,-182,0,0,0,0,0
15,128,-182,0,0,0,0,0
16,127,-181,0,0,0,0,0
17,127,-181,0,0,0,0,0
18,127,-180,0,0,0,0,0
19,124,-179,0,0,0,0,0
20,121,-177,0,0,0,0,0
21,119,-176,0,0,0,0,0
22,117,-176,0,0,0,0,0
23,117,-176,0,0,0,0,0
24,117,-176,0,0,0,0,0
25,117,-176,0,0,0,0,0
26,117,-176,0,0,0,0,0
27,117,-176,0,0,0,0,0
28,117,-176,0,0,0,0,0
29,116,-175,0,0,0,0,0
30,112,-175,0,0,0,0,0
31,110,-175,0,0,0,0,0
32,108,-175,0,0,0,0,0
33,107,-175,0,0,0,0,0
34,107,-175,0,0,0,0,0
35,107,-175,0,0,0,0,0
36,107,-175,0,0,0,0,0
37,107,-175,0,0,0,0,0
38,106,-175,0,0,0,0,0
39,102,-175,0,0,0,0,0
40,99,-175,0,0,0,0,0
41,95,-176,0,0,0,0,0
42,94,-176,0,0,0,0,0
43,93,-176,0,0,0,0,0
44,93,-176,0,0,0,0,0
45,92,-176,0,0,0,0,0
46,92,-176,0,0,0,0,0
47,92,-176,0,0,0,0,0
48,92,-176,0,0,0,0,0
49,89,-177,0,0,0,0,0
50,86,-178,0,0,0,0,0
51,83,-178,0,0,0,0,0
52,81,-178,0,0,0,0,0
53,80,-178,0,0,0,0,0
54,79,-179,0,0,0,0,0
55,78,-179,0,0,0,0,0
56,78,-179,0,0,0,0,0
57,78,-179,0,0,0,0,0
58,78,-179,0,0,0,0,0
59,78,-179,0,0,0,0,0
60,77,-179,0,0,0,0,0
61,75,-180,0,0,0,0,0
62,73,-182,0,0,0,0,0
63,72,-182,0,0,0,0,0
64,71,-183,0,0,0,0,0
65,71,-183,0,0,0,0,0
66,70,-184,0,0,0,0,0
67,70,-184,0,0,0,0,0
68,69,-184,0,0,0,0,0
69,69,-185,0,0,0,0,0
70,68,-186,0,0,0,0,0
71,67,-187,0,0,0,0,0
72,67,-187,0,0,0,0,0
73,67,-187,0,0,0,0,0
74,67,-187,0,0,0,0,0
75,67,-187,0,0,0,0,0
76,67,-189,0,0,0,0,0
77,66,-190,0,0,0,0,0
78,66,-192,0,0,0,0,0
79,66,-195,0,0,0,0,0
80,66,-197,0,0,0,0,0
81,67,-200,0,0,0,0,0
82,67,-201,0,0,0,0,0
83,68,-201,0,0,0,0,0
84,68,-201,0,0,0,0,0
85,68,-201,0,0,0,0,0
86,69,-202,0,0,0,0,0
87,69,-202,0,0,0,0,0
88,69,-202,0,0,0,0,0
89,71,-203,0,0,0,0,0
90,72,-203,0,0,0,0,0
91,74,-203,0,0,0,0,0
92,75,-203,0,0,0,0,0
93,78,-203,0,0,0,0,0
94,81,-203,0,0,0,0,0
