t,x,y,fh,fv,r,s,frame:
0,-400,41,0,0,0,-33,0
1,-400,41,0,0,0,-33,0
2,-400,41,0,0,0,-33,0
3,-400,41,0,0,0,-33,0
4,-400,41,0,0,0,-33,0
5,-400,41,0,0,0,-33,0
6,-400,41,0,0,0,-33,0
7,-400,41,0,0,0,-33,0
8,-400,41,0,0,0,-33,0
9,-400,41,0,0,0,-33,0
10,-400,41,0,0,0,-33,0
11,-399,41,0,0,0,-33,0
12,-397,40,0,0,0,-33,0
13,-394,38,0,0,0,-33,0
14,-389,37,0,0,0,-33,0
15,-381,34,0,0,0,-33,0
16,-376,33,0,0,0,-33,0
17,-373,32,0,0,0,-33,0
18,-373,32,0,0,0,-33,0
19,-373,32,0,0,0,-33,0
20,-368,32,0,0,0,-33,0
21,-360,32,0,0,0,-33,0
22,-348,32,0,0,0,-33,0
23,-341,33,0,0,0,-33,0
24,-335,35,0,0,-1,-33,0
25,-332,36,0,0,-2,-33,0
26,-331,37,0,0,-3,-33,0
27,-330,38,0,0,-4,-33,0
28,-327,41,0,0,-5,-33,0
29,-322,46,0,0,-6,-33,0
30,-319,50,0,0,-7,-33,0
31,-318,51,0,0,-8,-33,0
32,-318,53,0,0,-9,-33,0
33,-317,55,0,0,-10,-33,0
34,-316,58,0,0,-11,-33,0
35,-315,62,0,0,-12,-33,0
36,-315,62,0,0,-13,-33,0
37,-315,63,0,0,-14,-33,0
38,-315,63,0,0,-15,-33,0
39,-315,63,0,0,-16,-33,0
40,-315,63,0,0,-16,-33,0
41,-315,63,0,0,-16,-33,0
42,-315,63,0,0,-16,-33,0
43,-315,63,0,0,-16,-33,0
44,-315,63,0,0,-16,-33,0
45,-315,63,0,0,-16,-33,0
46,-315,63,0,0,-16,-33,0
47,-315,63,0,0,-16,-33,0
48,-315,63,0,0,-16,-33,0
49,-315,63,0,0,-16,-33,0
50,-315,63,0,0,-16,-33,0
51,-315,63,0,0,-16,-33,0
52,-315,63,0,0,-16,-33,0
53,-313,61,0,0,-16,-33,0
54,-310,57,0,0,-16,-33,0
55,-304,52,0,0,-16,-33,0
56,-297,48,0,0,-16,-33,0
57,-290,43,0,0,-16,-33,0
58,-282,40,0,0,-16,-33,0
59,-276,36,0,0,-16,-33,0
60,-270,35,0,0,-16,-33,0
61,-266,33,0,0,-16,-33,0
62,-263,33,0,0,-16,-33,0
63,-259,32,0,0,-16,-33,0
64,-251,31,0,0,-16,-33,0
65,-247,31,0,0,-16,-33,0
66,-242,31,0,0,-16,-33,0
67,-236,31,0,0,-16,-33,0
