t,x,y,fh,fv,r,s,frame:
0,-200,182,0,0,38,0,0
1,-204,182,0,0,38,0,0
2,-211,182,0,0,38,0,0
3,-216,182,0,0,38,0,0
4,-220,181,0,0,38,0,0
5,-223,179,0,0,38,0,0
6,-227,178,0,0,38,0,0
7,-232,173,0,0,38,0,0
8,-240,167,0,0,38,0,0
9,-251,161,0,0,38,0,0
10,-270,152,0,0,38,0,0
11,-282,146,0,0,38,0,0
12,-292,142,0,0,38,0,0
13,-296,140,0,0,38,0,0
14,-296,140,0,0,38,0,0
15,-296,140,0,0,38,0,0
16,-297,134,0,0,38,0,0
17,-299,130,0,0,38,0,0
18,-300,124,0,0,38,0,0
19,-302,119,0,0,38,0,0
20,-303,115,0,0,38,0,0
21,-303,112,0,0,38,0,0
22,-303,110,0,0,38,0,0
23,-303,108,0,0,38,0,0
24,-304,107,0,0,38,0,0
25,-304,106,0,0,38,0,0
26,-304,103,0,0,38,0,0
27,-303,100,0,0,38,0,0
28,-302,98,0,0,38,0,0
29,-300,95,0,0,38,0,0
30,-297,91,0,0,38,0,0
31,-293,88,0,0,38,0,0
32,-288,84,0,0,38,0,0
33,-283,81,0,0,38,0,0
34,-275,78,0,0,38,0,0
35,-272,78,0,0,38,0,0
36,-264,76,0,0,38,0,0
37,-261,75,0,0,38,0,0
38,-259,75,0,0,38,0,0
39,-256,74,0,0,38,0,0
40,-252,73,0,0,38,0,0
41,-248,72,0,0,38,0,0
42,-244,72,0,0,38,0,0
43,-239,71,0,0,38,0,0
44,-235,70,0,0,38,0,0
45,-232,69,0,0,38,0,0
46,-227,68,0,0,38,0,0
47,-221,66,0,0,38,0,0
48,-216,64,0,0,38,0,0
49,-210,60,0,0,38,0,0
50,-207,58,0,0,38,0,0
51,-205,56,0,0,38,0,0
52,-201,53,0,0,38,0,0
53,-198,49,0,0,38,0,0
54,-194,46,0,0,38,0,0
55,-190,43,0,0,38,0,0
56,-186,40,0,0,38,0,0
57,-182,38,0,0,38,0,0
58,-178,36,0,0,38,0,0
59,-175,35,0,0,38,0,0
60,-171,33,0,0,38,0,0
61,-167,31,0,0,38,0,0
62,-164,31,0,0,38,0,0
63,-159,30,0,0,38,0,0
64,-153,29,0,0,38,0,0
65,-146,29,0,0,38,0,0
66,-140,29,0,0,38,0,0
67,-137,29,0,0,38,0,0
68,-135,29,0,0,38,0,0
69,-133,29,0,0,38,0,0
70,-132,29,0,0,38,0,0
71,-128,30,0,0,38,0,0
72,-124,31,0,0,38,0,0
73,-119,32,0,0,38,0,0
74,-114,34,0,0,38,0,0
75,-111,35,0,0,38,0,0
76,-109,36,0,0,38,0,0
77,-108,37,0,0,38,0,0
78,-107,37,0,0,38,0,0
79,-106,38,0,0,38,0,0
80,-105,39,0,0,38,0,0
81,-104,41,0,0,38,0,0
82,-102,42,0,0,38,0,0
83,-100,44,0,0,38,0,0
84,-98,47,0,0,38,0,0
85,-93,52,0,0,38,0,0
86,-91,54,0,0,38,0,0
87,-90,55,0,0,38,0,0
88,-88,57,0,0,38,0,0
89,-86,59,0,0,38,0,0
90,-85,61,0,0,38,0,0
91,-83,64,0,0,38,0,0
92,-82,66,0,0,38,0,0
93,-81,72,0,0,38,0,0
94,-81,74,0,0,38,0,0
95,-81,79,0,0,38,0,0
96,-80,83,0,0,38,0,0
97,-80,86,0,0,38,0,0
98,-80,88,0,0,38,0,0
99,-80,92,0,0,38,0,0
100,-79,95,0,0,38,0,0
101,-79,98,0,0,38,0,0
102,-79,101,0,0,38,0,0
103,-78,104,0,0,38,0,0
104,-77,107,0,0,38,0,0
105,-76,109,0,0,38,0,0
106,-75,112,0,0,38,0,0
107,-73,114,0,0,38,0,0
108,-71,116,0,0,38,0,0
109,-69,119,0,0,38,0,0
110,-67,120,0,0,38,0,0
111,-65,122,0,0,38,0,0
112,-63,124,0,0,38,0,0
113,-58,126,0,0,38,0,0
114,-56,128,0,0,38,0,0
115,-55,128,0,0,38,0,0
116,-55,129,0,0,38,0,0
117,-53,130,0,0,38,0,0
118,-49,131,0,0,38,0,0
119,-47,132,0,0,38,0,0
120,-44,134,0,0,38,0,0
121,-41,135,0,0,38,0,0
122,-38,136,0,0,38,0,0
123,-34,138,0,0,38,0,0
124,-30,140,0,0,38,0,0
125,-24,143,0,0,38,0,0
126,-24,143,0,0,38,0,0
127,-21,145,0,0,38,0,0
128,-18,146,0,0,38,0,0
129,-16,148,0,0,38,0,0
130,-14,149,0,0,38,0,0
131,-13,150,0,0,38,0,0
132,-11,152,0,0,38,0,0
133,-10,153,0,0,38,0,0
134,-8,155,0,0,38,0,0
135,-5,157,0,0,38,0,0
136,-3,159,0,0,38,0,0
137,-2,161,0,0,38,0,0
138,-1,162,0,0,38,0,0
139,0,165,0,0,38,0,0
140,0,167,0,0,38,0,0
141,0,168,0,0,38,0,0
142,0,169,0,0,38,0,0
143,0,171,0,0,38,0,0
144,0,174,0,0,38,0,0
145,0,176,0,0,38,0,0
146,0,178,0,0,38,0,0
147,-1,179,0,0,38,0,0
148,-4,182,0,0,38,0,0
149,-7,185,0,0,38,0,0
150,-11,187,0,0,38,0,0
151,-15,189,0,0,38,0,0
152,-16,190,0,0,38,0,0
153,-18,192,0,0,38,0,0
154,-25,194,0,0,38,0,0
155,-29,196,0,0,38,0,0
156,-32,197,0,0,38,0,0
157,-35,198,0,0,38,0,0
158,-38,199,0,0,38,0,0
159,-40,200,0,0,38,0,0
160,-43,200,0,0,38,0,0
161,-45,200,0,0,38,0,0
162,-48,201,0,0,38,0,0
163,-53,202,0,0,38,0,0
164,-59,203,0,0,38,0,0
165,-66,204,0,0,38,0,0
166,-73,204,0,0,38,0,0
167,-77,205,0,0,38,0,0
168,-80,206,0,0,38,0,0
169,-82,206,0,0,38,0,0
170,-83,206,0,0,38,0,0
171,-85,206,0,0,38,0,0
172,-86,206,0,0,38,0,0
173,-88,206,0,0,38,0,0
174,-90,206,0,0,38,0,0
175,-93,205,0,0,38,0,0
176,-98,202,0,0,38,0,0
177,-101,199,0,0,38,0,0
178,-104,197,0,0,38,0,0
179,-105,196,0,0,38,0,0
180,-107,195,0,0,38,0,0
181,-107,195,0,0,38,0,0
182,-107,194,0,0,38,0,0
183,-108,194,0,0,38,0,0
184,-111,191,0,0,38,0,0
185,-116,187,0,0,38,0,0
186,-118,186,0,0,38,0,0
187,-121,184,0,0,38,0,0
188,-123,183,0,0,38,0,0
189,-124,183,0,0,38,0,0
190,-125,182,0,0,38,0,0
191,-127,182,0,0,38,0,0
192,-129,181,0,0,38,0,0
193,-132,181,0,0,38,0,0
194,-136,180,0,0,38,0,0
195,-145,180,0,0,38,0,0
196,-150,180,0,0,38,0,0
197,-154,180,0,0,38,0,0
198,-156,180,0,0,38,0,0
199,-158,180,0,0,38,0,0
200,-160,181,0,0,38,0,0
201,-161,181,0,0,38,0,0
202,-163,181,0,0,38,0,0
203,-165,181,0,0,38,0,0
204,-168,182,0,0,38,0,0
205,-170,182,0,0,38,0,0
206,-172,182,0,0,38,0,0
207,-172,182,0,0,38,0,0
208,-172,182,0,0,38,0,0
209,-172,182,0,0,38,0,0
210,-172,182,0,0,38,0,0
211,-172,182,0,0,38,0,0
212,-173,181,0,0,38,0,0
213,-174,180,0,0,38,0,0
214,-175,179,0,0,38,0,0
215,-176,177,0,0,38,0,0
216,-176,176,0,0,38,0,0
217,-177,175,0,0,38,0,0
218,-177,173,0,0,38,0,0
219,-178,172,0,0,38,0,0
220,-178,171,0,0,38,0,0
