t,x,y,fh,fv,r,s,frame:
0,244,-120,0,0,0,-83,0
1,244,-120,0,0,0,-83,0
2,244,-120,0,0,0,-83,0
3,244,-119,0,0,0,-83,0
4,247,-116,0,0,0,-83,0
5,250,-114,0,0,0,-83,0
6,251,-113,0,0,0,-83,0
7,253,-112,0,0,0,-83,0
8,254,-111,0,0,0,-83,0
9,255,-110,0,0,0,-83,0
10,258,-108,0,0,0,-83,0
11,260,-107,0,0,0,-83,0
12,262,-106,0,0,0,-83,0
13,263,-105,0,0,0,-83,0
14,264,-105,0,0,0,-83,0
15,264,-105,0,0,0,-83,0
16,264,-105,0,0,0,-83,0
17,267,-105,0,0,0,-83,0
18,268,-105,0,0,0,-83,0
19,270,-107,0,0,0,-83,0
20,272,-108,0,0,0,-83,0
21,273,-109,0,0,0,-83,0
22,274,-110,0,0,0,-83,0
23,274,-111,0,0,0,-83,0
24,275,-112,0,0,0,-83,0
25,275,-112,0,0,0,-83,0
26,275,-112,0,0,0,-83,0
27,275,-112,0,0,0,-83,0
28,276,-113,0,0,0,-83,0
29,277,-114,0,0,0,-83,0
30,277,-114,0,0,0,-83,0
31,278,-115,0,0,0,-83,0
32,278,-115,0,0,0,-83,0
33,279,-116,0,0,0,-83,0
34,279,-117,0,0,0,-83,0
35,279,-117,0,0,0,-83,0
36,279,-117,0,0,0,-83,0
37,279,-117,0,0,0,-83,0
38,279,-117,0,0,0,-83,0
39,279,-117,0,0,0,-83,0
40,279,-117,0,0,0,-83,0
41,280,-118,0,0,0,-83,0
42,280,-119,0,0,0,-83,0
43,280,-119,0,0,0,-83,0
44,280,-119,0,0,0,-83,0
45,280,-119,0,0,0,-83,0
46,280,-120,0,0,0,-83,0
47,280,-120,0,0,0,-83,0
48,280,-120,0,0,0,-83,0
49,280,-120,0,0,0,-83,0
50,280,-120,0,0,0,-83,0
51,279,-120,0,0,0,-83,0
52,279,-120,0,0,0,-83,0
53,278,-120,0,0,0,-83,0
54,278,-120,0,0,0,-83,0
55,277,-120,0,0,0,-83,0
56,276,-120,0,0,0,-83,0
57,276,-120,0,0,0,-83,0
58,276,-120,0,0,0,-83,0
59,276,-119,0,0,0,-83,0
60,274,-119,0,0,0,-83,0
61,272,-119,0,0,0,-83,0
62,270,-119,0,0,0,-83,0
63,270,-119,0,0,0,-83,0
64,269,-119,0,0,0,-83,0
65,269,-119,0,0,0,-83,0
66,268,-119,0,0,0,-83,0
67,267,-120,0,0,0,-83,0
68,266,-121,0,0,0,-83,0
69,265,-122,0,0,0,-83,0
70,265,-123,0,0,0,-83,0
71,264,-124,0,0,0,-83,0
72,264,-125,0,0,0,-83,0
73,264,-126,0,0,0,-83,0
74,264,-126,0,0,0,-83,0
75,264,-127,0,0,0,-83,0
76,264,-128,0,0,0,-83,0
77,264,-129,0,0,0,-83,0
78,264,-130,0,0,0,-83,0
79,264,-131,0,0,0,-83,0
80,264,-131,0,0,0,-83,0
81,264,-131,0,0,0,-83,0
82,264,-132,0,0,0,-83,0
83,264,-132,0,0,0,-83,0
84,265,-132,0,0,0,-83,0
85,266,-132,0,0,0,-83,0
86,267,-133,0,0,0,-83,0
87,268,-134,0,0,0,-83,0
88,268,-134,0,0,0,-83,0
89,268,-134,0,0,0,-83,0
90,268,-134,0,0,0,-83,0
91,269,-134,0,0,0,-83,0
92,269,-134,0,0,0,-83,0
93,269,-134,0,0,0,-83,0
94,269,-134,0,0,0,-83,0
95,269,-134,0,0,0,-83,0
96,269,-134,0,0,0,-83,0
97,270,-134,0,0,0,-83,0
98,270,-134,0,0,0,-83,0
99,271,-134,0,0,0,-83,0
100,271,-134,0,0,0,-83,0
101,271,-134,0,0,0,-83,0
102,271,-134,0,0,0,-83,0
103,271,-134,0,0,0,-83,0
104,271,-134,0,0,0,-83,0
105,271,-134,0,0,0,-83,0
106,271,-134,0,0,0,-83,0
107,271,-134,0,0,0,-83,0
108,271,-134,0,0,0,-83,0
109,271,-135,0,0,0,-83,0
110,270,-135,0,0,0,-83,0
111,269,-136,0,0,0,-83,0
112,268,-137,0,0,0,-83,0
113,267,-137,0,0,0,-83,0
114,266,-138,0,0,0,-83,0
115,265,-139,0,0,0,-83,0
116,264,-139,0,0,0,-83,0
117,263,-139,0,0,0,-83,0
118,262,-139,0,0,0,-83,0
119,262,-139,0,0,0,-83,0
120,261,-139,0,0,0,-83,0
121,260,-139,0,0,0,-83,0
122,259,-139,0,0,0,-83,0
123,259,-139,0,0,0,-83,0
124,258,-139,0,0,0,-83,0
125,257,-139,0,0,0,-83,0
126,256,-138,0,0,0,-83,0
127,255,-138,0,0,0,-83,0
128,254,-138,0,0,0,-83,0
129,253,-137,0,0,0,-83,0
130,253,-136,0,0,0,-83,0
131,253,-136,0,0,0,-83,0
132,253,-136,0,0,0,-83,0
133,253,-136,0,0,0,-83,0
134,253,-136,0,0,0,-83,0
135,252,-135,0,0,0,-83,0
136,252,-135,0,0,0,-83,0
137,252,-135,0,0,0,-83,0
138,252,-135,0,0,0,-83,0
139,252,-134,0,0,0,-83,0
140,252,-133,0,0,0,-83,0
141,252,-133,0,0,0,-83,0
142,252,-133,0,0,0,-83,0
143,252,-132,0,0,0,-83,0
144,252,-131,0,0,0,-83,0
145,252,-131,0,0,0,-83,0
146,252,-131,0,0,0,-83,0
147,252,-131,0,0,0,-83,0
148,252,-130,0,0,0,-83,0
149,252,-129,0,0,0,-83,0
150,252,-129,0,0,0,-83,0
151,252,-129,0,0,0,-83,0
152,252,-129,0,0,0,-83,0
153,252,-129,0,0,0,-83,0
154,252,-129,0,0,0,-83,0
155,252,-128,0,0,0,-83,0
156,252,-128,0,0,0,-83,0
157,252,-128,0,0,0,-83,0
158,250,-127,0,0,0,-83,0
159,249,-127,0,0,0,-83,0
160,249,-127,0,0,0,-83,0
161,249,-127,0,0,0,-83,0
162,249,-127,0,0,0,-83,0
163,249,-127,0,0,0,-83,0
164,248,-127,0,0,0,-83,0
165,247,-127,0,0,0,-83,0
166,247,-127,0,0,0,-83,0
167,247,-127,0,0,0,-83,0
168,247,-127,0,0,0,-83,0
169,247,-127,0,0,0,-83,0
170,247,-127,0,0,0,-83,0
171,247,-127,0,0,0,-83,0
172,246,-127,0,0,0,-83,0
173,246,-127,0,0,0,-83,0
174,246,-127,0,0,0,-83,0
175,245,-126,0,0,0,-83,0
176,245,-126,0,0,0,-83,0
177,245,-126,0,0,0,-83,0
178,245,-126,0,0,0,-83,0
179,245,-126,0,0,0,-83,0
180,245,-126,0,0,0,-83,0
181,244,-126,0,0,0,-83,0
182,244,-126,0,0,0,-83,0
183,244,-126,0,0,0,-83,0
184,244,-125,0,0,0,-83,0
185,244,-124,0,0,0,-83,0
186,244,-124,0,0,0,-83,0
187,244,-124,0,0,0,-83,0
188,244,-123,0,0,0,-83,0
189,244,-123,0,0,0,-83,0
190,244,-123,0,0,0,-83,0
191,244,-123,0,0,0,-83,0
192,244,-122,0,0,0,-83,0
193,244,-122,0,0,0,-83,0
194,244,-122,0,0,0,-83,0
195,244,-122,0,0,0,-83,0
196,244,-122,0,0,0,-83,0
197,244,-122,0,0,0,-83,0
198,244,-121,0,0,0,-83,0
199,245,-121,0,0,0,-83,0
200,246,-121,0,0,0,-83,0
201,246,-120,0,0,0,-83,0
