t,x,y,fh,fv,r,s,frame:
0,227,90,0,0,0,-106,1
1,227,90,0,0,0,-106,1
2,227,90,0,0,0,-106,1
3,227,90,0,0,0,-106,1
4,227,90,0,0,0,-106,1
5,227,90,0,0,0,-106,1
6,227,90,0,0,0,-106,1
7,227,90,0,0,0,-106,1
8,227,90,0,0,0,-106,1
9,227,90,0,0,0,-106,1
10,227,90,0,0,0,-106,1
11,227,90,0,0,0,-106,1
12,227,90,0,0,0,-106,1
13,227,90,0,0,0,-106,1
14,227,90,0,0,0,-106,1
15,227,90,0,0,0,-106,1
16,227,90,0,0,0,-106,1
17,227,90,0,0,0,-106,1
18,227,90,0,0,0,-106,1
19,227,90,0,0,0,-106,1
20,227,90,0,0,0,-106,1
21,227,90,0,0,0,-106,1
22,227,90,0,0,0,-106,1
23,227,90,0,0,0,-106,1
24,227,90,0,0,0,-106,1
25,227,90,0,0,0,-106,1
26,227,90,0,0,0,-106,1
27,227,90,0,0,0,-106,1
28,227,90,0,0,0,-106,1
29,227,90,0,0,0,-106,1
30,227,90,0,0,0,-106,1
31,227,90,0,0,0,-106,1
32,227,90,0,0,0,-106,1
33,227,90,0,0,0,-106,1
34,227,90,0,0,0,-106,1
35,227,90,0,0,0,-106,1
36,227,90,0,0,0,-106,1
37,227,90,0,0,0,-106,1
38,227,90,0,0,0,-106,1
39,227,90,0,0,0,-106,1
40,227,90,0,0,0,-106,1
41,227,90,0,0,0,-106,1
42,227,90,0,0,0,-106,1
43,227,90,0,0,0,-106,1
44,227,90,0,0,0,-106,1
45,227,90,0,0,0,-106,1
46,227,90,0,0,0,-106,1
47,227,90,0,0,0,-106,1
48,227,90,0,0,0,-106,1
49,227,90,0,0,0,-106,1
50,227,90,0,0,0,-106,1
51,227,90,0,0,0,-106,1
52,227,90,0,0,0,-106,1
53,227,90,0,0,0,-106,1
54,227,90,0,0,0,-106,1
55,227,90,0,0,0,-106,1
56,227,90,0,0,0,-106,1
57,227,90,0,0,0,-106,1
58,227,90,0,0,0,-106,1
59,227,90,0,0,0,-106,1
60,227,90,0,0,0,-106,1
61,227,90,0,0,0,-106,1
62,227,90,0,0,0,-106,1
63,227,90,0,0,0,-106,1
64,227,90,0,0,0,-106,1
65,227,90,0,0,0,-106,1
66,227,90,0,0,0,-106,1
67,227,90,0,0,0,-106,1
68,227,90,0,0,0,-106,1
69,227,90,0,0,0,-106,1
70,227,90,0,0,0,-106,1
71,227,90,0,0,0,-106,1
72,227,90,0,0,0,-106,1
73,227,90,0,0,0,-106,1
74,227,90,0,0,0,-106,1
75,227,90,0,0,0,-106,1
76,227,90,0,0,0,-106,1
77,227,90,0,0,0,-106,1
78,227,90,0,0,0,-106,1
79,227,90,0,0,0,-106,1
80,227,90,0,0,0,-106,1
81,227,90,0,0,0,-106,1
82,227,90,0,0,0,-106,1
83,227,90,0,0,0,-106,1
84,227,90,0,0,0,-106,1
85,227,90,0,0,0,-106,1
86,227,90,0,0,0,-106,1
87,227,90,0,0,0,-106,1
88,227,90,0,0,0,-106,1
89,227,90,0,0,0,-106,1
90,227,90,0,0,0,-106,1
91,227,90,0,0,0,-106,1
92,227,90,0,0,0,-106,1
93,227,90,0,0,0,-106,1
94,227,90,0,0,0,-106,1
95,227,90,0,0,0,-106,1
96,227,90,0,0,0,-106,1
97,227,90,0,0,0,-106,1
98,227,90,0,0,0,-106,1
99,227,90,0,0,0,-106,1
100,227,90,0,0,0,-106,1
101,227,90,0,0,0,-106,1
102,227,90,0,0,0,-106,1
103,227,90,0,0,0,-106,0
104,227,90,0,0,0,-106,0
105,227,90,0,0,0,-106,0
106,227,90,0,0,0,-106,0
107,227,90,0,0,4,-106,0
108,227,90,0,0,8,-106,0
109,227,90,0,0,12,-106,0
110,226,88,0,0,16,-106,0
111,220,79,0,0,20,-106,0
112,215,72,0,0,24,-106,0
113,209,64,0,0,28,-106,0
114,204,54,0,0,32,-106,0
115,195,40,0,0,36,-106,0
116,188,29,0,0,40,-106,0
117,179,15,0,0,44,-106,0
118,169,1,0,0,48,-106,0
119,155,-18,0,0,52,-106,0
120,151,-22,0,0,56,-106,0
121,140,-35,0,0,60,-106,0
122,136,-38,0,0,64,-106,0
123,130,-45,0,0,68,-106,0
124,126,-47,0,0,72,-106,0
125,116,-55,0,0,76,-106,0
126,107,-61,0,0,80,-106,0
127,96,-67,0,0,84,-106,0
128,85,-72,0,0,88,-106,0
129,75,-75,0,0,92,-106,0
130,68,-79,0,0,96,-106,0
131,60,-81,0,0,100,-106,0
132,55,-83,0,0,104,-106,0
133,52,-85,0,0,108,-106,0
134,50,-86,0,0,112,-106,0
135,47,-86,0,0,116,-106,0
136,44,-87,0,0,120,-106,0
137,36,-87,0,0,124,-106,0
138,29,-88,0,0,128,-106,0
139,21,-88,0,0,132,-106,0
140,12,-89,0,0,136,-106,0
141,4,-89,0,0,140,-106,0
142,-3,-89,0,0,144,-106,0
143,-13,-89,0,0,148,-106,0
144,-23,-89,0,0,152,-106,0
145,-35,-89,0,0,156,-106,0
146,-48,-89,0,0,160,-106,0
147,-62,-89,0,0,164,-106,0
148,-75,-89,0,0,168,-106,0
149,-86,-89,0,0,172,-106,0
150,-101,-87,0,0,176,-106,0
151,-111,-86,0,0,180,-106,0
152,-120,-85,0,0,184,-106,0
153,-127,-84,0,0,188,-106,0
154,-133,-80,0,0,192,-106,0
155,-139,-78,0,0,196,-106,0
156,-144,-77,0,0,200,-106,0
157,-149,-75,0,0,204,-106,0
158,-152,-73,0,0,208,-106,0
159,-156,-71,0,0,212,-106,0
160,-164,-65,0,0,216,-106,0
161,-168,-62,0,0,220,-106,0
162,-172,-60,0,0,224,-106,0
163,-176,-57,0,0,228,-106,0
164,-178,-56,0,0,232,-106,0
165,-181,-54,0,0,236,-106,0
166,-183,-52,0,0,240,-106,0
167,-186,-48,0,0,244,-106,0
168,-189,-45,0,0,248,-106,0
169,-191,-41,0,0,252,-106,0
170,-195,-37,0,0,256,-106,0
171,-199,-32,0,0,260,-106,0
172,-204,-27,0,0,264,-106,0
173,-208,-20,0,0,268,-106,0
174,-212,-12,0,0,272,-106,0
175,-217,-3,0,0,276,-106,0
176,-222,4,0,0,280,-106,0
177,-227,9,0,0,284,-106,0
178,-229,13,0,0,288,-106,0
179,-230,16,0,0,292,-106,0
180,-232,20,0,0,296,-106,0
181,-235,24,0,0,300,-106,0
182,-237,29,0,0,304,-106,0
183,-240,33,0,0,308,-106,0
184,-241,36,0,0,312,-106,0
185,-243,38,0,0,316,-106,0
186,-244,40,0,0,320,-106,0
187,-246,43,0,0,324,-106,0
188,-247,46,0,0,328,-106,0
189,-251,52,0,0,332,-106,0
190,-254,58,0,0,336,-106,0
191,-256,62,0,0,340,-106,0
192,-259,65,0,0,344,-106,0
193,-260,67,0,0,348,-106,0
