t,x,y,fh,fv,r,s,frame:
0,426,-55,0,0,0,-69,0
1,426,-55,0,0,0,-69,0
2,426,-55,0,0,0,-69,0
3,426,-55,0,0,0,-69,0
4,426,-55,0,0,0,-69,0
5,426,-55,0,0,0,-69,0
6,426,-55,0,0,0,-69,0
7,426,-55,0,0,0,-69,0
8,426,-55,0,0,0,-69,0
9,426,-55,0,0,0,-69,0
10,426,-55,0,0,0,-69,0
11,426,-55,0,0,0,-69,0
12,426,-55,0,0,0,-69,0
13,426,-55,0,0,0,-69,0
14,426,-55,0,0,0,-69,0
15,426,-55,0,0,0,-69,0
16,426,-55,0,0,0,-69,0
17,426,-55,0,0,0,-69,0
18,426,-55,0,0,0,-69,0
19,426,-55,0,0,0,-69,0
20,426,-55,0,0,0,-69,0
21,426,-55,0,0,0,-69,0
22,426,-55,0,0,0,-69,0
23,426,-55,0,0,0,-69,0
24,426,-55,0,0,0,-69,0
25,426,-55,0,0,0,-69,0
26,426,-55,0,0,0,-69,0
27,426,-55,0,0,0,-69,0
28,426,-55,0,0,0,-69,0
29,426,-55,0,0,0,-69,0
30,426,-55,0,0,0,-69,0
31,426,-55,0,0,0,-69,0
32,426,-55,0,0,0,-69,0
33,426,-55,0,0,0,-69,0
34,426,-55,0,0,0,-69,0
35,426,-55,0,0,0,-69,0
36,426,-55,0,0,0,-69,0
37,426,-55,0,0,0,-69,0
38,426,-55,0,0,0,-69,0
39,426,-55,0,0,0,-69,0
40,426,-55,0,0,0,-69,0
41,426,-55,0,0,0,-69,0
42,426,-55,0,0,0,-69,0
43,426,-55,0,0,0,-69,0
44,426,-55,0,0,0,-69,0
45,426,-55,0,0,0,-69,0
46,426,-55,0,0,0,-69,0
47,426,-55,0,0,0,-69,0
48,426,-55,0,0,0,-69,0
49,426,-55,0,0,0,-69,0
50,426,-55,0,0,0,-69,0
51,426,-55,0,0,0,-69,0
52,426,-55,0,0,0,-69,0
53,426,-55,0,0,0,-69,0
54,426,-55,0,0,0,-69,0
55,426,-55,0,0,0,-69,0
56,426,-55,0,0,0,-69,0
57,426,-55,0,0,0,-69,0
58,426,-55,0,0,0,-69,0
59,426,-55,0,0,0,-69,0
60,426,-55,0,0,0,-69,0
61,426,-55,0,0,0,-69,0
62,426,-55,0,0,0,-69,0
63,426,-55,0,0,0,-69,0
64,426,-55,0,0,0,-69,0
65,426,-55,0,0,0,-69,0
66,426,-55,0,0,0,-69,0
67,426,-55,0,0,0,-69,0
68,426,-55,0,0,0,-69,0
