t,x,y,fh,fv,r,s,frame:
0,191,-195,0,0,0,0,0
1,191,-195,0,0,0,0,0
2,191,-195,0,0,0,0,0
3,191,-195,0,0,0,0,0
4,191,-195,0,0,0,0,0
5,191,-195,0,0,0,0,0
6,191,-195,0,0,0,0,0
7,191,-195,0,0,0,0,0
8,191,-195,0,0,0,0,0
9,191,-195,0,0,0,0,0
10,191,-195,0,0,0,0,0
11,191,-195,0,0,0,0,0
12,192,-197,0,0,0,0,0
13,194,-198,0,0,0,0,0
14,196,-201,0,0,0,0,0
15,197,-203,0,0,0,0,0
16,198,-204,0,0,0,0,0
17,199,-205,0,0,0,0,0
18,199,-205,0,0,0,0,0
19,200,-206,0,0,0,0,0
20,200,-206,0,0,0,0,0
21,200,-206,0,0,0,0,0
22,200,-206,0,0,0,0,0
23,200,-206,0,0,0,0,0
24,200,-206,0,0,0,0,0
25,202,-207,0,0,0,0,0
26,204,-208,0,0,0,0,0
27,206,-209,0,0,0,0,0
28,208,-210,0,0,0,0,0
29,210,-210,0,0,0,0,0
30,210,-211,0,0,0,0,0
31,210,-211,0,0,0,0,0
32,210,-211,0,0,0,0,0
33,210,-211,0,0,0,0,0
34,210,-211,0,0,0,0,0
35,211,-211,0,0,0,0,0
36,211,-211,0,0,0,0,0
37,211,-211,0,0,0,0,0
38,211,-211,0,0,0,0,0
39,211,-211,0,0,0,0,0
40,211,-211,0,0,0,0,0
41,211,-211,0,0,0,0,0
42,211,-211,0,0,0,0,0
43,211,-211,0,0,0,0,0
44,211,-211,0,0,0,0,0
45,211,-211,0,0,0,0,0
46,211,-211,0,0,0,0,0
47,211,-211,0,0,0,0,0
48,211,-211,0,0,0,0,0
49,211,-211,0,0,0,0,0
50,211,-211,0,0,0,0,0
51,212,-210,0,0,0,0,0
52,213,-210,0,0,0,0,0
53,213,-209,0,0,0,0,0
54,214,-209,0,0,0,0,0
55,214,-208,0,0,0,0,0
56,215,-208,0,0,0,0,0
57,215,-206,0,0,0,0,0
58,216,-205,0,0,0,0,0
59,217,-204,0,0,0,0,0
60,217,-204,0,0,0,0,0
61,217,-203,0,0,0,0,0
62,218,-202,0,0,0,0,0
63,219,-200,0,0,0,0,0
64,221,-198,0,0,0,0,0
65,222,-197,0,0,0,0,0
66,223,-196,0,0,0,0,0
67,224,-195,0,0,0,0,0
68,224,-195,0,0,0,0,0
69,224,-195,0,0,0,0,0
70,224,-195,0,0,0,0,0
71,224,-195,0,0,0,0,0
72,224,-195,0,0,0,0,0
73,224,-195,0,0,0,0,0
74,226,-193,0,0,0,0,0
75,228,-191,0,0,0,0,0
76,231,-189,0,0,0,0,0
77,233,-187,0,0,0,0,0
78,235,-187,0,0,0,0,0
79,236,-186,0,0,0,0,0
80,236,-186,0,0,0,0,0
81,236,-186,0,0,0,0,0
82,236,-186,0,0,0,0,0
83,236,-186,0,0,0,0,0
84,238,-185,0,0,0,0,0
85,239,-184,0,0,0,0,0
86,239,-183,0,0,0,0,0
87,241,-182,0,0,0,0,0
88,242,-181,0,0,0,0,0
89,243,-181,0,0,0,0,0
90,244,-180,0,0,0,0,0
91,245,-180,0,0,0,0,0
92,245,-180,0,0,0,0,0
93,245,-180,0,0,0,0,0
94,245,-180,0,0,0,0,0
95,245,-180,0,0,0,0,0
96,246,-180,0,0,0,0,0
97,247,-180,0,0,0,0,0
98,248,-180,0,0,0,0,0
99,250,-180,0,0,0,0,0
100,250,-181,0,0,0,0,0
101,250,-181,0,0,0,0,0
102,250,-181,0,0,0,0,0
103,250,-181,0,0,0,0,0
104,250,-181,0,0,0,0,0
105,250,-181,0,0,0,0,0
106,250,-181,0,0,0,0,0
107,250,-181,0,0,0,0,0
108,250,-181,0,0,0,0,0
109,250,-181,0,0,0,0,0
110,250,-181,0,0,0,0,0
