t,x,y,fh,fv,r,s,frame:
0,19,171,0,0,0,-71,0
1,19,171,0,0,0,-71,0
2,19,171,0,0,0,-71,0
3,19,171,0,0,0,-71,0
4,19,171,0,0,0,-71,0
5,19,171,0,0,0,-71,0
6,19,171,0,0,0,-71,0
7,19,171,0,0,0,-71,0
8,19,170,0,0,0,-71,0
9,19,168,0,0,0,-71,0
10,19,164,0,0,0,-71,0
11,20,160,0,0,0,-71,0
12,20,157,0,0,0,-71,0
13,20,155,0,0,0,-71,0
14,21,152,0,0,0,-71,0
15,21,148,0,0,0,-71,0
16,22,146,0,0,0,-71,0
17,22,143,0,0,0,-71,0
18,22,139,0,0,0,-71,0
19,22,135,0,0,0,-71,0
20,22,132,0,0,0,-71,0
21,22,128,0,0,0,-71,0
22,23,125,0,0,0,-71,0
23,23,121,0,0,0,-71,0
24,23,117,0,0,0,-71,0
25,24,114,0,0,0,-71,0
26,25,109,0,0,0,-71,0
27,25,104,0,0,0,-71,0
28,26,99,0,0,0,-71,0
29,26,95,0,0,0,-71,0
30,26,91,0,0,0,-71,0
31,26,87,0,0,0,-71,0
32,26,82,0,0,0,-71,0
33,26,79,0,0,0,-71,0
34,26,76,0,0,0,-71,0
35,26,72,0,0,0,-71,0
36,26,68,0,0,0,-71,0
37,26,63,0,0,0,-71,0
38,25,58,0,0,0,-71,0
39,24,54,0,0,0,-71,0
40,24,51,0,0,0,-71,0
41,22,46,0,0,0,-71,0
42,21,41,0,0,0,-71,0
43,21,36,0,0,0,-71,0
44,20,29,0,0,0,-71,0
45,20,27,0,0,0,-71,0
46,19,23,0,0,0,-71,0
47,18,16,0,0,0,-71,0
48,18,12,0,0,0,-71,0
49,18,7,0,0,0,-71,0
50,18,-1,0,0,0,-71,0
51,18,-2,0,0,0,-71,0
52,17,-6,0,0,0,-71,0
53,17,-11,0,0,0,-71,0
54,17,-16,0,0,0,-71,0
55,17,-21,0,0,0,-71,0
56,17,-25,0,0,0,-71,0
57,17,-29,0,0,0,-71,0
58,17,-32,0,0,0,-71,0
59,17,-34,0,0,0,-71,0
60,17,-38,0,0,0,-71,0
61,17,-43,0,0,0,-71,0
62,17,-46,0,0,0,-71,0
63,17,-49,0,0,0,-71,0
64,17,-51,0,0,0,-71,0
65,17,-52,0,0,0,-71,0
66,17,-53,0,0,0,-71,0
67,17,-54,0,0,0,-71,0
68,17,-55,0,0,0,-71,0
69,17,-56,0,0,0,-71,0
70,17,-59,0,0,0,-71,0
71,17,-62,0,0,0,-71,0
72,17,-65,0,0,0,-71,0
73,17,-68,0,0,0,-71,0
74,17,-70,0,0,0,-71,0
75,17,-71,0,0,0,-71,0
76,16,-72,0,0,0,-71,0
77,16,-72,0,0,0,-71,0
78,16,-73,0,0,0,-71,0
79,16,-73,0,0,0,-71,0
80,16,-74,0,0,0,-71,0
81,16,-76,0,0,0,-71,0
82,16,-78,0,0,0,-71,0
83,16,-80,0,0,0,-71,0
84,16,-80,0,0,0,-71,0
85,16,-82,0,0,0,-71,0
86,17,-82,0,0,0,-71,0
87,17,-83,0,0,0,-71,0
88,17,-84,0,0,0,-71,0
89,17,-84,0,0,0,-71,0
90,17,-84,0,0,0,-71,0
91,17,-84,0,0,0,-71,0
92,17,-85,0,0,0,-71,0
93,18,-85,0,0,0,-71,0
94,18,-86,0,0,0,-71,0
95,19,-86,0,0,0,-71,0
96,19,-87,0,0,0,-71,0
97,19,-87,0,0,0,-71,0
98,20,-88,0,0,0,-71,0
99,20,-88,0,0,0,-71,0
100,20,-88,0,0,0,-71,0
101,20,-88,0,0,0,-71,0
102,20,-88,0,0,0,-71,0
103,20,-88,0,0,0,-71,0
104,20,-88,0,0,0,-71,0
105,20,-89,0,0,0,-71,0
106,20,-89,0,0,0,-71,0
107,20,-89,0,0,0,-71,0
108,20,-89,0,0,0,-71,0
109,20,-89,0,0,0,-71,0
110,20,-89,0,0,0,-71,0
111,20,-89,0,0,0,-71,0
112,20,-89,0,0,0,-71,0
113,20,-89,0,0,0,-71,0
114,20,-89,0,0,0,-71,0
115,20,-89,0,0,0,-71,0
116,20,-89,0,0,0,-71,0
117,20,-89,0,0,0,-71,0
118,20,-89,0,0,0,-71,0
119,20,-89,0,0,0,-71,0
120,20,-89,0,0,0,-71,0
121,20,-89,0,0,0,-71,0
122,20,-89,0,0,0,-71,0
123,20,-89,0,0,0,-71,0
124,20,-89,0,0,0,-71,0
125,20,-89,0,0,0,-71,0
126,20,-89,0,0,0,-71,0
127,20,-89,0,0,0,-71,0
128,20,-89,0,0,0,-71,0
