t,x,y,fh,fv,r,s,frame:
0,18,-92,0,0,0,-73,0
1,18,-92,0,0,0,-73,0
2,18,-92,0,0,0,-73,0
3,18,-92,0,0,0,-73,0
4,18,-92,0,0,0,-73,0
5,18,-92,0,0,0,-73,0
6,18,-91,0,0,0,-73,0
7,18,-90,0,0,0,-73,0
8,18,-89,0,0,0,-73,0
9,18,-87,0,0,0,-73,0
10,18,-81,0,0,0,-73,0
11,18,-73,0,0,0,-73,0
12,18,-63,0,0,0,-73,0
13,18,-55,0,0,0,-73,0
14,18,-48,0,0,0,-73,0
15,18,-40,0,0,0,-73,0
16,18,-27,0,0,0,-73,0
17,18,-14,0,0,0,-73,0
18,18,-1,0,0,0,-73,0
19,18,13,0,0,0,-73,0
20,17,27,0,0,0,-73,0
21,16,40,0,0,0,-73,0
22,16,53,0,0,0,-73,0
23,16,70,0,0,0,-73,0
24,18,89,0,0,0,-73,0
25,20,104,0,0,0,-73,0
26,21,125,0,0,0,-73,0
27,21,142,0,0,0,-73,0
28,21,161,0,0,0,-73,0
29,21,180,0,0,0,-73,0
30,21,194,0,0,0,-73,0
31,21,216,0,0,0,-73,0
32,21,221,0,0,0,-73,0
33,22,221,0,0,0,-73,0
34,22,221,0,0,0,-73,0
35,22,221,0,0,0,-73,0
36,22,228,0,0,0,-73,0
37,22,243,0,0,0,-73,0
38,22,251,0,0,0,-73,0
39,22,251,0,0,0,-73,0
40,22,245,0,0,0,-73,0
41,16,-359,0,0,0,-73,1
42,16,-355,0,0,0,-73,1
43,16,-345,0,0,0,-73,1
44,16,-334,0,0,0,-73,1
45,14,-322,0,0,0,-73,1
46,13,-302,0,0,0,-73,1
47,10,-281,0,0,0,-73,1
48,10,-264,0,0,0,-73,1
49,10,-244,0,0,0,-73,1
50,10,-222,0,0,0,-73,1
51,10,-211,0,0,0,-73,1
52,10,-202,0,0,0,-73,1
53,10,-189,0,0,0,-73,1
54,9,-170,0,0,0,-73,1
55,9,-155,0,0,0,-73,1
56,9,-146,0,0,0,-73,1
57,10,-145,0,0,0,-73,1
58,10,-145,0,0,0,-73,1
59,10,-143,0,0,0,-73,1
60,12,-138,0,0,0,-73,1
61,12,-135,0,0,0,-73,1
62,12,-130,0,0,0,-73,1
63,12,-125,0,0,0,-73,1
64,12,-121,0,0,0,-73,1
65,12,-115,0,0,0,-73,1
66,12,-110,0,0,0,-73,1
67,12,-103,0,0,0,-73,1
68,12,-100,0,0,0,-73,1
69,13,-99,0,0,0,-73,1
70,13,-99,0,0,0,-73,1
71,13,-99,0,0,0,-73,1
72,13,-99,0,0,0,-73,1
73,13,-99,0,0,0,-73,1
74,13,-99,0,0,0,-73,1
75,14,-97,0,0,0,-73,1
76,15,-96,0,0,0,-73,1
77,15,-95,0,0,0,-73,1
78,16,-95,0,0,0,-73,1
79,16,-95,0,0,0,-73,1
80,16,-95,0,0,0,-73,1
81,16,-95,0,0,0,-73,1
82,16,-95,0,0,0,-73,1
83,16,-95,0,0,0,-73,1
84,16,-95,0,0,0,-73,1
85,16,-95,0,0,0,-73,1
86,16,-95,0,0,0,-73,1
87,16,-95,0,0,0,-73,1
88,16,-95,0,0,0,-73,1
89,16,-95,0,0,0,-73,1
90,16,-95,0,0,0,-73,1
91,16,-95,0,0,0,-73,1
92,16,-95,0,0,0,-73,1
93,16,-95,0,0,0,-73,1
94,16,-95,0,0,0,-73,1
95,16,-95,0,0,0,-73,1
96,16,-95,0,0,0,-73,1
97,16,-95,0,0,0,-73,1
98,16,-95,0,0,0,-73,1
99,16,-95,0,0,0,-73,1
100,16,-95,0,0,0,-73,1
101,16,-95,0,0,0,-73,1
102,16,-95,0,0,0,-73,1
