t,x,y,fh,fv,r,s,frame:
0,-417,244,0,0,-19,-86,0
1,-417,244,0,0,-19,-86,0
2,-417,244,0,0,-19,-86,0
3,-417,244,0,0,-19,-86,0
4,-417,244,0,0,-19,-86,0
5,-417,244,0,0,-19,-86,0
6,-417,244,0,0,-19,-86,0
7,-416,244,0,0,-19,-86,0
8,-414,244,0,0,-19,-86,0
9,-404,242,0,0,-19,-86,0
10,-397,239,0,0,-19,-86,0
11,-392,238,0,0,-19,-86,0
12,-386,236,0,0,-19,-86,0
13,-383,235,0,0,-19,-86,0
14,-380,234,0,0,-19,-86,0
15,-379,234,0,0,-19,-86,0
16,-378,234,0,0,-19,-86,0
17,-378,234,0,0,-19,-86,0
18,-378,234,0,0,-19,-86,0
19,-378,234,0,0,-19,-86,0
20,-377,234,0,0,-19,-86,0
21,-375,236,0,0,-19,-86,0
22,-374,238,0,0,-19,-86,0
23,-372,242,0,0,-19,-86,0
24,-370,246,0,0,-19,-86,0
25,-368,248,0,0,-19,-86,0
26,-365,251,0,0,-19,-86,0
27,-365,251,0,0,-19,-86,0
28,-364,252,0,0,-19,-86,0
29,-364,252,0,0,-19,-86,0
30,-364,252,0,0,-19,-86,0
31,-364,252,0,0,-19,-86,0
32,-363,252,0,0,-19,-86,0
33,-359,251,0,0,-19,-86,0
34,-354,250,0,0,-19,-86,0
35,-347,247,0,0,-19,-86,0
36,-341,245,0,0,-19,-86,0
37,-334,242,0,0,-19,-86,0
38,-329,241,0,0,-19,-86,0
39,-326,240,0,0,-19,-86,0
40,-324,239,0,0,-19,-86,0
41,-322,239,0,0,-19,-86,0
42,-322,239,0,0,-19,-86,0
43,-322,239,0,0,-19,-86,0
44,-321,239,0,0,-19,-86,0
45,-318,242,0,0,-19,-86,0
46,-315,245,0,0,-19,-86,0
47,-312,249,0,0,-19,-86,0
48,-309,251,0,0,-19,-86,0
49,-307,254,0,0,-19,-86,0
50,-305,255,0,0,-19,-86,0
51,-304,256,0,0,-19,-86,0
52,-303,257,0,0,-19,-86,0
53,-303,257,0,0,-19,-86,0
54,-303,257,0,0,-19,-86,0
55,-303,257,0,0,-19,-86,0
56,-302,257,0,0,-19,-86,0
57,-298,256,0,0,-19,-86,0
58,-292,254,0,0,-19,-86,0
59,-286,251,0,0,-19,-86,0
60,-279,249,0,0,-19,-86,0
61,-274,248,0,0,-19,-86,0
62,-270,246,0,0,-19,-86,0
63,-267,245,0,0,-19,-86,0
64,-264,244,0,0,-19,-86,0
65,-262,244,0,0,-19,-86,0
66,-262,244,0,0,-19,-86,0
67,-262,244,0,0,-19,-86,0
68,-262,244,0,0,-19,-86,0
69,-261,244,0,0,-19,-86,0
70,-258,246,0,0,-19,-86,0
71,-255,248,0,0,-19,-86,0
72,-252,251,0,0,-19,-86,0
73,-249,253,0,0,-19,-86,0
74,-247,255,0,0,-19,-86,0
75,-245,257,0,0,-19,-86,0
76,-243,259,0,0,-19,-86,0
77,-240,261,0,0,-19,-86,0
78,-239,262,0,0,-19,-86,0
79,-238,262,0,0,-19,-86,0
80,-238,263,0,0,-19,-86,0
81,-237,263,0,0,-19,-86,0
82,-236,263,0,0,-19,-86,0
83,-233,263,0,0,-19,-86,0
84,-230,262,0,0,-19,-86,0
85,-226,260,0,0,-19,-86,0
86,-221,258,0,0,-19,-86,0
87,-216,257,0,0,-19,-86,0
88,-211,255,0,0,-19,-86,0
89,-207,254,0,0,-19,-86,0
90,-201,253,0,0,-19,-86,0
91,-196,252,0,0,-19,-86,0
92,-193,252,0,0,-19,-86,0
93,-190,252,0,0,-19,-86,0
94,-186,252,0,0,-19,-86,0
95,-183,252,0,0,-19,-86,0
96,-181,253,0,0,-19,-86,0
97,-179,254,0,0,-19,-86,0
98,-176,258,0,0,-19,-86,0
99,-174,261,0,0,-19,-86,0
100,-172,263,0,0,-19,-86,0
101,-169,265,0,0,-19,-86,0
102,-167,266,0,0,-19,-86,0
103,-166,267,0,0,-19,-86,0
104,-165,267,0,0,-19,-86,0
105,-165,267,0,0,-19,-86,0
106,-165,267,0,0,-19,-86,0
107,-165,267,0,0,-19,-86,0
108,-165,267,0,0,-19,-86,0
109,-161,267,0,0,-19,-86,0
110,-157,266,0,0,-19,-86,0
111,-152,264,0,0,-19,-86,0
112,-148,263,0,0,-19,-86,0
113,-144,262,0,0,-19,-86,0
114,-143,261,0,0,-19,-86,0
115,-143,260,0,0,-19,-86,0
116,-142,260,0,0,-19,-86,0
117,-140,259,0,0,-19,-86,0
118,-140,259,0,0,-19,-86,0
119,-139,258,0,0,-19,-86,0
120,-136,258,0,0,-19,-86,0
121,-134,258,0,0,-19,-86,0
122,-132,258,0,0,-19,-86,0
123,-130,260,0,0,-19,-86,0
124,-128,262,0,0,-19,-86,0
125,-125,264,0,0,-19,-86,0
126,-122,266,0,0,-19,-86,0
127,-119,268,0,0,-19,-86,0
128,-115,271,0,0,-19,-86,0
129,-113,272,0,0,-19,-86,0
130,-112,273,0,0,-19,-86,0
131,-112,273,0,0,-19,-86,0
132,-112,273,0,0,-19,-86,0
133,-112,273,0,0,-19,-86,0
134,-110,272,0,0,-19,-86,0
135,-106,270,0,0,-19,-86,0
136,-99,267,0,0,-19,-86,0
137,-94,265,0,0,-19,-86,0
138,-89,264,0,0,-19,-86,0
139,-87,262,0,0,-19,-86,0
140,-84,262,0,0,-19,-86,0
141,-83,261,0,0,-19,-86,0
142,-81,260,0,0,-19,-86,0
143,-80,260,0,0,-19,-86,0
144,-80,260,0,0,-19,-86,0
145,-79,260,0,0,-19,-86,0
146,-78,260,0,0,-19,-86,0
147,-75,263,0,0,-19,-86,0
148,-71,266,0,0,-19,-86,0
149,-67,270,0,0,-19,-86,0
150,-65,271,0,0,-19,-86,0
151,-64,271,0,0,-19,-86,0
152,-64,271,0,0,-19,-86,0
153,-64,271,0,0,-19,-86,0
154,-64,271,0,0,-19,-86,0
155,-64,271,0,0,-19,-86,0
156,-64,271,0,0,-19,-86,0
157,-64,271,0,0,-19,-86,0
158,-64,271,0,0,-19,-86,0
159,-64,271,0,0,-19,-86,0
160,-64,271,0,0,-19,-86,0
161,-64,271,0,0,-19,-86,0
162,-64,271,0,0,-19,-86,0
163,-64,271,0,0,-19,-86,0
164,-64,271,0,0,-19,-86,0
165,-64,271,0,0,-19,-86,0
166,-64,271,0,0,-19,-86,0
167,-64,271,0,0,-19,-86,0
168,-64,271,0,0,-19,-86,0
169,-64,271,0,0,-19,-86,0
170,-64,271,0,0,-19,-86,0
171,-64,271,0,0,-19,-86,0
172,-64,271,0,0,-19,-86,0
173,-64,271,0,0,-19,-86,0
174,-64,271,0,0,-19,-86,0
175,-64,271,0,0,-19,-86,0
176,-64,271,0,0,-19,-86,0
177,-64,271,0,0,-19,-86,0
178,-64,271,0,0,-19,-86,0
179,-64,271,0,0,-19,-86,0
180,-64,271,0,0,-19,-86,0
181,-64,271,0,0,-19,-86,0
182,-64,271,0,0,-19,-86,0
183,-64,271,0,0,-19,-86,0
184,-64,271,0,0,-19,-86,0
185,-64,271,0,0,-19,-86,0
186,-64,271,0,0,-19,-86,0
187,-64,271,0,0,-19,-86,0
188,-64,271,0,0,-19,-86,0
189,-64,271,0,0,-19,-86,0
190,-64,271,0,0,-19,-86,0
191,-64,271,0,0,-19,-86,0
192,-64,271,0,0,-19,-86,0
193,-64,271,0,0,-19,-86,0
194,-64,271,0,0,-19,-86,0
195,-64,271,0,0,-19,-86,0
196,-64,271,0,0,-19,-86,0
