t,x,y,fh,fv,r,s,frame:
0,-15,-2,0,0,0,46,0
1,-15,-2,0,0,0,46,0
2,-15,-2,0,0,0,46,0
3,-15,-2,0,0,0,46,0
4,-14,-2,0,0,0,46,0
5,-14,-2,0,0,0,46,0
6,-14,-2,0,0,0,46,0
7,-14,-2,0,0,0,46,0
8,-14,-2,0,0,0,46,0
9,-14,-2,0,0,0,46,0
10,-14,-2,0,0,0,46,0
11,-14,-2,0,0,0,46,0
12,-14,-2,0,0,0,46,0
13,-14,-2,0,0,0,46,0
14,-14,-2,0,0,0,46,0
15,-14,-2,0,0,0,46,0
16,-14,-2,0,0,0,46,0
17,-14,-2,0,0,0,46,0
18,-14,-2,0,0,0,46,0
19,-13,-2,0,0,0,46,0
20,-13,-2,0,0,0,46,0
21,-13,-2,0,0,0,46,0
22,-13,-2,0,0,0,46,0
23,-13,-2,0,0,0,46,0
24,-12,-2,0,0,0,46,0
25,-12,-2,0,0,0,46,0
26,-12,-2,0,0,0,46,0
27,-12,-1,0,0,0,46,0
28,-12,-1,0,0,0,46,0
29,-11,-1,0,0,0,46,0
30,-11,-1,0,0,0,46,0
31,-11,-1,0,0,0,46,0
32,-11,-1,0,0,0,46,0
33,-11,-1,0,0,0,46,0
34,-10,-1,0,0,0,46,0
35,-10,-1,0,0,0,46,0
36,-10,-1,0,0,0,46,0
37,-10,-1,0,0,0,46,0
38,-9,-1,0,0,0,46,0
39,-9,0,0,0,0,46,0
40,-9,0,0,0,0,46,0
41,-9,0,0,0,0,46,0
42,-9,0,0,0,0,46,0
43,-9,0,0,0,0,46,0
44,-8,0,0,0,0,46,0
45,-8,0,0,0,0,46,0
46,-8,0,0,0,0,46,0
47,-8,0,0,0,0,46,0
48,-8,0,0,0,0,46,0
49,-8,0,0,0,0,46,0
50,-7,0,0,0,0,46,0
51,-7,1,0,0,0,46,0
52,-6,1,0,0,0,46,0
53,-6,1,0,0,0,46,0
54,-6,1,0,0,0,46,0
55,-6,1,0,0,0,46,0
56,-6,1,0,0,0,46,0
57,-5,1,0,0,0,46,0
58,-5,1,0,0,0,46,0
59,-5,1,0,0,0,46,0
60,-4,1,0,0,0,46,0
61,-3,1,0,0,0,46,0
62,-2,1,0,0,0,46,0
63,-2,1,0,0,0,46,0
64,-1,2,0,0,0,46,0
65,-1,2,0,0,0,46,0
66,0,2,0,0,0,46,0
67,1,2,0,0,0,46,0
68,1,2,0,0,0,46,0
69,2,2,0,0,0,46,0
70,2,2,0,0,0,46,0
71,3,2,0,0,0,46,0
72,4,2,0,0,0,46,0
73,5,2,0,0,0,46,0
74,6,2,0,0,0,46,0
75,6,2,0,0,0,46,0
76,6,2,0,0,0,46,0
77,8,2,0,0,0,46,0
78,8,2,0,0,0,46,0
79,8,2,0,0,0,46,0
80,9,2,0,0,0,46,0
81,9,2,0,0,0,46,0
82,9,2,0,0,0,46,0
83,9,2,0,0,0,46,0
84,9,2,0,0,0,46,0
85,10,2,0,0,0,46,0
86,10,2,0,0,0,46,0
87,10,2,0,0,0,46,0
88,10,2,0,0,0,46,0
89,10,2,0,0,0,46,0
90,10,1,0,0,0,46,0
91,10,1,0,0,0,46,0
92,11,1,0,0,0,46,0
93,12,1,0,0,0,46,0
94,12,1,0,0,0,46,0
95,12,0,0,0,0,46,0
96,12,0,0,0,0,46,0
97,13,0,0,0,0,46,0
98,14,0,0,0,0,46,0
99,14,-1,0,0,0,46,0
100,14,-1,0,0,0,46,0
101,14,-1,0,0,0,46,0
102,15,-1,0,0,0,46,0
103,15,-1,0,0,0,46,0
104,15,-1,0,0,0,46,0
105,15,-1,0,0,0,46,0
106,15,-1,0,0,0,46,0
107,16,-1,0,0,0,46,0
108,16,-1,0,0,0,46,0
109,16,-1,0,0,0,46,0
110,16,-2,0,0,0,46,0
111,16,-2,0,0,0,46,0
112,16,-2,0,0,0,46,0
113,17,-2,0,0,0,46,0
114,18,-2,0,0,0,46,0
115,18,-3,0,0,0,46,0
116,18,-3,0,0,0,46,0
117,18,-3,0,0,0,46,0
118,19,-3,0,0,0,46,0
119,19,-3,0,0,0,46,0
120,19,-3,0,0,0,46,0
121,19,-3,0,0,0,46,0
122,19,-3,0,0,0,46,0
123,19,-3,0,0,0,46,0
124,19,-3,0,0,0,46,0
125,19,-3,0,0,0,46,0
126,19,-3,0,0,0,46,0
127,19,-3,0,0,0,46,0
128,19,-3,0,0,0,46,0
129,19,-3,0,0,0,46,0
130,19,-3,0,0,0,46,0
131,19,-3,0,0,0,46,0
132,19,-3,0,0,0,46,0
133,20,-3,0,0,0,46,0
134,20,-3,0,0,0,46,0
135,20,-3,0,0,0,46,0
136,20,-3,0,0,0,46,0
137,20,-3,0,0,0,46,0
138,20,-3,0,0,0,46,0
139,20,-3,0,0,0,46,0
140,20,-3,0,0,0,46,0
141,20,-3,0,0,0,46,0
142,20,-3,0,0,0,46,0
143,20,-3,0,0,0,46,0
144,20,-3,0,0,0,46,0
145,20,-3,0,0,0,46,0
146,20,-3,0,0,0,46,0
147,20,-3,0,0,0,46,0
148,20,-3,0,0,0,46,0
149,20,-3,0,0,0,46,0
150,20,-3,0,0,0,46,0
151,20,-3,0,0,0,46,0
152,20,-3,0,0,0,46,0
153,20,-3,0,0,0,46,0
154,20,-3,0,0,0,46,0
155,20,-3,0,0,0,46,0
156,20,-3,0,0,0,46,0
157,20,-3,0,0,0,46,0
158,20,-3,0,0,0,46,0
159,20,-3,0,0,0,46,0
160,20,-3,0,0,0,46,0
161,20,-3,0,0,0,46,0
162,20,-3,0,0,0,46,0
163,20,-3,0,0,0,46,0
164,20,-3,0,0,0,46,0
165,20,-3,0,0,0,46,0
166,20,-3,0,0,0,46,0
167,20,-2,0,0,0,46,0
168,19,-2,0,0,0,46,0
169,19,-2,0,0,0,46,0
170,18,-1,0,0,0,46,0
171,17,-1,0,0,0,46,0
172,16,-1,0,0,0,46,0
173,16,-1,0,0,0,46,0
174,16,-1,0,0,0,46,0
175,16,0,0,0,0,46,0
176,16,0,0,0,0,46,0
177,16,0,0,0,0,46,0
178,15,0,0,0,0,46,0
179,15,0,0,0,0,46,0
180,15,0,0,0,0,46,0
181,15,0,0,0,0,46,0
182,14,0,0,0,0,46,0
183,14,0,0,0,0,46,0
184,14,1,0,0,0,46,0
185,14,1,0,0,0,46,0
186,14,1,0,0,0,46,0
187,14,1,0,0,0,46,0
188,14,1,0,0,0,46,0
189,14,1,0,0,0,46,0
190,14,1,0,0,0,46,0
191,14,1,0,0,0,46,0
192,14,1,0,0,0,46,0
193,14,1,0,0,0,46,0
194,13,1,0,0,0,46,0
195,13,1,0,0,0,46,0
196,13,1,0,0,0,46,0
197,13,1,0,0,0,46,0
198,12,1,0,0,0,46,0
199,12,1,0,0,0,46,0
200,12,2,0,0,0,46,0
201,12,2,0,0,0,46,0
202,12,2,0,0,0,46,0
203,11,2,0,0,0,46,0
204,11,2,0,0,0,46,0
205,10,2,0,0,0,46,0
206,10,2,0,0,0,46,0
207,10,2,0,0,0,46,0
208,9,2,0,0,0,46,0
209,9,2,0,0,0,46,0
210,9,2,0,0,0,46,0
211,9,2,0,0,0,46,0
212,8,2,0,0,0,46,0
213,8,2,0,0,0,46,0
214,8,2,0,0,0,46,0
215,8,2,0,0,0,46,0
216,8,2,0,0,0,46,0
217,8,2,0,0,0,46,0
218,8,2,0,0,0,46,0
219,7,2,0,0,0,46,0
220,7,2,0,0,0,46,0
221,7,2,0,0,0,46,0
222,7,2,0,0,0,46,0
223,6,2,0,0,0,46,0
224,6,2,0,0,0,46,0
225,6,2,0,0,0,46,0
226,6,2,0,0,0,46,0
227,6,2,0,0,0,46,0
228,6,2,0,0,0,46,0
229,5,2,0,0,0,46,0
230,5,2,0,0,0,46,0
231,4,2,0,0,0,46,0
232,4,2,0,0,0,46,0
233,4,2,0,0,0,46,0
234,3,2,0,0,0,46,0
235,3,2,0,0,0,46,0
236,3,2,0,0,0,46,0
237,3,2,0,0,0,46,0
238,2,2,0,0,0,46,0
239,2,2,0,0,0,46,0
240,2,2,0,0,0,46,0
241,2,2,0,0,0,46,0
242,1,2,0,0,0,46,0
243,1,2,0,0,0,46,0
244,0,2,0,0,0,46,0
245,0,1,0,0,0,46,0
246,-1,1,0,0,0,46,0
247,-1,1,0,0,0,46,0
248,-2,1,0,0,0,46,0
249,-3,0,0,0,0,46,0
250,-3,0,0,0,0,46,0
251,-3,0,0,0,0,46,0
252,-3,0,0,0,0,46,0
253,-4,0,0,0,0,46,0
254,-4,0,0,0,0,46,0
255,-4,0,0,0,0,46,0
256,-4,0,0,0,0,46,0
257,-4,0,0,0,0,46,0
258,-4,0,0,0,0,46,0
259,-4,0,0,0,0,46,0
260,-4,0,0,0,0,46,0
261,-4,-1,0,0,0,46,0
262,-5,-1,0,0,0,46,0
263,-5,-1,0,0,0,46,0
264,-5,-1,0,0,0,46,0
265,-5,-1,0,0,0,46,0
266,-6,-1,0,0,0,46,0
267,-6,-1,0,0,0,46,0
268,-6,-1,0,0,0,46,0
269,-6,-1,0,0,0,46,0
270,-6,-1,0,0,0,46,0
271,-6,-1,0,0,0,46,0
272,-6,-1,0,0,0,46,0
273,-6,-1,0,0,0,46,0
274,-6,-1,0,0,0,46,0
275,-6,-1,0,0,0,46,0
276,-6,-1,0,0,0,46,0
277,-6,-1,0,0,0,46,0
278,-6,-1,0,0,0,46,0
279,-6,-1,0,0,0,46,0
280,-6,-1,0,0,0,46,0
281,-6,-1,0,0,0,46,0
282,-6,-1,0,0,0,46,0
283,-6,-1,0,0,0,46,0
284,-6,-1,0,0,0,46,0
285,-6,-1,0,0,0,46,0
286,-6,-1,0,0,0,46,0
287,-6,-1,0,0,0,46,0
288,-6,-1,0,0,0,46,0
289,-6,-1,0,0,0,46,0
290,-6,-1,0,0,0,46,0
291,-6,-1,0,0,0,46,0
