t,x,y,fh,fv,r,s,frame:
0,533,-91,1,0,0,-107,0
1,533,-91,1,0,0,-107,0
2,533,-91,1,0,0,-107,0
3,533,-91,1,0,0,-107,0
4,533,-91,1,0,0,-107,0
5,533,-91,1,0,0,-107,0
6,533,-91,1,0,0,-107,0
7,533,-91,1,0,0,-107,0
8,533,-91,1,0,0,-107,0
9,533,-91,1,0,0,-107,0
10,533,-91,1,0,0,-107,0
11,533,-91,1,0,0,-107,0
12,533,-91,1,0,0,-107,0
13,533,-91,1,0,0,-107,0
14,533,-91,1,0,0,-107,0
15,533,-91,1,0,0,-107,0
16,533,-91,1,0,0,-107,0
17,533,-91,1,0,0,-107,0
18,533,-91,1,0,0,-107,0
19,533,-91,1,0,0,-107,0
20,533,-91,1,0,0,-107,0
21,532,-90,1,0,0,-107,0
22,532,-89,1,0,0,-107,0
23,532,-89,1,0,0,-107,0
24,532,-89,1,0,0,-107,0
25,532,-89,1,0,0,-107,0
26,532,-89,1,0,0,-107,0
27,532,-88,1,0,0,-107,0
28,531,-88,1,0,0,-107,0
29,531,-87,1,0,0,-107,0
30,531,-87,1,0,0,-107,0
31,531,-87,1,0,0,-107,0
32,531,-87,1,0,0,-107,0
33,531,-87,1,0,0,-107,0
34,530,-87,1,0,0,-107,0
35,530,-87,1,0,0,-107,0
36,529,-86,1,0,0,-107,0
37,529,-86,1,0,0,-107,0
38,529,-86,1,0,0,-107,0
39,529,-86,1,0,0,-107,0
40,529,-86,1,0,0,-107,0
41,529,-86,1,0,0,-107,0
42,528,-86,1,0,0,-107,0
43,528,-86,1,0,0,-107,0
44,528,-86,1,0,0,-107,0
45,528,-86,1,0,0,-107,0
46,528,-86,1,0,0,-107,0
47,528,-86,1,0,0,-107,0
48,528,-86,1,0,0,-107,0
49,527,-86,1,0,0,-107,0
50,527,-86,1,0,0,-107,0
51,527,-86,1,0,0,-107,0
52,527,-86,1,0,0,-107,0
53,526,-86,1,0,0,-107,0
54,526,-86,1,0,0,-107,0
55,526,-86,1,0,0,-107,0
56,526,-86,1,0,0,-107,0
57,526,-86,1,0,0,-107,0
58,525,-87,1,0,0,-107,0
59,525,-87,1,0,0,-107,0
60,525,-87,1,0,0,-107,0
61,525,-87,1,0,0,-107,0
62,525,-87,1,0,0,-107,0
63,525,-87,1,0,0,-107,0
64,525,-87,1,0,0,-107,0
65,525,-87,1,0,0,-107,0
66,524,-88,1,0,0,-107,0
67,524,-88,1,0,0,-107,0
68,524,-88,1,0,0,-107,0
69,524,-88,1,0,0,-107,0
70,524,-88,1,0,0,-107,0
71,524,-88,1,0,0,-107,0
72,524,-88,1,0,0,-107,0
73,523,-88,1,0,0,-107,0
74,523,-88,1,0,0,-107,0
75,523,-88,1,0,0,-107,0
76,523,-88,1,0,0,-107,0
77,523,-88,1,0,0,-107,0
78,523,-88,1,0,0,-107,0
79,523,-88,1,0,0,-107,0
80,523,-88,1,0,0,-107,0
81,523,-88,1,0,0,-107,0
82,523,-88,1,0,0,-107,0
83,522,-89,1,0,0,-107,0
84,522,-89,1,0,0,-107,0
85,522,-89,1,0,0,-107,0
86,522,-89,1,0,0,-107,0
87,522,-89,1,0,0,-107,0
88,522,-89,1,0,0,-107,0
89,522,-89,1,0,0,-107,0
90,522,-89,1,0,0,-107,0
91,522,-89,1,0,0,-107,0
92,522,-89,1,0,0,-107,0
93,522,-89,1,0,0,-107,0
94,521,-89,1,0,0,-107,0
95,521,-89,1,0,0,-107,0
96,521,-89,1,0,0,-107,0
97,521,-89,1,0,0,-107,0
98,521,-89,1,0,0,-107,0
99,521,-89,1,0,0,-107,0
100,521,-89,1,0,0,-107,0
