t,x,y,fh,fv,r,s,frame:
0,-542,-47,0,0,0,-120,0
1,-542,-47,0,0,0,-120,0
2,-542,-47,0,0,0,-120,0
3,-542,-47,0,0,0,-120,0
4,-542,-47,0,0,0,-120,0
5,-542,-47,0,0,0,-120,0
6,-542,-46,0,0,0,-120,0
7,-542,-46,0,0,0,-120,0
8,-542,-46,0,0,0,-120,0
9,-542,-46,0,0,0,-120,0
10,-542,-46,0,0,0,-120,0
11,-542,-45,0,0,0,-120,0
12,-541,-45,0,0,0,-120,0
13,-541,-45,0,0,0,-120,0
14,-541,-45,0,0,0,-120,0
15,-541,-45,0,0,0,-120,0
16,-541,-45,0,0,0,-120,0
17,-541,-45,0,0,0,-120,0
18,-540,-45,0,0,0,-120,0
19,-540,-45,0,0,0,-120,0
20,-540,-45,0,0,0,-120,0
21,-539,-45,0,0,0,-120,0
22,-539,-45,0,0,0,-120,0
23,-539,-45,0,0,0,-120,0
24,-539,-45,0,0,0,-120,0
25,-539,-45,0,0,0,-120,0
26,-539,-45,0,0,0,-120,0
27,-539,-45,0,0,0,-120,0
28,-538,-45,0,0,0,-120,0
29,-538,-45,0,0,0,-120,0
30,-538,-45,0,0,0,-120,0
31,-538,-45,0,0,0,-120,0
32,-538,-45,0,0,0,-120,0
33,-538,-45,0,0,0,-120,0
34,-538,-45,0,0,0,-120,0
35,-538,-45,0,0,0,-120,0
36,-538,-45,0,0,0,-120,0
37,-538,-45,0,0,0,-120,0
38,-538,-45,0,0,0,-120,0
39,-538,-45,0,0,0,-120,0
40,-538,-45,0,0,0,-120,0
41,-538,-45,0,0,0,-120,0
42,-538,-45,0,0,0,-120,0
43,-538,-46,0,0,0,-120,0
44,-538,-46,0,0,0,-120,0
45,-538,-46,0,0,0,-120,0
46,-538,-46,0,0,0,-120,0
47,-537,-46,0,0,0,-120,0
48,-537,-46,0,0,0,-120,0
49,-537,-46,0,0,0,-120,0
50,-537,-46,0,0,0,-120,0
51,-537,-46,0,0,0,-120,0
52,-537,-46,0,0,0,-120,0
53,-536,-46,0,0,0,-120,0
54,-536,-45,0,0,0,-120,0
55,-536,-45,0,0,0,-120,0
56,-536,-45,0,0,0,-120,0
57,-536,-45,0,0,0,-120,0
58,-535,-45,0,0,0,-120,0
59,-535,-45,0,0,0,-120,0
60,-535,-45,0,0,0,-120,0
61,-535,-45,0,0,0,-120,0
62,-535,-45,0,0,0,-120,0
63,-535,-45,0,0,0,-120,0
64,-534,-45,0,0,0,-120,0
65,-534,-45,0,0,0,-120,0
66,-534,-45,0,0,0,-120,0
67,-534,-45,0,0,0,-120,0
68,-534,-45,0,0,0,-120,0
69,-534,-45,0,0,0,-120,0
70,-533,-45,0,0,0,-120,0
71,-533,-45,0,0,0,-120,0
72,-533,-45,0,0,0,-120,0
73,-533,-45,0,0,0,-120,0
74,-533,-45,0,0,0,-120,0
75,-533,-45,0,0,0,-120,0
76,-533,-45,0,0,0,-120,0
77,-533,-45,0,0,0,-120,0
78,-533,-45,0,0,0,-120,0
79,-533,-45,0,0,0,-120,0
80,-533,-45,0,0,0,-120,0
81,-533,-45,0,0,0,-120,0
82,-533,-45,0,0,0,-120,0
83,-533,-45,0,0,0,-120,0
84,-533,-45,0,0,0,-120,0
85,-533,-45,0,0,0,-120,0
86,-533,-45,0,0,0,-120,0
87,-533,-45,0,0,0,-120,0
88,-533,-45,0,0,0,-120,0
89,-532,-45,0,0,0,-120,0
90,-532,-46,0,0,0,-120,0
91,-532,-46,0,0,0,-120,0
92,-532,-46,0,0,0,-120,0
93,-532,-46,0,0,0,-120,0
94,-532,-46,0,0,0,-120,0
95,-532,-46,0,0,0,-120,0
96,-532,-46,0,0,0,-120,0
97,-532,-46,0,0,0,-120,0
98,-532,-46,0,0,0,-120,0
99,-532,-46,0,0,0,-120,0
100,-532,-46,0,0,0,-120,0
101,-532,-46,0,0,0,-120,0
102,-532,-46,0,0,0,-120,0
103,-532,-46,0,0,0,-120,0
104,-532,-46,0,0,0,-120,0
105,-532,-46,0,0,0,-120,0
106,-532,-47,0,0,0,-120,0
107,-533,-47,0,0,0,-120,0
108,-533,-47,0,0,0,-120,0
109,-533,-47,0,0,0,-120,0
110,-533,-47,0,0,0,-120,0
111,-533,-47,0,0,0,-120,0
112,-533,-47,0,0,0,-120,0
113,-533,-47,0,0,0,-120,0
114,-533,-47,0,0,0,-120,0
115,-534,-47,0,0,0,-120,0
116,-534,-47,0,0,0,-120,0
117,-534,-47,0,0,0,-120,0
118,-534,-47,0,0,0,-120,0
119,-534,-47,0,0,0,-120,0
120,-534,-47,0,0,0,-120,0
121,-535,-47,0,0,0,-120,0
122,-535,-47,0,0,0,-120,0
123,-535,-47,0,0,0,-120,0
124,-535,-47,0,0,0,-120,0
125,-535,-47,0,0,0,-120,0
126,-536,-47,0,0,0,-120,0
127,-536,-47,0,0,0,-120,0
128,-536,-47,0,0,0,-120,0
129,-536,-47,0,0,0,-120,0
130,-536,-47,0,0,0,-120,0
131,-536,-46,0,0,0,-120,0
132,-537,-46,0,0,0,-120,0
133,-537,-46,0,0,0,-120,0
134,-537,-46,0,0,0,-120,0
135,-537,-46,0,0,0,-120,0
136,-537,-46,0,0,0,-120,0
137,-537,-46,0,0,0,-120,0
138,-537,-46,0,0,0,-120,0
139,-538,-46,0,0,0,-120,0
140,-538,-46,0,0,0,-120,0
141,-538,-46,0,0,0,-120,0
142,-538,-45,0,0,0,-120,0
143,-538,-45,0,0,0,-120,0
144,-538,-45,0,0,0,-120,0
145,-538,-45,0,0,0,-120,0
146,-538,-45,0,0,0,-120,0
147,-538,-45,0,0,0,-120,0
148,-538,-45,0,0,0,-120,0
149,-539,-45,0,0,0,-120,0
150,-539,-45,0,0,0,-120,0
151,-539,-45,0,0,0,-120,0
