t,x,y,fh,fv,r,s,frame:
0,-217,131,1,0,81,-33,0
1,-217,131,1,0,81,-33,0
2,-217,131,1,0,81,-33,0
3,-217,131,1,0,81,-33,0
4,-217,131,1,0,81,-33,0
5,-217,131,1,0,81,-33,0
6,-217,131,1,0,81,-33,0
7,-217,131,1,0,81,-33,0
8,-217,131,1,0,81,-33,0
9,-217,131,1,0,81,-33,0
10,-217,131,1,0,81,-33,0
11,-217,131,1,0,81,-33,0
12,-217,131,1,0,81,-33,0
13,-217,131,1,0,81,-33,0
14,-217,131,1,0,81,-33,0
15,-217,131,1,0,81,-33,0
16,-217,131,1,0,81,-33,0
17,-217,131,1,0,81,-33,0
18,-217,131,1,0,81,-33,0
19,-217,131,1,0,81,-33,0
20,-217,131,1,0,81,-33,0
21,-217,131,1,0,81,-33,0
22,-217,131,1,0,81,-33,0
23,-217,131,1,0,81,-33,0
24,-217,131,1,0,81,-33,0
25,-217,131,1,0,81,-33,0
26,-217,131,1,0,81,-33,0
27,-217,131,1,0,81,-33,0
28,-217,131,1,0,81,-33,0
29,-217,131,1,0,81,-33,0
30,-217,131,1,0,81,-33,0
31,-217,131,1,0,81,-33,0
32,-217,131,1,0,81,-33,0
33,-217,131,1,0,81,-33,0
34,-217,131,1,0,81,-33,0
35,-217,131,1,0,81,-33,0
36,-217,131,1,0,81,-33,0
37,-217,131,1,0,81,-33,0
38,-217,131,1,0,81,-33,0
39,-217,131,1,0,81,-33,0
40,-217,131,1,0,81,-33,0
41,-217,131,1,0,81,-33,0
42,-217,131,1,0,81,-33,0
43,-217,131,1,0,81,-33,0
44,-217,131,1,0,81,-33,0
45,-217,131,1,0,81,-33,0
46,-217,131,1,0,81,-33,0
47,-217,131,1,0,81,-33,0
48,-217,131,1,0,81,-33,0
49,-217,131,1,0,81,-33,0
50,-217,131,1,0,81,-33,0
51,-217,131,1,0,81,-33,0
52,-217,131,1,0,81,-33,0
53,-217,131,1,0,81,-33,0
54,-217,131,1,0,81,-33,0
55,-217,131,1,0,81,-33,0
56,-217,131,1,0,81,-33,0
57,-217,131,1,0,81,-33,0
58,-217,131,1,0,81,-33,0
59,-217,131,1,0,81,-33,0
60,-217,131,1,0,81,-33,0
61,-217,131,1,0,81,-33,0
62,-217,131,1,0,81,-33,0
63,-217,131,1,0,81,-33,0
64,-217,131,1,0,81,-33,0
65,-217,131,1,0,81,-33,0
66,-217,131,1,0,81,-33,0
67,-217,131,1,0,81,-33,0
68,-217,131,1,0,81,-33,0
69,-217,131,1,0,81,-33,0
70,-217,131,1,0,81,-33,0
71,-217,131,1,0,81,-33,0
72,-217,131,1,0,81,-33,0
73,-217,131,1,0,81,-33,0
74,-217,131,1,0,81,-33,0
75,-217,131,1,0,81,-33,0
76,-217,131,1,0,81,-33,0
77,-217,131,1,0,81,-33,0
78,-217,131,1,0,81,-33,0
79,-217,131,1,0,81,-33,0
80,-217,131,1,0,81,-33,0
81,-182,-12,0,1,81,-33,0
82,-181,-12,0,1,81,-33,0
83,-181,-12,0,1,82,-33,0
84,-181,-12,0,1,83,-33,0
85,-181,-12,0,1,84,-33,0
86,-181,-12,0,1,85,-33,0
87,-181,-12,0,1,86,-33,0
88,-181,-12,0,1,87,-33,0
89,-181,-12,0,1,88,-33,0
90,-181,-12,0,1,88,-33,0
91,-181,-12,0,1,87,-33,0
92,-181,-12,0,1,86,-33,0
93,-181,-12,0,1,85,-33,0
94,-181,-12,0,1,84,-33,0
95,-181,-12,0,1,84,-33,0
96,-181,-12,0,1,84,-33,0
97,-181,-12,0,1,85,-33,0
98,-181,-12,0,1,86,-33,0
99,-181,-12,0,1,87,-33,0
100,-181,-12,0,1,86,-33,0
101,-181,-12,0,1,85,-33,0
102,-181,-12,0,1,84,-33,0
103,-181,-12,0,1,83,-33,0
104,-181,-12,0,1,82,-33,0
105,-181,-12,0,1,81,-33,0
106,-181,-12,0,1,82,-33,0
107,-181,-12,0,1,83,-33,0
108,-181,-12,0,1,84,-33,0
109,-181,-12,0,1,85,-33,0
110,-181,-12,0,1,86,-33,0
111,-181,-12,0,1,85,-33,0
112,-181,-12,0,1,84,-33,0
113,-181,-12,0,1,83,-33,0
114,-181,-12,0,1,82,-33,0
115,-181,-12,0,1,81,-33,0
116,-181,-12,0,1,82,-33,0
117,-181,-12,0,1,83,-33,0
118,-181,-12,0,1,84,-33,0
119,-181,-12,0,1,85,-33,0
120,-181,-12,0,1,86,-33,0
121,-181,-12,0,1,86,-33,0
122,-181,-12,0,1,85,-33,0
123,-181,-12,0,1,84,-33,0
124,-181,-12,0,1,83,-33,0
