t,x,y,fh,fv,r,s,frame:
0,-436,109,0,0,8,-40,0
1,-436,109,0,0,8,-40,0
2,-436,109,0,0,8,-40,0
3,-436,109,0,0,8,-40,0
4,-436,109,0,0,8,-40,0
5,-436,109,0,0,8,-40,0
6,-436,109,0,0,8,-40,0
7,-436,109,0,0,8,-40,0
8,-436,109,0,0,8,-40,0
9,-436,109,0,0,8,-40,0
10,-436,109,0,0,8,-40,0
11,-436,109,0,0,8,-40,0
12,-436,109,0,0,8,-40,0
13,-436,109,0,0,8,-40,0
14,-436,109,0,0,8,-40,0
15,-436,109,0,0,8,-40,0
16,-436,109,0,0,8,-40,0
17,-436,109,0,0,8,-40,0
18,-436,109,0,0,8,-40,0
19,-436,109,0,0,8,-40,0
20,-436,109,0,0,8,-40,0
21,-436,109,0,0,8,-40,0
22,-436,109,0,0,8,-40,0
23,-436,109,0,0,8,-40,0
24,-436,109,0,0,8,-40,0
25,-436,109,0,0,8,-40,0
26,-436,109,0,0,8,-40,0
27,-436,109,0,0,-13,-40,0
28,-436,109,0,0,-13,-40,0
29,-436,109,0,0,-13,-40,0
30,-436,109,0,0,-13,-40,0
31,-436,109,0,0,-13,-40,0
32,-436,109,0,0,-13,-40,0
33,-436,109,0,0,-13,-40,0
34,-436,109,0,0,-13,-40,0
35,-436,109,0,0,-13,-40,0
36,-436,109,0,0,-13,-40,0
37,-436,109,0,0,-13,-40,0
38,-436,109,0,0,-13,-40,0
39,-436,109,0,0,-13,-40,0
40,-436,109,0,0,-13,-40,0
41,-436,109,0,0,-13,-40,0
42,-436,109,0,0,-13,-40,0
43,-436,109,0,0,-13,-40,0
44,-436,109,0,0,-13,-40,0
45,-436,109,0,0,-13,-40,0
46,-436,109,0,0,-13,-40,0
47,-436,109,0,0,-13,-40,0
48,-436,109,0,0,-13,-40,0
49,-436,109,0,0,-13,-40,0
50,-436,109,0,0,-13,-40,0
51,-436,109,0,0,-13,-40,0
52,-436,109,0,0,-13,-40,0
53,-436,109,0,0,-13,-40,0
54,-436,109,0,0,-13,-40,0
55,-436,109,0,0,-13,-40,0
56,-434,4,0,0,16,-40,0
57,-434,4,0,0,16,-40,0
58,-434,4,0,0,16,-40,0
59,-434,4,0,0,19,-40,0
60,-434,4,0,0,22,-40,0
61,-434,4,0,0,25,-40,0
62,-434,4,0,0,28,-40,0
63,-434,4,0,0,31,-40,0
64,-434,4,0,0,31,-40,0
65,-434,4,0,0,31,-40,0
66,-434,4,0,0,28,-40,0
67,-434,4,0,0,25,-40,0
68,-434,4,0,0,22,-40,0
69,-434,4,0,0,22,-40,0
70,-434,4,0,0,22,-40,0
71,-434,4,0,0,25,-40,0
72,-434,4,0,0,28,-40,0
73,-434,4,0,0,31,-40,0
74,-434,4,0,0,34,-40,0
75,-434,4,0,0,34,-40,0
76,-434,4,0,0,31,-40,0
77,-434,4,0,0,28,-40,0
78,-434,4,0,0,25,-40,0
79,-434,4,0,0,22,-40,0
80,-434,4,0,0,19,-40,0
81,-434,4,0,0,16,-40,0
82,-434,4,0,0,19,-40,0
83,-434,4,0,0,22,-40,0
84,-434,4,0,0,25,-40,0
85,-434,4,0,0,28,-40,0
86,-434,4,0,0,25,-40,0
87,-434,4,0,0,22,-40,0
88,-434,4,0,0,19,-40,0
89,-434,4,0,0,16,-40,0
90,-434,4,0,0,13,-40,0
91,-434,4,0,0,10,-40,0
92,-434,4,0,0,10,-40,0
93,-434,4,0,0,10,-40,0
94,-434,4,0,0,13,-40,0
95,-434,4,0,0,16,-40,0
96,-434,4,0,0,16,-40,0
97,-434,4,0,0,13,-40,0
98,-434,4,0,0,10,-40,0
99,-434,4,0,0,7,-40,0
100,-434,4,0,0,4,-40,0
101,-434,4,0,0,1,-40,0
102,-434,4,0,0,1,-40,0
103,-434,4,0,0,1,-40,0
104,-434,4,0,0,4,-40,0
105,-434,4,0,0,7,-40,0
106,-434,4,0,0,10,-40,0
107,-434,4,0,0,13,-40,0
108,-434,4,0,0,16,-40,0
109,-434,4,0,0,19,-40,0
110,-434,4,0,0,22,-40,0
111,-434,4,0,0,25,-40,0
112,-434,4,0,0,28,-40,0
113,-434,4,0,0,31,-40,0
114,-434,4,0,0,34,-40,0
115,-434,4,0,0,37,-40,0
116,-434,4,0,0,40,-40,0
117,-434,4,0,0,43,-40,0
118,-434,4,0,0,46,-40,0
119,-434,4,0,0,49,-40,0
120,-434,4,0,0,52,-40,0
121,-434,4,0,0,55,-40,0
122,-434,4,0,0,55,-40,0
123,-434,4,0,0,55,-40,0
124,-434,4,0,0,52,-40,0
125,-434,4,0,0,49,-40,0
126,-434,4,0,0,46,-40,0
127,-434,4,0,0,43,-40,0
128,-434,4,0,0,40,-40,0
129,-434,4,0,0,40,-40,0
130,-434,4,0,0,43,-40,0
131,-434,4,0,0,46,-40,0
132,-434,4,0,0,49,-40,0
133,-434,4,0,0,52,-40,0
134,-434,4,0,0,52,-40,0
135,-434,4,0,0,52,-40,0
136,-434,4,0,0,49,-40,0
137,-434,4,0,0,46,-40,0
138,-434,4,0,0,43,-40,0
139,-434,4,0,0,43,-40,0
140,-434,4,0,0,43,-40,0
141,-434,4,0,0,43,-40,0
142,-434,4,0,0,43,-40,0
143,-434,4,0,0,40,-40,0
144,-434,4,0,0,37,-40,0
145,-434,4,0,0,34,-40,0
146,-434,4,0,0,31,-40,0
147,-434,4,0,0,28,-40,0
148,-434,4,0,0,25,-40,0
149,-434,4,0,0,25,-40,0
150,-434,4,0,0,25,-40,0
151,-434,4,0,0,25,-40,0
152,-434,4,0,0,25,-40,0
153,-434,4,0,0,22,-40,0
154,-434,4,0,0,19,-40,0
155,-434,4,0,0,16,-40,0
156,-434,4,0,0,13,-40,0
157,-434,4,0,0,10,-40,0
158,-434,4,0,0,7,-40,0
159,-434,4,0,0,7,-40,0
160,-434,4,0,0,7,-40,0
161,-434,4,0,0,7,-40,0
162,-434,4,0,0,7,-40,0
163,-434,4,0,0,4,-40,0
164,-434,4,0,0,1,-40,0
165,-434,4,0,0,-2,-40,0
166,-434,4,0,0,-5,-40,0
167,-434,4,0,0,-8,-40,0
168,-434,4,0,0,-8,-40,0
169,-434,4,0,0,-8,-40,0
170,-434,4,0,0,-8,-40,0
171,-434,4,0,0,-8,-40,0
172,-434,4,0,0,-8,-40,0
173,-434,4,0,0,-8,-40,0
174,-434,4,0,0,-8,-40,0
175,-434,4,0,0,-8,-40,0
176,-434,4,0,0,-8,-40,0
177,-434,4,0,0,-8,-40,0
178,-434,4,0,0,-8,-40,0
179,-434,4,0,0,-8,-40,0
180,-434,4,0,0,-8,-40,0
181,-434,4,0,0,-8,-40,0
182,-434,4,0,0,-8,-40,0
183,-434,4,0,0,-8,-40,0
184,-434,4,0,0,-8,-40,0
185,-434,4,0,0,-8,-40,0
186,-434,4,0,0,-8,-40,0
187,-434,4,0,0,-8,-40,0
188,-434,4,0,0,-8,-40,0
189,-434,4,0,0,-8,-40,0
190,-434,4,0,0,-8,-40,0
191,-434,4,0,0,-8,-40,0
192,-434,4,0,0,-8,-40,0
193,-434,4,0,0,-8,-40,0
194,-434,4,0,0,-8,-40,0
195,-434,4,0,0,-8,-40,0
196,-434,4,0,0,-8,-40,0
197,-434,4,0,0,-8,-40,0
198,-434,4,0,0,-8,-40,0
199,-434,4,0,0,-8,-40,0
200,-434,4,0,0,-8,-40,0
201,-434,4,0,0,-8,-40,0
