t,x,y,fh,fv,r,s,frame:
0,-438,90,0,0,0,-72,0
1,-438,90,0,0,0,-72,0
2,-438,90,0,0,0,-72,0
3,-437,90,0,0,0,-72,0
4,-433,90,0,0,-3,-72,0
5,-426,90,0,0,-6,-72,0
6,-416,91,0,0,-9,-72,0
7,-397,96,0,0,-12,-72,0
8,-374,103,0,0,-15,-72,0
9,-352,109,0,0,-18,-72,0
10,-333,113,0,0,-21,-72,0
11,-322,116,0,0,-24,-72,0
12,-319,118,0,0,-27,-72,0
13,-316,119,0,0,-30,-72,0
14,-316,119,0,0,-33,-72,0
15,-316,119,0,0,-36,-72,0
16,-315,119,0,0,-39,-72,0
17,-313,120,0,0,-42,-72,0
18,-313,121,0,0,-45,-72,0
19,-308,125,0,0,-45,-72,0
20,-305,129,0,0,-45,-72,0
21,-302,132,0,0,-45,-72,0
22,-299,134,0,0,-45,-72,0
23,-298,135,0,0,-45,-72,0
24,-298,135,0,0,-45,-72,0
25,-296,135,0,0,-45,-72,0
26,-294,136,0,0,-45,-72,0
27,-292,136,0,0,-45,-72,0
28,-292,136,0,0,-45,-72,0
29,-292,136,0,0,-45,-72,0
30,-292,136,0,0,-45,-72,0
31,-292,136,0,0,-45,-72,0
32,-292,136,0,0,-45,-72,0
33,-292,136,0,0,-45,-72,0
34,-292,137,0,0,-45,-72,0
35,-292,137,0,0,-45,-72,0
36,-292,137,0,0,-45,-72,0
37,-292,137,0,0,-45,-72,0
38,-292,137,0,0,-45,-72,0
39,-292,137,0,0,-45,-72,0
40,-292,137,0,0,-45,-72,0
41,-292,137,0,0,-45,-72,0
42,-292,137,0,0,-45,-72,0
43,-292,137,0,0,-45,-72,0
44,-292,137,0,0,-45,-72,0
45,-292,137,0,0,-45,-72,0
46,-292,137,0,0,-45,-72,0
47,-292,137,0,0,-45,-72,0
48,-292,137,0,0,-45,-72,0
49,-292,137,0,0,-45,-72,0
50,-292,137,0,0,-45,-72,0
51,-292,137,0,0,-45,-72,0
52,-292,137,0,0,-45,-72,0
53,-292,137,0,0,-45,-72,0
54,-292,137,0,0,-45,-72,0
55,-292,137,0,0,-45,-72,0
56,-292,137,0,0,-45,-72,0
57,-292,137,0,0,-45,-72,0
58,-292,137,0,0,-45,-72,0
59,-292,137,0,0,-45,-72,0
60,-292,137,0,0,-45,-72,0
61,-292,137,0,0,-45,-72,0
62,-292,137,0,0,-45,-72,0
63,-292,137,0,0,-45,-72,0
64,-292,137,0,0,-45,-72,0
65,-292,137,0,0,-45,-72,0
66,-292,137,0,0,-45,-72,0
67,-292,137,0,0,-45,-72,0
68,-292,137,0,0,-45,-72,0
69,-292,137,0,0,-45,-72,0
70,-292,137,0,0,-45,-72,0
71,-291,137,0,0,-39,-72,0
72,-291,137,0,0,-36,-72,0
73,-291,137,0,0,-33,-72,0
74,-292,141,0,0,-30,-72,0
75,-293,145,0,0,-27,-72,0
76,-293,148,0,0,-24,-72,0
77,-293,152,0,0,-21,-72,0
78,-291,156,0,0,-18,-72,0
79,-289,160,0,0,-15,-72,0
80,-286,165,0,0,-12,-72,0
81,-283,169,0,0,-9,-72,0
82,-280,171,0,0,-6,-72,0
83,-277,174,0,0,-3,-72,0
84,-273,178,0,0,0,-72,0
85,-268,183,0,0,3,-72,0
86,-263,187,0,0,6,-72,0
87,-259,190,0,0,9,-72,0
88,-256,192,0,0,12,-72,0
89,-253,194,0,0,15,-72,0
90,-250,196,0,0,18,-72,0
91,-245,199,0,0,21,-72,0
92,-239,202,0,0,24,-72,0
93,-234,204,0,0,27,-72,0
94,-231,206,0,0,30,-72,0
95,-227,207,0,0,33,-72,0
96,-226,207,0,0,36,-72,0
97,-225,207,0,0,39,-72,0
98,-223,208,0,0,42,-72,0
99,-221,209,0,0,45,-72,0
100,-219,209,0,0,48,-72,0
101,-218,210,0,0,51,-72,0
102,-218,210,0,0,54,-72,0
103,-218,210,0,0,57,-72,0
104,-218,210,0,0,60,-72,0
105,-218,210,0,0,63,-72,0
106,-218,210,0,0,66,-72,0
107,-218,210,0,0,69,-72,0
108,-218,210,0,0,72,-72,0
109,-218,210,0,0,75,-72,0
110,-218,210,0,0,78,-72,0
111,-218,210,0,0,81,-72,0
112,-218,210,0,0,84,-72,0
113,-218,210,0,0,84,-72,0
114,-218,210,0,0,84,-72,0
115,-218,210,0,0,84,-72,0
116,-218,210,0,0,84,-72,0
