t,x,y,fh,fv,r,s,frame:
0,270,108,1,0,0,-36,0
1,270,108,1,0,0,-36,0
2,270,108,1,0,0,-36,0
3,270,108,1,0,0,-36,0
4,270,108,1,0,0,-36,0
5,270,108,1,0,0,-37,0
6,270,108,1,0,0,-38,0
7,270,107,1,0,0,-39,0
8,278,104,1,0,0,-40,0
9,284,101,1,0,0,-41,0
10,290,97,1,0,0,-42,0
11,297,92,1,0,0,-43,0
12,301,89,1,0,0,-44,0
13,301,89,1,0,0,-45,0
14,301,89,1,0,0,-46,0
15,301,85,1,0,0,-47,0
16,302,81,1,0,0,-48,0
17,305,76,1,0,0,-49,0
18,305,73,1,0,0,-50,0
19,305,71,1,0,0,-51,0
20,305,68,1,0,0,-52,0
21,304,65,1,0,0,-53,0
22,303,63,1,0,0,-54,0
23,303,61,1,0,0,-55,0
24,302,58,1,0,0,-56,0
25,301,53,1,0,0,-57,0
26,300,50,1,0,0,-58,0
27,300,46,1,0,0,-59,0
28,301,39,1,0,0,-60,0
29,303,33,1,0,0,-61,0
30,305,27,1,0,0,-62,0
31,307,25,1,0,0,-63,0
32,307,25,1,0,0,-64,0
33,307,25,1,0,0,-65,0
34,307,25,1,0,0,-66,0
35,311,24,0,0,0,-67,0
36,318,22,0,0,0,-68,0
37,322,21,0,0,0,-69,0
38,329,20,0,0,0,-70,0
39,333,19,0,0,0,-71,0
40,334,19,0,0,0,-72,0
41,334,19,0,0,0,-73,0
42,334,19,0,0,0,-74,0
43,334,19,0,0,0,-75,0
44,334,19,0,0,0,-76,0
45,334,19,0,0,0,-77,0
46,334,19,0,0,0,-78,0
47,335,18,0,0,0,-79,0
48,336,17,0,0,0,-80,0
49,336,15,0,0,0,-81,0
50,336,15,0,0,0,-82,0
51,335,12,0,0,0,-83,0
52,334,9,0,0,0,-84,0
53,332,6,0,0,0,-85,0
54,331,4,0,0,0,-86,0
55,330,3,0,0,0,-87,0
56,328,1,0,0,0,-88,0
57,326,0,0,0,0,-89,0
58,325,-2,0,0,0,-90,0
59,325,-3,0,0,0,-91,0
60,325,-3,0,0,0,-92,0
61,325,-3,0,0,0,-93,0
62,325,-3,0,0,0,-94,0
63,325,-5,0,0,0,-95,0
64,327,-7,0,0,0,-96,0
65,330,-8,0,0,0,-97,0
66,335,-10,0,0,0,-98,0
67,340,-11,0,0,0,-99,0
68,343,-12,0,0,0,-100,0
69,345,-13,0,0,0,-101,0
70,346,-13,0,0,0,-102,0
71,346,-13,0,0,0,-103,0
72,346,-13,0,0,0,-104,0
73,346,-13,0,0,0,-105,0
74,351,-13,0,0,0,-106,0
75,354,-12,0,0,0,-107,0
76,357,-11,0,0,0,-108,0
77,357,-11,0,0,0,-109,0
78,357,-11,0,0,0,-110,0
79,357,-11,0,0,0,-111,0
80,358,-9,0,0,0,-112,0
81,360,-7,0,0,0,-113,0
82,361,-5,0,0,0,-114,0
83,362,-3,0,0,0,-115,0
84,362,-3,0,0,0,-116,0
85,362,-3,0,0,0,-117,0
86,362,-3,0,0,0,-118,0
87,362,-3,0,0,0,-119,0
88,363,-1,0,0,0,-120,0
89,364,0,0,0,0,-121,0
90,367,2,0,0,0,-122,0
91,371,3,0,0,0,-123,0
92,374,3,0,0,0,-124,0
93,377,2,0,0,0,-125,0
94,378,1,0,0,0,-126,0
95,379,0,0,0,0,-127,0
96,380,-1,0,0,0,-128,0
97,381,-3,0,0,0,-129,0
98,381,-4,0,0,0,-130,0
99,381,-6,0,0,0,-131,0
100,381,-8,0,0,0,-132,0
101,381,-9,0,0,0,-133,0
102,380,-11,0,0,0,-134,0
103,378,-12,0,0,0,-135,0
104,376,-14,0,0,0,-136,0
105,374,-15,0,0,0,-137,0
106,372,-15,0,0,0,-138,0
107,371,-16,0,0,0,-139,0
108,371,-16,0,0,0,-140,0
109,371,-16,0,0,0,-141,0
110,370,-16,0,0,0,-142,0
111,368,-16,0,0,0,-143,0
112,368,-16,0,0,0,-144,0
113,368,-16,0,0,0,-145,0
114,368,-16,0,0,0,-146,0
115,368,-16,0,0,0,-147,0
116,368,-16,0,0,0,-148,0
117,368,-16,0,0,0,-149,0
118,368,-18,0,0,0,-150,0
119,370,-19,0,0,0,-151,0
120,372,-20,0,0,0,-152,0
121,374,-21,0,0,0,-153,0
122,375,-22,0,0,0,-154,0
123,376,-22,0,0,0,-155,0
124,378,-23,0,0,0,-156,0
125,382,-23,0,0,0,-157,0
126,383,-23,0,0,0,-158,0
127,384,-23,0,0,0,-159,0
128,385,-23,0,0,0,-160,0
129,385,-23,0,0,0,-161,0
130,385,-23,0,0,0,-162,0
131,388,-22,0,0,0,-163,0
132,390,-21,0,0,0,-164,0
133,391,-20,0,0,0,-165,0
134,393,-19,0,0,0,-166,0
135,393,-19,0,0,0,-167,0
136,394,-19,0,0,0,-168,0
137,394,-19,0,0,0,-169,0
138,394,-19,0,0,0,-170,0
139,396,-17,0,0,0,-171,0
140,397,-16,0,0,0,-172,0
141,399,-14,0,0,0,-173,0
142,400,-13,0,0,0,-174,0
143,400,-13,0,0,0,-175,0
144,400,-12,0,0,0,-176,0
145,400,-11,0,0,0,-177,0
146,401,-10,0,0,0,-178,0
147,401,-10,0,0,0,-179,0
