t,x,y,fh,fv,r,s,frame:
0,-443,82,0,0,40,-77,1
1,-444,83,0,0,40,-77,1
2,-444,84,0,0,40,-77,1
3,-444,85,0,0,40,-77,1
4,-444,85,0,0,40,-77,1
5,-444,85,0,0,40,-77,1
6,-444,85,0,0,40,-77,1
7,-444,84,0,0,40,-77,1
8,-443,80,0,0,40,-77,1
9,-442,76,0,0,40,-77,1
10,-441,74,0,0,40,-77,1
11,-441,73,0,0,40,-77,1
12,-441,73,0,0,40,-77,1
13,-441,73,0,0,40,-77,1
14,-441,73,0,0,40,-77,1
15,-441,75,0,0,40,-77,1
16,-442,77,0,0,40,-77,1
17,-442,78,0,0,40,-77,1
18,-442,79,0,0,40,-77,1
19,-442,79,0,0,40,-77,1
20,-442,79,0,0,40,-77,1
21,-442,79,0,0,40,-77,1
22,-442,79,0,0,40,-77,1
23,-441,75,0,0,40,-77,1
24,-440,72,0,0,40,-77,1
25,-439,70,0,0,40,-77,1
26,-438,69,0,0,40,-77,1
27,-438,69,0,0,40,-77,1
28,-438,70,0,0,40,-77,1
29,-440,74,0,0,40,-77,1
30,-441,78,0,0,40,-77,1
31,-443,80,0,0,40,-77,1
32,-444,82,0,0,40,-77,1
33,-444,82,0,0,40,-77,1
34,-444,82,0,0,40,-77,1
35,-444,82,0,0,40,-77,1
36,-444,82,0,0,40,-77,1
37,-444,80,0,0,40,-77,1
38,-443,78,0,0,40,-77,1
39,-441,76,0,0,40,-77,1
40,-441,75,0,0,40,-77,1
41,-441,75,0,0,40,-77,1
42,-441,75,0,0,40,-77,1
43,-441,76,0,0,40,-77,1
44,-442,82,0,0,40,-77,1
45,-442,84,0,0,40,-77,1
46,-442,84,0,0,40,-77,1
47,-442,84,0,0,40,-77,1
48,-442,84,0,0,40,-77,1
49,-442,84,0,0,40,-77,1
50,-443,84,0,0,40,-77,1
51,-443,84,0,0,40,-77,1
52,-443,84,0,0,40,-77,1
53,-443,84,0,0,40,-77,1
54,-443,84,0,0,40,-77,1
55,-443,84,0,0,40,-77,1
56,-443,84,0,0,40,-77,1
57,-443,84,0,0,40,-77,1
58,-443,84,0,0,40,-77,1
59,-462,180,0,0,1,-77,0
60,-462,180,0,0,1,-77,0
61,-462,180,0,0,1,-77,0
62,-462,180,0,0,1,-77,0
63,-462,180,0,0,1,-77,0
64,-462,180,0,0,1,-77,0
65,-462,180,0,0,1,-77,0
66,-462,180,0,0,1,-77,0
67,-462,180,0,0,1,-77,0
68,-462,180,0,0,1,-77,0
69,-462,180,0,0,1,-77,0
70,-462,180,0,0,1,-77,0
71,-462,180,0,0,1,-77,0
72,-462,180,0,0,1,-77,0
73,-462,180,0,0,1,-77,0
74,-462,180,0,0,1,-77,0
75,-462,180,0,0,1,-77,0
76,-462,180,0,0,1,-77,0
77,-462,180,0,0,1,-77,0
78,-462,180,0,0,1,-77,0
79,-462,180,0,0,1,-77,0
80,-462,180,0,0,1,-77,0
81,-462,180,0,0,1,-77,0
82,-462,180,0,0,1,-77,0
83,-462,180,0,0,1,-77,0
84,-462,180,0,0,1,-77,0
85,-462,180,0,0,1,-77,0
86,-462,180,0,0,1,-77,0
87,-462,180,0,0,1,-77,0
88,-462,180,0,0,1,-77,0
89,-462,180,0,0,1,-77,0
90,-462,180,0,0,1,-77,0
91,-462,180,0,0,1,-77,0
92,-462,180,0,0,1,-77,0
93,-462,180,0,0,1,-77,0
94,-462,180,0,0,1,-77,0
95,-462,180,0,0,1,-77,0
96,-462,180,0,0,1,-77,0
97,-462,180,0,0,1,-77,0
98,-462,180,0,0,1,-77,0
99,-462,180,0,0,1,-77,0
100,-462,180,0,0,1,-77,0
101,-462,180,0,0,1,-77,0
102,-462,180,0,0,1,-77,0
103,-462,180,0,0,1,-77,0
104,-462,180,0,0,1,-77,0
105,-462,180,0,0,1,-77,0
106,-462,180,0,0,1,-77,0
107,-462,180,0,0,1,-77,0
108,-462,180,0,0,1,-77,0
109,-462,180,0,0,1,-77,0
110,-462,180,0,0,1,-77,0
111,-462,180,0,0,1,-77,0
112,-462,180,0,0,1,-77,0
113,-462,180,0,0,1,-77,0
114,-462,180,0,0,1,-77,0
115,-316,136,0,1,52,-77,1
116,-316,136,0,1,52,-77,1
117,-316,136,0,1,52,-77,1
118,-316,136,0,1,52,-77,1
119,-316,136,0,1,52,-77,1
120,-316,135,0,1,52,-77,1
121,-315,135,0,1,52,-77,1
122,-315,134,0,1,52,-77,1
123,-315,134,0,1,52,-77,1
124,-315,134,0,1,52,-77,1
125,-315,134,0,1,52,-77,1
126,-315,134,0,1,52,-77,1
127,-315,138,0,1,52,-77,1
128,-315,141,0,1,52,-77,1
129,-315,144,0,1,52,-77,1
130,-315,144,0,1,52,-77,1
131,-315,144,0,1,52,-77,1
132,-315,144,0,1,52,-77,1
133,-315,144,0,1,52,-77,1
134,-315,144,0,1,52,-77,1
135,-315,143,0,1,52,-77,1
136,-315,140,0,1,52,-77,1
137,-314,137,0,1,52,-77,1
138,-314,136,0,1,52,-77,1
139,-314,136,0,1,52,-77,1
140,-314,136,0,1,52,-77,1
141,-314,136,0,1,52,-77,1
142,-314,137,0,1,52,-77,1
143,-315,140,0,1,52,-77,1
144,-315,142,0,1,52,-77,1
145,-315,143,0,1,52,-77,1
146,-315,143,0,1,52,-77,1
147,-315,143,0,1,52,-77,1
148,-315,143,0,1,52,-77,1
149,-315,142,0,1,52,-77,1
150,-315,142,0,1,52,-77,1
151,-315,141,0,1,52,-77,1
152,-315,141,0,1,52,-77,1
153,-315,141,0,1,52,-77,1
154,-315,141,0,1,52,-77,1
155,-315,141,0,1,52,-77,1
156,-315,141,0,1,52,-77,1
157,-315,141,0,1,52,-77,1
158,-315,141,0,1,52,-77,1
159,-315,142,0,1,52,-77,1
160,-316,144,0,1,52,-77,1
161,-317,148,0,1,52,-77,1
162,-318,150,0,1,52,-77,1
163,-318,152,0,1,52,-77,1
164,-318,153,0,1,52,-77,1
165,-318,153,0,1,52,-77,1
166,-318,153,0,1,52,-77,1
167,-318,153,0,1,52,-77,1
168,-318,151,0,1,52,-77,1
169,-318,150,0,1,52,-77,1
170,-318,150,0,1,52,-77,1
171,-318,149,0,1,52,-77,1
172,-318,149,0,1,52,-77,1
173,-318,149,0,1,52,-77,1
174,-318,149,0,1,52,-77,1
175,-318,149,0,1,52,-77,1
176,-318,149,0,1,52,-77,1
177,-318,149,0,1,52,-77,1
178,-317,149,0,1,52,-77,1
179,-317,149,0,1,52,-77,1
180,-317,149,0,1,52,-77,1
181,-317,149,0,1,52,-77,1
182,-316,149,0,1,52,-77,1
183,-314,147,0,1,52,-77,1
184,-312,145,0,1,52,-77,1
185,-310,142,0,1,52,-77,1
186,-310,142,0,1,52,-77,1
187,-311,143,0,1,52,-77,1
188,-312,145,0,1,52,-77,1
189,-313,147,0,1,52,-77,1
190,-313,148,0,1,52,-77,1
191,-313,148,0,1,52,-77,1
192,-313,148,0,1,52,-77,1
193,-313,148,0,1,52,-77,1
194,-313,148,0,1,52,-77,1
195,-313,148,0,1,52,-77,1
196,-314,148,0,1,52,-77,1
197,-275,181,0,1,180,-77,0
198,-275,181,0,1,180,-77,0
199,-275,181,0,1,180,-77,0
200,-275,181,0,1,180,-77,0
201,-275,181,0,1,180,-77,0
