t,x,y,fh,fv,r,s,frame:
0,-308,80,0,0,0,-103,0
1,-308,80,0,0,0,-103,0
2,-308,80,0,0,0,-103,0
3,-308,80,0,0,0,-103,0
4,-308,80,0,0,0,-103,0
5,-308,80,0,0,0,-103,0
6,-308,80,0,0,0,-103,0
7,-308,80,0,0,0,-103,0
8,-308,80,0,0,0,-103,0
9,-307,81,0,0,0,-103,0
10,-307,82,0,0,0,-103,0
11,-306,82,0,0,0,-103,0
12,-306,82,0,0,0,-103,0
13,-305,83,0,0,0,-103,0
14,-304,84,0,0,0,-103,0
15,-303,85,0,0,0,-103,0
16,-303,85,0,0,0,-103,0
17,-303,85,0,0,0,-103,0
18,-303,85,0,0,0,-103,0
19,-303,86,0,0,0,-103,0
20,-303,86,0,0,0,-103,0
21,-302,87,0,0,0,-103,0
22,-301,87,0,0,0,-103,0
23,-301,88,0,0,0,-103,0
24,-301,88,0,0,0,-103,0
25,-300,88,0,0,0,-103,0
26,-300,88,0,0,0,-103,0
27,-299,88,0,0,0,-103,0
28,-299,89,0,0,0,-103,0
29,-299,89,0,0,0,-103,0
30,-299,89,0,0,0,-103,0
31,-299,89,0,0,0,-103,0
32,-299,89,0,0,0,-103,0
33,-299,90,0,0,0,-103,0
34,-298,90,0,0,0,-103,0
35,-298,90,0,0,0,-103,0
36,-298,90,0,0,0,-103,0
37,-297,90,0,0,0,-103,0
38,-297,90,0,0,0,-103,0
39,-297,90,0,0,0,-103,0
40,-297,91,0,0,0,-103,0
41,-296,91,0,0,0,-103,0
42,-296,92,0,0,0,-103,0
43,-296,92,0,0,0,-103,0
44,-296,92,0,0,0,-103,0
45,-296,92,0,0,0,-103,0
46,-296,92,0,0,0,-103,0
47,-296,93,0,0,0,-103,0
48,-296,93,0,0,0,-103,0
49,-296,93,0,0,0,-103,0
50,-296,94,0,0,0,-103,0
51,-296,95,0,0,0,-103,0
52,-296,97,0,0,0,-103,0
53,-297,98,0,0,0,-103,0
54,-297,98,0,0,0,-103,0
55,-297,98,0,0,0,-103,0
56,-298,98,0,0,0,-103,0
57,-298,99,0,0,0,-103,0
58,-298,99,0,0,0,-103,0
59,-298,99,0,0,0,-103,0
60,-299,100,0,0,0,-103,0
61,-299,100,0,0,0,-103,0
62,-299,100,0,0,0,-103,0
63,-300,101,0,0,0,-103,0
64,-300,102,0,0,0,-103,0
65,-300,103,0,0,0,-103,0
66,-300,104,0,0,0,-103,0
67,-300,104,0,0,0,-103,0
68,-300,105,0,0,0,-103,0
69,-300,107,0,0,0,-103,0
70,-300,108,0,0,0,-103,0
71,-299,110,0,0,0,-103,0
72,-298,112,0,0,0,-103,0
73,-297,114,0,0,0,-103,0
74,-294,117,0,0,0,-103,0
75,-291,120,0,0,0,-103,0
76,-288,122,0,0,0,-103,0
77,-286,124,0,0,0,-103,0
78,-284,126,0,0,0,-103,0
79,-282,127,0,0,0,-103,0
80,-281,128,0,0,0,-103,0
81,-278,131,0,0,0,-103,0
82,-275,134,0,0,0,-103,0
83,-274,135,0,0,0,-103,0
84,-272,137,0,0,0,-103,0
85,-269,140,0,0,0,-103,0
86,-267,142,0,0,0,-103,0
87,-266,143,0,0,0,-103,0
88,-264,146,0,0,0,-103,0
89,-262,148,0,0,0,-103,0
90,-261,150,0,0,0,-103,0
91,-260,152,0,0,0,-103,0
92,-260,153,0,0,0,-103,0
93,-259,155,0,0,0,-103,0
94,-259,157,0,0,0,-103,0
95,-259,158,0,0,0,-103,0
96,-259,159,0,0,0,-103,0
97,-259,160,0,0,0,-103,0
98,-260,161,0,0,0,-103,0
99,-261,162,0,0,0,-103,0
100,-262,163,0,0,0,-103,0
101,-263,164,0,0,0,-103,0
102,-263,165,0,0,0,-103,0
103,-264,166,0,0,0,-103,0
104,-265,168,0,0,0,-103,0
105,-266,170,0,0,0,-103,0
106,-268,172,0,0,0,-103,0
107,-268,174,0,0,0,-103,0
108,-269,176,0,0,0,-103,0
109,-269,178,0,0,0,-103,0
110,-270,180,0,0,0,-103,0
111,-270,181,0,0,0,-103,0
112,-270,182,0,0,0,-103,0
113,-270,187,0,0,0,-103,0
114,-269,190,0,0,0,-103,0
115,-268,193,0,0,0,-103,0
116,-267,195,0,0,0,-103,0
117,-267,197,0,0,0,-103,0
118,-266,199,0,0,0,-103,0
119,-264,202,0,0,0,-103,0
120,-261,206,0,0,0,-103,0
121,-258,210,0,0,0,-103,0
122,-255,213,0,0,0,-103,0
123,-252,217,0,0,0,-103,0
124,-250,219,0,0,0,-103,0
125,-247,223,0,0,0,-103,0
