t,x,y,fh,fv,r,s,frame:
0,-370,174,0,0,76,0,0
1,-370,174,0,0,76,0,0
2,-370,174,0,0,76,0,0
3,-370,174,0,0,76,0,0
4,-370,174,0,0,76,0,0
5,-370,174,0,0,76,0,0
6,-368,171,0,0,75,0,0
7,-361,163,0,0,74,0,0
8,-352,153,0,0,73,0,0
9,-345,142,0,0,72,0,0
10,-337,130,0,0,71,0,0
11,-327,118,0,0,70,0,0
12,-314,104,0,0,69,0,0
13,-296,88,0,0,68,0,0
14,-282,78,0,0,67,0,0
15,-260,66,0,0,66,0,0
16,-236,56,0,0,65,0,0
17,-197,41,0,0,64,0,0
18,-176,35,0,0,63,0,0
19,-154,28,0,0,62,0,0
20,-138,23,0,0,61,0,0
21,-127,20,0,0,60,0,0
22,-118,20,0,0,59,0,0
23,-108,19,0,0,58,0,0
24,-96,17,0,0,57,0,0
25,-85,17,0,0,56,0,0
26,-70,17,0,0,55,0,0
27,-58,17,0,0,54,0,0
28,-48,17,0,0,53,0,0
29,-38,17,0,0,52,0,0
30,-30,17,0,0,51,0,0
31,-19,18,0,0,50,0,0
32,-8,21,0,0,49,0,0
33,2,23,0,0,48,0,0
34,11,24,0,0,47,0,0
35,16,27,0,0,46,0,0
36,18,27,0,0,45,0,0
37,21,30,0,0,44,0,0
38,27,34,0,0,43,0,0
39,31,36,0,0,42,0,0
40,32,37,0,0,41,0,0
41,34,39,0,0,40,0,0
42,36,40,0,0,39,0,0
43,38,42,0,0,38,0,0
44,40,44,0,0,37,0,0
45,41,46,0,0,36,0,0
46,42,47,0,0,35,0,0
47,42,47,0,0,34,0,0
48,43,48,0,0,33,0,0
49,44,50,0,0,32,0,0
50,44,53,0,0,31,0,0
51,45,55,0,0,30,0,0
52,46,57,0,0,29,0,0
53,46,59,0,0,28,0,0
54,46,63,0,0,27,0,0
55,46,66,0,0,26,0,0
56,46,68,0,0,25,0,0
57,46,69,0,0,24,0,0
58,46,70,0,0,23,0,0
59,46,73,0,0,22,0,0
60,46,75,0,0,21,0,0
61,46,78,0,0,20,0,0
62,47,81,0,0,19,0,0
63,47,83,0,0,18,0,0
64,48,85,0,0,17,0,0
65,49,85,0,0,16,0,0
66,50,87,0,0,15,0,0
67,52,91,0,0,14,0,0
68,53,93,0,0,13,0,0
69,57,98,0,0,12,0,0
70,59,100,0,0,11,0,0
71,60,101,0,0,10,0,0
72,61,103,0,0,9,0,0
73,62,104,0,0,8,0,0
74,62,104,0,0,7,0,0
75,62,104,0,0,6,0,0
76,62,104,0,0,5,0,0
77,62,105,0,0,4,0,0
78,64,109,0,0,3,0,0
79,65,111,0,0,2,0,0
80,66,113,0,0,1,0,0
81,67,115,0,0,0,0,0
82,68,117,0,0,0,0,0
83,68,118,0,0,0,0,0
84,68,118,0,0,0,0,0
85,69,118,0,0,0,0,0
86,69,118,0,0,0,0,0
87,69,118,0,0,0,0,0
88,69,118,0,0,0,0,0
89,69,118,0,0,0,0,0
90,69,118,0,0,0,0,0
91,69,118,0,0,0,0,0
92,69,118,0,0,0,0,0
93,69,118,0,0,0,0,0
94,69,116,0,0,0,0,0
95,69,116,0,0,0,0,0
96,69,116,0,0,0,0,0
97,69,116,0,0,0,0,0
98,69,116,0,0,0,0,0
99,69,116,0,0,0,0,0
100,69,116,0,0,0,0,0
101,69,116,0,0,0,0,0
102,69,116,0,0,0,0,0
103,69,116,0,0,0,0,0
104,69,116,0,0,0,0,0
105,73,114,0,0,0,0,0
106,76,113,0,0,0,0,0
107,79,113,0,0,0,0,0
108,80,113,0,0,0,0,0
109,81,113,0,0,0,0,0
110,81,113,0,0,0,0,0
111,81,113,0,0,0,0,0
112,81,113,0,0,0,0,0
113,81,113,0,0,0,0,0
