t,x,y,fh,fv,r,s,frame:
0,-403,-71,0,0,0,-79,0
1,-403,-71,0,0,0,-79,0
2,-403,-71,0,0,0,-79,0
3,-403,-71,0,0,0,-79,0
4,-403,-71,0,0,0,-79,0
5,-403,-71,0,0,0,-79,0
6,-403,-71,0,0,0,-79,0
7,-403,-71,0,0,0,-79,0
8,-403,-71,0,0,0,-79,0
9,-403,-71,0,0,0,-79,0
10,-403,-71,0,0,0,-79,0
11,-403,-71,0,0,0,-79,0
12,-403,-71,0,0,0,-79,0
13,-403,-71,0,0,0,-79,0
14,-403,-71,0,0,0,-79,0
15,-403,-71,0,0,0,-79,0
16,-404,-71,0,0,0,-79,0
17,-404,-71,0,0,0,-79,0
18,-404,-71,0,0,0,-79,0
19,-404,-71,0,0,0,-79,0
20,-404,-71,0,0,0,-79,0
21,-404,-71,0,0,0,-79,0
22,-404,-70,0,0,0,-79,0
23,-404,-70,0,0,0,-79,0
24,-404,-70,0,0,0,-79,0
25,-404,-70,0,0,0,-79,0
26,-404,-70,0,0,0,-79,0
27,-405,-70,0,0,0,-79,0
28,-405,-70,0,0,0,-79,0
29,-405,-70,0,0,0,-79,0
30,-405,-70,0,0,0,-79,0
31,-405,-69,0,0,0,-79,0
32,-406,-69,0,0,0,-79,0
33,-406,-69,0,0,0,-79,0
34,-406,-69,0,0,0,-79,0
35,-406,-69,0,0,0,-79,0
36,-407,-69,0,0,0,-79,0
37,-407,-69,0,0,0,-79,0
38,-407,-69,0,0,0,-79,0
39,-407,-68,0,0,0,-79,0
40,-407,-68,0,0,0,-79,0
41,-407,-68,0,0,0,-79,0
42,-407,-68,0,0,0,-79,0
43,-407,-68,0,0,0,-79,0
44,-408,-68,0,0,0,-79,0
45,-408,-68,0,0,0,-79,0
46,-408,-67,0,0,0,-79,0
47,-408,-67,0,0,0,-79,0
48,-409,-67,0,0,0,-79,0
49,-409,-67,0,0,0,-79,0
50,-409,-67,0,0,0,-79,0
51,-409,-67,0,0,0,-79,0
52,-410,-67,0,0,0,-79,0
53,-410,-66,0,0,0,-79,0
54,-411,-66,0,0,0,-79,0
55,-412,-66,0,0,0,-79,0
56,-412,-66,0,0,0,-79,0
57,-412,-66,0,0,0,-79,0
58,-413,-66,0,0,0,-79,0
59,-414,-66,0,0,0,-79,0
60,-414,-66,0,0,0,-79,0
61,-416,-66,0,0,0,-79,0
62,-417,-65,0,0,0,-79,0
63,-418,-65,0,0,0,-79,0
64,-418,-65,0,0,0,-79,0
65,-418,-65,0,0,0,-79,0
66,-418,-65,0,0,0,-79,0
