t,x,y,fh,fv,r,s,frame:
0,-468,183,0,0,0,-71,0
1,-468,183,0,0,0,-71,0
2,-468,183,0,0,0,-71,0
3,-468,183,0,0,0,-71,0
4,-468,183,0,0,0,-71,0
5,-468,183,0,0,0,-71,0
6,-468,183,0,0,0,-71,0
7,-468,183,0,0,0,-71,0
8,-467,183,0,0,0,-71,0
9,-465,183,0,0,0,-71,0
10,-460,182,0,0,0,-71,0
11,-456,181,0,0,0,-71,0
12,-451,181,0,0,0,-71,0
13,-448,180,0,0,0,-71,0
14,-448,180,0,0,0,-71,0
15,-448,180,0,0,0,-71,0
16,-446,182,0,0,0,-71,0
17,-444,185,0,0,0,-71,0
18,-441,190,0,0,0,-71,0
19,-436,194,0,0,0,-71,0
20,-434,197,0,0,0,-71,0
21,-432,198,0,0,0,-71,0
22,-432,198,0,0,0,-71,0
23,-432,198,0,0,0,-71,0
24,-431,198,0,0,0,-71,0
25,-428,196,0,0,0,-71,0
26,-425,194,0,0,0,-71,0
27,-422,193,0,0,0,-71,0
28,-418,191,0,0,0,-71,0
29,-416,190,0,0,0,-71,0
30,-415,190,0,0,0,-71,0
31,-415,190,0,0,0,-71,0
32,-415,190,0,0,0,-71,0
33,-415,190,0,0,0,-71,0
34,-414,190,0,0,0,-71,0
35,-412,191,0,0,0,-71,0
36,-410,193,0,0,0,-71,0
37,-407,195,0,0,0,-71,0
38,-405,196,0,0,0,-71,0
39,-404,197,0,0,0,-71,0
40,-403,197,0,0,0,-71,0
41,-402,197,0,0,0,-71,0
42,-400,197,0,0,0,-71,0
43,-396,197,0,0,0,-71,0
44,-392,194,0,0,0,-71,0
45,-386,191,0,0,0,-71,0
46,-382,189,0,0,0,-71,0
47,-380,187,0,0,0,-71,0
48,-378,187,0,0,0,-71,0
49,-378,186,0,0,0,-71,0
50,-378,186,0,0,0,-71,0
51,-378,186,0,0,0,-71,0
52,-377,186,0,0,0,-71,0
53,-376,188,0,0,0,-71,0
54,-373,190,0,0,0,-71,0
55,-372,191,0,0,0,-71,0
56,-369,194,0,0,0,-71,0
57,-369,194,0,0,0,-71,0
58,-368,195,0,0,0,-71,0
59,-368,195,0,0,0,-71,0
60,-366,195,0,0,0,-71,0
61,-363,193,0,0,0,-71,0
62,-360,190,0,0,0,-71,0
63,-356,187,0,0,0,-71,0
64,-354,186,0,0,0,-71,0
65,-352,185,0,0,0,-71,0
66,-351,184,0,0,0,-71,0
67,-351,184,0,0,0,-71,0
68,-349,184,0,0,0,-71,0
69,-347,184,0,0,0,-71,0
70,-346,185,0,0,0,-71,0
71,-344,186,0,0,0,-71,0
72,-343,187,0,0,0,-71,0
73,-343,187,0,0,0,-71,0
74,-343,187,0,0,0,-71,0
75,-343,187,0,0,0,-71,0
