t,x,y,fh,fv,r,s,frame:
0,612,88,1,0,0,0,0
1,611,88,1,0,0,0,0
2,611,88,1,0,0,0,0
3,611,88,1,0,0,0,0
4,611,88,1,0,0,0,0
5,611,88,1,0,0,0,0
6,611,87,1,0,0,0,0
7,611,84,1,0,0,0,0
8,607,77,1,0,0,0,0
9,604,73,1,0,0,0,0
10,600,69,1,0,0,0,0
11,596,66,1,0,0,0,0
12,591,64,1,0,0,0,0
13,587,63,1,0,0,0,0
14,581,62,1,0,0,0,0
15,576,62,1,0,0,0,0
16,569,62,1,0,0,0,0
17,557,62,1,0,0,0,0
18,553,62,1,0,0,0,0
19,545,62,1,0,0,0,0
20,537,64,1,0,0,0,0
21,530,67,1,0,0,0,0
22,523,70,1,0,0,0,0
23,511,78,1,0,0,0,0
24,507,81,1,0,0,0,0
25,495,95,1,0,0,0,0
26,487,106,1,0,0,0,0
27,477,114,1,0,0,0,0
28,467,123,1,0,0,0,0
29,457,130,1,0,0,0,0
30,447,137,1,0,0,0,0
31,444,137,1,0,0,0,0
32,444,137,1,0,0,0,0
33,444,137,1,0,0,0,0
34,444,135,1,0,0,0,0
35,441,125,1,0,0,0,0
36,437,118,1,0,0,0,0
37,428,110,1,0,0,0,0
38,422,104,1,0,0,0,0
39,413,97,1,0,0,0,0
40,409,95,1,0,0,0,0
41,407,94,1,0,0,0,0
42,405,94,1,0,0,0,0
43,403,93,1,0,0,0,0
44,400,93,1,0,0,0,0
45,396,93,1,0,0,0,0
46,391,93,1,0,0,0,0
47,384,93,1,0,0,0,0
48,376,95,1,0,0,0,0
49,366,98,1,0,0,0,0
50,356,101,1,0,0,0,0
51,347,106,1,0,0,0,0
52,338,111,1,0,0,0,0
53,329,117,1,0,0,0,0
54,321,122,1,0,0,0,0
55,309,129,1,0,0,0,0
56,305,130,1,0,0,0,0
57,295,132,1,0,0,0,0
58,289,132,1,0,0,0,0
59,285,132,1,0,0,0,0
60,280,130,1,0,0,0,0
61,277,127,1,0,0,0,0
62,272,123,1,0,0,0,0
63,268,119,1,0,0,0,0
64,263,115,1,0,0,0,0
65,258,111,1,0,0,0,0
66,254,107,1,0,0,0,0
67,247,101,1,0,0,0,0
68,242,97,1,0,0,0,0
69,235,93,1,0,0,0,0
70,226,90,1,0,0,0,0
71,218,87,1,0,0,0,0
72,214,85,1,0,0,0,0
73,213,85,1,0,0,0,0
74,210,85,1,0,0,0,0
75,206,86,1,0,0,0,0
76,200,88,1,0,0,0,0
77,192,92,1,0,0,0,0
78,181,99,1,0,0,0,0
79,163,110,1,0,0,0,0
80,150,119,1,0,0,0,0
81,130,131,1,0,0,0,0
82,119,137,1,0,0,0,0
83,113,138,1,0,0,0,0
84,111,139,1,0,0,0,0
85,109,139,1,0,0,0,0
86,109,138,1,0,0,0,0
87,108,137,1,0,0,0,0
88,104,132,1,0,0,0,0
89,97,125,1,0,0,0,0
90,87,118,1,0,0,0,0
91,75,112,1,0,0,0,0
92,64,106,1,0,0,0,0
93,50,101,1,0,0,0,0
94,36,95,1,0,0,0,0
95,23,93,1,0,0,0,0
96,12,90,1,0,0,0,0
97,-1,88,1,0,0,0,0
98,-11,88,1,0,0,0,0
99,-23,88,1,0,0,0,0
100,-42,92,1,0,0,0,0
101,-54,97,1,0,0,0,0
102,-68,104,1,0,0,0,0
103,-75,108,1,0,0,0,0
104,-94,121,1,0,0,0,0
105,-108,128,1,0,0,0,0
106,-122,135,1,0,0,0,0
107,-131,137,1,0,0,0,0
108,-139,140,1,0,0,0,0
109,-145,140,1,0,0,0,0
110,-147,140,1,0,0,0,0
111,-148,140,1,0,0,0,0
112,-151,137,1,0,0,0,0
113,-155,132,1,0,0,0,0
114,-162,125,1,0,0,0,0
115,-169,118,1,0,0,0,0
116,-181,107,1,0,0,0,0
117,-189,100,1,0,0,0,0
118,-193,97,1,0,0,0,0
119,-204,90,1,0,0,0,0
120,-213,86,1,0,0,0,0
121,-219,84,1,0,0,0,0
122,-224,83,1,0,0,0,0
123,-228,83,1,0,0,0,0
124,-233,83,1,0,0,0,0
125,-239,87,1,0,0,0,0
126,-247,91,1,0,0,0,0
127,-256,97,1,0,0,0,0
128,-264,103,1,0,0,0,0
129,-274,111,1,0,0,0,0
130,-280,117,1,0,0,0,0
131,-284,122,1,0,0,0,0
132,-285,122,1,0,0,0,0
133,-285,122,1,0,0,0,0
134,-285,122,1,0,0,0,0
135,-285,122,1,0,0,0,0
136,-285,122,1,0,0,0,0
137,-285,122,1,0,0,0,0
138,-285,122,1,0,0,0,0
139,-285,122,1,0,0,0,0
140,-285,123,1,0,0,0,0
141,-286,123,1,0,0,0,0
142,-286,123,1,0,0,0,0
143,-286,123,1,0,0,0,0
144,-286,123,1,0,0,0,0
145,-286,123,1,0,0,0,0
146,-286,123,1,0,0,0,0
147,-286,123,1,0,0,0,0
148,-286,123,1,0,0,0,0
149,-286,123,1,0,0,0,0
150,-286,123,1,0,0,0,0
151,-286,123,1,0,0,0,0
152,-286,123,1,0,0,0,0
153,-286,123,1,0,0,0,0
154,-286,123,1,0,0,0,0
155,-286,123,1,0,0,0,0
156,-286,123,1,0,0,0,0
157,-286,123,1,0,0,0,0
158,-286,123,1,0,0,0,0
159,-286,123,1,0,0,0,0
160,-286,123,1,0,0,0,0
161,-286,123,1,0,0,0,0
162,-286,123,1,0,0,0,0
163,-286,123,1,0,0,0,0
164,-286,123,1,0,0,0,0
165,-286,123,1,0,0,0,0
166,-286,123,1,0,0,0,0
167,-286,123,1,0,0,0,0
168,-286,123,1,0,0,0,0
169,-286,123,1,0,0,0,0
170,-286,123,1,0,0,0,0
171,-286,123,1,0,0,0,0
172,-286,123,1,0,0,0,0
173,-286,123,1,0,0,0,0
174,-286,123,1,0,0,0,0
175,-286,123,1,0,0,0,0
176,-284,120,0,0,0,0,0
177,-284,120,0,0,0,0,0
178,-284,120,0,0,0,0,0
179,-284,120,0,0,0,0,0
180,-284,120,0,0,0,0,0
181,-284,120,0,0,0,0,0
182,-284,120,0,0,0,0,0
183,-283,120,0,0,0,0,0
184,-282,119,0,0,0,0,0
185,-279,117,0,0,0,0,0
186,-274,113,0,0,0,0,0
187,-268,109,0,0,0,0,0
188,-261,104,0,0,0,0,0
189,-245,94,0,0,0,0,0
190,-240,91,0,0,0,0,0
191,-230,88,0,0,0,0,0
192,-220,85,0,0,0,0,0
193,-217,84,0,0,0,0,0
194,-216,84,0,0,0,0,0
195,-216,84,0,0,0,0,0
196,-216,84,0,0,0,0,0
197,-214,84,0,0,0,0,0
198,-205,87,0,0,0,0,0
199,-191,91,0,0,0,0,0
200,-178,97,0,0,0,0,0
201,-163,103,0,0,0,0,0
202,-154,107,0,0,0,0,0
203,-146,112,0,0,0,0,0
204,-141,117,0,0,0,0,0
205,-139,120,0,0,0,0,0
206,-136,122,0,0,0,0,0
207,-136,123,0,0,0,0,0
208,-134,124,0,0,0,0,0
209,-132,125,0,0,0,0,0
210,-132,126,0,0,0,0,0
211,-132,126,0,0,0,0,0
212,-132,126,0,0,0,0,0
213,-131,126,0,0,0,0,0
214,-127,123,0,0,0,0,0
215,-101,111,0,0,0,0,0
216,-81,103,0,0,0,0,0
217,-60,96,0,0,0,0,0
218,-30,83,0,0,0,0,0
219,-9,73,0,0,0,0,0
220,14,67,0,0,0,0,0
221,33,64,0,0,0,0,0
222,47,64,0,0,0,0,0
223,72,64,0,0,0,0,0
224,83,64,0,0,0,0,0
225,87,65,0,0,0,0,0
226,96,68,0,0,0,0,0
227,102,71,0,0,0,0,0
228,106,76,0,0,0,0,0
229,112,82,0,0,0,0,0
230,117,86,0,0,0,0,0
231,125,93,0,0,0,0,0
232,133,102,0,0,0,0,0
233,143,108,0,0,0,0,0
234,147,111,0,0,0,0,0
235,147,111,0,0,0,0,0
236,147,111,0,0,0,0,0
237,147,111,0,0,0,0,0
238,147,111,0,0,0,0,0
239,147,111,0,0,0,0,0
240,149,109,0,0,0,0,0
241,155,105,0,0,0,0,0
242,165,98,0,0,0,0,0
243,176,93,0,0,0,0,0
244,195,87,0,0,0,0,0
245,209,83,0,0,0,0,0
246,234,79,0,0,0,0,0
247,254,74,0,0,0,0,0
248,282,73,0,0,0,0,0
249,301,73,0,0,0,0,0
250,316,73,0,0,0,0,0
251,324,74,0,0,0,0,0
252,340,82,0,0,0,0,0
253,346,88,0,0,0,0,0
254,353,93,0,0,0,0,0
255,358,101,0,0,0,0,0
256,363,109,0,0,0,0,0
257,367,115,0,0,0,0,0
258,371,121,0,0,0,0,0
259,374,125,0,0,0,0,0
260,376,127,0,0,0,0,0
261,376,127,0,0,0,0,0
262,376,127,0,0,0,0,0
263,376,127,0,0,0,0,0
264,376,127,0,0,0,0,0
265,376,126,0,0,0,0,0
266,382,120,0,0,0,0,0
267,389,113,0,0,0,0,0
268,398,105,0,0,0,0,0
269,417,94,0,0,0,0,0
270,429,88,0,0,0,0,0
271,442,81,0,0,0,0,0
272,459,79,0,0,0,0,0
273,469,77,0,0,0,0,0
274,481,77,0,0,0,0,0
275,491,77,0,0,0,0,0
276,497,80,0,0,0,0,0
277,501,82,0,0,0,0,0
278,507,85,0,0,0,0,0
279,512,90,0,0,0,0,0
280,519,98,0,0,0,0,0
281,523,103,0,0,0,0,0
282,526,107,0,0,0,0,0
283,530,111,0,0,0,0,0
284,535,116,0,0,0,0,0
285,536,118,0,0,0,0,0
286,537,119,0,0,0,0,0
287,537,119,0,0,0,0,0
288,537,119,0,0,0,0,0
289,537,119,0,0,0,0,0
290,537,119,0,0,0,0,0
291,539,115,0,0,0,0,0
292,542,110,0,0,0,0,0
293,546,104,0,0,0,0,0
294,553,96,0,0,0,0,0
295,559,89,0,0,0,0,0
296,564,85,0,0,0,0,0
297,569,81,0,0,0,0,0
298,572,79,0,0,0,0,0
299,574,78,0,0,0,0,0
300,575,77,0,0,0,0,0
301,576,76,0,0,0,0,0
302,579,75,0,0,0,0,0
303,583,75,0,0,0,0,0
304,589,74,0,0,0,0,0
305,596,73,0,0,0,0,0
306,604,73,0,0,0,0,0
307,608,73,0,0,0,0,0
308,609,73,0,0,0,0,0
309,609,73,0,0,0,0,0
310,613,78,0,0,0,0,0
311,614,82,0,0,0,0,0
312,617,85,0,0,0,0,0
313,617,87,0,0,0,0,0
314,617,87,0,0,0,0,0
