t,x,y,fh,fv,r,s,frame:
0,-435,191,0,0,85,0,0
1,-435,191,0,0,85,0,0
2,-435,191,0,0,85,0,0
3,-435,191,0,0,85,0,0
4,-435,191,0,0,85,0,0
5,-435,191,0,0,85,0,0
6,-435,191,0,0,85,0,0
7,-435,191,0,0,85,0,0
8,-435,191,0,0,85,0,0
9,-435,191,0,0,85,0,0
10,-435,191,0,0,85,0,0
11,-435,191,0,0,85,0,0
12,-435,191,0,0,85,0,0
13,-435,191,0,0,85,0,0
14,-435,191,0,0,85,0,0
15,-435,191,0,0,85,0,0
16,-435,191,0,0,85,0,0
17,-435,191,0,0,85,0,0
18,-435,191,0,0,85,0,0
19,-435,191,0,0,85,0,0
20,-435,191,0,0,85,0,0
21,-435,191,0,0,85,0,0
22,-435,191,0,0,85,0,0
23,-435,191,0,0,85,0,0
24,-435,191,0,0,85,0,0
25,-435,191,0,0,85,0,0
26,-435,191,0,0,85,0,0
27,-435,191,0,0,85,0,0
28,-435,191,0,0,85,0,0
29,-435,191,0,0,85,0,0
30,-435,191,0,0,85,0,0
31,-435,191,0,0,85,0,0
32,-435,191,0,0,85,0,0
33,-435,191,0,0,85,0,0
34,-435,191,0,0,85,0,0
35,-435,191,0,0,85,0,0
36,-435,191,0,0,85,0,0
37,-435,191,0,0,85,0,0
38,-435,191,0,0,85,0,0
39,-435,191,0,0,85,0,0
40,-435,191,0,0,85,0,0
41,-435,191,0,0,85,0,0
42,-435,191,0,0,85,0,0
43,-435,191,0,0,85,0,0
44,-435,191,0,0,85,0,0
45,-435,191,0,0,85,0,0
46,-435,191,0,0,85,0,0
47,-435,191,0,0,85,0,0
48,-435,191,0,0,85,0,0
49,-435,191,0,0,85,0,0
50,-435,191,0,0,85,0,0
51,-435,191,0,0,85,0,0
52,-435,191,0,0,85,0,0
53,-435,191,0,0,85,0,0
54,-435,191,0,0,85,0,0
55,-435,191,0,0,85,0,0
56,-435,191,0,0,85,0,0
57,-435,191,0,0,85,0,0
58,-435,191,0,0,85,0,0
59,-435,191,0,0,85,0,0
60,-435,191,0,0,85,0,0
61,-435,191,0,0,85,0,0
62,-435,191,0,0,85,0,0
63,-435,191,0,0,85,0,0
64,-435,191,0,0,85,0,0
65,-435,191,0,0,85,0,0
66,-435,191,0,0,85,0,0
67,-435,191,0,0,85,0,0
68,-435,191,0,0,85,0,0
69,-435,191,0,0,85,0,0
70,-435,191,0,0,85,0,0
71,-435,191,0,0,85,0,0
72,-435,191,0,0,85,0,0
73,-435,191,0,0,85,0,0
74,-435,191,0,0,85,0,0
75,-435,191,0,0,85,0,0
76,-435,191,0,0,85,0,0
77,-435,191,0,0,85,0,0
78,-435,191,0,0,85,0,0
79,-435,191,0,0,85,0,0
80,-435,191,0,0,85,0,0
81,-435,191,0,0,85,0,0
82,-435,191,0,0,85,0,0
83,-435,191,0,0,85,0,0
84,-435,191,0,0,85,0,0
85,-435,191,0,0,85,0,0
