t,x,y,fh,fv,r,s,frame:
0,51,103,1,0,0,-51,0
1,51,103,1,0,0,-51,0
2,52,103,1,0,0,-51,0
3,52,103,1,0,0,-51,0
4,52,103,1,0,0,-51,0
5,52,102,1,0,0,-51,0
6,52,102,1,0,0,-51,0
7,52,102,1,0,0,-51,0
8,52,102,1,0,0,-51,0
9,52,102,1,0,0,-51,0
10,52,102,1,0,0,-51,0
11,52,102,1,0,0,-51,0
12,52,102,1,0,0,-51,0
13,52,102,1,0,0,-51,0
14,52,102,1,0,0,-51,0
15,52,102,1,0,0,-51,0
16,52,102,1,0,0,-51,0
17,52,102,1,0,0,-51,0
18,52,102,1,0,0,-51,0
19,52,102,1,0,0,-51,0
20,52,102,1,0,0,-51,0
21,52,102,1,0,0,-51,0
22,52,102,1,0,0,-51,0
23,52,102,1,0,0,-51,0
24,52,102,1,0,0,-51,0
25,52,102,1,0,0,-51,0
26,52,102,1,0,0,-51,0
27,52,102,1,0,0,-51,0
28,52,102,1,0,0,-51,0
29,52,102,1,0,0,-51,0
30,52,102,1,0,0,-51,0
31,52,102,1,0,0,-51,0
32,52,102,1,0,0,-51,0
33,52,102,1,0,0,-51,0
34,52,102,1,0,0,-51,0
35,52,102,1,0,0,-51,0
36,52,102,1,0,0,-51,0
37,52,102,1,0,0,-51,0
38,52,102,1,0,0,-51,0
39,52,102,1,0,0,-51,0
40,52,102,1,0,0,-51,0
41,52,102,1,0,0,-51,0
42,52,102,1,0,0,-51,0
43,52,102,1,0,0,-51,0
44,52,102,1,0,0,-51,0
45,52,102,1,0,0,-51,0
46,52,102,1,0,0,-51,0
47,52,102,1,0,0,-51,0
48,52,102,1,0,0,-51,0
49,52,102,1,0,0,-51,0
50,52,102,1,0,0,-51,0
51,52,102,1,0,0,-51,0
52,52,102,1,0,0,-51,0
53,52,102,1,0,0,-51,0
54,52,102,1,0,0,-51,0
55,52,102,1,0,30,-51,0
56,52,102,1,0,30,-51,0
57,52,102,1,0,30,-51,0
58,52,102,1,0,30,-51,0
59,52,102,1,0,30,-51,0
60,52,102,1,0,30,-51,0
61,52,102,1,0,30,-51,0
62,51,102,1,0,30,-51,0
63,51,102,1,0,30,-51,0
64,51,102,1,0,30,-51,0
65,49,100,1,0,30,-51,0
66,45,96,1,0,30,-51,0
67,41,93,1,0,30,-51,0
68,35,90,1,0,30,-51,0
69,29,87,1,0,30,-51,0
