t,x,y,fh,fv,r,s,frame:
0,77,-111,0,0,0,-100,0
1,77,-111,0,0,0,-100,0
2,77,-111,0,0,0,-100,0
3,77,-111,0,0,0,-100,0
4,77,-111,0,0,0,-100,0
5,77,-111,0,0,0,-100,0
6,77,-111,0,0,0,-100,0
7,77,-111,0,0,0,-100,0
8,77,-111,0,0,0,-100,0
9,77,-111,0,0,0,-100,0
10,77,-110,0,0,0,-100,0
11,76,-110,0,0,0,-100,0
12,76,-110,0,0,0,-100,0
13,76,-110,0,0,0,-100,0
14,76,-110,0,0,0,-100,0
15,75,-110,0,0,0,-100,0
16,75,-110,0,0,0,-100,0
17,75,-110,0,0,0,-100,0
18,75,-110,0,0,0,-100,0
19,75,-110,0,0,0,-100,0
20,74,-110,0,0,0,-100,0
21,74,-109,0,0,0,-100,0
22,74,-109,0,0,0,-100,0
23,74,-109,0,0,0,-100,0
24,74,-109,0,0,0,-100,0
25,73,-109,0,0,0,-100,0
26,73,-109,0,0,0,-100,0
27,73,-109,0,0,0,-100,0
28,73,-109,0,0,0,-100,0
29,73,-109,0,0,0,-100,0
30,73,-109,0,0,0,-100,0
31,72,-109,0,0,0,-100,0
32,72,-109,0,0,0,-100,0
33,72,-109,0,0,0,-100,0
34,71,-109,0,0,0,-100,0
35,70,-109,0,0,0,-100,0
36,70,-109,0,0,0,-100,0
37,70,-109,0,0,0,-100,0
38,70,-108,0,0,0,-100,0
39,69,-108,0,0,0,-100,0
40,69,-108,0,0,0,-100,0
41,68,-108,0,0,0,-100,0
42,67,-108,0,0,0,-100,0
43,67,-108,0,0,0,-100,0
44,67,-108,0,0,0,-100,0
45,66,-108,0,0,0,-100,0
46,65,-108,0,0,0,-100,0
47,65,-108,0,0,0,-100,0
48,65,-108,0,0,0,-100,0
49,65,-108,0,0,0,-100,0
50,64,-108,0,0,0,-100,0
51,63,-109,0,0,0,-100,0
52,63,-109,0,0,0,-100,0
53,62,-109,0,0,0,-100,0
54,62,-109,0,0,0,-100,0
55,62,-109,0,0,0,-100,0
56,62,-109,0,0,0,-100,0
57,62,-109,0,0,0,-100,0
58,62,-110,0,0,0,-100,0
59,62,-110,0,0,0,-100,0
60,62,-110,0,0,0,-100,0
61,62,-110,0,0,0,-100,0
62,62,-110,0,0,0,-100,0
63,62,-110,0,0,0,-100,0
64,62,-110,0,0,0,-100,0
65,61,-110,0,0,0,-100,0
66,61,-110,0,0,0,-100,0
67,61,-110,0,0,0,-100,0
68,61,-110,0,0,0,-100,0
69,61,-110,0,0,0,-100,0
70,61,-110,0,0,0,-100,0
71,61,-110,0,0,0,-100,0
72,61,-110,0,0,0,-100,0
73,61,-111,0,0,0,-100,0
74,61,-111,0,0,0,-100,0
75,61,-111,0,0,0,-100,0
76,60,-111,0,0,0,-100,0
77,60,-111,0,0,0,-100,0
78,60,-111,0,0,0,-100,0
79,60,-111,0,0,0,-100,0
80,60,-111,0,0,0,-100,0
81,60,-111,0,0,0,-100,0
82,60,-111,0,0,0,-100,0
83,60,-111,0,0,0,-100,0
84,60,-111,0,0,0,-100,0
85,60,-111,0,0,0,-100,0
86,60,-111,0,0,0,-100,0
87,60,-111,0,0,0,-100,0
88,60,-111,0,0,0,-100,0
89,60,-111,0,0,0,-100,0
90,60,-111,0,0,0,-100,0
91,60,-111,0,0,0,-100,0
92,60,-111,0,0,0,-100,0
93,60,-111,0,0,0,-100,0
94,60,-111,0,0,0,-100,0
95,60,-111,0,0,0,-100,0
96,60,-111,0,0,0,-100,0
97,60,-111,0,0,0,-100,0
98,60,-112,0,0,0,-100,0
99,60,-112,0,0,0,-100,0
100,60,-112,0,0,0,-100,0
101,61,-112,0,0,0,-100,0
102,61,-112,0,0,0,-100,0
103,61,-112,0,0,0,-100,0
104,62,-112,0,0,0,-100,0
105,62,-113,0,0,0,-100,0
106,62,-113,0,0,0,-100,0
107,62,-113,0,0,0,-100,0
108,62,-113,0,0,0,-100,0
109,62,-113,0,0,0,-100,0
110,62,-113,0,0,0,-100,0
111,62,-113,0,0,0,-100,0
112,63,-113,0,0,0,-100,0
113,63,-113,0,0,0,-100,0
114,63,-113,0,0,0,-100,0
115,63,-113,0,0,0,-100,0
116,64,-113,0,0,0,-100,0
117,64,-113,0,0,0,-100,0
118,64,-113,0,0,0,-100,0
119,64,-113,0,0,0,-100,0
120,65,-113,0,0,0,-100,0
121,65,-113,0,0,0,-100,0
122,65,-113,0,0,0,-100,0
123,65,-113,0,0,0,-100,0
124,65,-113,0,0,0,-100,0
125,66,-113,0,0,0,-100,0
126,66,-113,0,0,0,-100,0
127,66,-113,0,0,0,-100,0
128,66,-113,0,0,0,-100,0
129,66,-112,0,0,0,-100,0
130,67,-112,0,0,0,-100,0
131,67,-112,0,0,0,-100,0
132,67,-112,0,0,0,-100,0
133,67,-112,0,0,0,-100,0
134,67,-111,0,0,0,-100,0
135,68,-111,0,0,0,-100,0
136,68,-111,0,0,0,-100,0
137,68,-111,0,0,0,-100,0
138,68,-111,0,0,0,-100,0
139,68,-111,0,0,0,-100,0
140,69,-111,0,0,0,-100,0
141,69,-111,0,0,0,-100,0
142,70,-111,0,0,0,-100,0
143,70,-110,0,0,0,-100,0
144,70,-110,0,0,0,-100,0
145,70,-110,0,0,0,-100,0
146,70,-110,0,0,0,-100,0
147,71,-110,0,0,0,-100,0
148,71,-110,0,0,0,-100,0
149,71,-110,0,0,0,-100,0
150,71,-110,0,0,0,-100,0
151,71,-110,0,0,0,-100,0
152,71,-110,0,0,0,-100,0
153,72,-110,0,0,0,-100,0
154,72,-110,0,0,0,-100,0
155,72,-110,0,0,0,-100,0
156,72,-109,0,0,0,-100,0
157,72,-109,0,0,0,-100,0
158,73,-109,0,0,0,-100,0
159,73,-109,0,0,0,-100,0
160,74,-109,0,0,0,-100,0
161,74,-109,0,0,0,-100,0
162,74,-109,0,0,0,-100,0
163,75,-109,0,0,0,-100,0
164,75,-109,0,0,0,-100,0
165,75,-109,0,0,0,-100,0
166,75,-109,0,0,0,-100,0
167,75,-108,0,0,0,-100,0
168,76,-108,0,0,0,-100,0
169,76,-108,0,0,0,-100,0
170,76,-108,0,0,0,-100,0
171,76,-108,0,0,0,-100,0
172,76,-108,0,0,0,-100,0
173,77,-108,0,0,0,-100,0
174,77,-108,0,0,0,-100,0
175,77,-108,0,0,0,-100,0
176,78,-108,0,0,0,-100,0
177,78,-108,0,0,0,-100,0
178,78,-108,0,0,0,-100,0
179,78,-108,0,0,0,-100,0
180,78,-108,0,0,0,-100,0
181,78,-108,0,0,0,-100,0
182,78,-108,0,0,0,-100,0
183,79,-108,0,0,0,-100,0
184,79,-108,0,0,0,-100,0
185,79,-108,0,0,0,-100,0
186,79,-108,0,0,0,-100,0
187,79,-108,0,0,0,-100,0
188,80,-108,0,0,0,-100,0
189,80,-108,0,0,0,-100,0
190,80,-108,0,0,0,-100,0
191,81,-108,0,0,0,-100,0
192,82,-108,0,0,0,-100,0
193,82,-108,0,0,0,-100,0
194,82,-108,0,0,0,-100,0
195,82,-108,0,0,0,-100,0
196,82,-108,0,0,0,-100,0
197,83,-108,0,0,0,-100,0
198,83,-108,0,0,0,-100,0
199,83,-109,0,0,0,-100,0
200,84,-109,0,0,0,-100,0
201,84,-109,0,0,0,-100,0
202,84,-109,0,0,0,-100,0
203,84,-109,0,0,0,-100,0
204,84,-109,0,0,0,-100,0
205,84,-109,0,0,0,-100,0
206,85,-110,0,0,0,-100,0
207,85,-110,0,0,0,-100,0
208,85,-110,0,0,0,-100,0
209,85,-110,0,0,0,-100,0
210,85,-110,0,0,0,-100,0
211,85,-110,0,0,0,-100,0
212,85,-110,0,0,0,-100,0
213,85,-110,0,0,0,-100,0
214,85,-110,0,0,0,-100,0
215,85,-111,0,0,0,-100,0
216,85,-111,0,0,0,-100,0
217,85,-111,0,0,0,-100,0
218,85,-111,0,0,0,-100,0
219,85,-111,0,0,0,-100,0
220,85,-112,0,0,0,-100,0
221,85,-112,0,0,0,-100,0
222,85,-112,0,0,0,-100,0
223,85,-112,0,0,0,-100,0
224,85,-112,0,0,0,-100,0
225,85,-112,0,0,0,-100,0
226,85,-112,0,0,0,-100,0
227,85,-113,0,0,0,-100,0
228,85,-113,0,0,0,-100,0
229,85,-113,0,0,0,-100,0
230,85,-113,0,0,0,-100,0
231,85,-113,0,0,0,-100,0
232,85,-113,0,0,0,-100,0
233,85,-113,0,0,0,-100,0
234,85,-113,0,0,0,-100,0
235,85,-113,0,0,0,-100,0
236,85,-113,0,0,0,-100,0
237,85,-113,0,0,0,-100,0
238,85,-113,0,0,0,-100,0
239,84,-113,0,0,0,-100,0
240,84,-113,0,0,0,-100,0
241,84,-113,0,0,0,-100,0
242,84,-113,0,0,0,-100,0
243,84,-113,0,0,0,-100,0
244,84,-113,0,0,0,-100,0
245,83,-113,0,0,0,-100,0
246,83,-113,0,0,0,-100,0
247,83,-113,0,0,0,-100,0
248,83,-113,0,0,0,-100,0
249,83,-113,0,0,0,-100,0
250,82,-113,0,0,0,-100,0
251,82,-113,0,0,0,-100,0
252,82,-113,0,0,0,-100,0
253,82,-113,0,0,0,-100,0
254,82,-113,0,0,0,-100,0
255,82,-113,0,0,0,-100,0
256,81,-113,0,0,0,-100,0
257,81,-113,0,0,0,-100,0
258,81,-113,0,0,0,-100,0
259,81,-113,0,0,0,-100,0
260,81,-113,0,0,0,-100,0
261,80,-113,0,0,0,-100,0
262,80,-113,0,0,0,-100,0
263,80,-113,0,0,0,-100,0
264,80,-112,0,0,0,-100,0
265,80,-112,0,0,0,-100,0
266,80,-112,0,0,0,-100,0
267,79,-112,0,0,0,-100,0
268,79,-112,0,0,0,-100,0
269,79,-112,0,0,0,-100,0
270,79,-112,0,0,0,-100,0
271,79,-112,0,0,0,-100,0
272,78,-111,0,0,0,-100,0
273,78,-111,0,0,0,-100,0
274,78,-111,0,0,0,-100,0
275,78,-111,0,0,0,-100,0
276,78,-110,0,0,0,-100,0
277,78,-110,0,0,0,-100,0
278,77,-110,0,0,0,-100,0
279,77,-110,0,0,0,-100,0
280,77,-110,0,0,0,-100,0
281,77,-110,0,0,0,-100,0
282,77,-110,0,0,0,-100,0
283,77,-110,0,0,0,-100,0
284,77,-110,0,0,0,-100,0
285,77,-110,0,0,0,-100,0
286,77,-109,0,0,0,-100,0
287,77,-109,0,0,0,-100,0
288,77,-109,0,0,0,-100,0
289,77,-109,0,0,0,-100,0
290,77,-109,0,0,0,-100,0
291,76,-109,0,0,0,-100,0
292,76,-109,0,0,0,-100,0
293,76,-109,0,0,0,-100,0
294,76,-109,0,0,0,-100,0
295,76,-109,0,0,0,-100,0
296,76,-109,0,0,0,-100,0
297,76,-109,0,0,0,-100,0
298,76,-109,0,0,0,-100,0
299,76,-109,0,0,0,-100,0
