t,x,y,fh,fv,r,s,frame:
0,152,98,1,0,0,-50,0
1,152,98,1,0,0,-50,0
2,152,98,1,0,0,-50,0
3,152,98,1,0,0,-50,0
4,152,98,1,0,0,-50,0
5,152,98,1,0,0,-50,0
6,152,98,1,0,0,-50,0
7,152,97,1,0,0,-50,0
8,152,94,1,0,0,-50,0
9,151,89,1,0,0,-50,0
10,149,85,1,0,0,-50,0
11,147,81,1,0,0,-50,0
12,145,79,1,0,0,-50,0
13,144,78,1,0,0,-50,0
14,142,77,1,0,0,-50,0
15,141,76,1,0,0,-50,0
16,138,74,1,0,0,-50,0
17,136,72,1,0,0,-50,0
18,130,69,1,0,0,-50,0
19,127,67,1,0,0,-50,0
20,126,67,1,0,0,-50,0
21,124,66,1,0,0,-50,0
22,123,66,1,0,0,-50,0
23,123,66,1,0,0,-50,0
24,122,66,1,0,0,-50,0
25,120,66,1,0,0,-50,0
26,115,67,1,0,0,-50,0
27,111,68,1,0,0,-50,0
28,107,70,1,0,0,-50,0
29,104,73,1,0,0,-50,0
30,102,75,1,0,0,-50,0
31,100,77,1,0,0,-50,0
32,98,79,1,0,0,-50,0
33,97,82,1,0,0,-50,0
34,95,84,1,0,0,-50,0
35,94,85,1,0,0,-50,0
36,93,87,1,0,0,-50,0
37,92,89,1,0,0,-50,0
38,91,91,1,0,0,-50,0
39,88,93,1,0,0,-50,0
40,87,95,1,0,0,-50,0
41,85,97,1,0,0,-50,0
42,83,98,1,0,0,-50,0
43,81,100,1,0,0,-50,0
44,79,101,1,0,0,-50,0
45,78,101,1,0,0,-50,0
46,77,102,1,0,0,-50,0
47,77,102,1,0,0,-50,0
48,77,102,1,0,0,-50,0
49,77,102,1,0,0,-50,0
50,76,102,1,0,0,-50,0
51,72,101,1,0,0,-50,0
52,66,99,1,0,0,-50,0
53,59,96,1,0,0,-50,0
54,55,94,1,0,0,-50,0
55,52,92,1,0,0,-50,0
56,50,91,1,0,0,-50,0
57,48,90,1,0,0,-50,0
58,47,89,1,0,0,-50,0
59,46,88,1,0,0,-50,0
60,44,86,1,0,0,-50,0
61,41,85,1,0,0,-50,0
62,40,84,1,0,0,-50,0
63,39,83,1,0,0,-50,0
64,38,82,1,0,0,-50,0
65,37,81,1,0,0,-50,0
66,36,81,1,0,0,-50,0
67,33,80,1,0,0,-50,0
68,29,79,1,0,0,-50,0
69,26,79,1,0,0,-50,0
70,21,79,1,0,0,-50,0
71,16,79,1,0,0,-50,0
72,13,79,1,0,0,-50,0
73,10,79,1,0,0,-50,0
74,8,79,1,0,0,-50,0
75,6,81,1,0,0,-50,0
76,3,83,1,0,0,-50,0
77,0,87,1,0,0,-50,0
78,-2,90,1,0,0,-50,0
79,-4,92,1,0,0,-50,0
80,-5,94,1,0,0,-50,0
81,-6,96,1,0,0,-50,0
82,-7,97,1,0,0,-50,0
83,-7,98,1,0,0,-50,0
84,-8,99,1,0,0,-50,0
85,-8,99,1,0,0,-50,0
86,-8,100,1,0,0,-50,0
87,-8,100,1,0,0,-50,0
88,-8,100,1,0,0,-50,0
89,-8,100,1,0,0,-50,0
90,-8,100,1,0,0,-50,0
91,-8,100,1,0,0,-50,0
92,-8,100,1,0,0,-50,0
93,-8,100,1,0,0,-50,0
94,-8,100,1,0,0,-50,0
95,-8,100,1,0,0,-50,0
96,-8,100,1,0,0,-50,0
97,-8,100,1,0,0,-50,0
98,-8,100,1,0,0,-50,0
99,-8,100,1,0,0,-50,0
100,-8,100,1,0,0,-50,0
101,-8,100,1,0,0,-50,0
102,-8,100,1,0,0,-50,0
103,-8,100,1,0,0,-50,0
104,-8,100,1,0,0,-50,0
105,-7,98,1,0,0,-50,0
106,-4,95,1,0,0,-50,0
107,-1,92,1,0,0,-50,0
108,2,89,1,0,0,-50,0
109,6,87,1,0,0,-50,0
110,11,84,1,0,0,-50,0
111,14,82,1,0,0,-50,0
112,16,81,1,0,0,-50,0
113,17,80,1,0,0,-50,0
114,18,80,1,0,0,-50,0
115,20,80,1,0,0,-50,0
116,21,79,1,0,0,-50,0
117,25,79,1,0,0,-50,0
118,26,79,1,0,0,-50,0
119,30,79,1,0,0,-50,0
120,34,79,1,0,0,-50,0
121,37,80,1,0,0,-50,0
122,40,81,1,0,0,-50,0
123,43,82,1,0,0,-50,0
124,45,83,1,0,0,-50,0
125,46,84,1,0,0,-50,0
126,48,85,1,0,0,-50,0
127,49,86,1,0,0,-50,0
128,50,87,1,0,0,-50,0
129,53,89,1,0,0,-50,0
130,55,91,1,0,0,-50,0
131,57,92,1,0,0,-50,0
132,60,94,1,0,0,-50,0
133,61,94,1,0,0,-50,0
134,63,95,1,0,0,-50,0
135,64,95,1,0,0,-50,0
136,65,95,1,0,0,-50,0
137,67,95,1,0,0,-50,0
138,72,94,1,0,0,-50,0
139,76,93,1,0,0,-50,0
140,81,91,1,0,0,-50,0
141,86,89,1,0,0,-50,0
142,92,86,1,0,0,-50,0
143,94,84,1,0,0,-50,0
144,101,80,1,0,0,-50,0
145,105,78,1,0,0,-50,0
146,108,76,1,0,0,-50,0
147,111,74,1,0,0,-50,0
148,113,73,1,0,0,-50,0
149,114,72,1,0,0,-50,0
150,116,71,1,0,0,-50,0
151,117,71,1,0,0,-50,0
152,120,71,1,0,0,-50,0
153,125,71,1,0,0,-50,0
154,127,71,1,0,0,-50,0
155,129,71,1,0,0,-50,0
156,130,72,1,0,0,-50,0
157,131,73,1,0,0,-50,0
158,132,74,1,0,0,-50,0
159,134,76,1,0,0,-50,0
160,134,78,1,0,0,-50,0
161,135,79,1,0,0,-50,0
162,136,81,1,0,0,-50,0
163,137,82,1,0,0,-50,0
164,138,84,1,0,0,-50,0
165,138,85,1,0,0,-50,0
166,139,86,1,0,0,-50,0
167,140,87,1,0,0,-50,0
168,141,88,1,0,0,-50,0
169,142,89,1,0,0,-50,0
170,143,91,1,0,0,-50,0
171,144,91,1,0,0,-50,0
172,145,92,1,0,0,-50,0
173,145,92,1,0,0,-50,0
174,145,93,1,0,0,-50,0
175,146,93,1,0,0,-50,0
176,146,93,1,0,0,-50,0
177,147,93,1,0,0,-50,0
178,148,94,1,0,0,-50,0
179,149,94,1,0,0,-50,0
180,149,94,1,0,0,-50,0
181,150,94,1,0,0,-50,0
182,150,94,1,0,0,-50,0
183,151,94,1,0,0,-50,0
184,151,94,1,0,0,-50,0
185,152,94,1,0,0,-50,0
186,153,93,1,0,0,-50,0
187,156,93,1,0,0,-50,0
188,158,92,1,0,0,-50,0
189,159,92,1,0,0,-50,0
190,159,92,1,0,0,-50,0
191,160,92,1,0,0,-50,0
192,160,92,1,0,0,-50,0
193,160,92,1,0,0,-50,0
194,160,92,1,0,0,-50,0
195,160,92,1,0,0,-50,0
196,160,92,1,0,0,-50,0
197,160,92,1,0,0,-50,0
198,160,92,1,0,0,-50,0
199,160,92,1,0,0,-50,0
200,160,92,1,0,0,-50,0
201,160,92,1,0,0,-50,0
202,160,92,1,0,0,-50,0
