t,x,y,fh,fv,r,s,frame:
0,-303,49,1,0,0,-10,0
1,-303,48,1,0,0,-10,0
2,-303,48,1,0,0,-10,0
3,-303,48,1,0,0,-10,0
4,-303,48,1,0,0,-10,0
5,-303,48,1,0,0,-10,0
6,-303,49,1,0,0,-10,0
7,-303,49,1,0,0,-10,0
8,-301,51,1,0,0,-10,0
9,-298,52,1,0,0,-10,0
10,-295,54,1,0,0,-10,0
11,-289,55,1,0,0,-10,0
12,-285,57,1,0,0,-10,0
13,-283,57,1,0,0,-10,0
14,-281,58,1,0,0,-10,0
15,-279,59,1,0,0,-10,0
16,-276,60,1,0,0,-10,0
17,-273,60,1,0,0,-10,0
18,-272,61,1,0,0,-10,0
19,-271,61,1,0,0,-10,0
20,-269,61,1,0,0,-10,0
21,-266,61,1,0,0,-10,0
22,-263,61,1,0,0,-10,0
23,-261,61,1,0,0,-10,0
24,-259,60,1,0,0,-10,0
25,-257,60,1,0,0,-10,0
26,-256,59,1,0,0,-10,0
27,-256,59,1,0,0,-10,0
28,-256,59,1,0,0,-10,0
29,-256,59,1,0,0,-10,0
30,-255,59,1,0,0,-10,0
31,-252,58,1,0,0,-10,0
32,-249,57,1,0,0,-10,0
33,-247,56,1,0,0,-10,0
34,-245,55,1,0,0,-10,0
35,-244,54,1,0,0,-10,0
36,-243,54,1,0,0,-10,0
37,-242,53,1,0,0,-10,0
38,-241,53,1,0,0,-10,0
39,-240,53,1,0,0,-10,0
40,-238,52,1,0,0,-10,0
41,-236,52,1,0,0,-10,0
42,-233,51,1,0,0,-10,0
43,-231,51,1,0,0,-10,0
44,-230,51,1,0,0,-10,0
45,-229,51,1,0,0,-10,0
46,-228,50,1,0,0,-10,0
47,-225,50,1,0,0,-10,0
48,-222,50,1,0,0,-10,0
49,-218,51,1,0,0,-10,0
50,-215,52,1,0,0,-10,0
51,-213,53,1,0,0,-10,0
52,-211,53,1,0,0,-10,0
53,-209,54,1,0,0,-10,0
54,-206,55,1,0,0,-10,0
55,-204,56,1,0,0,-10,0
56,-200,57,1,0,0,-10,0
57,-197,57,1,0,0,-10,0
58,-195,58,1,0,0,-10,0
59,-192,58,1,0,0,-10,0
60,-190,59,1,0,0,-10,0
61,-185,59,1,0,0,-10,0
62,-181,59,1,0,0,-10,0
