t,x,y,fh,fv,r,s,frame:
0,-291,205,1,0,0,-48,0
1,-291,205,1,0,0,-48,0
2,-290,205,1,0,0,-48,0
3,-290,205,1,0,0,-48,0
4,-290,205,1,0,0,-48,0
5,-290,205,1,0,0,-48,0
6,-289,205,1,0,0,-48,0
7,-286,205,1,0,0,-48,0
8,-280,205,1,0,0,-48,0
9,-270,202,1,0,0,-48,0
10,-261,200,1,0,0,-48,0
11,-253,198,1,0,0,-48,0
12,-241,196,1,0,0,-48,0
13,-232,195,1,0,0,-48,0
14,-224,193,1,0,0,-48,0
15,-217,193,1,0,0,-48,0
16,-217,193,1,0,0,-48,0
17,-216,193,1,0,0,-48,0
18,-213,196,1,0,0,-48,0
19,-210,200,1,0,0,-48,0
20,-206,203,1,0,0,-48,0
21,-199,208,1,0,0,-48,0
22,-190,214,1,0,0,-48,0
23,-185,218,1,0,0,-48,0
24,-182,220,1,0,0,-48,0
25,-182,220,1,0,0,-48,0
26,-182,220,1,0,0,-48,0
27,-182,220,1,0,0,-48,0
28,-182,220,1,0,0,-48,0
29,-181,220,1,0,0,-48,0
30,-174,219,1,0,0,-48,0
31,-165,217,1,0,0,-48,0
32,-155,213,1,0,0,-48,0
33,-145,210,1,0,0,-48,0
34,-136,208,1,0,0,-48,0
35,-129,206,1,0,0,-48,0
36,-124,205,1,0,0,-48,0
37,-119,203,1,0,0,-48,0
38,-117,202,1,0,0,-48,0
39,-115,201,1,0,0,-48,0
40,-113,201,1,0,0,-48,0
41,-113,201,1,0,0,-48,0
42,-110,203,1,0,0,-48,0
43,-106,205,1,0,0,-48,0
44,-101,208,1,0,0,-48,0
45,-96,212,1,0,0,-48,0
46,-88,216,1,0,0,-48,0
47,-86,218,1,0,0,-48,0
48,-83,220,1,0,0,-48,0
49,-79,222,1,0,0,-48,0
50,-77,224,1,0,0,-48,0
51,-75,225,1,0,0,-48,0
52,-74,225,1,0,0,-48,0
53,-72,225,1,0,0,-48,0
54,-68,225,1,0,0,-48,0
55,-61,224,1,0,0,-48,0
56,-54,222,1,0,0,-48,0
57,-47,219,1,0,0,-48,0
