t,x,y,fh,fv,r,s,frame:
0,-121,73,0,0,22,0,1
1,-121,73,0,0,22,0,1
2,-121,73,0,0,22,0,1
3,-121,73,0,0,22,0,1
4,-121,73,0,0,22,0,1
5,-121,73,0,0,22,0,1
6,-121,73,0,0,22,0,1
7,-121,73,0,0,22,0,1
8,-121,73,0,0,22,0,1
9,-121,73,0,0,22,0,1
10,-121,73,0,0,22,0,1
11,-121,73,0,0,22,0,1
12,-121,73,0,0,22,0,1
13,-121,73,0,0,22,0,1
14,-121,73,0,0,22,0,1
15,-121,73,0,0,22,0,1
16,-121,73,0,0,22,0,1
17,-121,73,0,0,22,0,1
18,-121,73,0,0,22,0,1
19,-121,73,0,0,22,0,1
20,-121,73,0,0,22,0,1
21,-121,73,0,0,22,0,1
22,-121,73,0,0,22,0,1
23,-121,73,0,0,22,0,1
24,-121,73,0,0,22,0,1
25,-121,73,0,0,22,0,1
26,-121,73,0,0,22,0,1
27,-121,73,0,0,22,0,1
28,-121,73,0,0,22,0,1
29,-121,73,0,0,22,0,1
30,-121,73,0,0,22,0,1
31,-121,73,0,0,22,0,1
32,-121,73,0,0,22,0,1
33,-121,73,0,0,22,0,1
34,-121,73,0,0,22,0,1
35,-121,73,0,0,22,0,1
36,-121,73,0,0,22,0,1
37,-121,73,0,0,22,0,1
38,-121,73,0,0,22,0,1
39,-121,73,0,0,22,0,1
40,-121,73,0,0,22,0,1
41,-121,73,0,0,22,0,1
42,-121,73,0,0,22,0,1
43,-121,73,0,0,22,0,1
44,-121,73,0,0,22,0,1
45,-121,73,0,0,22,0,1
46,-121,73,0,0,22,0,1
47,-121,73,0,0,22,0,1
48,-121,73,0,0,22,0,1
49,-121,73,0,0,22,0,1
50,-121,73,0,0,22,0,1
51,-121,73,0,0,22,0,1
52,-121,73,0,0,22,0,1
53,-121,73,0,0,22,0,1
54,-121,73,0,0,22,0,1
55,-121,73,0,0,22,0,1
56,-121,73,0,0,22,0,1
57,-121,73,0,0,22,0,1
58,-121,73,0,0,22,0,1
59,-121,73,0,0,22,0,1
60,-121,73,0,0,22,0,1
61,-121,73,0,0,22,0,1
62,-121,73,0,0,22,0,1
63,-121,73,0,0,22,0,1
64,-121,73,0,0,22,0,1
65,-121,73,0,0,22,0,1
66,-121,73,0,0,22,0,1
67,-121,73,0,0,22,0,1
68,-121,73,0,0,22,0,1
69,-121,73,0,0,22,0,1
70,-121,73,0,0,22,0,1
71,-121,73,0,0,22,0,1
72,-121,73,0,0,22,0,1
73,-121,73,0,0,22,0,1
74,-121,73,0,0,22,0,1
75,-121,73,0,0,22,0,1
76,-121,73,0,0,22,0,1
77,-121,73,0,0,22,0,1
78,-121,73,0,0,22,0,1
79,-121,73,0,0,22,0,1
80,-121,73,0,0,22,0,1
81,-121,73,0,0,22,0,1
82,-121,73,0,0,22,0,1
83,-121,73,0,0,22,0,1
84,-121,73,0,0,22,0,1
85,-121,73,0,0,22,0,1
86,-121,73,0,0,22,0,1
87,-121,73,0,0,22,0,1
88,-121,73,0,0,22,0,1
89,-121,73,0,0,22,0,1
90,-121,73,0,0,22,0,1
91,-121,73,0,0,22,0,1
92,-121,73,0,0,22,0,1
93,-121,73,0,0,22,0,1
94,-121,73,0,0,22,0,1
95,-121,73,0,0,22,0,1
96,-121,73,0,0,22,0,1
97,-121,73,0,0,22,0,1
98,-121,73,0,0,22,0,1
99,-121,73,0,0,22,0,1
100,-121,73,0,0,22,0,1
101,-121,73,0,0,22,0,1
102,-121,73,0,0,22,0,1
103,-121,73,0,0,22,0,1
104,-121,73,0,0,22,0,1
105,-121,73,0,0,22,0,1
106,-121,73,0,0,22,0,1
107,-121,73,0,0,22,0,1
108,-121,73,0,0,22,0,1
109,-121,73,0,0,22,0,1
110,-121,73,0,0,22,0,1
111,-121,73,0,0,22,0,1
112,-121,73,0,0,22,0,1
113,-121,73,0,0,22,0,1
114,-121,73,0,0,22,0,1
115,-121,73,0,0,22,0,1
116,-121,73,0,0,22,0,1
117,-121,73,0,0,22,0,1
118,-121,73,0,0,22,0,1
119,-121,73,0,0,22,0,1
120,-121,73,0,0,22,0,1
121,-121,73,0,0,22,0,1
122,-121,73,0,0,22,0,1
123,-121,73,0,0,22,0,1
124,-121,73,0,0,22,0,1
125,-121,73,0,0,22,0,1
126,-121,73,0,0,22,0,1
127,-121,73,0,0,22,0,1
128,-121,73,0,0,22,0,1
129,-121,73,0,0,22,0,1
130,-121,73,0,0,22,0,1
131,-121,73,0,0,22,0,1
132,-121,73,0,0,22,0,1
133,-121,73,0,0,22,0,1
134,-121,73,0,0,22,0,1
135,-121,73,0,0,22,0,0
136,-121,73,0,0,22,0,0
137,-121,73,0,0,22,0,0
138,-121,73,0,0,22,0,0
139,-121,73,0,0,22,0,0
140,-121,73,0,0,22,0,0
141,-121,73,0,0,22,0,0
142,-121,73,0,0,22,0,0
143,-121,73,0,0,22,0,0
144,-121,73,0,0,22,0,0
145,-121,73,0,0,22,0,0
146,-121,73,0,0,22,0,0
147,-121,73,0,0,22,0,0
148,-121,73,0,0,22,0,0
149,-121,73,0,0,22,0,0
150,-121,73,0,0,22,0,0
151,-121,73,0,0,22,0,0
152,-121,73,0,0,22,0,0
153,-121,73,0,0,22,0,0
154,-121,73,0,0,22,0,0
155,-121,73,0,0,22,0,0
156,-121,73,0,0,22,0,0
157,-121,73,0,0,22,0,0
158,-121,73,0,0,22,0,0
159,-121,73,0,0,22,0,0
160,-121,73,0,0,22,0,0
161,-121,73,0,0,22,0,0
162,-121,73,0,0,22,0,0
163,-121,73,0,0,22,0,0
164,-121,73,0,0,22,0,0
165,-121,73,0,0,22,0,0
166,-121,73,0,0,22,0,0
167,-121,73,0,0,22,0,0
168,-121,73,0,0,22,0,0
169,-121,73,0,0,22,0,0
170,-121,73,0,0,22,0,0
171,-121,73,0,0,22,0,0
172,-121,73,0,0,22,0,0
173,-121,73,0,0,22,0,0
174,-121,73,0,0,22,0,0
175,-121,73,0,0,22,0,0
176,-121,73,0,0,22,0,0
177,-121,73,0,0,22,0,0
178,-121,73,0,0,22,0,0
179,-121,73,0,0,22,0,0
180,-121,73,0,0,22,0,0
181,-121,73,0,0,22,0,0
182,-121,73,0,0,22,0,0
183,-121,73,0,0,22,0,0
184,-121,73,0,0,22,0,0
185,-121,73,0,0,22,0,0
186,-121,73,0,0,22,0,0
187,-121,73,0,0,22,0,0
188,-121,73,0,0,22,0,0
189,-121,73,0,0,22,0,0
190,-121,73,0,0,22,0,0
191,-121,73,0,0,22,0,0
192,-121,73,0,0,22,0,0
193,-121,73,0,0,22,0,0
194,-121,73,0,0,22,0,0
195,-121,73,0,0,22,0,0
196,-121,73,0,0,22,0,0
197,-121,73,0,0,22,0,0
198,-121,73,0,0,22,0,0
199,-121,73,0,0,22,0,0
200,-121,73,0,0,22,0,0
201,-121,73,0,0,22,0,0
202,-121,73,0,0,22,0,0
203,-121,73,0,0,22,0,0
204,-121,73,0,0,22,0,0
205,-121,73,0,0,22,0,0
206,-121,73,0,0,22,0,0
207,-121,73,0,0,22,0,0
208,-121,73,0,0,22,0,0
209,-121,73,0,0,22,0,0
210,-121,73,0,0,22,0,0
211,-121,73,0,0,22,0,0
212,-121,73,0,0,22,0,0
213,-121,73,0,0,22,0,0
214,-121,73,0,0,22,0,0
215,-121,73,0,0,22,0,0
216,-121,73,0,0,22,0,0
217,-121,73,0,0,22,0,0
218,-121,73,0,0,22,0,0
219,-121,73,0,0,22,0,0
220,-121,73,0,0,22,0,0
221,-121,73,0,0,22,0,0
222,-121,73,0,0,22,0,0
223,-121,73,0,0,22,0,0
224,-121,73,0,0,22,0,0
225,-121,73,0,0,22,0,0
226,-121,73,0,0,22,0,0
227,-121,73,0,0,22,0,0
228,-121,73,0,0,22,0,0
229,-121,73,0,0,22,0,0
230,-121,73,0,0,22,0,0
231,-121,73,0,0,22,0,0
232,-121,73,0,0,22,0,0
233,-121,73,0,0,22,0,0
234,-121,73,0,0,22,0,0
235,-121,73,0,0,22,0,0
236,-121,73,0,0,22,0,0
237,-121,73,0,0,22,0,0
238,-121,73,0,0,22,0,0
239,-121,73,0,0,22,0,0
240,-121,73,0,0,22,0,0
241,-121,73,0,0,22,0,0
242,-121,73,0,0,22,0,0
243,-121,73,0,0,22,0,0
244,-121,73,0,0,22,0,0
245,-121,73,0,0,22,0,0
246,-121,73,0,0,22,0,0
247,-121,73,0,0,22,0,0
248,-121,73,0,0,22,0,0
249,-121,73,0,0,22,0,0
250,-121,73,0,0,22,0,0
251,-121,73,0,0,22,0,0
252,-121,73,0,0,22,0,0
253,-121,73,0,0,22,0,0
254,-121,73,0,0,22,0,0
255,-121,73,0,0,22,0,0
