t,x,y,fh,fv,r,s,frame:
0,-288,116,0,1,-15,0,0
1,-288,116,0,1,-15,0,0
2,-288,116,0,1,-15,0,0
3,-288,116,0,1,-15,0,0
4,-288,116,0,1,-15,0,0
5,-288,116,0,1,-15,0,0
6,-288,116,0,1,-15,0,0
7,-288,116,0,1,-15,0,0
8,-288,116,0,1,-15,0,0
9,-288,116,0,1,-15,0,0
10,-288,116,0,1,-15,0,0
11,-288,116,0,1,-15,0,0
12,-288,116,0,1,-15,0,0
13,-288,116,0,1,-15,0,0
14,-288,116,0,1,-15,0,0
15,-288,116,0,1,-15,0,0
16,-288,116,0,1,-15,0,0
17,-288,116,0,1,-15,0,0
18,-288,116,0,1,-15,0,0
19,-288,116,0,1,-15,0,0
20,-288,116,0,1,-15,0,0
21,-288,116,0,1,-15,0,0
22,-288,116,0,1,-15,0,0
23,-288,116,0,1,-15,0,0
24,-288,116,0,1,-15,0,0
25,-288,116,0,1,-15,0,0
26,-288,116,0,1,-15,0,0
27,-288,116,0,1,-15,0,0
28,-288,116,0,1,-15,0,0
29,-288,116,0,1,-15,0,0
30,-288,116,0,1,-15,0,0
31,-288,116,0,1,-15,0,0
32,-288,116,0,1,-15,0,0
33,-288,116,0,1,-15,0,0
34,-288,116,0,1,-15,0,0
35,-288,116,0,1,-15,0,0
36,-288,116,0,1,-15,0,0
37,-288,116,0,1,-15,0,0
38,-288,116,0,1,-15,0,0
39,-288,116,0,1,-15,0,0
40,-288,116,0,1,-15,0,0
41,-288,116,0,1,-15,0,0
42,-288,116,0,1,-15,0,0
43,-288,116,0,1,-15,0,0
44,-288,116,0,1,-15,0,0
45,-288,116,0,1,-15,0,0
46,-288,116,0,1,-15,0,0
47,-288,116,0,1,-15,0,0
48,-288,116,0,1,-15,0,0
49,-288,116,0,1,-15,0,0
50,-288,116,0,1,-15,0,0
51,-294,116,0,1,-15,0,0
52,-309,113,0,1,-15,0,0
53,-333,106,0,1,-15,0,0
54,-345,102,0,1,-15,0,0
55,-345,102,0,1,-15,0,0
56,-342,102,0,1,-15,0,0
57,-333,104,0,1,-15,0,0
58,-328,104,0,1,-15,0,0
59,-327,104,0,1,-15,0,0
60,-326,104,0,1,-15,0,0
61,-326,104,0,1,-15,0,0
62,-326,104,0,1,-15,0,0
63,-325,105,0,1,-15,0,0
64,-321,109,0,1,-15,0,0
65,-319,112,0,1,-15,0,0
66,-318,114,0,1,-15,0,0
67,-318,115,0,1,-15,0,0
68,-318,115,0,1,-15,0,0
69,-318,115,0,1,-15,0,0
70,-318,115,0,1,-15,0,0
71,-318,115,0,1,-15,0,0
72,-318,113,0,1,-15,0,0
73,-316,107,0,1,-15,0,0
74,-312,100,0,1,-15,0,0
75,-308,95,0,1,-15,0,0
76,-307,94,0,1,-15,0,0
77,-306,94,0,1,-15,0,0
78,-303,103,0,1,-15,0,0
79,-302,110,0,1,-15,0,0
80,-301,117,0,1,-15,0,0
81,-301,118,0,1,-15,0,0
82,-301,119,0,1,-15,0,0
83,-301,119,0,1,-15,0,0
84,-301,119,0,1,-15,0,0
85,-300,118,0,1,-15,0,0
86,-299,114,0,1,-15,0,0
87,-298,111,0,1,-15,0,0
88,-297,110,0,1,-15,0,0
89,-297,109,0,1,-15,0,0
90,-297,109,0,1,-15,0,0
91,-297,109,0,1,-15,0,0
92,-297,109,0,1,-15,0,0
93,-297,109,0,1,-15,0,0
94,-297,109,0,1,-15,0,0
95,-296,109,0,1,-15,0,0
96,-296,109,0,1,-15,0,0
97,-296,109,0,1,-15,0,0
98,-296,109,0,1,-15,0,0
99,-296,109,0,1,-15,0,0
100,-296,109,0,1,-15,0,0
101,-296,109,0,1,-15,0,0
102,-296,109,0,1,-15,0,0
103,-296,109,0,1,-15,0,0
104,-296,109,0,1,-15,0,0
105,-296,109,0,1,-15,0,0
106,-296,109,0,1,-15,0,0
107,-296,109,0,1,-15,0,0
108,-296,109,0,1,-15,0,0
109,-296,109,0,1,-15,0,0
110,-296,109,0,1,-15,0,0
111,-296,109,0,1,-15,0,0
112,-296,109,0,1,-15,0,0
113,-296,109,0,1,-15,0,0
114,-296,109,0,1,-15,0,0
115,-296,109,0,1,-15,0,0
116,-296,109,0,1,-15,0,0
117,-296,109,0,1,-15,0,0
118,-296,109,0,1,-15,0,0
119,-296,109,0,1,-15,0,0
120,-296,109,0,1,-15,0,0
