t,x,y,fh,fv,r,s,frame:
0,-39,-85,0,0,0,-113,0
1,-39,-85,0,0,0,-113,0
2,-39,-85,0,0,0,-113,0
3,-39,-85,0,0,0,-113,0
4,-39,-85,0,0,0,-113,0
5,-39,-85,0,0,0,-113,0
6,-39,-85,0,0,0,-113,0
7,-39,-85,0,0,0,-113,0
8,-39,-85,0,0,0,-113,0
9,-39,-85,0,0,0,-113,0
10,-39,-85,0,0,0,-113,0
11,-39,-85,0,0,0,-113,0
12,-39,-85,0,0,0,-113,0
13,-39,-85,0,0,0,-113,0
14,-39,-85,0,0,0,-113,0
15,-39,-85,0,0,0,-113,0
16,-39,-85,0,0,0,-113,0
17,-39,-85,0,0,0,-113,0
18,-39,-85,0,0,0,-113,0
19,-39,-85,0,0,0,-113,0
20,-39,-85,0,0,0,-113,0
21,-39,-85,0,0,0,-113,0
22,-39,-85,0,0,0,-113,0
23,-39,-85,0,0,0,-113,0
24,-39,-85,0,0,0,-113,0
25,-39,-85,0,0,0,-113,0
26,-39,-85,0,0,0,-113,0
27,-39,-85,0,0,0,-113,0
28,-39,-85,0,0,0,-113,0
29,-39,-85,0,0,0,-113,0
30,-39,-85,0,0,0,-113,0
31,-39,-85,0,0,0,-113,0
32,-39,-85,0,0,0,-113,0
33,-39,-85,0,0,0,-113,0
34,-39,-85,0,0,0,-113,0
35,-39,-85,0,0,0,-113,0
36,-39,-85,0,0,0,-113,0
37,-39,-85,0,0,0,-113,0
38,-39,-85,0,0,0,-113,0
39,-39,-85,0,0,0,-113,0
40,-39,-85,0,0,0,-113,0
41,-39,-85,0,0,0,-113,0
42,-39,-85,0,0,0,-113,0
43,-39,-85,0,0,0,-113,0
44,-39,-85,0,0,0,-113,0
45,-39,-85,0,0,0,-113,0
46,-39,-85,0,0,0,-113,0
47,-39,-85,0,0,0,-113,0
48,-39,-85,0,0,0,-113,0
49,-39,-85,0,0,0,-113,0
50,-39,-85,0,0,0,-113,0
51,-39,-85,0,0,0,-113,0
52,-39,-85,0,0,0,-113,0
53,-39,-85,0,0,0,-113,0
54,-39,-85,0,0,0,-113,0
55,-39,-85,0,0,0,-113,0
56,-39,-85,0,0,0,-113,0
57,-39,-85,0,0,0,-113,0
58,-39,-85,0,0,0,-113,0
59,-39,-85,0,0,0,-113,0
60,-39,-85,0,0,0,-113,0
61,-39,-85,0,0,0,-113,0
62,-39,-85,0,0,0,-113,0
63,-39,-85,0,0,0,-113,0
64,-39,-85,0,0,0,-113,0
65,-39,-85,0,0,0,-113,0
66,-39,-85,0,0,0,-113,0
67,-39,-85,0,0,0,-113,0
68,-39,-85,0,0,0,-113,0
69,-39,-85,0,0,0,-113,0
70,-39,-85,0,0,0,-113,0
71,-39,-85,0,0,0,-113,0
72,-39,-85,0,0,0,-113,0
73,-39,-85,0,0,0,-113,0
74,-39,-85,0,0,0,-113,0
75,-39,-85,0,0,0,-113,0
76,-39,-85,0,0,0,-113,0
77,-39,-85,0,0,0,-113,0
78,-39,-85,0,0,0,-113,0
79,-39,-85,0,0,0,-113,0
80,-39,-85,0,0,0,-113,0
81,-39,-85,0,0,0,-113,0
82,-39,-85,0,0,0,-113,0
83,-39,-85,0,0,0,-113,0
84,-39,-85,0,0,0,-113,0
85,-39,-85,0,0,0,-113,0
86,-39,-85,0,0,0,-113,0
87,-39,-85,0,0,0,-113,0
88,-39,-85,0,0,0,-113,0
89,-39,-85,0,0,0,-113,0
90,-39,-85,0,0,0,-113,0
91,-39,-85,0,0,0,-113,0
92,-39,-85,0,0,0,-113,0
93,-39,-85,0,0,0,-113,0
94,-39,-85,0,0,0,-113,0
95,-39,-85,0,0,0,-113,0
96,-39,-85,0,0,0,-113,0
97,-39,-85,0,0,0,-113,0
98,-39,-85,0,0,0,-113,0
99,-39,-85,0,0,0,-113,0
100,-39,-85,0,0,0,-113,0
101,-39,-85,0,0,0,-113,0
102,-39,-85,0,0,0,-113,0
103,-39,-85,0,0,0,-113,0
104,-39,-85,0,0,0,-113,0
105,-39,-85,0,0,0,-113,0
106,-39,-85,0,0,0,-113,0
107,-39,-85,0,0,0,-113,0
108,-39,-85,0,0,0,-113,0
109,-39,-85,0,0,0,-113,0
110,-39,-85,0,0,0,-113,0
111,-39,-85,0,0,0,-113,0
112,-39,-85,0,0,0,-113,0
113,-39,-85,0,0,0,-113,0
114,-39,-85,0,0,0,-113,0
115,-39,-85,0,0,0,-113,0
116,-39,-85,0,0,0,-113,0
117,-39,-85,0,0,0,-113,0
118,-39,-85,0,0,0,-113,0
119,-39,-85,0,0,0,-113,0
120,-39,-85,0,0,0,-113,0
121,-39,-85,0,0,0,-113,0
122,-39,-85,0,0,0,-113,0
123,-39,-85,0,0,0,-113,0
124,-39,-85,0,0,0,-113,0
125,-39,-85,0,0,0,-113,0
126,-39,-85,0,0,0,-113,0
127,-39,-85,0,0,0,-113,0
128,-39,-85,0,0,0,-113,0
129,-39,-85,0,0,0,-113,0
130,-39,-85,0,0,0,-113,0
131,-39,-85,0,0,0,-113,0
132,-39,-85,0,0,0,-113,0
133,-39,-85,0,0,0,-113,0
134,-39,-85,0,0,0,-113,0
135,-39,-85,0,0,0,-113,0
136,-39,-85,0,0,0,-113,0
137,-39,-85,0,0,0,-113,0
138,-39,-85,0,0,0,-113,0
139,-39,-85,0,0,0,-113,0
140,-39,-85,0,0,0,-113,0
141,-39,-85,0,0,0,-113,0
142,-39,-85,0,0,0,-113,0
143,-39,-85,0,0,0,-113,0
144,-39,-85,0,0,0,-113,0
145,-39,-85,0,0,0,-113,0
146,-39,-85,0,0,0,-113,0
147,-39,-85,0,0,0,-113,0
148,-39,-85,0,0,0,-113,0
149,-39,-85,0,0,0,-113,0
150,-39,-85,0,0,0,-113,0
151,-39,-85,0,0,0,-113,0
152,-39,-85,0,0,0,-113,0
153,-39,-85,0,0,0,-113,0
154,-39,-85,0,0,0,-113,0
155,-39,-85,0,0,0,-113,0
156,-39,-85,0,0,0,-113,0
157,-39,-85,0,0,0,-113,0
158,-39,-85,0,0,0,-113,0
159,-39,-85,0,0,0,-113,0
160,-39,-85,0,0,0,-113,0
161,-39,-85,0,0,0,-113,0
162,-39,-85,0,0,0,-113,0
163,-39,-85,0,0,0,-113,0
164,-39,-85,0,0,0,-113,0
165,-39,-85,0,0,0,-113,0
166,-39,-85,0,0,0,-113,0
167,-39,-85,0,0,0,-113,0
168,-39,-85,0,0,0,-113,0
169,-39,-85,0,0,0,-113,0
170,-39,-85,0,0,0,-113,0
171,-39,-85,0,0,0,-113,0
172,-39,-85,0,0,0,-113,0
173,-39,-85,0,0,0,-113,0
174,-39,-85,0,0,0,-113,0
175,-39,-85,0,0,0,-113,0
176,-39,-85,0,0,0,-113,0
177,-39,-85,0,0,0,-113,0
178,-39,-85,0,0,0,-113,0
179,-39,-85,0,0,0,-113,0
180,-39,-85,0,0,0,-113,0
181,-39,-85,0,0,0,-113,0
182,-39,-85,0,0,0,-113,0
183,-39,-85,0,0,0,-113,0
184,-39,-85,0,0,0,-113,0
185,-39,-85,0,0,0,-113,0
186,-39,-85,0,0,0,-113,0
187,-39,-85,0,0,0,-113,0
188,-39,-85,0,0,0,-113,0
189,-39,-85,0,0,0,-113,0
190,-39,-85,0,0,0,-113,0
191,-39,-85,0,0,0,-113,0
192,-39,-85,0,0,0,-113,0
193,-39,-85,0,0,0,-113,0
194,-39,-85,0,0,0,-113,0
195,-39,-85,0,0,0,-113,0
196,-39,-85,0,0,0,-113,0
197,-39,-85,0,0,0,-113,0
198,-39,-85,0,0,0,-113,0
199,-39,-85,0,0,0,-113,0
200,-39,-85,0,0,0,-113,0
201,-39,-85,0,0,0,-113,0
202,-39,-85,0,0,0,-113,0
203,-39,-85,0,0,0,-113,0
204,-39,-85,0,0,0,-113,0
205,-39,-85,0,0,0,-113,0
206,-39,-85,0,0,0,-113,0
207,-39,-85,0,0,0,-113,0
208,-39,-85,0,0,0,-113,0
209,-39,-85,0,0,0,-113,0
210,-39,-85,0,0,0,-113,0
211,-39,-85,0,0,0,-113,0
212,-39,-85,0,0,0,-113,0
213,-39,-85,0,0,0,-113,0
214,-39,-85,0,0,0,-113,0
215,-39,-85,0,0,0,-113,0
216,-39,-85,0,0,0,-113,0
217,-39,-85,0,0,0,-113,0
218,-39,-85,0,0,0,-113,0
219,-39,-85,0,0,0,-113,0
220,-39,-85,0,0,0,-113,0
221,-39,-85,0,0,0,-113,0
222,-39,-85,0,0,0,-113,0
223,-39,-85,0,0,0,-113,0
224,-39,-85,0,0,0,-113,0
225,-39,-85,0,0,0,-113,0
226,-39,-85,0,0,0,-113,0
227,-39,-85,0,0,0,-113,0
228,-39,-85,0,0,0,-113,0
229,-39,-85,0,0,0,-113,0
230,-39,-85,0,0,0,-113,0
231,-39,-85,0,0,0,-113,0
232,-39,-85,0,0,0,-113,0
233,-39,-85,0,0,0,-113,0
234,-39,-85,0,0,0,-113,0
235,-39,-85,0,0,0,-113,0
236,-39,-85,0,0,0,-113,0
237,-39,-85,0,0,0,-113,0
238,-39,-85,0,0,0,-113,0
239,-39,-85,0,0,0,-113,0
240,-39,-85,0,0,0,-113,0
241,-39,-85,0,0,0,-113,0
242,-39,-85,0,0,0,-113,0
243,-39,-85,0,0,0,-113,0
244,-39,-85,0,0,0,-113,0
245,-39,-85,0,0,0,-113,0
246,-39,-85,0,0,0,-113,0
247,-39,-85,0,0,0,-113,0
248,-39,-85,0,0,0,-113,0
249,-39,-85,0,0,0,-113,0
250,-39,-85,0,0,0,-113,0
251,-39,-85,0,0,0,-113,0
252,-39,-85,0,0,0,-113,0
253,-39,-85,0,0,0,-113,0
254,-39,-85,0,0,0,-113,0
255,-39,-85,0,0,0,-113,0
256,-39,-85,0,0,0,-113,0
257,-39,-85,0,0,0,-113,0
258,-39,-85,0,0,0,-113,0
259,-39,-85,0,0,0,-113,0
260,-39,-85,0,0,0,-113,0
261,-39,-85,0,0,0,-113,0
262,-39,-85,0,0,0,-113,0
263,-39,-85,0,0,0,-113,0
264,-39,-85,0,0,0,-87,2
265,-39,-85,0,0,0,-87,2
266,-39,-85,0,0,0,-87,2
267,-39,-85,0,0,0,-87,2
268,-39,-85,0,0,0,-87,2
269,-39,-85,0,0,0,-87,2
270,-39,-85,0,0,0,-87,2
271,-39,-85,0,0,0,-87,2
272,-39,-85,0,0,0,-87,2
273,-39,-85,0,0,0,-87,2
274,-39,-85,0,0,0,-87,2
275,-39,-85,0,0,0,-87,2
276,-39,-85,0,0,0,-87,2
277,-39,-85,0,0,0,-87,2
278,-39,-85,0,0,0,-87,2
279,-39,-85,0,0,0,-87,2
280,-39,-85,0,0,0,-87,2
281,-39,-85,0,0,0,-87,2
282,-39,-85,0,0,0,-87,2
283,-39,-85,0,0,0,-87,2
284,-39,-85,0,0,0,-87,2
285,-39,-85,0,0,0,-87,2
286,-39,-85,0,0,0,-87,2
287,-39,-85,0,0,0,-87,2
288,-39,-85,0,0,0,-87,2
289,-39,-85,0,0,0,-87,2
290,-39,-85,0,0,0,-87,2
291,-39,-85,0,0,0,-87,2
292,-39,-85,0,0,0,-87,2
293,-39,-85,0,0,0,-87,2
294,-39,-85,0,0,0,-87,2
295,-39,-85,0,0,0,-87,2
296,-39,-85,0,0,0,-87,2
297,-39,-85,0,0,0,-87,2
298,-39,-85,0,0,0,-87,2
299,-39,-85,0,0,0,-87,2
300,-39,-85,0,0,0,-87,2
301,-39,-85,0,0,0,-87,2
302,-39,-85,0,0,0,-87,2
303,-39,-85,0,0,0,-87,2
304,-39,-85,0,0,0,-87,2
305,-39,-85,0,0,0,-87,2
306,-39,-85,0,0,0,-87,1
307,-39,-85,0,0,0,-87,1
308,-39,-85,0,0,0,-87,1
309,-39,-85,0,0,0,-87,1
310,-39,-85,0,0,0,-87,1
311,-39,-85,0,0,0,-87,1
312,-39,-85,0,0,0,-87,1
313,-39,-85,0,0,0,-87,1
314,-39,-85,0,0,0,-87,1
315,-39,-85,0,0,0,-87,1
316,-39,-85,0,0,0,-87,1
317,-39,-85,0,0,0,-87,1
318,-39,-85,0,0,0,-87,1
319,-39,-85,0,0,0,-87,1
320,-39,-85,0,0,0,-87,1
321,-39,-85,0,0,0,-87,1
322,-39,-85,0,0,0,-87,1
323,-39,-85,0,0,0,-87,1
324,-39,-85,0,0,0,-87,1
325,-39,-85,0,0,0,-87,1
326,-39,-85,0,0,0,-87,1
327,-39,-85,0,0,0,-87,1
328,-39,-85,0,0,0,-87,1
329,-39,-85,0,0,0,-87,1
330,-39,-85,0,0,0,-87,1
331,-39,-85,0,0,0,-87,1
332,-39,-85,0,0,0,-87,1
333,-39,-85,0,0,0,-87,1
334,-39,-85,0,0,0,-87,1
335,-39,-85,0,0,0,-87,1
336,-39,-85,0,0,0,-87,1
337,-39,-85,0,0,0,-87,1
338,-39,-85,0,0,0,-87,1
339,-39,-85,0,0,0,-87,1
340,-39,-85,0,0,0,-87,1
341,-39,-85,0,0,0,-87,1
342,-39,-85,0,0,0,-87,1
343,-39,-85,0,0,0,-87,1
344,-39,-85,0,0,0,-87,1
345,-39,-85,0,0,0,-87,1
346,-39,-85,0,0,0,-87,1
347,-39,-85,0,0,0,-87,1
348,-39,-85,0,0,0,-87,1
349,-39,-85,0,0,0,-87,1
350,-39,-85,0,0,0,-87,1
351,-39,-85,0,0,0,-87,1
352,-39,-85,0,0,0,-87,1
353,-39,-85,0,0,0,-87,1
354,-39,-85,0,0,0,-87,1
355,-39,-85,0,0,0,-87,1
356,-39,-85,0,0,0,-87,1
357,-39,-85,0,0,0,-87,1
358,-39,-85,0,0,0,-87,1
359,-39,-85,0,0,0,-87,1
360,-39,-85,0,0,0,-87,1
361,-39,-85,0,0,0,-87,1
362,-39,-85,0,0,0,-87,1
363,-39,-85,0,0,0,-87,1
364,-39,-85,0,0,0,-87,1
365,-39,-85,0,0,0,-87,1
366,-39,-85,0,0,0,-87,1
367,-39,-85,0,0,0,-87,1
368,-39,-85,0,0,0,-87,1
369,-39,-85,0,0,0,-87,1
370,-39,-85,0,0,0,-87,1
371,-39,-85,0,0,0,-87,1
372,-39,-85,0,0,0,-87,1
373,-39,-85,0,0,0,-87,1
374,-39,-85,0,0,0,-87,1
375,-39,-85,0,0,0,-87,1
376,-39,-85,0,0,0,-87,1
377,-39,-85,0,0,0,-87,1
378,-39,-85,0,0,0,-87,1
379,-39,-85,0,0,0,-87,1
380,-39,-85,0,0,0,-87,1
381,-39,-85,0,0,0,-87,1
382,-39,-85,0,0,0,-87,1
383,-39,-85,0,0,0,-87,1
384,-39,-85,0,0,0,-87,1
385,-39,-85,0,0,0,-87,1
386,-39,-85,0,0,0,-87,1
387,-39,-85,0,0,0,-87,1
388,-39,-85,0,0,0,-87,1
389,-39,-85,0,0,0,-87,1
390,-39,-85,0,0,0,-87,1
391,-39,-85,0,0,0,-87,1
392,-39,-85,0,0,0,-87,1
393,-39,-85,0,0,0,-87,1
394,-39,-85,0,0,0,-87,1
395,-39,-85,0,0,0,-87,1
396,-39,-85,0,0,0,-87,1
397,-39,-85,0,0,0,-87,1
