t,x,y,fh,fv,r,s,frame:
0,280,115,1,0,0,-41,0
1,280,115,1,0,0,-41,0
2,280,115,1,0,0,-41,0
3,280,115,1,0,0,-41,0
4,280,115,1,0,0,-41,0
5,280,115,1,0,0,-41,0
6,280,115,1,0,0,-41,0
7,280,115,1,0,0,-41,0
8,280,115,1,0,0,-41,0
9,278,117,1,0,0,-41,0
10,276,118,1,0,0,-41,0
11,271,121,1,0,0,-41,0
12,269,123,1,0,0,-41,0
13,268,124,1,0,0,-41,0
14,265,125,1,0,0,-41,0
15,264,125,1,0,0,-41,0
16,264,126,1,0,0,-41,0
17,263,126,1,0,0,-41,0
18,261,127,1,0,0,-41,0
19,258,129,1,0,0,-40,0
20,255,130,1,0,0,-39,0
21,254,132,1,0,0,-38,0
22,252,133,1,0,0,-37,0
23,250,134,1,0,0,-36,0
24,247,136,1,0,0,-35,0
25,244,137,1,0,0,-34,0
26,241,139,1,0,0,-33,0
27,238,141,1,0,0,-32,0
28,235,142,1,0,0,-31,0
29,230,146,1,0,0,-30,0
30,226,149,1,0,0,-29,0
31,222,151,1,0,0,-28,0
32,218,153,1,0,0,-27,0
33,215,155,1,0,0,-26,0
34,212,157,1,0,0,-25,0
35,209,158,1,0,0,-24,0
36,206,160,1,0,0,-23,0
37,202,163,1,0,0,-22,0
38,198,166,1,0,0,-21,0
39,196,168,1,0,0,-20,0
40,189,173,1,0,0,-19,0
41,186,176,1,0,0,-18,0
42,184,178,1,0,0,-17,0
43,181,181,1,0,0,-16,0
44,180,183,1,0,0,-15,0
45,177,186,1,0,0,-14,0
46,172,191,1,0,0,-13,0
47,171,192,1,0,0,-12,0
48,164,198,1,0,0,-11,0
49,160,202,1,0,0,-10,0
50,156,205,1,0,0,-9,0
51,154,208,1,0,0,-8,0
52,151,210,1,0,0,-7,0
53,149,212,1,0,0,-6,0
54,146,216,1,0,0,-5,0
55,143,219,1,0,0,-4,0
56,139,224,1,0,0,-3,0
57,135,229,1,0,0,-2,0
58,129,236,1,0,0,-1,0
59,127,237,1,0,0,0,0
60,122,243,1,0,0,1,0
61,120,246,1,0,0,2,0
62,116,250,1,0,0,3,0
63,113,255,1,0,0,4,0
64,109,260,1,0,0,5,0
65,106,264,1,0,0,6,0
66,103,269,1,0,0,7,0
67,101,273,1,0,0,8,0
68,99,277,1,0,0,9,0
69,96,281,1,0,0,10,0
70,93,285,1,0,0,11,0
71,91,289,1,0,0,12,0
72,88,292,1,0,0,13,0
73,86,295,1,0,0,14,0
74,84,297,1,0,0,15,0
75,81,301,1,0,0,16,0
76,77,307,1,0,0,17,0
77,74,311,1,0,0,18,0
78,70,315,1,0,0,19,0
79,68,318,1,0,0,20,0
80,65,321,1,0,0,21,0
81,63,325,1,0,0,22,0
82,61,327,1,0,0,23,0
83,58,330,1,0,0,24,0
84,57,332,1,0,0,25,0
85,54,334,1,0,0,26,0
86,51,337,1,0,0,27,0
87,48,341,1,0,0,28,0
88,46,344,1,0,0,29,0
89,45,345,1,0,0,30,0
90,44,347,1,0,0,31,0
91,42,350,1,0,0,32,0
92,40,351,1,0,0,33,0
93,38,354,1,0,0,34,0
94,36,356,1,0,0,35,0
95,35,357,1,0,0,36,0
96,34,359,1,0,0,37,0
97,31,359,1,0,0,38,0
98,29,359,1,0,0,39,0
99,27,359,1,0,0,40,0
100,24,359,1,0,0,41,0
101,22,359,1,0,0,42,0
102,22,359,1,0,0,43,0
103,22,359,1,0,0,44,0
104,22,359,1,0,0,45,0
105,22,359,1,0,0,46,0
106,22,359,1,0,0,47,0
107,21,359,1,0,0,48,0
108,21,359,1,0,0,49,0
109,21,359,1,0,0,50,0
110,21,359,1,0,0,51,0
111,18,359,1,0,0,52,0
112,16,359,1,0,0,53,0
113,13,359,1,0,0,54,0
114,12,359,1,0,0,55,0
115,12,359,1,0,0,56,0
116,12,359,1,0,0,57,0
117,12,359,1,0,0,58,0
118,12,359,1,0,0,59,0
119,12,359,1,0,0,60,0
120,12,359,1,0,0,61,0
121,12,359,1,0,0,62,0
122,12,359,1,0,0,63,0
123,12,359,1,0,0,64,0
124,12,359,1,0,0,65,0
125,12,359,1,0,0,66,0
126,12,359,1,0,0,67,0
127,12,359,1,0,0,68,0
128,12,359,1,0,0,69,0
129,12,359,1,0,0,69,0
130,16,359,1,0,0,69,0
131,18,359,1,0,0,69,0
132,21,359,1,0,0,69,0
133,24,359,1,0,0,69,0
134,28,359,1,0,0,69,0
135,30,359,1,0,0,69,0
136,32,359,1,0,0,69,0
137,34,359,1,0,0,69,0
138,36,359,1,0,0,69,0
139,38,359,1,0,0,69,0
140,41,359,1,0,0,69,0
141,44,359,1,0,0,69,0
142,47,359,1,0,0,69,0
143,49,359,1,0,0,69,0
144,53,359,1,0,0,69,0
145,58,359,1,0,0,69,0
146,62,359,1,0,0,69,0
147,64,359,1,0,0,69,0
148,67,359,1,0,0,69,0
149,69,359,1,0,0,69,0
150,71,359,1,0,0,69,0
151,74,359,1,0,0,69,0
152,77,359,1,0,0,69,0
153,81,359,1,0,0,69,0
154,84,359,1,0,0,69,0
155,87,359,1,0,0,69,0
156,89,359,1,0,0,69,0
157,92,359,1,0,0,69,0
158,94,359,1,0,0,69,0
159,97,359,1,0,0,69,0
160,98,359,1,0,0,69,0
161,100,359,1,0,0,69,0
162,100,359,1,0,0,69,0
163,100,359,1,0,0,69,0
164,100,359,1,0,0,69,0
165,100,359,1,0,0,69,0
166,100,359,1,0,0,69,0
167,101,359,1,0,0,69,0
168,102,359,1,0,0,69,0
169,104,359,1,0,0,69,0
170,105,359,1,0,0,69,0
171,105,359,1,0,0,69,0
172,105,359,1,0,0,69,0
173,106,359,1,0,0,69,0
174,106,359,1,0,0,69,0
175,106,359,1,0,0,69,0
176,106,359,1,0,0,69,0
177,106,359,1,0,0,69,0
178,106,359,1,0,0,69,0
179,106,359,1,0,0,69,0
180,106,359,1,0,0,69,0
181,106,359,1,0,0,69,0
182,106,359,1,0,0,69,0
183,106,359,1,0,0,69,0
184,106,359,1,0,0,69,0
185,106,359,1,0,0,69,0
186,104,359,1,0,0,69,0
187,102,359,1,0,0,69,0
188,99,359,1,0,0,69,0
189,96,359,1,0,0,69,0
190,94,359,1,0,0,69,0
191,93,359,1,0,0,69,0
192,92,359,1,0,0,69,0
193,91,359,1,0,0,69,0
194,90,359,1,0,0,69,0
195,88,359,1,0,0,69,0
196,87,359,1,0,0,69,0
197,84,359,1,0,0,69,0
198,84,359,1,0,0,69,0
199,83,359,1,0,0,69,0
200,83,359,1,0,0,69,0
201,81,359,1,0,0,69,0
202,80,359,1,0,0,69,0
203,78,359,1,0,0,69,0
204,77,359,1,0,0,69,0
205,75,359,1,0,0,69,0
206,74,359,1,0,0,69,0
207,73,359,1,0,0,69,0
208,71,359,1,0,0,69,0
209,69,359,1,0,0,69,0
210,67,359,1,0,0,69,0
211,65,359,1,0,0,69,0
212,62,359,1,0,0,69,0
213,59,359,1,0,0,69,0
214,58,359,1,0,0,69,0
215,57,359,1,0,0,69,0
216,57,359,1,0,0,69,0
217,57,359,1,0,0,69,0
218,57,359,1,0,0,69,0
219,57,359,1,0,0,69,0
220,56,359,1,0,0,69,0
221,55,359,1,0,0,69,0
222,54,359,1,0,0,69,0
223,53,359,1,0,0,69,0
224,51,359,1,0,0,69,0
225,51,359,1,0,0,69,0
226,51,359,1,0,0,69,0
227,51,359,1,0,0,69,0
228,51,359,1,0,0,69,0
229,51,359,1,0,0,69,0
230,51,359,1,0,0,69,0
231,51,359,1,0,0,69,0
232,51,359,1,0,0,69,0
233,51,359,1,0,0,69,0
234,51,359,1,0,0,69,0
235,51,359,1,0,0,69,0
236,51,359,1,0,0,69,0
237,51,359,1,0,0,69,0
238,51,359,1,0,0,69,0
239,51,359,1,0,0,69,0
240,51,359,1,0,0,69,0
241,51,359,1,0,0,69,0
242,51,359,1,0,0,69,0
243,51,359,1,0,0,69,0
244,51,359,1,0,0,69,0
245,51,359,1,0,0,69,0
246,51,359,1,0,0,69,0
247,51,359,1,0,0,69,0
248,51,359,1,0,0,69,0
249,51,359,1,0,0,69,0
250,51,359,1,0,0,69,0
251,51,359,1,0,0,69,0
252,51,359,1,0,0,69,0
253,51,359,1,0,0,69,0
254,51,359,1,0,0,69,0
255,51,359,1,0,0,69,0
256,51,359,1,0,0,69,0
