t,x,y,fh,fv,r,s,frame:
0,-393,86,0,0,0,-34,0
1,-393,86,0,0,0,-34,0
2,-393,86,0,0,0,-34,0
3,-393,86,0,0,0,-34,0
4,-393,86,0,0,0,-34,0
5,-393,86,0,0,0,-34,0
6,-393,86,0,0,0,-34,0
7,-392,84,0,0,0,-34,0
8,-390,82,0,0,0,-34,0
9,-387,78,0,0,0,-34,0
10,-385,75,0,0,0,-34,0
11,-383,72,0,0,0,-34,0
12,-380,70,0,0,0,-34,0
13,-379,69,0,0,0,-34,0
14,-378,69,0,0,0,-34,0
15,-378,69,0,0,0,-34,0
16,-376,69,0,0,0,-34,0
17,-373,70,0,0,0,-34,0
18,-371,72,0,0,0,-34,0
19,-370,73,0,0,0,-34,0
20,-368,75,0,0,0,-34,0
21,-367,76,0,0,0,-34,0
22,-367,78,0,0,0,-34,0
23,-366,79,0,0,0,-34,0
24,-366,79,0,0,0,-34,0
25,-365,80,0,0,0,-34,0
26,-365,80,0,0,0,-34,0
27,-365,80,0,0,0,-34,0
28,-365,80,0,0,0,-34,0
29,-364,80,0,0,0,-34,0
30,-363,78,0,0,0,-34,0
31,-359,75,0,0,0,-34,0
32,-357,73,0,0,0,-34,0
33,-354,70,0,0,0,-34,0
34,-354,70,0,0,0,-34,0
35,-354,70,0,0,0,-34,0
36,-354,70,0,0,0,-34,0
37,-354,70,0,0,0,-34,0
38,-351,71,0,0,0,-34,0
39,-349,73,0,0,0,-34,0
40,-348,75,0,0,0,-34,0
41,-346,78,0,0,0,-34,0
42,-345,80,0,0,0,-34,0
43,-344,81,0,0,0,-34,0
44,-343,81,0,0,0,-34,0
45,-343,81,0,0,0,-34,0
46,-343,81,0,0,0,-34,0
47,-342,81,0,0,0,-34,0
48,-340,80,0,0,0,-34,0
49,-339,78,0,0,0,-34,0
50,-338,76,0,0,0,-34,0
51,-337,75,0,0,0,-34,0
52,-336,74,0,0,0,-34,0
53,-336,74,0,0,0,-34,0
54,-336,74,0,0,0,-34,0
55,-336,74,0,0,0,-34,0
56,-336,74,0,0,0,-34,0
57,-335,76,0,0,0,-34,0
58,-335,77,0,0,0,-34,0
59,-334,78,0,0,0,-34,0
60,-334,78,0,0,0,-34,0
61,-334,79,0,0,0,-34,0
62,-334,80,0,0,0,-34,0
63,-333,80,0,0,0,-34,0
64,-333,80,0,0,0,-34,0
65,-333,80,0,0,0,-34,0
66,-333,80,0,0,0,-34,0
67,-333,80,0,0,0,-34,0
68,-333,80,0,0,0,-34,0
69,-333,80,0,0,0,-34,0
70,-333,80,0,0,0,-34,0
71,-333,80,0,0,0,-34,0
72,-333,80,0,0,0,-34,0
73,-333,80,0,0,0,-34,0
74,-333,80,0,0,0,-34,0
75,-333,80,0,0,0,-34,0
76,-333,80,0,0,0,-34,0
77,-333,80,0,0,0,-34,0
78,-333,80,0,0,0,-34,0
79,-333,80,0,0,0,-34,0
80,-333,80,0,0,0,-34,0
81,-333,80,0,0,0,-34,0
82,-333,80,0,0,0,-34,0
83,-333,80,0,0,0,-34,0
84,-333,80,0,0,0,-34,0
85,-333,80,0,0,0,-34,0
86,-333,80,0,0,0,-34,0
87,-333,80,0,0,0,-34,0
88,-333,80,0,0,0,-34,0
89,-334,80,0,0,0,-34,0
90,-334,79,0,0,0,-34,0
91,-335,78,0,0,0,-34,0
92,-336,77,0,0,0,-34,0
93,-338,75,0,0,0,-34,0
94,-339,74,0,0,0,-34,0
95,-340,74,0,0,0,-34,0
96,-341,73,0,0,0,-34,0
97,-343,73,0,0,0,-34,0
98,-345,73,0,0,0,-34,0
99,-346,73,0,0,0,-34,0
100,-350,76,0,0,0,-34,0
101,-352,78,0,0,0,-34,0
102,-353,78,0,0,0,-34,0
103,-353,79,0,0,0,-34,0
104,-353,79,0,0,0,-34,0
105,-353,79,0,0,0,-34,0
106,-353,79,0,0,0,-34,0
107,-353,79,0,0,0,-34,0
108,-353,79,0,0,0,-34,0
109,-353,79,0,0,0,-34,0
110,-354,79,0,0,0,-34,0
111,-355,78,0,0,0,-34,0
112,-357,76,0,0,0,-34,0
113,-359,74,0,0,0,-34,0
114,-361,73,0,0,0,-34,0
115,-363,72,0,0,0,-34,0
116,-363,71,0,0,0,-34,0
117,-364,71,0,0,0,-34,0
118,-364,71,0,0,0,-34,0
119,-365,71,0,0,0,-34,0
120,-368,72,0,0,0,-34,0
121,-369,74,0,0,0,-34,0
122,-371,76,0,0,0,-34,0
123,-373,77,0,0,0,-34,0
124,-374,78,0,0,0,-34,0
125,-375,79,0,0,0,-34,0
126,-376,80,0,0,0,-34,0
127,-376,80,0,0,0,-34,0
128,-376,81,0,0,0,-34,0
