t,x,y,fh,fv,r,s,frame:
0,-301,133,0,0,85,-56,0
1,-301,133,0,0,85,-56,0
2,-301,133,0,0,85,-56,0
3,-301,133,0,0,85,-56,0
4,-301,133,0,0,85,-56,0
5,-301,133,0,0,85,-56,0
6,-301,132,0,0,85,-56,0
7,-302,127,0,0,85,-56,0
8,-304,120,0,0,84,-56,0
9,-308,114,0,0,83,-56,0
10,-312,109,0,0,82,-56,0
11,-316,101,0,0,81,-56,0
12,-322,92,0,0,80,-56,0
13,-323,90,0,0,79,-56,0
14,-327,82,0,0,78,-56,0
15,-331,73,0,0,77,-56,0
16,-339,58,0,0,76,-56,0
17,-343,49,0,0,75,-56,0
18,-349,38,0,0,74,-56,0
19,-353,31,0,0,73,-56,0
20,-356,23,0,0,72,-56,0
21,-360,15,0,0,71,-56,0
22,-362,6,0,0,70,-56,0
23,-364,2,0,0,69,-56,0
24,-368,-5,0,0,68,-56,0
25,-370,-10,0,0,67,-56,0
26,-372,-13,0,0,66,-56,0
27,-374,-15,0,0,65,-56,0
28,-375,-17,0,0,64,-56,0
29,-376,-19,0,0,63,-56,0
30,-378,-22,0,0,62,-56,0
31,-381,-25,0,0,61,-56,0
32,-384,-29,0,0,60,-56,0
33,-387,-33,0,0,59,-56,0
34,-391,-36,0,0,58,-56,0
35,-400,-43,0,0,57,-56,0
36,-405,-47,0,0,56,-56,0
37,-411,-52,0,0,55,-56,0
38,-417,-56,0,0,54,-56,0
39,-422,-59,0,0,53,-56,0
40,-427,-63,0,0,52,-56,0
41,-431,-65,0,0,51,-56,0
42,-433,-66,0,0,50,-56,0
43,-435,-68,0,0,49,-56,0
44,-438,-70,0,0,48,-56,0
45,-442,-71,0,0,47,-56,0
46,-446,-73,0,0,46,-56,0
47,-450,-75,0,0,45,-56,0
48,-455,-78,1,0,44,-56,0
49,-460,-81,1,0,43,-56,0
50,-464,-82,1,0,42,-56,0
51,-467,-84,1,0,41,-56,0
52,-469,-85,1,0,40,-56,0
53,-469,-85,1,0,39,-56,0
54,-469,-85,1,0,38,-56,0
55,-470,-85,1,0,37,-56,0
56,-472,-86,1,0,36,-56,0
57,-475,-87,1,0,35,-56,0
58,-481,-88,1,0,34,-56,0
59,-484,-89,1,0,33,-56,0
60,-488,-89,1,0,32,-56,0
61,-493,-90,1,0,31,-56,0
62,-497,-91,1,0,30,-56,0
63,-500,-91,1,0,29,-56,0
64,-501,-91,1,0,28,-56,0
65,-501,-91,1,0,27,-56,0
66,-501,-91,1,0,26,-56,0
67,-502,-91,1,0,25,-56,0
68,-508,-87,1,0,24,-56,0
69,-514,-85,1,0,23,-56,0
70,-520,-82,1,0,22,-56,0
71,-525,-80,1,0,21,-56,0
72,-531,-76,1,0,20,-56,0
73,-534,-75,1,0,19,-56,0
74,-537,-73,1,0,18,-56,0
75,-539,-71,1,0,17,-56,0
76,-542,-69,1,0,16,-56,0
77,-545,-66,1,0,15,-56,0
78,-550,-62,1,0,14,-56,0
79,-554,-57,1,0,13,-56,0
80,-558,-52,1,0,12,-56,0
81,-561,-49,1,0,11,-56,0
82,-563,-46,1,0,10,-56,0
83,-564,-42,1,0,9,-56,0
84,-566,-38,1,0,8,-56,0
85,-568,-33,1,0,7,-56,0
86,-569,-28,1,0,6,-56,0
87,-570,-22,1,0,5,-56,0
88,-571,-15,1,0,4,-56,0
89,-571,-8,1,0,3,-56,0
90,-571,-6,1,0,2,-56,0
91,-570,-4,1,0,1,-56,0
92,-570,0,1,0,0,-56,0
93,-569,7,1,0,-1,-56,0
94,-569,14,1,0,-2,-56,0
95,-568,22,1,0,-2,-56,0
96,-568,28,1,0,-2,-56,0
97,-567,32,1,0,-2,-56,0
98,-565,37,1,0,-2,-56,0
99,-564,41,1,0,-2,-56,0
100,-563,50,1,0,-2,-56,0
101,-562,58,1,0,-2,-56,0
102,-562,66,1,0,-2,-56,0
103,-561,73,1,0,-2,-56,0
104,-560,80,1,0,-2,-56,0
105,-559,88,1,0,-2,-56,0
106,-558,94,1,0,-2,-56,0
107,-556,101,1,0,-2,-56,0
108,-555,106,1,0,-2,-56,0
109,-553,113,1,0,-2,-56,0
