t,x,y,fh,fv,r,s,frame:
0,-173,274,0,0,0,-110,0
1,-172,274,0,0,0,-110,0
2,-172,274,0,0,0,-110,0
3,-172,274,0,0,0,-110,0
4,-170,274,0,0,0,-110,0
5,-167,275,0,0,0,-110,0
6,-163,276,0,0,0,-110,0
7,-160,277,0,0,0,-110,0
8,-154,279,0,0,0,-110,0
9,-152,279,0,0,0,-110,0
10,-147,281,0,0,0,-110,0
11,-135,286,0,0,0,-110,0
12,-127,288,0,0,0,-110,0
13,-117,291,0,0,0,-110,0
14,-111,293,0,0,0,-110,0
15,-103,296,0,0,0,-110,0
16,-96,298,0,0,0,-110,0
17,-90,300,0,0,0,-110,0
18,-83,303,0,0,0,-110,0
19,-75,304,0,0,0,-110,0
20,-66,305,0,0,0,-110,0
21,-57,306,0,0,0,-110,0
22,-45,307,0,0,0,-110,0
23,-31,307,0,0,0,-110,0
24,-23,307,0,0,0,-110,0
25,-4,307,0,0,0,-110,0
26,8,307,0,0,0,-110,0
27,20,306,0,0,0,-110,0
28,33,302,0,0,0,-110,0
29,38,301,0,0,0,-110,0
30,46,298,0,0,0,-110,0
31,57,296,0,0,0,-110,0
32,65,294,0,0,0,-110,0
33,80,291,0,0,0,-110,0
34,89,289,0,0,0,-110,0
35,97,288,0,0,0,-110,0
36,107,284,0,0,0,-110,0
37,120,283,0,0,0,-110,0
38,132,282,0,0,0,-110,0
39,144,282,0,0,0,-110,0
40,155,282,0,0,0,-110,0
41,164,283,0,0,0,-110,0
42,175,286,0,0,0,-110,0
43,187,289,0,0,0,-110,0
44,203,294,0,0,0,-110,0
45,208,295,0,0,0,-110,0
46,222,299,0,0,0,-110,0
47,227,300,0,0,0,-110,0
48,237,301,0,0,0,-110,0
49,259,304,0,0,0,-110,0
50,281,304,0,0,0,-110,0
51,296,304,0,0,0,-110,0
52,317,304,0,0,0,-110,0
53,334,304,0,0,0,-110,0
54,351,301,0,0,0,-110,0
55,365,298,0,0,0,-110,0
56,379,292,0,0,0,-110,0
57,391,288,0,0,0,-110,0
58,400,285,0,0,0,-110,0
59,410,281,0,0,0,-110,0
60,424,276,0,0,0,-110,0
61,438,271,0,0,0,-110,0
62,451,266,0,0,0,-110,0
63,461,262,0,0,0,-110,0
64,468,259,0,0,0,-110,0
65,473,258,0,0,0,-110,0
66,478,256,0,0,0,-110,0
67,482,256,0,0,0,-110,0
68,486,256,0,0,0,-110,0
69,488,256,0,0,0,-110,0
70,494,256,0,0,0,-110,0
71,500,256,0,0,0,-110,0
72,505,256,0,0,0,-110,0
73,510,256,0,0,0,-110,0
74,514,256,0,0,0,-110,0
75,516,257,0,0,0,-110,0
76,518,257,0,0,0,-110,0
77,520,258,0,0,0,-110,0
78,524,258,0,0,0,-110,0
79,525,259,0,0,0,-110,0
80,526,259,0,0,0,-110,0
81,527,259,0,0,0,-110,0
82,528,259,0,0,0,-110,0
83,530,259,0,0,0,-110,0
84,534,259,0,0,0,-110,0
85,538,258,0,0,0,-110,0
86,544,256,0,0,0,-110,0
87,548,254,0,0,0,-110,0
88,549,253,0,0,0,-110,0
89,549,252,0,0,0,-110,0
90,549,251,0,0,0,-110,0
91,549,249,0,0,0,-110,0
92,549,248,0,0,0,-110,0
93,549,247,0,0,0,-110,0
94,549,246,0,0,0,-110,0
95,549,246,0,0,0,-110,0
96,549,245,0,0,0,-110,0
97,549,245,0,0,0,-110,0
98,549,245,0,0,0,-110,0
99,549,244,0,0,0,-110,0
100,548,244,0,0,0,-110,0
101,548,244,0,0,0,-110,0
102,548,242,0,0,0,-110,0
103,548,240,0,0,0,-110,0
104,547,240,0,0,0,-110,0
105,547,239,0,0,0,-110,0
106,547,239,0,0,0,-110,0
107,546,238,0,0,0,-110,0
108,543,236,0,0,0,-110,0
109,541,234,0,0,0,-110,0
110,540,233,0,0,0,-110,0
111,539,233,0,0,0,-110,0
112,538,232,0,0,0,-110,0
113,537,231,0,0,0,-110,0
114,534,230,0,0,0,-110,0
115,532,229,0,0,0,-110,0
116,530,228,0,0,0,-110,0
