t,x,y,fh,fv,r,s,frame:
0,-246,3,0,0,69,-63,0
1,-246,3,0,0,69,-63,0
2,-246,3,0,0,69,-63,0
3,-246,3,0,0,69,-63,0
4,-246,3,0,0,69,-63,0
5,-246,3,0,0,69,-63,0
6,-246,3,0,0,69,-63,0
7,-246,3,0,0,69,-63,0
8,-246,3,0,0,69,-63,0
9,-246,3,0,0,69,-63,0
10,-246,3,0,0,69,-63,0
11,-246,3,0,0,69,-63,0
12,-246,2,0,0,69,-63,0
13,-246,2,0,0,69,-63,0
14,-246,1,0,0,69,-63,0
15,-246,1,0,0,69,-63,0
16,-247,0,0,0,69,-63,0
17,-247,0,0,0,69,-63,0
18,-247,-1,0,0,69,-63,0
19,-247,-1,0,0,69,-63,0
20,-247,-1,0,0,69,-63,0
21,-247,-1,0,0,69,-63,0
22,-247,-2,0,0,69,-63,0
23,-247,-2,0,0,69,-63,0
24,-247,-2,0,0,69,-63,0
25,-247,-2,0,0,69,-63,0
26,-247,-2,0,0,69,-63,0
27,-247,-3,0,0,69,-63,0
28,-247,-3,0,0,69,-63,0
29,-247,-3,0,0,69,-63,0
30,-247,-3,0,0,69,-63,0
31,-247,-4,0,0,69,-63,0
32,-247,-4,0,0,69,-63,0
33,-247,-4,0,0,69,-63,0
34,-247,-4,0,0,69,-63,0
35,-247,-4,0,0,69,-63,0
36,-247,-4,0,0,69,-63,0
37,-247,-4,0,0,69,-63,0
38,-247,-4,0,0,69,-63,0
39,-247,-4,0,0,69,-63,0
40,-247,-4,0,0,69,-63,0
41,-247,-4,0,0,69,-63,0
42,-247,-4,0,0,69,-63,0
43,-247,-4,0,0,69,-63,0
44,-247,-4,0,0,69,-63,0
45,-248,-4,0,0,69,-63,0
46,-248,-4,0,0,69,-63,0
47,-248,-4,0,0,69,-63,0
48,-248,-4,0,0,69,-63,0
49,-248,-4,0,0,69,-63,0
50,-249,-4,0,0,69,-63,0
51,-249,-4,0,0,69,-63,0
52,-249,-4,0,0,69,-63,0
53,-249,-3,0,0,69,-63,0
54,-250,-3,0,0,69,-63,0
55,-250,-3,0,0,69,-63,0
56,-250,-2,0,0,69,-63,0
57,-250,-2,0,0,69,-63,0
58,-251,-2,0,0,69,-63,0
59,-251,-2,0,0,69,-63,0
60,-251,-1,0,0,69,-63,0
61,-251,-1,0,0,69,-63,0
62,-252,-1,0,0,69,-63,0
63,-252,-1,0,0,69,-63,0
64,-252,0,0,0,69,-63,0
65,-252,0,0,0,69,-63,0
66,-252,0,0,0,69,-63,0
67,-253,0,0,0,69,-63,0
68,-253,1,0,0,69,-63,0
69,-253,1,0,0,69,-63,0
70,-253,1,0,0,69,-63,0
71,-253,1,0,0,69,-63,0
72,-253,2,0,0,69,-63,0
73,-254,2,0,0,69,-63,0
74,-254,3,0,0,69,-63,0
75,-254,3,0,0,69,-63,0
76,-254,3,0,0,69,-63,0
77,-254,3,0,0,69,-63,0
78,-255,3,0,0,69,-63,0
79,-255,3,0,0,69,-63,0
80,-255,3,0,0,69,-63,0
81,-255,3,0,0,69,-63,0
82,-255,4,0,0,69,-63,0
83,-255,4,0,0,69,-63,0
84,-256,4,0,0,69,-63,0
85,-256,4,0,0,69,-63,0
86,-256,4,0,0,69,-63,0
87,-256,4,0,0,69,-63,0
88,-256,4,0,0,69,-63,0
89,-256,5,0,0,69,-63,0
90,-257,6,0,0,69,-63,0
91,-257,6,0,0,69,-63,0
92,-257,6,0,0,69,-63,0
93,-257,6,0,0,69,-63,0
94,-257,6,0,0,69,-63,0
95,-257,6,0,0,69,-63,0
96,-257,6,0,0,69,-63,0
97,-257,6,0,0,69,-63,0
98,-257,6,0,0,69,-63,0
99,-257,6,0,0,69,-63,0
100,-257,6,0,0,69,-63,0
101,-257,6,0,0,69,-63,0
102,-257,6,0,0,69,-63,0
103,-257,6,0,0,69,-63,0
104,-257,6,0,0,69,-63,0
105,-257,6,0,0,69,-63,0
106,-257,6,0,0,69,-63,0
107,-257,6,0,0,69,-63,0
108,-257,6,0,0,69,-63,0
109,-257,6,0,0,69,-63,0
110,-257,6,0,0,69,-63,0
111,-257,5,0,0,69,-63,0
112,-257,5,0,0,69,-63,0
113,-257,5,0,0,69,-63,0
114,-257,5,0,0,69,-63,0
115,-257,5,0,0,69,-63,0
116,-257,5,0,0,69,-63,0
117,-257,5,0,0,69,-63,0
118,-258,4,0,0,69,-63,0
119,-258,4,0,0,69,-63,0
120,-258,3,0,0,69,-63,0
121,-258,3,0,0,69,-63,0
122,-258,3,0,0,69,-63,0
123,-258,3,0,0,69,-63,0
124,-258,3,0,0,69,-63,0
125,-258,3,0,0,69,-63,0
126,-258,3,0,0,69,-63,0
127,-258,3,0,0,69,-63,0
128,-258,3,0,0,69,-63,0
129,-258,2,0,0,69,-63,0
130,-258,2,0,0,69,-63,0
131,-258,2,0,0,69,-63,0
132,-258,2,0,0,69,-63,0
133,-258,2,0,0,69,-63,0
134,-258,2,0,0,69,-63,0
135,-257,2,0,0,69,-63,0
136,-257,2,0,0,69,-63,0
137,-257,2,0,0,69,-63,0
138,-257,2,0,0,69,-63,0
139,-257,1,0,0,69,-63,0
140,-257,1,0,0,69,-63,0
141,-256,1,0,0,69,-63,0
142,-256,1,0,0,69,-63,0
143,-256,1,0,0,69,-63,0
144,-256,1,0,0,69,-63,0
145,-256,1,0,0,69,-63,0
146,-256,1,0,0,69,-63,0
147,-256,1,0,0,69,-63,0
148,-256,1,0,0,69,-63,0
149,-256,1,0,0,69,-63,0
150,-256,1,0,0,69,-63,0
151,-256,1,0,0,69,-63,0
152,-256,1,0,0,69,-63,0
153,-255,1,0,0,69,-63,0
154,-255,1,0,0,69,-63,0
155,-255,2,0,0,69,-63,0
156,-255,2,0,0,69,-63,0
157,-255,2,0,0,69,-63,0
158,-255,2,0,0,69,-63,0
159,-255,2,0,0,69,-63,0
160,-255,2,0,0,69,-63,0
161,-254,3,0,0,69,-63,0
162,-254,3,0,0,69,-63,0
163,-254,3,0,0,69,-63,0
164,-254,3,0,0,69,-63,0
165,-254,3,0,0,69,-63,0
166,-254,3,0,0,69,-63,0
167,-254,3,0,0,69,-63,0
168,-254,3,0,0,69,-63,0
169,-254,4,0,0,69,-63,0
170,-254,4,0,0,69,-63,0
171,-254,4,0,0,69,-63,0
172,-254,4,0,0,69,-63,0
173,-254,4,0,0,69,-63,0
174,-253,4,0,0,69,-63,0
175,-253,4,0,0,69,-63,0
176,-253,4,0,0,69,-63,0
177,-253,4,0,0,69,-63,0
178,-253,4,0,0,69,-63,0
179,-253,4,0,0,69,-63,0
180,-253,4,0,0,69,-63,0
181,-253,4,0,0,69,-63,0
182,-253,4,0,0,69,-63,0
183,-253,4,0,0,69,-63,0
184,-253,4,0,0,69,-63,0
185,-253,4,0,0,69,-63,0
186,-253,4,0,0,69,-63,0
187,-253,4,0,0,69,-63,0
188,-252,4,0,0,69,-63,0
189,-252,4,0,0,69,-63,0
190,-252,4,0,0,69,-63,0
191,-252,4,0,0,69,-63,0
192,-252,4,0,0,69,-63,0
193,-252,4,0,0,69,-63,0
194,-252,4,0,0,69,-63,0
195,-251,4,0,0,69,-63,0
196,-251,4,0,0,69,-63,0
197,-251,4,0,0,69,-63,0
198,-250,3,0,0,69,-63,0
199,-249,3,0,0,69,-63,0
200,-249,3,0,0,69,-63,0
201,-249,3,0,0,69,-63,0
202,-249,2,0,0,69,-63,0
203,-248,1,0,0,69,-63,0
204,-248,1,0,0,69,-63,0
205,-248,1,0,0,69,-63,0
206,-248,1,0,0,69,-63,0
207,-248,0,0,0,69,-63,0
208,-248,0,0,0,69,-63,0
209,-248,0,0,0,69,-63,0
210,-248,0,0,0,69,-63,0
211,-248,0,0,0,69,-63,0
