t,x,y,fh,fv,r,s,frame:
0,-623,79,0,0,0,-35,0
1,-623,79,0,0,0,-35,0
2,-623,79,0,0,0,-35,0
3,-623,79,0,0,0,-35,0
4,-623,79,0,0,0,-35,0
5,-622,79,0,0,0,-35,0
6,-621,79,0,0,0,-35,0
7,-616,77,0,0,0,-35,0
8,-609,75,0,0,0,-35,0
9,-602,73,0,0,0,-35,0
10,-593,70,0,0,0,-35,0
11,-585,67,0,0,0,-35,0
12,-577,64,0,0,0,-35,0
13,-571,62,0,0,0,-35,0
14,-561,60,0,0,0,-35,0
15,-559,59,0,0,0,-35,0
16,-552,58,0,0,0,-35,0
17,-546,58,0,0,0,-35,0
18,-539,58,0,0,0,-35,0
19,-525,59,0,0,0,-35,0
20,-514,61,0,0,0,-35,0
21,-506,63,0,0,0,-35,0
22,-497,68,0,0,0,-35,0
23,-490,70,0,0,0,-35,0
24,-485,72,0,0,0,-35,0
25,-481,74,0,0,0,-35,0
26,-477,78,0,0,0,-35,0
27,-473,79,0,0,0,-35,0
28,-469,81,0,0,0,-35,0
29,-463,82,0,0,0,-35,0
30,-458,83,0,0,0,-35,0
31,-452,83,0,0,0,-35,0
32,-445,83,0,0,0,-35,0
33,-434,82,0,0,0,-35,0
34,-425,80,0,0,0,-35,0
35,-414,77,0,0,0,-35,0
36,-403,74,0,0,0,-35,0
37,-387,69,0,0,0,-35,0
38,-377,66,0,0,0,-35,0
39,-367,63,0,0,0,-35,0
40,-357,62,0,0,0,-35,0
41,-347,62,0,0,0,-35,0
42,-339,62,0,0,0,-35,0
43,-332,62,0,0,0,-35,0
44,-326,62,0,0,0,-35,0
45,-321,64,0,0,0,-35,0
46,-315,66,0,0,0,-35,0
47,-307,69,0,0,0,-35,0
48,-299,73,0,0,0,-35,0
49,-290,77,0,0,0,-35,0
50,-280,80,0,0,0,-35,0
51,-271,82,0,0,0,-35,0
52,-263,84,0,0,0,-35,0
53,-258,85,0,0,0,-35,0
54,-249,85,0,0,0,-35,0
55,-243,85,0,0,0,-35,0
56,-235,84,0,0,0,-35,0
57,-226,83,0,0,0,-35,0
58,-218,81,0,0,0,-35,0
59,-208,78,0,0,0,-35,0
60,-198,75,0,0,0,-35,0
61,-189,73,0,0,0,-35,0
62,-181,70,0,0,0,-35,0
63,-174,69,0,0,0,-35,0
64,-164,68,0,0,0,-35,0
65,-158,68,0,0,0,-35,0
66,-151,68,0,0,0,-35,0
67,-145,70,0,0,0,-35,0
68,-137,73,0,0,0,-35,0
69,-125,77,0,0,0,-35,0
70,-118,77,0,0,0,-35,0
71,-112,79,0,0,0,-35,0
72,-108,79,0,0,0,-35,0
73,-105,79,0,0,0,-35,0
74,-103,79,0,0,0,-35,0
75,-102,79,0,0,0,-35,0
76,-101,79,0,0,0,-35,0
77,-101,79,0,0,0,-35,0
78,-101,79,0,0,0,-35,0
79,-101,79,0,0,0,-35,0
80,-101,79,0,0,0,-35,0
81,-100,79,0,0,0,-35,0
82,-100,79,0,0,0,-35,0
83,-99,79,0,0,0,-35,0
84,-99,79,0,0,0,-35,0
85,-99,79,1,0,0,-35,0
