t,x,y,fh,fv,r,s,frame:
0,417,90,0,0,0,-8,0
1,417,90,0,0,0,-8,0
2,417,90,0,0,0,-8,0
3,417,90,0,0,0,-8,0
4,417,91,0,0,0,-8,0
5,417,91,0,0,0,-8,0
6,417,91,0,0,0,-8,0
7,417,91,0,0,0,-8,0
8,417,92,0,0,0,-8,0
9,417,92,0,0,0,-8,0
10,417,92,0,0,0,-8,0
11,417,92,0,0,0,-8,0
12,417,92,0,0,0,-8,0
13,417,92,0,0,0,-8,0
14,417,93,0,0,0,-8,0
15,417,93,0,0,0,-8,0
16,417,93,0,0,0,-8,0
17,418,93,0,0,0,-8,0
18,419,93,0,0,0,-8,0
19,419,93,0,0,0,-8,0
20,420,93,0,0,0,-8,0
21,420,93,0,0,0,-8,0
22,422,92,0,0,0,-8,0
23,422,91,0,0,0,-8,0
24,422,91,0,0,0,-8,0
25,422,91,0,0,0,-8,0
26,422,91,0,0,0,-8,0
27,423,91,0,0,0,-8,0
28,423,90,0,0,0,-8,0
29,423,90,0,0,0,-8,0
30,423,90,0,0,0,-8,0
31,423,90,0,0,0,-8,0
32,423,90,0,0,0,-8,0
33,424,89,0,0,0,-8,0
34,424,89,0,0,0,-8,0
35,424,88,0,0,0,-8,0
36,424,88,0,0,0,-8,0
37,424,88,0,0,0,-8,0
38,424,88,0,0,0,-8,0
39,424,88,0,0,0,-8,0
40,425,88,0,0,0,-8,0
41,426,88,0,0,0,-8,0
42,426,90,0,0,0,-8,0
43,426,91,0,0,0,-8,0
44,427,93,0,0,0,-8,0
45,427,94,0,0,0,-8,0
46,427,95,0,0,0,-8,0
47,428,96,0,0,0,-8,0
48,428,96,0,0,0,-8,0
49,428,96,0,0,0,-8,0
50,428,96,0,0,0,-8,0
51,428,96,0,0,0,-8,0
52,429,96,0,0,0,-8,0
53,430,96,0,0,0,-8,0
54,431,94,0,0,0,-8,0
55,433,94,0,0,0,-8,0
56,433,93,0,0,0,-8,0
57,433,93,0,0,0,-8,0
58,433,92,0,0,0,-8,0
59,434,91,0,0,0,-8,0
60,434,91,0,0,0,-8,0
61,434,90,0,0,0,-8,0
62,435,90,0,0,0,-8,0
63,435,90,0,0,0,-8,0
64,435,90,0,0,0,-8,0
65,435,90,0,0,0,-8,0
66,435,90,0,0,0,-8,0
67,435,90,0,0,0,-8,0
68,435,90,0,0,0,-8,0
69,435,90,0,0,0,-8,0
70,435,90,0,0,0,-8,0
71,435,90,0,0,0,-8,0
72,435,90,0,0,0,-8,0
73,435,90,0,0,0,-8,0
74,435,90,0,0,0,-8,0
75,435,90,0,0,0,-8,0
76,435,90,0,0,0,-8,0
77,435,90,0,0,0,-8,0
78,434,89,0,0,0,-8,0
79,434,89,0,0,0,-8,0
80,434,89,0,0,0,-8,0
81,434,89,0,0,0,-8,0
82,433,89,0,0,0,-8,0
83,433,89,0,0,0,-8,0
84,432,89,0,0,0,-8,0
85,432,89,0,0,0,-8,0
86,431,89,0,0,0,-8,0
87,431,89,0,0,0,-8,0
88,431,89,0,0,0,-8,0
89,430,89,0,0,0,-8,0
90,428,90,0,0,0,-8,0
91,428,91,0,0,0,-8,0
92,427,92,0,0,0,-8,0
93,426,92,0,0,0,-8,0
94,426,93,0,0,0,-8,0
95,425,94,0,0,0,-8,0
96,425,94,0,0,0,-8,0
97,425,94,0,0,0,-8,0
98,425,94,0,0,0,-8,0
99,424,94,0,0,0,-8,0
100,424,94,0,0,0,-8,0
101,423,94,0,0,0,-8,0
102,422,95,0,0,0,-8,0
103,422,95,0,0,0,-8,0
104,422,95,0,0,0,-8,0
105,421,95,0,0,0,-8,0
106,420,96,0,0,0,-8,0
107,419,96,0,0,0,-8,0
108,419,96,0,0,0,-8,0
109,419,96,0,0,0,-8,0
110,419,96,0,0,0,-8,0
111,419,96,0,0,0,-8,0
112,418,96,0,0,0,-8,0
113,418,95,0,0,0,-8,0
114,418,94,0,0,0,-8,0
115,418,94,0,0,0,-8,0
116,418,93,0,0,0,-8,0
117,417,93,0,0,0,-8,0
118,417,92,0,0,0,-8,0
119,417,92,0,0,0,-8,0
120,417,92,0,0,0,-8,0
121,417,91,0,0,0,-8,0
122,417,91,0,0,0,-8,0
123,417,91,0,0,0,-8,0
124,417,91,0,0,0,-8,0
125,417,91,0,0,0,-8,0
126,417,91,0,0,0,-8,0
127,417,91,0,0,0,-8,0
128,417,91,0,0,0,-8,0
129,417,91,0,0,0,-8,0
130,417,91,0,0,0,-8,0
131,417,91,0,0,0,-8,0
132,417,91,0,0,0,-8,0
133,417,91,0,0,0,-8,0
134,416,92,0,0,0,-8,0
135,415,93,0,0,0,-8,0
136,415,93,0,0,0,-8,0
137,415,94,0,0,0,-8,0
138,414,94,0,0,0,-8,0
139,414,94,0,0,0,-8,0
140,414,94,0,0,0,-8,0
141,413,95,0,0,0,-8,0
142,413,95,0,0,0,-8,0
143,413,95,0,0,0,-8,0
144,413,95,0,0,0,-8,0
145,413,95,0,0,0,-8,0
146,413,95,0,0,0,-8,0
147,413,96,0,0,0,-8,0
148,412,96,0,0,0,-8,0
149,412,96,0,0,0,-8,0
150,412,96,0,0,0,-8,0
151,411,96,0,0,0,-8,0
152,411,96,0,0,0,-8,0
153,411,96,0,0,0,-8,0
154,411,96,0,0,0,-8,0
155,411,95,0,0,0,-8,0
156,411,94,0,0,0,-8,0
157,411,93,0,0,0,-8,0
158,411,93,0,0,0,-8,0
159,411,92,0,0,0,-8,0
160,411,91,0,0,0,-8,0
161,411,91,0,0,0,-8,0
162,411,91,0,0,0,-8,0
163,411,91,0,0,0,-8,0
164,411,90,0,0,0,-8,0
165,411,90,0,0,0,-8,0
166,411,89,0,0,0,-8,0
167,411,89,0,0,0,-8,0
168,411,88,0,0,0,-8,0
169,411,88,0,0,0,-8,0
170,412,88,0,0,0,-8,0
171,413,88,0,0,0,-8,0
172,414,88,0,0,0,-8,0
173,414,88,0,0,0,-8,0
174,415,88,0,0,0,-8,0
175,416,88,0,0,0,-8,0
176,417,88,0,0,0,-8,0
177,417,89,0,0,0,-8,0
178,417,89,0,0,0,-8,0
179,418,90,0,0,0,-8,0
180,419,91,0,0,0,-8,0
181,420,92,0,0,0,-8,0
182,421,93,0,0,0,-8,0
183,422,93,0,0,0,-8,0
184,422,94,0,0,0,-8,0
185,423,94,0,0,0,-8,0
186,424,95,0,0,0,-8,0
187,424,95,0,0,0,-8,0
188,424,95,0,0,0,-8,0
189,424,95,0,0,0,-8,0
190,425,95,0,0,0,-8,0
191,425,95,0,0,0,-8,0
192,428,95,0,0,0,-8,0
193,430,95,0,0,0,-8,0
194,433,94,0,0,0,-8,0
195,434,94,0,0,0,-8,0
196,435,94,0,0,0,-8,0
197,436,93,0,0,0,-8,0
198,437,92,0,0,0,-8,0
199,438,91,0,0,0,-8,0
200,440,90,0,0,0,-8,0
201,440,89,0,0,0,-8,0
202,441,89,0,0,0,-8,0
203,441,89,0,0,0,-8,0
204,441,89,0,0,0,-8,0
205,441,89,0,0,0,-8,0
206,441,88,0,0,0,-8,0
207,441,87,0,0,0,-8,0
208,441,86,0,0,0,-8,0
209,441,85,0,0,0,-8,0
210,441,85,0,0,0,-8,0
211,441,84,0,0,0,-8,0
212,441,84,0,0,0,-8,0
213,441,84,0,0,0,-8,0
