t,x,y,fh,fv,r,s,frame:
0,411,107,1,0,0,-38,0
1,411,107,1,0,0,-38,0
2,411,107,1,0,0,-38,0
3,412,105,1,0,0,-38,0
4,412,98,1,0,0,-38,0
5,410,94,1,0,0,-38,0
6,409,93,1,0,0,-38,0
7,408,92,1,0,0,-38,0
8,405,89,1,0,0,-38,0
9,401,87,1,0,0,-38,0
10,395,85,1,0,0,-38,0
11,386,82,1,0,0,-38,0
12,378,80,1,0,0,-38,0
13,369,78,1,0,0,-38,0
14,361,77,1,0,0,-38,0
15,352,76,1,0,0,-38,0
16,346,76,1,0,0,-38,0
17,338,78,1,0,0,-38,0
18,333,82,1,0,0,-38,0
19,329,86,1,0,0,-38,0
20,322,93,1,0,0,-38,0
21,317,98,1,0,0,-38,0
22,309,103,1,0,0,-38,0
23,303,108,1,0,0,-38,0
24,299,111,1,0,0,-38,0
25,298,112,1,0,0,-38,0
26,296,112,1,0,0,-38,0
27,292,112,1,0,0,-38,0
28,289,112,1,0,0,-38,0
29,283,109,1,0,0,-38,0
30,274,105,1,0,0,-38,0
31,264,102,1,0,0,-38,0
32,254,100,1,0,0,-38,0
33,243,97,1,0,0,-38,0
34,232,92,1,0,0,-38,0
35,225,91,1,0,0,-38,0
36,219,89,1,0,0,-38,0
37,213,89,1,0,0,-38,0
38,211,89,1,0,0,-38,0
39,208,89,1,0,0,-38,0
40,203,91,1,0,0,-38,0
41,198,93,1,0,0,-38,0
42,191,96,1,0,0,-38,0
43,180,99,1,0,0,-38,0
44,172,103,1,0,0,-38,0
45,161,108,1,0,0,-38,0
46,153,112,1,0,0,-38,0
47,140,118,1,0,0,-38,0
48,132,123,1,0,0,-38,0
49,123,127,1,0,0,-38,0
50,116,129,1,0,0,-38,0
51,110,132,1,0,0,-38,0
52,106,132,1,0,0,-38,0
53,101,132,1,0,0,-38,0
54,93,131,1,0,0,-38,0
55,85,126,1,0,0,-38,0
56,79,122,1,0,0,-38,0
57,71,117,1,0,0,-38,0
58,61,110,1,0,0,-38,0
59,54,106,1,0,0,-38,0
60,47,105,1,0,0,-38,0
61,41,103,1,0,0,-38,0
62,35,102,1,0,0,-38,0
63,29,101,1,0,0,-38,0
64,23,101,1,0,0,-38,0
65,20,102,1,0,0,-38,0
66,13,107,1,0,0,-38,0
67,2,113,1,0,0,-38,0
68,-9,121,1,0,0,-38,0
69,-29,131,1,0,0,-38,0
70,-40,136,1,0,0,-38,0
71,-46,139,1,0,0,-38,0
