t,x,y,fh,fv,r,s,frame:
0,-532,134,0,0,0,-45,0
1,-532,134,0,0,0,-45,0
2,-532,134,0,0,0,-45,0
3,-532,134,0,0,0,-45,0
4,-532,134,0,0,0,-45,0
5,-532,134,0,0,0,-45,0
6,-532,134,0,0,0,-45,0
7,-531,134,0,0,0,-45,0
8,-527,132,0,0,0,-45,0
9,-522,129,0,0,0,-45,0
10,-518,125,0,0,0,-45,0
11,-511,123,0,0,0,-45,0
12,-507,121,0,0,0,-45,0
13,-504,119,0,0,0,-45,0
14,-503,119,0,0,0,-45,0
15,-502,119,0,0,0,-45,0
16,-502,119,0,0,0,-45,0
17,-499,123,0,0,0,-45,0
18,-498,126,0,0,0,-45,0
19,-496,131,0,0,0,-45,0
20,-493,135,0,0,0,-45,0
21,-493,137,0,0,0,-45,0
22,-492,137,0,0,0,-45,0
23,-492,137,0,0,0,-45,0
24,-492,137,0,0,0,-45,0
25,-492,137,0,0,0,-45,0
26,-492,137,0,0,0,-45,0
27,-492,137,0,0,0,-45,0
28,-492,137,0,0,0,-45,0
29,-490,137,0,0,0,-45,0
30,-486,135,0,0,0,-45,0
31,-481,133,0,0,0,-45,0
32,-474,129,0,0,0,-45,0
33,-469,127,0,0,0,-45,0
34,-464,125,0,0,0,-45,0
35,-461,123,0,0,0,-45,0
36,-459,122,0,0,0,-45,0
37,-458,122,0,0,0,-45,0
38,-457,122,0,0,0,-45,0
39,-453,130,0,0,0,-45,0
40,-448,138,0,0,0,-45,0
41,-444,145,0,0,0,-45,0
42,-439,149,0,0,0,-45,0
43,-438,151,0,0,0,-45,0
44,-438,151,0,0,0,-45,0
45,-438,151,0,0,0,-45,0
46,-438,151,0,0,0,-45,0
47,-438,151,0,0,0,-45,0
48,-438,151,0,0,0,-45,0
49,-437,151,0,0,0,-45,0
50,-434,148,0,0,0,-45,0
51,-432,145,0,0,0,-45,0
52,-429,142,0,0,0,-45,0
53,-418,134,0,0,0,-45,0
54,-414,132,0,0,0,-45,0
55,-412,131,0,0,0,-45,0
56,-409,130,0,0,0,-45,0
57,-409,130,0,0,0,-45,0
58,-409,130,0,0,0,-45,0
59,-409,130,0,0,0,-45,0
60,-407,131,0,0,0,-45,0
61,-405,135,0,0,0,-45,0
62,-401,140,0,0,0,-45,0
63,-398,143,0,0,0,-45,0
64,-395,145,0,0,0,-45,0
65,-394,146,0,0,0,-45,0
66,-393,146,0,0,0,-45,0
67,-392,146,0,0,0,-45,0
68,-387,144,0,0,0,-45,0
69,-381,142,0,0,0,-45,0
70,-374,139,0,0,0,-45,0
71,-367,136,0,0,0,-45,0
72,-362,134,0,0,0,-45,0
73,-353,130,0,0,0,-45,0
74,-345,128,0,0,0,-45,0
75,-336,127,0,0,0,-45,0
76,-331,127,0,0,0,-45,0
77,-328,129,0,0,0,-45,0
78,-325,133,0,0,0,-45,0
79,-321,137,0,0,0,-45,0
80,-318,140,0,0,0,-45,0
81,-314,143,0,0,0,-45,0
82,-311,145,0,0,0,-45,0
83,-309,146,0,0,0,-45,0
84,-307,147,0,0,0,-45,0
85,-305,148,0,0,0,-45,0
86,-304,148,0,0,0,-45,0
87,-304,148,0,0,0,-45,0
88,-303,148,0,0,0,-45,0
89,-299,146,0,0,0,-45,0
90,-293,143,0,0,0,-45,0
91,-280,138,0,0,0,-45,0
92,-270,133,0,0,0,-45,0
93,-258,130,0,0,0,-45,0
94,-246,127,0,0,0,-45,0
95,-239,127,0,0,0,-45,0
96,-236,127,0,0,0,-45,0
97,-233,128,0,0,0,-45,0
98,-230,131,0,0,0,-45,0
99,-227,135,0,0,0,-45,0
100,-221,140,0,0,0,-45,0
101,-217,143,0,0,0,-45,0
102,-214,144,0,0,0,-45,0
103,-214,144,0,0,0,-45,0
104,-214,144,0,0,0,-45,0
105,-214,144,0,0,0,-45,0
106,-214,144,0,0,0,-45,0
107,-213,144,0,0,0,-45,0
108,-210,142,0,0,0,-45,0
109,-207,139,0,0,0,-45,0
110,-204,136,0,0,0,-45,0
111,-200,133,0,0,0,-45,0
112,-197,131,0,0,0,-45,0
113,-193,131,0,0,0,-45,0
114,-188,131,0,0,0,-45,0
115,-184,131,0,0,0,-45,0
116,-182,132,0,0,0,-45,0
117,-182,132,0,0,0,-45,0
118,-179,132,0,0,0,-45,0
119,-176,133,0,0,0,-45,0
120,-174,133,0,0,0,-45,0
121,-170,134,0,0,0,-45,0
122,-168,135,0,0,0,-45,0
123,-166,135,0,0,0,-45,0
124,-166,135,0,0,0,-45,0
125,-164,135,0,0,0,-45,0
126,-163,135,0,0,0,-45,0
127,-163,135,0,0,0,-45,0
128,-162,135,0,0,0,-45,0
129,-162,135,0,0,0,-45,0
130,-162,135,0,0,0,-45,0
131,-162,135,0,0,0,-45,0
132,-162,135,0,0,0,-45,0
133,-162,135,0,0,0,-45,0
134,-162,135,0,0,0,-45,0
135,-162,135,0,0,0,-45,0
136,-162,135,0,0,0,-45,0
137,-162,135,0,0,0,-45,0
138,-162,135,0,0,0,-45,0
139,-162,135,0,0,0,-45,0
140,-162,135,0,0,0,-45,0
141,-162,135,0,0,0,-45,0
142,-162,135,0,0,0,-45,0
143,-162,135,0,0,0,-45,0
144,-162,135,0,0,0,-45,0
145,-162,135,0,0,0,-45,0
146,-162,135,0,0,0,-45,0
147,-162,135,0,0,0,-45,0
148,-162,135,0,0,0,-45,0
149,-162,135,0,0,0,-45,0
150,-162,135,0,0,0,-45,0
151,-162,135,0,0,0,-45,0
152,-162,135,0,0,0,-45,0
153,-162,135,0,0,0,-45,0
154,-162,135,0,0,0,-45,0
155,-162,135,0,0,-1,-45,0
156,-162,135,0,0,-2,-45,0
157,-162,135,0,0,-3,-45,0
158,-162,135,0,0,-4,-45,0
159,-162,135,0,0,-5,-45,0
160,-162,135,0,0,-6,-45,0
161,-162,135,0,0,-7,-45,0
162,-162,135,0,0,-8,-45,0
163,-162,135,0,0,-9,-45,0
164,-162,135,0,0,-10,-45,0
165,-162,135,0,0,-11,-45,0
166,-162,135,0,0,-12,-45,0
167,-162,135,0,0,-13,-45,0
168,-162,135,0,0,-14,-45,0
169,-162,135,0,0,-14,-45,0
170,-162,135,0,0,-14,-45,0
171,-162,135,0,0,-14,-45,0
172,-162,135,0,0,-14,-45,0
173,-162,135,0,0,-14,-45,0
174,-162,135,0,0,-14,-45,0
175,-162,135,0,0,-14,-45,0
176,-162,135,0,0,-14,-45,0
177,-162,135,0,0,-14,-45,0
178,-162,135,0,0,-14,-45,0
179,-162,135,0,0,-14,-45,0
180,-162,135,0,0,-14,-45,0
181,-162,135,0,0,-13,-45,0
182,-162,135,0,0,-12,-45,0
183,-162,135,0,0,-11,-45,0
184,-162,135,0,0,-10,-45,0
185,-162,135,0,0,-9,-45,0
186,-162,135,0,0,-8,-45,0
187,-162,135,0,0,-7,-45,0
188,-162,135,0,0,-6,-45,0
189,-162,135,0,0,-5,-45,0
190,-162,135,0,0,-4,-45,0
191,-162,135,0,0,-3,-45,0
192,-162,135,0,0,-2,-45,0
193,-162,135,0,0,-1,-45,0
194,-162,135,0,0,0,-45,0
195,-162,135,0,0,1,-45,0
196,-162,135,0,0,2,-45,0
197,-162,135,0,0,3,-45,0
198,-162,135,0,0,4,-45,0
199,-162,135,0,0,5,-45,0
200,-162,135,0,0,6,-45,0
201,-162,135,0,0,7,-45,0
202,-162,135,0,0,8,-45,0
203,-162,135,0,0,9,-45,0
204,-162,135,0,0,9,-45,0
205,-162,135,0,0,9,-45,0
206,-162,135,0,0,9,-45,0
207,-162,135,0,0,9,-45,0
208,-162,135,0,0,9,-45,0
209,-162,135,0,0,9,-45,0
210,-162,135,0,0,9,-45,0
211,-162,135,0,0,9,-45,0
212,-162,135,0,0,9,-45,0
213,-162,135,0,0,9,-45,0
214,-162,135,0,0,9,-45,0
215,-162,135,0,0,9,-45,0
216,-162,135,0,0,9,-45,0
217,-162,135,0,0,8,-45,0
218,-162,135,0,0,7,-45,0
219,-162,135,0,0,6,-45,0
220,-162,135,0,0,5,-45,0
221,-162,135,0,0,4,-45,0
222,-162,135,0,0,3,-45,0
223,-162,135,0,0,2,-45,0
224,-162,135,0,0,1,-45,0
225,-162,135,0,0,0,-45,0
226,-162,135,0,0,-1,-45,0
227,-162,135,0,0,-2,-45,0
228,-162,135,0,0,-3,-45,0
229,-162,135,0,0,-3,-45,0
230,-162,135,0,0,-3,-45,0
231,-162,135,0,0,-3,-45,0
232,-162,135,0,0,-3,-45,0
233,-162,135,0,0,-3,-45,0
234,-162,135,0,0,-3,-45,0
235,-162,135,0,0,-3,-45,0
236,-162,135,0,0,-3,-45,0
237,-162,135,0,0,-3,-45,0
238,-162,135,0,0,-3,-45,0
239,-162,135,0,0,-3,-45,0
240,-162,135,0,0,-3,-45,0
241,-162,135,0,0,-3,-45,0
242,-162,135,0,0,-3,-45,0
243,-162,135,0,0,-3,-45,0
244,-162,135,0,0,-3,-45,0
245,-162,135,0,0,-3,-45,0
246,-162,135,0,0,-3,-45,0
247,-162,135,0,0,-3,-45,0
248,-162,135,0,0,-3,-45,0
249,-162,135,0,0,-3,-45,0
250,-162,135,0,0,-3,-45,0
251,-162,135,0,0,-3,-45,0
252,-162,135,0,0,-3,-45,0
253,-162,135,0,0,-3,-45,0
254,-162,135,0,0,-3,-45,0
255,-162,135,0,0,-3,-45,0
256,-162,135,0,0,-3,-45,0
257,-162,135,0,0,-3,-45,0
258,-162,135,0,0,-3,-45,0
259,-162,135,0,0,-3,-45,0
260,-162,135,0,0,-3,-45,0
261,-162,135,0,0,-3,-45,0
262,-162,135,0,0,-3,-45,0
263,-162,135,0,0,-3,-45,0
264,-162,135,0,0,-3,-45,0
265,-162,135,0,0,-3,-45,0
266,-162,135,0,0,-3,-45,0
267,-162,135,0,0,-3,-45,0
268,-162,135,0,0,-3,-45,0
269,-162,135,0,0,-3,-45,0
270,-162,135,0,0,-3,-45,0
271,-162,135,0,0,-3,-45,0
