t,x,y,fh,fv,r,s,frame:
0,206,-10,0,0,0,-172,0
1,206,-10,0,0,0,-172,0
2,206,-10,0,0,0,-172,0
3,206,-10,0,0,0,-172,0
4,206,-10,0,0,0,-172,0
5,206,-10,0,0,0,-172,0
6,206,-10,0,0,0,-172,0
7,206,-10,0,0,0,-172,0
8,206,-10,0,0,0,-172,0
9,206,-10,0,0,0,-172,0
10,206,-10,0,0,0,-172,0
11,206,-10,0,0,0,-172,0
12,206,-10,0,0,0,-172,0
13,206,-10,0,0,0,-172,0
14,206,-10,0,0,0,-172,0
15,206,-10,0,0,0,-172,0
16,206,-10,0,0,0,-172,0
17,206,-10,0,0,0,-172,0
18,206,-10,0,0,0,-172,0
19,206,-10,0,0,0,-172,0
20,206,-10,0,0,0,-172,0
21,206,-10,0,0,0,-172,0
22,206,-10,0,0,0,-172,0
23,206,-10,0,0,0,-172,0
24,206,-10,0,0,0,-172,0
25,206,-10,0,0,0,-172,0
26,206,-10,0,0,0,-172,0
27,206,-10,0,0,0,-172,0
28,206,-10,0,0,0,-172,0
29,206,-10,0,0,0,-172,0
30,206,-10,0,0,0,-172,0
31,206,-10,0,0,0,-172,0
32,206,-10,0,0,0,-172,0
33,206,-10,0,0,0,-172,0
34,206,-10,0,0,0,-172,0
35,206,-10,0,0,0,-172,0
36,206,-10,0,0,0,-172,0
37,206,-10,0,0,0,-172,0
38,206,-10,0,0,0,-172,0
39,206,-10,0,0,0,-172,0
40,206,-10,0,0,0,-172,0
41,206,-10,0,0,0,-172,0
42,206,-10,0,0,0,-172,0
43,206,-10,0,0,0,-172,0
44,206,-10,0,0,0,-172,0
45,206,-10,0,0,0,-172,0
46,206,-10,0,0,0,-172,0
47,206,-10,0,0,0,-172,0
48,206,-10,0,0,0,-172,0
49,206,-10,0,0,0,-172,0
50,206,-10,0,0,0,-172,0
51,206,-10,0,0,0,-172,0
52,206,-10,0,0,0,-172,0
53,206,-10,0,0,0,-172,0
54,206,-10,0,0,0,-172,0
55,206,-10,0,0,0,-172,0
56,206,-10,0,0,0,-172,0
57,206,-10,0,0,0,-172,0
58,206,-10,0,0,0,-172,0
59,206,-10,0,0,0,-172,0
60,206,-10,0,0,0,-172,0
61,206,-10,0,0,0,-172,0
62,206,-10,0,0,0,-172,0
63,206,-10,0,0,0,-172,0
64,206,-10,0,0,0,-172,0
65,206,-10,0,0,0,-172,0
66,206,-10,0,0,0,-172,0
67,206,-10,0,0,0,-172,0
68,206,-10,0,0,0,-172,0
69,206,-10,0,0,0,-172,0
70,206,-10,0,0,0,-172,0
71,206,-10,0,0,0,-172,0
72,206,-10,0,0,0,-172,0
73,206,-10,0,0,0,-172,0
74,206,-10,0,0,0,-172,0
75,206,-10,0,0,0,-172,0
76,206,-10,0,0,0,-172,0
77,206,-10,0,0,0,-172,0
78,206,-10,0,0,0,-172,0
79,206,-10,0,0,0,-172,0
80,206,-10,0,0,0,-172,0
81,206,-10,0,0,0,-172,0
82,206,-10,0,0,0,-172,0
83,206,-10,0,0,0,-172,0
84,206,-10,0,0,0,-172,0
85,206,-10,0,0,0,-172,0
86,206,-10,0,0,0,-172,0
87,206,-10,0,0,0,-172,0
88,206,-10,0,0,0,-172,1
89,206,-10,0,0,0,-172,1
90,206,-10,0,0,0,-172,1
91,206,-10,0,0,0,-172,1
92,206,-10,0,0,0,-172,1
93,206,-10,0,0,0,-172,1
94,206,-10,0,0,0,-172,1
95,206,-10,0,0,0,-172,1
96,206,-10,0,0,0,-172,1
97,206,-10,0,0,0,-172,1
98,206,-10,0,0,0,-172,1
99,206,-10,0,0,0,-172,1
100,206,-10,0,0,0,-172,1
101,206,-10,0,0,0,-172,1
102,206,-10,0,0,0,-172,1
103,206,-10,0,0,0,-172,1
104,206,-10,0,0,0,-172,1
105,206,-10,0,0,0,-172,1
106,206,-10,0,0,0,-172,1
107,206,-10,0,0,0,-172,1
108,206,-10,0,0,0,-172,1
109,206,-10,0,0,0,-172,1
110,206,-10,0,0,0,-172,1
111,206,-10,0,0,0,-172,1
112,206,-10,0,0,0,-172,1
113,206,-10,0,0,0,-172,1
114,206,-10,0,0,0,-172,1
115,206,-10,0,0,0,-172,1
116,206,-10,0,0,0,-172,1
117,206,-10,0,0,0,-172,1
118,206,-10,0,0,0,-172,1
119,206,-10,0,0,0,-172,1
120,206,-10,0,0,0,-172,1
121,206,-10,0,0,0,-172,1
122,206,-10,0,0,0,-172,1
123,206,-10,0,0,0,-172,1
124,206,-10,0,0,0,-172,1
125,206,-10,0,0,0,-172,1
126,206,-10,0,0,0,-172,1
127,206,-10,0,0,0,-172,1
128,206,-10,0,0,0,-172,1
129,206,-10,0,0,0,-172,1
130,206,-10,0,0,0,-172,1
131,206,-10,0,0,0,-172,1
132,206,-10,0,0,0,-172,1
133,206,-10,0,0,0,-172,1
134,206,-10,0,0,0,-172,1
135,206,-10,0,0,0,-172,1
136,206,-10,0,0,0,-172,1
137,206,-10,0,0,0,-172,1
138,206,-10,0,0,0,-172,1
139,206,-10,0,0,0,-172,1
140,206,-10,0,0,0,-172,1
141,206,-10,0,0,0,-172,1
142,206,-10,0,0,0,-172,1
143,206,-10,0,0,0,-172,1
144,206,-10,0,0,0,-172,1
145,206,-10,0,0,0,-172,1
146,206,-10,0,0,0,-172,1
147,206,-10,0,0,0,-172,1
148,206,-10,0,0,0,-172,1
149,206,-10,0,0,0,-172,1
150,206,-10,0,0,0,-172,1
151,206,-10,0,0,0,-172,1
152,206,-10,0,0,0,-172,1
153,206,-10,0,0,0,-172,1
154,206,-10,0,0,0,-172,1
155,206,-10,0,0,0,-172,1
156,206,-10,0,0,0,-172,1
157,206,-10,0,0,0,-172,1
158,206,-10,0,0,0,-172,1
159,206,-10,0,0,0,-172,1
160,206,-10,0,0,0,-172,1
161,206,-10,0,0,0,-172,1
162,206,-10,0,0,0,-172,1
163,206,-10,0,0,0,-172,1
164,206,-10,0,0,0,-172,1
165,206,-10,0,0,0,-172,1
166,206,-10,0,0,0,-172,1
167,206,-10,0,0,0,-172,1
168,206,-10,0,0,0,-172,1
169,206,-10,0,0,0,-172,1
170,206,-10,0,0,0,-172,1
171,206,-10,0,0,0,-172,1
172,206,-10,0,0,0,-172,1
173,206,-10,0,0,0,-172,1
174,206,-10,0,0,0,-172,1
175,206,-10,0,0,0,-172,1
176,206,-10,0,0,0,-172,1
177,206,-10,0,0,0,-172,1
178,206,-10,0,0,0,-172,1
179,206,-10,0,0,0,-172,1
180,206,-10,0,0,0,-172,1
181,206,-10,0,0,0,-172,1
182,206,-10,0,0,0,-172,1
183,206,-10,0,0,0,-172,1
184,206,-10,0,0,0,-172,1
185,206,-10,0,0,0,-172,1
186,206,-10,0,0,0,-172,1
187,206,-10,0,0,0,-172,1
188,206,-10,0,0,0,-172,1
189,206,-10,0,0,0,-172,1
190,206,-10,0,0,0,-172,1
