t,x,y,fh,fv,r,s,frame:
0,93,116,0,0,0,0,1
1,93,116,0,0,0,0,1
2,93,116,0,0,0,0,1
3,93,116,0,0,0,0,1
4,93,116,0,0,0,0,1
5,93,116,0,0,0,0,1
6,93,116,0,0,0,0,1
7,93,116,0,0,0,0,1
8,93,116,0,0,0,0,1
9,93,116,0,0,0,0,1
10,93,116,0,0,0,0,1
11,93,116,0,0,0,0,1
12,93,116,0,0,0,0,1
13,93,116,0,0,0,0,1
14,93,116,0,0,0,0,1
15,93,116,0,0,0,0,1
16,93,116,0,0,0,0,1
17,93,116,0,0,0,0,1
18,93,116,0,0,0,0,1
19,93,116,0,0,0,0,1
20,93,116,0,0,0,0,1
21,93,116,0,0,0,0,1
22,93,116,0,0,0,0,1
23,93,116,0,0,0,0,1
24,93,116,0,0,0,0,1
25,93,116,0,0,0,0,1
26,93,116,0,0,0,0,1
27,93,116,0,0,0,0,1
28,94,116,0,0,0,0,1
29,94,116,0,0,0,0,1
30,94,116,0,0,0,0,1
31,94,116,0,0,0,0,1
32,94,116,0,0,0,0,1
33,94,116,0,0,0,0,1
34,94,116,0,0,0,0,1
35,94,116,0,0,0,0,1
36,94,116,0,0,0,0,1
37,94,116,0,0,0,0,1
38,94,116,0,0,0,0,1
39,94,116,0,0,0,0,1
40,94,116,0,0,0,0,1
41,94,116,0,0,0,0,1
42,94,116,0,0,0,0,1
43,94,116,0,0,0,0,1
44,94,116,0,0,0,0,1
45,94,116,0,0,0,0,1
46,94,116,0,0,0,0,1
47,94,116,0,0,0,0,1
48,94,116,0,0,0,0,1
49,94,116,0,0,0,0,1
50,94,116,0,0,0,0,1
51,94,116,0,0,0,0,1
52,94,116,0,0,0,0,1
53,94,116,0,0,0,0,1
54,94,116,0,0,0,0,1
55,94,116,0,0,0,0,1
56,94,116,0,0,0,0,1
57,94,116,0,0,0,0,1
58,94,116,0,0,0,0,1
59,112,88,0,0,0,0,0
60,112,88,0,0,0,0,0
61,112,88,0,0,0,0,0
62,112,88,0,0,0,0,0
63,112,88,0,0,0,0,0
64,112,88,0,0,0,0,0
65,112,88,0,0,0,0,0
66,112,88,0,0,0,0,0
67,112,88,0,0,0,0,0
68,112,88,0,0,0,0,0
69,112,88,0,0,0,0,0
70,112,88,0,0,0,0,0
71,112,88,0,0,0,0,0
72,112,88,0,0,0,0,0
73,112,88,0,0,0,0,0
74,112,88,0,0,0,0,0
75,112,88,0,0,0,0,0
76,112,88,0,0,0,0,0
77,112,88,0,0,0,0,0
78,112,88,0,0,0,0,0
79,112,88,0,0,0,0,0
80,112,88,0,0,0,0,0
81,112,88,0,0,0,0,0
82,112,88,0,0,0,0,0
83,112,88,0,0,0,0,0
84,112,88,0,0,0,0,0
85,112,88,0,0,0,0,0
86,112,88,0,0,0,0,0
87,112,88,0,0,0,0,0
88,112,88,0,0,0,0,0
89,112,88,0,0,0,0,0
90,112,88,0,0,0,0,0
91,112,88,0,0,0,0,0
92,112,88,0,0,0,0,0
93,112,88,0,0,0,0,0
94,112,88,0,0,0,0,0
95,112,88,0,0,0,0,0
96,112,88,0,0,0,0,0
97,112,88,0,0,0,0,0
98,112,88,0,0,0,0,0
99,112,88,0,0,0,0,0
100,112,88,0,0,0,0,0
101,112,88,0,0,0,0,0
102,112,88,0,0,0,0,0
103,112,88,0,0,0,0,0
104,112,88,0,0,0,0,0
105,112,88,0,0,0,0,0
106,112,88,0,0,0,0,0
107,112,88,0,0,0,0,0
108,112,88,0,0,0,0,0
109,112,88,0,0,0,0,0
110,112,88,0,0,0,0,0
111,112,88,0,0,0,0,0
112,112,88,0,0,0,0,0
113,112,88,0,0,0,0,0
114,112,88,0,0,0,0,0
115,112,88,0,0,0,0,0
116,112,88,0,0,0,0,0
117,112,88,0,0,0,0,0
118,112,88,0,0,0,0,0
119,112,88,0,0,0,0,0
120,112,88,0,0,0,0,0
121,332,81,0,0,0,0,0
122,332,81,0,0,0,0,0
123,332,81,0,0,0,0,0
124,332,81,0,0,0,0,0
125,332,81,0,0,0,0,0
126,332,81,0,0,0,0,0
127,332,81,0,0,0,0,0
128,332,81,0,0,0,0,0
129,332,81,0,0,0,0,0
130,332,81,0,0,0,0,0
131,332,81,0,0,0,0,0
132,332,81,0,0,0,0,0
133,332,81,0,0,0,0,0
134,332,81,0,0,0,0,0
135,332,81,0,0,0,0,0
