t,x,y,fh,fv,r,s,frame:
0,510,104,1,0,0,-40,1
1,510,104,1,0,0,-40,1
2,510,104,1,0,0,-40,1
3,510,104,1,0,0,-40,1
4,510,104,1,0,0,-40,1
5,510,104,1,0,0,-40,1
6,510,104,1,0,0,-40,1
7,510,104,1,0,0,-40,1
8,510,104,1,0,0,-40,1
9,510,104,1,0,0,-40,1
10,509,104,1,0,0,-40,1
11,508,103,1,0,0,-40,1
12,508,102,1,0,0,-40,1
13,506,101,1,0,0,-40,1
14,505,100,1,0,0,-40,1
15,504,99,1,0,0,-40,1
16,502,99,1,0,0,-40,1
17,500,99,1,0,0,-40,1
18,498,100,1,0,0,-40,1
19,496,102,1,0,0,-40,1
20,491,105,1,0,0,-40,1
21,485,108,1,0,0,-40,1
22,481,110,1,0,0,-40,1
23,480,110,1,0,0,-40,1
24,480,110,1,0,0,-40,1
25,480,110,1,0,0,-40,1
26,480,110,1,0,0,-40,1
27,480,110,1,0,0,-40,1
28,478,109,1,0,0,-40,1
29,467,101,1,0,0,-40,1
30,461,98,1,0,0,-40,1
31,454,95,1,0,0,-40,1
32,447,93,1,0,0,-40,1
33,444,91,1,0,0,-40,1
34,443,91,1,0,0,-40,1
35,443,91,1,0,0,-40,1
36,443,91,1,0,0,-40,1
37,441,91,1,0,0,-40,1
38,437,94,1,0,0,-40,1
39,432,98,1,0,0,-40,1
40,427,100,1,0,0,-40,1
41,423,102,1,0,0,-40,1
42,422,103,1,0,0,-40,1
43,422,103,1,0,0,-40,1
44,422,103,1,0,0,-40,1
45,422,103,1,0,0,-40,1
46,422,103,1,0,0,-40,1
47,419,100,1,0,0,-40,1
48,413,95,1,0,0,-40,1
49,400,86,1,0,0,-40,1
50,392,79,1,0,0,-40,1
51,383,73,1,0,0,-40,1
52,380,72,1,0,0,-40,1
53,380,71,1,0,0,-40,1
54,380,71,1,0,0,-40,1
55,380,71,1,0,0,-40,1
56,378,73,1,0,0,-40,1
57,375,77,1,0,0,-40,1
58,371,81,1,0,0,-40,1
59,367,87,1,0,0,-40,1
60,364,91,1,0,0,-40,1
61,361,95,1,0,0,-40,1
62,359,99,1,0,0,-40,1
63,358,101,1,0,0,-40,1
64,358,101,1,0,0,-40,1
65,358,101,1,0,0,-40,1
66,358,101,1,0,0,-40,1
67,358,101,1,0,0,-40,1
68,358,101,1,0,0,-40,1
69,358,101,1,0,0,-40,1
70,358,101,1,0,0,-40,1
71,358,101,1,0,0,-40,1
72,358,101,1,0,0,-40,1
73,358,101,1,0,0,-40,1
74,358,101,1,0,0,-40,1
75,358,101,1,0,0,-40,1
76,358,101,1,0,0,-40,1
