t,x,y,fh,fv,r,s,frame:
0,26,-70,0,0,0,-89,1
1,26,-70,0,0,0,-89,1
2,26,-70,0,0,0,-89,1
3,26,-70,0,0,0,-89,1
4,26,-70,0,0,0,-89,1
5,26,-70,0,0,0,-89,1
6,26,-70,0,0,0,-89,1
7,26,-70,0,0,0,-89,1
8,26,-70,0,0,0,-89,1
9,26,-70,0,0,0,-89,1
10,26,-70,0,0,0,-89,1
11,26,-70,0,0,0,-89,1
12,26,-70,0,0,0,-89,1
13,26,-70,0,0,0,-89,1
14,26,-70,0,0,0,-89,1
15,26,-70,0,0,0,-89,1
16,26,-70,0,0,0,-89,1
17,26,-70,0,0,0,-89,1
18,26,-70,0,0,0,-89,1
19,26,-70,0,0,0,-89,1
20,26,-70,0,0,0,-89,1
21,26,-70,0,0,0,-89,1
22,26,-70,0,0,0,-89,1
23,26,-70,0,0,0,-89,1
24,26,-70,0,0,0,-89,1
25,26,-70,0,0,0,-89,1
26,26,-70,0,0,0,-89,1
27,26,-70,0,0,0,-89,1
28,26,-70,0,0,0,-89,1
29,26,-70,0,0,0,-89,1
30,26,-70,0,0,0,-89,1
31,26,-70,0,0,0,-89,1
32,26,-70,0,0,0,-89,1
33,26,-70,0,0,0,-89,1
34,26,-70,0,0,0,-89,1
35,26,-70,0,0,0,-89,1
36,26,-70,0,0,0,-89,1
37,26,-70,0,0,0,-89,1
38,26,-70,0,0,0,-89,1
39,26,-70,0,0,0,-89,1
40,26,-70,0,0,0,-89,1
41,26,-70,0,0,0,-89,1
42,26,-70,0,0,0,-89,1
43,26,-70,0,0,0,-89,1
44,26,-70,0,0,0,-89,1
45,26,-70,0,0,0,-89,1
46,26,-70,0,0,0,-89,1
47,26,-70,0,0,0,-89,1
48,26,-70,0,0,0,-89,1
49,26,-70,0,0,0,-89,1
50,26,-70,0,0,0,-89,1
51,26,-70,0,0,0,-89,1
52,26,-70,0,0,0,-89,1
53,26,-70,0,0,0,-89,1
54,26,-70,0,0,0,-89,1
55,26,-70,0,0,0,-89,1
56,26,-70,0,0,0,-89,1
57,26,-70,0,0,0,-89,1
58,26,-70,0,0,0,-89,1
59,26,-70,0,0,0,-89,1
60,26,-70,0,0,0,-89,1
61,26,-70,0,0,0,-89,1
62,26,-70,0,0,0,-89,1
63,26,-70,0,0,0,-89,1
64,26,-70,0,0,0,-89,1
65,26,-70,0,0,0,-89,1
66,26,-70,0,0,0,-89,1
67,26,-70,0,0,0,-89,1
68,26,-70,0,0,0,-89,1
69,26,-70,0,0,0,-89,1
70,26,-70,0,0,0,-89,1
71,26,-70,0,0,0,-89,1
72,26,-70,0,0,0,-89,1
73,26,-70,0,0,0,-89,1
74,26,-70,0,0,0,-89,1
75,26,-70,0,0,0,-89,1
76,26,-70,0,0,0,-89,1
77,26,-70,0,0,0,-89,1
78,26,-70,0,0,0,-89,1
79,26,-70,0,0,0,-89,1
80,26,-70,0,0,0,-89,1
81,26,-70,0,0,0,-89,1
82,26,-70,0,0,0,-89,1
83,26,-70,0,0,0,-89,1
84,26,-70,0,0,0,-89,1
85,26,-70,0,0,0,-89,1
86,26,-70,0,0,0,-89,1
87,26,-70,0,0,0,-89,1
88,26,-70,0,0,0,-89,1
89,26,-70,0,0,0,-89,1
90,26,-70,0,0,0,-89,1
91,26,-70,0,0,0,-89,1
92,26,-70,0,0,0,-89,1
93,26,-70,0,0,0,-89,1
94,26,-70,0,0,0,-89,1
95,26,-70,0,0,0,-89,1
96,26,-70,0,0,0,-89,1
97,26,-70,0,0,0,-89,1
98,26,-70,0,0,0,-89,1
99,26,-70,0,0,0,-89,1
100,26,-70,0,0,0,-89,1
101,26,-70,0,0,0,-89,1
102,26,-70,0,0,0,-89,1
103,26,-70,0,0,0,-89,1
104,26,-70,0,0,0,-89,1
105,26,-70,0,0,0,-89,1
106,26,-70,0,0,0,-89,1
107,26,-70,0,0,0,-89,1
108,26,-70,0,0,0,-89,1
109,26,-70,0,0,0,-89,1
110,26,-70,0,0,0,-89,1
111,26,-70,0,0,0,-89,1
112,26,-70,0,0,0,-89,1
113,26,-70,0,0,0,-89,1
114,26,-70,0,0,0,-89,1
115,26,-70,0,0,0,-89,1
116,26,-70,0,0,0,-89,1
117,26,-70,0,0,0,-89,1
118,26,-70,0,0,0,-89,1
119,26,-70,0,0,0,-89,1
120,26,-70,0,0,0,-89,1
121,26,-70,0,0,0,-89,1
122,26,-70,0,0,0,-89,1
123,26,-70,0,0,0,-89,1
124,26,-70,0,0,0,-89,1
125,26,-70,0,0,0,-89,1
126,26,-70,0,0,0,-89,1
127,26,-70,0,0,0,-89,1
128,26,-70,0,0,0,-89,1
129,26,-70,0,0,0,-89,1
130,26,-70,0,0,0,-89,1
131,26,-70,0,0,0,-89,1
132,26,-70,0,0,0,-89,1
133,26,-70,0,0,0,-89,1
134,26,-70,0,0,0,-89,1
135,26,-70,0,0,0,-89,1
136,26,-70,0,0,0,-89,1
137,26,-70,0,0,0,-89,1
138,26,-70,0,0,0,-89,1
139,26,-70,0,0,0,-89,1
140,26,-70,0,0,0,-89,1
141,26,-70,0,0,0,-89,1
142,26,-70,0,0,0,-89,1
143,26,-70,0,0,0,-89,1
144,26,-70,0,0,0,-89,1
145,26,-70,0,0,0,-89,1
146,26,-70,0,0,0,-89,1
147,26,-70,0,0,0,-89,1
148,26,-70,0,0,0,-89,1
149,26,-70,0,0,0,-89,1
150,26,-70,0,0,0,-89,1
151,26,-70,0,0,0,-89,1
152,26,-70,0,0,0,-89,1
153,26,-70,0,0,0,-89,1
154,26,-70,0,0,0,-89,1
155,26,-70,0,0,0,-89,1
156,26,-70,0,0,0,-89,1
157,26,-70,0,0,0,-89,1
158,26,-70,0,0,0,-89,1
159,26,-70,0,0,0,-89,1
160,26,-70,0,0,0,-89,1
161,26,-70,0,0,0,-89,1
162,26,-70,0,0,0,-89,1
163,26,-70,0,0,0,-89,1
164,26,-70,0,0,0,-89,1
165,26,-70,0,0,0,-89,1
166,26,-70,0,0,0,-89,1
167,26,-70,0,0,0,-89,1
168,26,-70,0,0,0,-89,1
169,26,-70,0,0,0,-89,1
170,26,-70,0,0,0,-89,1
171,26,-70,0,0,0,-89,1
172,26,-70,0,0,0,-89,1
173,26,-70,0,0,0,-89,1
174,26,-70,0,0,0,-89,1
175,26,-70,0,0,0,-89,1
176,26,-70,0,0,0,-89,1
177,26,-70,0,0,0,-89,1
178,26,-70,0,0,0,-89,1
179,26,-70,0,0,0,-89,1
180,26,-70,0,0,0,-89,1
181,26,-70,0,0,0,-89,1
182,26,-70,0,0,0,-89,1
183,26,-70,0,0,0,-89,1
184,26,-70,0,0,0,-89,1
185,26,-70,0,0,0,-89,1
186,26,-70,0,0,0,-89,1
187,26,-70,0,0,0,-89,1
188,26,-70,0,0,0,-89,1
189,26,-70,0,0,0,-89,1
190,26,-70,0,0,0,-89,1
191,26,-70,0,0,0,-89,1
192,26,-70,0,0,0,-89,1
193,26,-70,0,0,0,-89,1
194,26,-70,0,0,0,-89,1
195,26,-70,0,0,0,-89,1
196,26,-70,0,0,0,-89,1
197,26,-70,0,0,0,-89,1
198,26,-70,0,0,0,-89,1
199,26,-70,0,0,0,-89,1
200,26,-70,0,0,0,-89,1
201,26,-70,0,0,0,-89,1
202,26,-70,0,0,0,-89,1
203,26,-70,0,0,0,-89,1
204,26,-70,0,0,0,-89,1
205,26,-70,0,0,0,-89,1
206,26,-70,0,0,0,-89,1
207,26,-70,0,0,0,-89,1
208,26,-70,0,0,0,-89,1
209,26,-70,0,0,0,-89,1
210,26,-70,0,0,0,-89,1
211,26,-70,0,0,0,-89,1
212,26,-70,0,0,0,-89,1
213,26,-70,0,0,0,-89,1
214,26,-70,0,0,0,-89,1
215,26,-70,0,0,0,-89,1
216,26,-70,0,0,0,-89,1
217,26,-70,0,0,0,-89,1
218,26,-70,0,0,0,-89,1
219,26,-70,0,0,0,-89,1
220,26,-70,0,0,0,-89,1
221,26,-70,0,0,0,-89,1
222,26,-70,0,0,0,-89,1
