t,x,y,fh,fv,r,s,frame:
0,-301,138,0,0,86,-63,0
1,-301,138,0,0,86,-63,0
2,-301,138,0,0,86,-63,0
3,-301,138,0,0,86,-63,0
4,-301,138,0,0,86,-63,0
5,-301,138,0,0,86,-63,0
6,-301,138,0,0,86,-63,0
7,-301,138,0,0,86,-63,0
8,-301,138,0,0,86,-63,0
9,-301,138,0,0,86,-63,0
10,-301,138,0,0,86,-63,0
11,-301,138,0,0,86,-63,0
12,-301,138,0,0,86,-63,0
13,-301,138,0,0,86,-63,0
14,-301,138,0,0,86,-63,0
15,-301,138,0,0,86,-63,0
16,-301,138,0,0,86,-63,0
17,-301,138,0,0,86,-63,0
18,-301,138,0,0,86,-63,0
19,-301,138,0,0,86,-63,0
20,-301,138,0,0,86,-63,0
21,-301,138,0,0,86,-63,0
22,-301,138,0,0,86,-63,0
23,-301,138,0,0,86,-63,0
24,-301,138,0,0,86,-63,0
25,-301,138,0,0,86,-63,0
26,-301,138,0,0,86,-63,0
27,-301,138,0,0,86,-63,0
28,-301,138,0,0,86,-63,0
29,-301,138,0,0,86,-63,0
30,-301,138,0,0,86,-63,0
31,-301,138,0,0,86,-63,0
32,-301,138,0,0,86,-63,0
33,-301,138,0,0,86,-63,0
34,-301,138,0,0,86,-63,0
35,-301,138,0,0,86,-63,0
36,-301,138,0,0,86,-63,0
37,-301,138,0,0,86,-63,0
38,-301,138,0,0,86,-63,0
39,-301,138,0,0,86,-63,0
40,-301,138,0,0,86,-63,0
41,-301,138,0,0,86,-63,0
42,-301,138,0,0,86,-63,0
43,-301,138,0,0,86,-63,0
44,-301,138,0,0,86,-63,0
45,-301,138,0,0,86,-63,0
46,-301,138,0,0,86,-63,0
47,-301,138,0,0,86,-63,0
48,-301,138,0,0,86,-63,0
49,-301,138,0,0,86,-63,0
50,-301,138,0,0,86,-63,0
51,-301,138,0,0,86,-63,0
52,-301,138,0,0,86,-63,0
53,-301,138,0,0,86,-63,0
54,-301,138,0,0,86,-63,0
55,-301,138,0,0,86,-63,0
56,-301,138,0,0,86,-63,0
57,-301,138,0,0,86,-63,0
58,-301,138,0,0,86,-63,0
59,-301,138,0,0,86,-63,0
60,-301,138,0,0,86,-63,0
61,-301,138,0,0,86,-63,0
62,-301,138,0,0,86,-63,0
63,-301,138,0,0,86,-63,0
64,-301,138,0,0,86,-63,0
65,-301,138,0,0,86,-63,0
66,-301,138,0,0,86,-63,0
67,-301,138,0,0,86,-63,0
68,-301,138,0,0,86,-63,0
69,-301,138,0,0,86,-63,0
70,-301,138,0,0,86,-63,0
71,-301,138,0,0,86,-63,0
72,-301,138,0,0,86,-63,0
73,-301,138,0,0,86,-63,0
74,-301,138,0,0,86,-63,0
75,-301,138,0,0,86,-63,0
76,-301,138,0,0,86,-63,0
77,-301,138,0,0,86,-63,0
78,-301,138,0,0,86,-63,0
