t,x,y,fh,fv,r,s,frame:
0,-289,-11,0,0,0,-90,0
1,-288,-11,0,0,0,-90,0
2,-288,-11,0,0,0,-90,0
3,-288,-9,0,0,0,-90,0
4,-288,-9,0,0,0,-90,0
5,-289,-8,0,0,0,-90,0
6,-289,-11,0,0,0,-90,0
7,-289,-16,0,0,0,-90,0
8,-289,-22,0,0,0,-90,0
9,-289,-31,0,0,0,-90,0
10,-289,-37,0,0,0,-90,0
11,-289,-44,0,0,0,-90,0
12,-288,-51,0,0,0,-90,0
13,-287,-55,0,0,0,-90,0
14,-286,-58,0,0,0,-90,0
15,-286,-60,0,0,0,-90,0
16,-285,-63,0,0,0,-90,0
17,-285,-67,0,0,0,-90,0
18,-284,-69,0,0,0,-90,0
19,-284,-72,0,0,0,-90,0
20,-283,-75,0,0,0,-90,0
21,-283,-78,0,0,0,-90,0
22,-282,-80,0,0,0,-90,0
23,-282,-82,0,0,0,-90,0
24,-281,-83,0,0,0,-90,0
25,-281,-85,0,0,0,-90,0
26,-280,-88,0,0,0,-90,0
27,-280,-90,0,0,0,-90,0
28,-279,-92,0,0,0,-90,0
29,-279,-94,0,0,0,-90,0
30,-279,-95,0,0,0,-90,0
31,-279,-97,0,0,0,-90,0
32,-279,-98,0,0,0,-90,0
33,-279,-99,0,0,0,-90,0
34,-280,-100,0,0,0,-90,0
35,-281,-102,0,0,0,-90,0
36,-283,-103,0,0,0,-90,0
37,-284,-105,0,0,0,-90,0
38,-285,-106,0,0,0,-90,0
39,-286,-107,0,0,0,-90,0
40,-287,-109,0,0,0,-90,0
41,-288,-110,0,0,0,-90,0
42,-290,-111,0,0,0,-90,0
43,-291,-111,0,0,0,-90,0
44,-291,-112,0,0,0,-90,0
45,-292,-112,0,0,0,-90,0
46,-295,-113,0,0,0,-90,0
47,-298,-113,0,0,0,-90,0
48,-300,-113,0,0,0,-90,0
49,-302,-114,0,0,0,-90,0
50,-303,-114,0,0,0,-90,0
51,-303,-114,0,0,0,-90,0
52,-303,-114,0,0,0,-90,0
53,-303,-114,0,0,0,-90,0
54,-303,-113,0,0,0,-90,0
55,-303,-113,0,0,0,-90,0
56,-303,-112,0,0,0,-90,0
57,-303,-111,0,0,0,-90,0
58,-303,-110,0,0,0,-90,0
59,-303,-109,0,0,0,-90,0
60,-303,-109,0,0,0,-90,0
61,-302,-108,0,0,0,-90,0
62,-300,-107,0,0,0,-90,0
63,-298,-106,0,0,0,-90,0
64,-296,-105,0,0,0,-90,0
65,-294,-104,0,0,0,-90,0
66,-293,-103,0,0,0,-90,0
67,-292,-103,0,0,0,-90,0
68,-292,-103,0,0,0,-90,0
69,-292,-103,0,0,0,-90,0
70,-292,-103,0,0,0,-90,0
71,-291,-103,0,0,0,-90,0
72,-291,-103,0,0,0,-90,0
73,-291,-103,0,0,0,-90,0
74,-291,-103,0,0,0,-90,0
75,-291,-103,0,0,0,-90,0
76,-291,-103,0,0,0,-90,0
77,-291,-103,0,0,0,-90,0
78,-291,-103,0,0,0,-90,0
79,-291,-103,0,0,0,-90,0
80,-291,-103,0,0,0,-90,0
81,-291,-103,0,0,0,-90,0
82,-291,-103,0,0,0,-90,0
83,-291,-103,0,0,0,-90,0
84,-291,-103,0,0,0,-90,0
85,-291,-102,0,0,0,-90,0
86,-291,-102,0,0,0,-90,0
87,-290,-102,0,0,0,-90,0
88,-290,-101,0,0,0,-90,0
89,-290,-101,0,0,0,-90,0
90,-290,-101,0,0,0,-90,0
91,-290,-99,0,0,0,-90,0
92,-290,-99,0,0,0,-90,0
93,-290,-99,0,0,0,-90,0
94,-290,-99,0,0,0,-90,0
95,-290,-99,0,0,0,-90,0
96,-290,-99,0,0,0,-90,0
97,-290,-99,0,0,0,-90,0
98,-291,-99,0,0,0,-90,0
99,-291,-99,0,0,0,-90,0
100,-291,-99,0,0,0,-90,0
101,-291,-98,0,0,0,-90,0
102,-292,-98,0,0,0,-90,0
103,-292,-98,0,0,0,-90,0
104,-292,-98,0,0,0,-90,0
105,-292,-98,0,0,0,-90,0
106,-292,-98,0,0,0,-90,0
107,-292,-98,0,0,0,-90,0
108,-293,-98,0,0,0,-90,0
109,-293,-97,0,0,0,-90,0
110,-293,-97,0,0,0,-90,0
111,-294,-97,0,0,0,-90,0
112,-294,-97,0,0,0,-90,0
113,-294,-97,0,0,0,-90,0
114,-294,-97,0,0,0,-90,0
115,-294,-97,0,0,0,-90,0
116,-294,-97,0,0,0,-90,0
117,-294,-97,0,0,0,-90,0
118,-294,-97,0,0,0,-90,0
119,-294,-97,0,0,0,-90,0
120,-294,-97,0,0,0,-90,0
121,-295,-97,0,0,0,-90,0
122,-295,-97,0,0,0,-90,0
123,-295,-97,0,0,0,-90,0
124,-295,-97,0,0,0,-90,0
125,-296,-97,0,0,0,-90,0
126,-296,-97,0,0,0,-90,0
127,-296,-97,0,0,0,-90,0
128,-296,-97,0,0,0,-90,0
129,-296,-97,0,0,0,-90,0
130,-296,-97,0,0,0,-90,0
131,-296,-97,0,0,0,-90,0
132,-296,-97,0,0,0,-90,0
133,-296,-97,0,0,0,-90,0
134,-296,-97,0,0,0,-90,0
135,-296,-97,0,0,0,-90,0
136,-296,-97,0,0,0,-90,0
