t,x,y,fh,fv,r,s,frame:
0,633,123,1,0,0,-52,0
1,633,123,1,0,0,-52,0
2,633,123,1,0,0,-52,0
3,633,123,1,0,0,-52,0
4,633,123,1,0,0,-52,0
5,632,123,1,0,0,-52,0
6,628,123,1,0,0,-52,0
7,624,123,1,0,0,-52,0
8,622,122,1,0,0,-52,0
9,614,121,1,0,0,-52,0
10,610,120,1,0,0,-52,0
11,568,108,1,0,0,-52,0
12,545,100,1,0,0,-52,0
13,532,96,1,0,0,-52,0
14,518,92,1,0,0,-52,0
15,510,90,1,0,0,-52,0
16,505,89,1,0,0,-52,0
17,497,86,1,0,0,-52,0
18,495,86,1,0,0,-52,0
19,491,85,1,0,0,-52,0
20,489,84,1,0,0,-52,0
21,488,84,1,0,0,-52,0
22,482,83,1,0,0,-52,0
23,476,82,1,0,0,-52,0
24,470,81,1,0,0,-52,0
25,463,80,1,0,0,-52,0
26,456,79,1,0,0,-52,0
27,450,78,1,0,0,-52,0
28,443,78,1,0,0,-52,0
29,438,77,1,0,0,-52,0
30,433,77,1,0,0,-52,0
31,430,77,1,0,0,-52,0
32,429,77,1,0,0,-52,0
33,429,77,1,0,0,-52,0
34,429,77,1,0,0,-52,0
35,428,80,1,0,0,-52,0
36,425,82,1,0,0,-52,0
37,421,86,1,0,0,-52,0
38,416,90,1,0,0,-52,0
39,414,92,1,0,0,-52,0
40,414,92,1,0,0,-52,0
41,414,92,1,0,0,-52,0
42,413,93,1,0,0,-52,0
43,410,96,1,0,0,-52,0
44,408,99,1,0,0,-52,0
45,404,103,1,0,0,-52,0
46,401,105,1,0,0,-52,0
47,401,106,1,0,0,-52,0
48,401,106,1,0,0,-52,0
49,401,106,1,0,0,-52,0
50,400,107,1,0,0,-52,0
51,396,108,1,0,0,-52,0
52,392,109,1,0,0,-52,0
53,384,110,1,0,0,-52,0
54,377,111,1,0,0,-52,0
55,368,110,1,0,0,-52,0
56,358,107,1,0,0,-52,0
57,349,105,1,0,0,-52,0
58,338,101,1,0,0,-52,0
59,324,97,1,0,0,-52,0
60,312,93,1,0,0,-52,0
61,302,91,1,0,0,-52,0
62,289,88,1,0,0,-52,0
63,280,87,1,0,0,-52,0
64,272,87,1,0,0,-52,0
65,264,87,1,0,0,-52,0
66,256,88,1,0,0,-52,0
67,252,90,1,0,0,-52,0
68,247,94,1,0,0,-52,0
69,239,102,1,0,0,-52,0
70,234,107,1,0,0,-52,0
71,230,110,1,0,0,-52,0
72,227,112,1,0,0,-52,0
73,222,117,1,0,0,-52,0
74,219,118,1,0,0,-52,0
75,217,119,1,0,0,-52,0
76,217,119,1,0,0,-52,0
77,217,119,1,0,0,-52,0
78,216,119,1,0,0,-52,0
79,210,114,1,0,0,-52,0
80,201,109,1,0,0,-52,0
81,192,104,1,0,0,-52,0
82,179,98,1,0,0,-52,0
83,166,93,1,0,0,-52,0
84,142,87,1,0,0,-52,0
85,131,84,1,0,0,-52,0
86,114,83,1,0,0,-52,0
87,102,83,1,0,0,-52,0
88,91,83,1,0,0,-52,0
89,83,87,1,0,0,-52,0
90,72,95,1,0,0,-52,0
91,62,103,1,0,0,-52,0
92,50,113,1,0,0,-52,0
93,37,120,1,0,0,-52,0
94,23,125,1,0,0,-52,0
95,11,128,1,0,0,-52,0
96,1,128,1,0,0,-52,0
97,-11,128,1,0,0,-52,0
98,-21,125,1,0,0,-52,0
99,-30,124,1,0,0,-52,0
100,-47,117,1,0,0,-52,0
101,-62,111,1,0,0,-52,0
102,-67,108,1,0,0,-52,0
103,-89,100,1,0,0,-52,0
104,-96,98,1,0,0,-52,0
105,-118,93,1,0,0,-52,0
106,-137,92,1,0,0,-52,0
107,-160,90,1,0,0,-52,0
108,-179,90,1,0,0,-52,0
109,-199,90,1,0,0,-52,0
110,-211,90,1,0,0,-52,0
111,-221,90,1,0,0,-52,0
112,-225,90,1,0,0,-52,0
113,-225,90,1,0,0,-52,0
114,-225,90,1,0,0,-52,0
115,-225,90,1,0,0,-52,0
116,-225,90,1,0,0,-52,0
117,-225,90,1,0,0,-52,0
118,-225,90,1,0,0,-52,0
119,-225,90,1,0,0,-52,0
120,-225,90,1,0,0,-52,0
121,-225,90,1,0,0,-52,0
122,-225,90,1,0,0,-52,0
123,-225,90,1,0,0,-52,0
124,-225,90,1,0,0,-52,0
125,-225,90,1,0,0,-52,0
126,-225,90,1,0,0,-52,0
127,-225,90,1,0,0,-52,0
128,-225,90,1,0,0,-52,0
129,-225,90,1,0,0,-52,0
130,-225,90,1,0,0,-52,0
131,-225,90,1,0,0,-52,0
132,-225,90,1,0,0,-52,0
133,-225,90,1,0,0,-52,0
134,-224,90,1,0,0,-52,0
135,-219,89,1,0,0,-52,0
136,-208,88,1,0,0,-52,0
137,-189,88,1,0,0,-52,0
138,-161,88,1,0,0,-52,0
139,-111,88,1,0,0,-52,0
140,-53,85,1,0,0,-52,0
141,-8,83,1,0,0,-52,0
142,26,79,1,0,0,-52,0
143,42,77,1,0,0,-52,0
144,42,77,1,0,0,-52,0
145,42,77,1,0,0,-52,0
