t,x,y,fh,fv,r,s,frame:
0,472,4,1,0,0,18,0
1,472,4,1,0,0,18,0
2,472,4,1,0,0,18,0
3,472,4,1,0,0,18,0
4,472,4,1,0,0,18,0
5,472,4,1,0,0,18,0
6,472,4,1,0,0,18,0
7,472,4,1,0,0,18,0
8,472,4,1,0,0,18,0
9,472,4,1,0,0,18,0
10,472,4,1,0,0,18,0
11,472,4,1,0,0,18,0
12,472,4,1,0,0,18,0
13,472,4,1,0,0,18,0
14,472,4,1,0,0,18,0
15,472,4,1,0,0,18,0
16,472,4,1,0,0,18,0
17,472,4,1,0,0,18,0
18,472,4,1,0,0,18,0
19,472,4,1,0,0,18,0
20,472,4,1,0,0,18,0
21,472,4,1,0,0,18,0
22,472,4,1,0,0,18,0
23,472,4,1,0,0,18,0
24,472,4,1,0,0,18,0
25,472,4,1,0,0,18,0
26,472,4,1,0,0,18,0
27,472,4,1,0,0,18,0
28,472,4,1,0,0,18,0
29,472,4,1,0,0,18,0
30,472,4,1,0,0,18,0
31,472,4,1,0,0,18,0
32,472,4,1,0,0,18,0
33,472,4,1,0,0,18,0
34,472,4,1,0,0,18,0
35,472,4,1,0,0,18,0
36,472,4,1,0,0,18,0
37,472,4,1,0,0,18,0
38,472,4,1,0,0,18,0
39,472,4,1,0,0,18,0
40,472,4,1,0,0,18,0
41,472,4,1,0,0,18,0
42,472,4,1,0,0,18,0
43,472,4,1,0,0,18,0
44,472,4,1,0,0,18,0
45,472,4,1,0,0,18,0
46,472,4,1,0,0,18,0
47,472,4,1,0,0,18,0
48,472,4,1,0,0,18,0
49,472,4,1,0,0,18,0
50,472,4,1,0,0,18,0
51,472,4,1,0,0,18,0
52,472,4,1,0,0,18,0
53,472,4,1,0,0,18,0
54,472,4,1,0,0,18,0
55,472,4,1,0,0,18,0
56,472,4,1,0,0,18,0
57,472,4,1,0,0,18,0
58,472,4,1,0,0,18,0
59,472,4,1,0,0,18,0
60,472,4,1,0,0,18,0
61,472,4,1,0,0,18,0
62,472,4,1,0,0,18,0
63,472,4,1,0,0,18,0
64,472,4,1,0,0,18,0
65,472,4,1,0,0,18,0
66,472,4,1,0,0,18,0
67,472,4,1,0,0,18,0
68,472,4,1,0,0,18,0
69,472,4,1,0,0,18,0
70,472,4,1,0,0,18,0
71,472,4,1,0,0,18,0
72,472,4,1,0,0,18,0
73,472,4,1,0,0,18,0
74,472,4,1,0,0,18,0
75,472,4,1,0,0,18,0
76,472,4,1,0,0,18,0
77,472,4,1,0,0,18,0
78,472,4,1,0,0,18,0
79,472,4,1,0,0,18,0
80,472,4,1,0,0,18,0
81,472,4,1,0,0,18,0
82,472,4,1,0,0,18,0
83,472,4,1,0,0,18,0
84,472,4,1,0,0,18,0
85,472,4,1,0,0,18,0
86,472,4,1,0,0,18,0
87,472,4,1,0,0,18,0
88,472,4,1,0,0,18,0
89,472,4,1,0,0,18,0
90,472,4,1,0,0,18,0
91,472,4,1,0,0,18,0
92,472,4,1,0,0,18,0
93,472,4,1,0,0,18,0
94,472,4,1,0,0,18,0
95,472,4,1,0,0,18,0
96,472,4,1,0,0,18,0
97,472,4,1,0,0,18,0
98,472,4,1,0,0,18,0
99,472,4,1,0,0,18,0
100,472,4,1,0,0,18,0
101,472,4,1,0,0,18,0
102,472,4,1,0,0,18,0
103,472,4,1,0,0,18,0
104,472,4,1,0,0,18,0
105,472,4,1,0,0,18,0
106,472,4,1,0,0,18,0
107,472,4,1,0,0,18,0
108,472,4,1,0,0,18,0
109,472,4,1,0,0,18,0
110,472,4,1,0,0,18,0
111,472,4,1,0,0,18,0
112,472,4,1,0,0,18,0
113,472,4,1,0,0,18,0
114,472,4,1,0,0,18,0
115,472,4,1,0,0,18,0
116,472,4,1,0,0,18,0
117,472,4,1,0,0,18,1
118,472,4,1,0,0,18,1
119,472,4,1,0,0,18,1
120,472,4,1,0,0,18,1
121,472,4,1,0,0,18,1
122,472,4,1,0,0,18,1
123,472,4,1,0,0,18,1
124,472,4,1,0,0,18,1
125,472,4,1,0,0,18,1
126,472,4,1,0,0,18,1
127,472,4,1,0,0,18,1
128,472,4,1,0,0,18,1
129,472,4,1,0,0,18,1
130,472,4,1,0,0,18,1
131,472,4,1,0,0,18,1
132,472,4,1,0,0,18,1
133,472,4,1,0,0,18,1
134,472,4,1,0,0,18,1
135,472,4,1,0,0,18,1
136,472,4,1,0,0,18,1
137,472,4,1,0,0,18,1
138,472,4,1,0,0,18,1
139,472,4,1,0,0,18,1
140,472,4,1,0,0,18,1
141,472,4,1,0,0,18,1
142,472,4,1,0,0,18,1
143,472,4,1,0,0,18,1
144,472,4,1,0,0,18,1
145,472,4,1,0,0,18,1
146,472,4,1,0,0,18,1
147,472,4,1,0,0,18,1
148,472,4,1,0,0,18,1
149,472,4,1,0,0,18,1
150,472,4,1,0,0,18,1
151,472,4,1,0,0,18,1
152,472,4,1,0,0,18,1
153,472,4,1,0,0,18,1
154,472,4,1,0,0,18,1
155,472,4,1,0,0,18,1
156,472,4,1,0,0,18,1
157,472,4,1,0,0,18,1
158,472,4,1,0,0,18,1
159,472,4,1,0,0,18,1
160,472,4,1,0,0,18,1
161,472,4,1,0,0,18,1
162,472,4,1,0,0,18,1
163,472,4,1,0,0,18,1
164,472,4,1,0,0,18,1
165,472,4,1,0,0,18,1
166,472,4,1,0,0,18,1
167,472,4,1,0,0,18,1
168,472,4,1,0,0,18,1
169,472,4,1,0,0,18,1
170,472,4,1,0,0,18,1
171,472,4,1,0,0,18,1
172,472,4,1,0,0,18,1
173,472,4,1,0,0,18,1
174,472,4,1,0,0,18,1
175,472,4,1,0,0,18,1
176,472,4,1,0,0,18,1
177,472,4,1,0,0,18,1
178,472,4,1,0,0,18,1
179,472,4,1,0,0,18,1
180,472,4,1,0,0,18,1
181,472,4,1,0,0,18,1
182,472,4,1,0,0,18,1
183,472,4,1,0,0,18,1
184,472,4,1,0,0,18,1
185,472,4,1,0,0,18,1
186,472,4,1,0,0,18,1
187,472,4,1,0,0,18,1
188,472,4,1,0,0,18,1
189,472,4,1,0,0,18,1
190,472,4,1,0,0,18,1
191,472,4,1,0,0,18,1
192,472,4,1,0,0,18,1
193,472,4,1,0,0,18,1
194,472,4,1,0,0,18,1
195,472,4,1,0,0,18,1
196,472,4,1,0,0,18,1
197,472,4,1,0,0,18,1
198,472,4,1,0,0,18,1
199,472,4,1,0,0,18,1
200,472,4,1,0,0,18,1
201,472,4,1,0,0,18,1
202,472,4,1,0,0,18,1
203,472,4,1,0,0,18,1
204,472,4,1,0,0,18,1
205,472,4,1,0,0,18,1
206,472,4,1,0,0,18,1
207,472,4,1,0,0,18,1
208,472,4,1,0,0,18,1
209,472,4,1,0,0,18,1
210,472,4,1,0,0,18,1
211,472,4,1,0,0,18,1
212,472,4,1,0,0,18,1
213,472,4,1,0,0,18,1
214,472,4,1,0,0,18,1
215,472,4,1,0,0,18,1
216,472,4,1,0,0,18,1
217,472,4,1,0,0,18,1
218,472,4,1,0,0,18,1
219,472,4,1,0,0,18,1
220,472,4,1,0,0,18,1
221,472,4,1,0,0,18,1
222,472,4,1,0,0,18,1
223,472,4,1,0,0,18,1
224,472,4,1,0,0,18,1
225,472,4,1,0,0,18,1
226,472,4,1,0,0,18,1
227,472,4,1,0,0,18,1
228,472,4,1,0,0,18,1
229,472,4,1,0,0,18,1
230,472,4,1,0,0,18,1
231,472,4,1,0,0,18,1
232,472,4,1,0,0,18,1
233,472,4,1,0,0,18,1
