t,x,y,fh,fv,r,s,frame:
0,-57,124,0,0,2,-29,0
1,-57,124,0,0,2,-29,0
2,-57,124,0,0,2,-29,0
3,-57,124,0,0,2,-29,0
4,-57,124,0,0,2,-29,0
5,-57,124,0,0,2,-29,0
6,-57,124,0,0,2,-29,0
7,-57,124,0,0,2,-29,0
8,-57,124,0,0,2,-29,0
9,-57,124,0,0,2,-29,0
10,-57,124,0,0,2,-29,0
11,-57,124,0,0,2,-29,0
12,-57,124,0,0,2,-29,0
13,-57,124,0,0,2,-29,0
14,-57,124,0,0,2,-29,0
15,-57,124,0,0,2,-29,0
16,-57,124,0,0,2,-29,0
17,-57,124,0,0,2,-29,0
18,-57,124,0,0,2,-29,0
19,-57,124,0,0,2,-29,0
20,-57,124,0,0,2,-29,0
21,-57,124,0,0,2,-29,0
22,-57,124,0,0,2,-29,0
23,-57,124,0,0,2,-29,0
24,-57,124,0,0,2,-29,0
25,-57,124,0,0,2,-29,0
26,-57,124,0,0,2,-29,0
27,-57,124,0,0,2,-29,0
28,-57,124,0,0,2,-29,0
29,-57,124,0,0,2,-29,0
30,-57,124,0,0,2,-29,0
31,-57,124,0,0,2,-29,0
32,-57,124,0,0,2,-29,0
33,-57,124,0,0,2,-29,0
34,-57,124,0,0,2,-29,0
35,-57,124,0,0,2,-29,0
36,-57,124,0,0,2,-29,0
37,-57,124,0,0,2,-29,0
38,-57,124,0,0,2,-29,0
39,-57,124,0,0,2,-29,0
40,-57,124,0,0,2,-29,0
41,-57,124,0,0,2,-29,0
42,-57,124,0,0,2,-29,0
43,-57,124,0,0,2,-29,0
44,-57,124,0,0,2,-29,0
45,-57,124,0,0,2,-29,0
46,-57,124,0,0,2,-29,0
47,-57,124,0,0,2,-29,0
48,-57,124,0,0,2,-29,0
49,-57,124,0,0,2,-29,0
50,-57,124,0,0,2,-29,0
51,-57,124,0,0,2,-29,0
52,-57,124,0,0,2,-29,0
53,-57,124,0,0,2,-29,0
54,-57,124,0,0,2,-29,0
55,-57,124,0,0,2,-29,0
56,-57,124,0,0,2,-29,0
57,-57,124,0,0,2,-29,0
58,-57,124,0,0,2,-29,0
59,-57,124,0,0,2,-29,0
60,-57,124,0,0,2,-29,0
61,-57,124,0,0,2,-29,0
62,-57,124,0,0,2,-29,0
63,-57,124,0,0,2,-29,0
64,-57,124,0,0,2,-29,0
65,-57,124,0,0,2,-29,0
66,-57,124,0,0,2,-29,0
67,-57,124,0,0,2,-29,0
68,-57,124,0,0,2,-29,0
69,-57,124,0,0,2,-29,0
70,-57,124,0,0,2,-29,0
71,-57,124,0,0,2,-29,0
72,-57,124,0,0,2,-29,0
73,-57,124,0,0,2,-29,0
74,-57,124,0,0,2,-29,0
75,-57,124,0,0,2,-29,0
76,-57,124,0,0,2,-29,0
77,-57,124,0,0,2,-29,0
78,-57,124,0,0,2,-29,0
79,-57,124,0,0,2,-29,0
80,-57,124,0,0,2,-29,0
81,-57,124,0,0,2,-29,0
82,-57,124,0,0,2,-29,0
83,-57,124,0,0,2,-29,0
84,-57,124,0,0,2,-29,0
85,-57,124,0,0,2,-29,0
86,-57,124,0,0,2,-29,0
87,-57,124,0,0,2,-29,0
88,-57,124,0,0,2,-29,0
89,-57,124,0,0,2,-29,0
90,-57,124,0,0,2,-29,0
91,-57,124,0,0,2,-29,0
92,-57,124,0,0,2,-29,0
93,-57,124,0,0,2,-29,0
94,-57,124,0,0,2,-29,0
95,-57,124,0,0,2,-29,0
