t,x,y,fh,fv,r,s,frame:
0,493,135,0,0,0,-145,1
1,493,135,0,0,0,-145,1
2,493,135,0,0,0,-145,1
3,493,135,0,0,0,-145,1
4,493,135,0,0,0,-145,1
5,493,135,0,0,0,-145,1
6,493,135,0,0,0,-145,1
7,493,135,0,0,0,-145,1
8,492,135,0,0,0,-145,1
9,490,135,0,0,0,-145,1
10,488,135,0,0,0,-145,1
11,486,135,0,0,0,-145,1
12,483,134,0,0,0,-145,1
13,480,134,0,0,0,-145,1
14,477,133,0,0,0,-145,1
15,473,132,0,0,0,-145,1
16,466,130,0,0,0,-145,1
17,458,129,0,0,0,-145,1
18,449,127,0,0,0,-145,1
19,439,125,0,0,0,-145,1
20,428,123,0,0,0,-145,1
21,418,122,0,0,0,-145,1
22,411,120,0,0,0,-145,1
23,406,117,0,0,0,-145,1
24,403,116,0,0,0,-145,1
25,398,112,0,0,0,-145,1
26,395,109,0,0,0,-145,1
27,390,107,0,0,0,-145,1
28,386,104,0,0,0,-145,1
29,385,103,0,0,0,-145,1
30,380,99,0,0,0,-145,1
31,378,97,0,0,0,-145,1
32,376,96,0,0,0,-145,1
33,373,94,0,0,0,-145,1
34,372,93,0,0,0,-145,1
35,370,91,0,0,0,-145,1
36,369,89,0,0,0,-145,1
37,368,88,0,0,0,-145,1
38,367,87,0,0,0,-145,1
39,366,86,0,0,0,-145,1
40,366,84,0,0,0,-145,1
41,366,82,0,0,0,-145,1
42,366,80,0,0,0,-145,1
43,366,79,0,0,0,-145,1
44,366,79,0,0,0,-145,1
45,366,78,0,0,0,-145,1
46,366,78,0,0,0,-145,1
47,367,78,0,0,0,-145,1
48,368,77,0,0,0,-145,1
49,368,77,0,0,0,-145,1
50,370,77,0,0,0,-145,1
51,372,77,0,0,0,-145,1
52,374,77,0,0,0,-145,1
53,374,77,0,0,0,-145,1
54,375,77,0,0,0,-145,1
55,376,77,0,0,0,-145,1
56,376,77,0,0,0,-145,1
57,376,77,0,0,0,-145,1
58,376,77,0,0,0,-145,1
59,376,77,0,0,0,-145,1
60,376,77,0,0,0,-145,1
61,376,77,0,0,0,-145,1
62,376,77,0,0,0,-145,1
63,376,77,0,0,0,-145,1
64,376,77,0,0,0,-145,1
65,376,77,0,0,0,-145,1
66,376,77,0,0,0,-145,1
67,376,77,0,0,0,-145,1
68,376,77,0,0,0,-145,1
69,376,77,0,0,0,-145,1
70,376,77,0,0,0,-145,1
71,373,76,0,0,0,-145,1
72,369,75,0,0,0,-145,1
73,363,73,0,0,0,-145,1
74,357,71,0,0,0,-145,1
75,349,69,0,0,0,-145,1
76,346,68,0,0,0,-145,1
77,343,67,0,0,0,-145,1
78,343,66,0,0,0,-145,1
79,341,65,0,0,0,-145,1
80,339,64,0,0,0,-145,1
81,335,63,0,0,0,-145,1
82,331,61,0,0,0,-145,1
83,327,59,0,0,0,-145,1
84,323,57,0,0,0,-145,1
85,318,56,0,0,0,-145,1
86,313,54,0,0,0,-145,1
87,310,53,0,0,0,-145,1
88,304,50,0,0,0,-145,1
89,303,49,0,0,0,-145,1
90,303,49,0,0,0,-145,1
91,299,47,0,0,0,-145,1
92,299,46,0,0,0,-145,1
93,297,45,0,0,0,-145,1
94,295,44,0,0,0,-145,1
95,291,43,0,0,0,-145,1
96,287,41,0,0,0,-145,1
97,282,40,0,0,0,-145,1
98,276,38,0,0,0,-145,1
99,273,37,0,0,0,-145,1
100,267,36,0,0,0,-145,1
101,251,31,0,0,0,-145,1
102,238,29,0,0,0,-145,1
103,226,26,0,0,0,-145,1
104,210,24,0,0,0,-145,1
105,210,24,0,0,0,-145,1
106,158,14,0,0,0,-145,1
107,140,12,0,0,0,-145,1
108,115,9,0,0,0,-145,1
109,92,4,0,0,0,-145,1
110,73,2,0,0,0,-145,1
111,52,-1,0,0,0,-145,1
112,42,-2,0,0,0,-145,1
113,19,-7,0,0,0,-145,1
114,7,-8,0,0,0,-145,1
115,-1,-8,0,0,0,-145,1
116,-10,-10,0,0,0,-145,1
117,-18,-11,0,0,0,-145,1
118,-25,-11,0,0,0,-145,1
119,-30,-11,0,0,0,-145,1
120,-36,-11,0,0,0,-145,1
121,-41,-11,0,0,0,-145,1
122,-49,-11,0,0,0,-145,1
123,-56,-11,0,0,0,-145,1
124,-63,-10,0,0,0,-145,1
125,-70,-10,0,0,0,-145,1
126,-78,-10,0,0,0,-145,1
127,-87,-10,0,0,0,-145,1
128,-95,-10,0,0,0,-145,1
129,-103,-10,0,0,0,-145,1
130,-110,-10,0,0,0,-145,1
131,-115,-10,0,0,0,-145,1
132,-120,-10,0,0,0,-145,1
133,-125,-10,0,0,0,-145,1
134,-132,-10,0,0,0,-145,1
135,-137,-10,0,0,0,-145,1
136,-145,-10,0,0,0,-145,1
137,-152,-10,0,0,0,-145,1
138,-167,-9,0,0,0,-145,1
139,-174,-9,0,0,0,-145,1
140,-187,-9,0,0,0,-145,1
141,-197,-9,0,0,0,-145,1
142,-208,-9,0,0,0,-145,1
143,-216,-10,0,0,0,-145,1
144,-222,-10,0,0,0,-145,1
145,-226,-10,0,0,0,-145,1
146,-230,-11,0,0,0,-145,1
147,-233,-11,0,0,0,-145,1
148,-237,-11,0,0,0,-145,1
149,-241,-12,0,0,0,-145,1
150,-246,-12,0,0,0,-145,1
151,-252,-13,0,0,0,-145,1
152,-257,-14,0,0,0,-145,1
153,-263,-15,0,0,0,-145,1
154,-269,-16,0,0,0,-145,1
155,-277,-17,0,0,0,-145,1
156,-289,-20,0,0,0,-145,1
157,-298,-22,0,0,0,-145,1
158,-309,-24,0,0,0,-145,1
159,-319,-27,0,0,0,-145,1
160,-328,-29,0,0,0,-145,1
161,-337,-30,0,0,0,-145,1
162,-345,-32,0,0,0,-145,1
163,-354,-35,0,0,0,-145,1
164,-361,-37,0,0,0,-145,1
165,-366,-38,0,0,0,-145,1
166,-373,-42,0,0,0,-145,1
167,-376,-43,0,0,0,-145,1
168,-381,-45,0,0,0,-145,1
169,-387,-48,0,0,0,-145,1
170,-389,-49,0,0,0,-145,1
171,-393,-50,0,0,0,-145,1
172,-395,-51,0,0,0,-145,1
173,-396,-51,0,0,0,-145,1
174,-397,-52,0,0,0,-145,1
175,-399,-53,0,0,0,-145,1
176,-401,-54,0,0,0,-145,1
177,-401,-54,0,0,0,-145,1
178,-401,-54,0,0,0,-145,1
179,-401,-54,0,0,0,-145,1
180,-401,-54,0,0,0,-145,1
181,-401,-54,0,0,0,-145,1
182,-401,-54,0,0,0,-145,1
183,-401,-55,0,0,0,-145,1
184,-402,-57,0,0,0,-145,1
185,-403,-59,0,0,0,-145,1
186,-405,-62,0,0,0,-145,1
187,-407,-65,0,0,0,-145,1
