t,x,y,fh,fv,r,s,frame:
0,-240,166,0,0,0,-73,0
1,-240,166,0,0,0,-73,0
2,-240,166,0,0,0,-73,0
3,-240,166,0,0,0,-73,0
4,-240,166,0,0,0,-73,0
5,-240,166,0,0,0,-73,0
6,-240,166,0,0,0,-73,0
7,-240,166,0,0,0,-73,0
8,-240,166,0,0,0,-73,0
9,-240,166,0,0,0,-73,0
10,-240,166,0,0,0,-73,0
11,-240,166,0,0,0,-73,0
12,-241,166,0,0,0,-73,0
13,-245,166,0,0,0,-73,0
14,-250,166,0,0,0,-73,0
15,-255,166,0,0,0,-73,0
16,-260,166,0,0,0,-73,0
17,-261,166,0,0,0,-73,0
18,-262,166,0,0,0,-73,0
19,-262,166,0,0,0,-73,0
20,-262,166,0,0,0,-73,0
21,-266,166,0,0,0,-73,0
22,-271,167,0,0,0,-73,0
23,-274,167,0,0,0,-73,0
24,-276,167,0,0,0,-73,0
25,-277,167,0,0,0,-73,0
26,-277,167,0,0,2,-73,0
27,-277,167,0,0,4,-73,0
28,-279,168,0,0,6,-73,0
29,-282,169,0,0,8,-73,0
30,-285,169,0,0,10,-73,0
31,-287,169,0,0,12,-73,0
32,-289,169,0,0,14,-73,0
33,-290,169,0,0,16,-73,0
34,-290,169,0,0,18,-73,0
35,-294,170,0,0,20,-73,0
36,-301,172,0,0,22,-73,0
37,-305,173,0,0,24,-73,0
38,-307,174,0,0,26,-73,0
39,-308,174,0,0,28,-73,0
40,-308,174,0,0,30,-73,0
41,-310,176,0,0,32,-73,0
42,-313,177,0,0,34,-73,0
43,-318,179,0,0,36,-73,0
44,-322,180,0,0,38,-73,0
45,-324,182,0,0,40,-73,0
46,-326,183,0,0,42,-73,0
47,-328,184,0,0,44,-73,0
48,-330,186,0,0,46,-73,0
49,-332,187,0,0,48,-73,0
50,-334,188,0,0,50,-73,0
51,-339,191,0,0,52,-73,0
52,-342,193,0,0,54,-73,0
53,-346,194,0,0,56,-73,0
54,-349,196,0,0,58,-73,0
55,-351,197,0,0,60,-73,0
56,-353,198,0,0,62,-73,0
57,-355,199,0,0,64,-73,0
58,-357,200,0,0,66,-73,0
59,-361,201,0,0,68,-73,0
60,-365,203,0,0,70,-73,0
61,-369,205,0,0,72,-73,0
62,-372,207,0,0,74,-73,0
63,-376,209,0,0,76,-73,0
64,-379,210,0,0,78,-73,0
65,-382,212,0,0,80,-73,0
66,-386,214,0,0,82,-73,0
67,-391,218,0,0,84,-73,0
68,-395,221,0,0,86,-73,0
69,-399,223,0,0,88,-73,0
70,-403,226,0,0,90,-73,0
71,-408,229,0,0,90,-73,0
72,-413,233,0,0,90,-73,0
73,-419,239,0,0,90,-73,0
74,-422,241,0,0,90,-73,0
75,-425,244,0,0,90,-73,0
76,-429,247,0,0,90,-73,0
77,-432,250,0,0,90,-73,0
78,-434,252,0,0,90,-73,0
79,-436,253,0,0,90,-73,0
80,-438,255,0,0,90,-73,0
