t,x,y,fh,fv,r,s,frame:
0,241,168,1,0,0,-69,0
1,241,168,1,0,0,-69,0
2,241,168,1,0,0,-69,0
3,241,168,1,0,0,-69,0
4,241,168,1,0,0,-69,0
5,241,168,1,0,0,-69,0
6,241,168,1,0,0,-69,0
7,241,168,1,0,0,-69,0
8,241,168,1,0,0,-69,0
9,241,168,1,0,0,-69,0
10,241,168,1,0,0,-69,0
11,241,168,1,0,-2,-69,0
12,241,168,1,0,-4,-69,0
13,241,168,1,0,-6,-69,0
14,241,168,1,0,-8,-69,0
15,252,167,1,0,-10,-69,0
16,260,165,1,0,-12,-69,0
17,268,164,1,0,-14,-69,0
18,271,164,1,0,-16,-69,0
19,274,164,1,0,-18,-69,0
20,275,164,1,0,-20,-69,0
21,275,164,1,0,-22,-69,0
22,275,164,1,0,-24,-69,0
23,279,164,1,0,-26,-69,0
24,284,164,1,0,-28,-69,0
25,289,164,1,0,-30,-69,0
26,293,165,1,0,-32,-69,0
27,298,165,1,0,-34,-69,0
28,302,166,1,0,-36,-69,0
29,306,167,1,0,-38,-69,0
30,311,169,1,0,-40,-69,0
31,314,170,1,0,-42,-69,0
32,317,171,1,0,-44,-69,0
33,321,173,1,0,-46,-69,0
34,326,175,1,0,-48,-69,0
35,329,177,1,0,-50,-69,0
36,333,179,1,0,-52,-69,0
37,338,181,1,0,-54,-69,0
38,341,182,1,0,-56,-69,0
39,346,184,1,0,-58,-69,0
40,350,186,1,0,-60,-69,0
41,354,189,1,0,-62,-69,0
42,358,192,1,0,-64,-69,0
43,362,196,1,0,-66,-69,0
44,367,200,1,0,-68,-69,0
45,376,208,1,0,-70,-69,0
46,378,209,1,0,-72,-69,0
47,383,214,1,0,-74,-69,0
48,389,219,1,0,-76,-69,0
49,395,223,1,0,-78,-69,0
50,403,230,1,0,-80,-69,0
51,406,232,1,0,-82,-69,0
52,407,233,1,0,-84,-69,0
53,411,236,1,0,-86,-69,0
54,413,237,1,0,-88,-69,0
55,417,239,1,0,-90,-69,0
56,420,241,1,0,-92,-69,0
57,422,243,1,0,-94,-69,0
58,426,246,1,0,-96,-69,0
59,430,249,1,0,-98,-69,0
60,435,252,1,0,-100,-69,0
61,438,254,1,0,-102,-69,0
62,440,254,1,0,-102,-69,0
63,441,256,1,0,-102,-69,0
64,443,258,1,0,-102,-69,0
65,450,263,1,0,-102,-69,0
66,456,267,1,0,-102,-69,0
67,457,268,1,0,-102,-69,0
68,458,268,1,0,-102,-69,0
69,458,268,1,0,-102,-69,0
70,458,268,1,0,-102,-69,0
71,458,268,1,0,-102,-69,0
72,460,269,1,0,-102,-69,0
73,461,270,1,0,-102,-69,0
74,463,271,1,0,-102,-69,0
75,465,272,1,0,-102,-69,0
76,467,273,1,0,-102,-69,0
77,468,274,1,0,-102,-69,0
78,470,275,1,0,-102,-69,0
79,472,276,1,0,-102,-69,0
80,474,278,1,0,-102,-69,0
81,476,279,1,0,-102,-69,0
82,477,280,1,0,-102,-69,0
83,477,280,1,0,-102,-69,0
84,477,280,1,0,-102,-69,0
85,477,280,1,0,-102,-69,0
86,477,280,1,0,-100,-69,0
87,477,280,1,0,-98,-69,0
88,477,280,1,0,-96,-69,0
89,477,280,1,0,-94,-69,0
90,477,280,1,0,-92,-69,0
91,477,280,1,0,-92,-69,0
92,477,280,1,0,-92,-69,0
93,477,280,1,0,-92,-69,0
94,477,280,1,0,-92,-69,0
95,477,280,1,0,-92,-69,0
96,477,280,1,0,-92,-69,0
97,477,280,1,0,-92,-69,0
98,477,280,1,0,-92,-69,0
99,477,280,1,0,-92,-69,0
100,477,280,1,0,-92,-69,0
101,477,280,1,0,-92,-69,0
102,477,280,1,0,-92,-69,0
103,477,280,1,0,-92,-69,0
104,477,280,1,0,-92,-69,0
105,477,280,1,0,-92,-69,0
106,477,280,1,0,-92,-69,0
107,477,280,1,0,-92,-69,0
108,477,280,1,0,-92,-69,0
109,477,280,1,0,-92,-69,0
110,477,280,1,0,-92,-69,0
111,477,280,1,0,-92,-69,0
112,477,280,1,0,-92,-69,0
113,477,280,1,0,-92,-69,0
114,477,280,1,0,-92,-69,0
115,477,280,1,0,-92,-69,0
